# lat,lng,id,name,building_type,type,url,page_type
# Beinasco -- Tutti
45.026215,7.588044,ov_beinasco_da_terry_e_angela_45.0262_7.5880,Beinasco da Terry e Angela,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/beinasco_da_terry_e_angela_45.0262_7.5880.json,custom
45.026450,7.588100,ov_la_bottega_del_sapore___beinasco_45.0264_7.5881,La Bottega Del Sapore - Beinasco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/la_bottega_del_sapore_-_beinasco_45.0264_7.5881.json,custom
45.028112,7.601310,ov_joe_s_pub_45.0281_7.6013,Joe's Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/joes_pub_45.0281_7.6013.json,custom
45.022001,7.581057,ov_caff__cavour_45.0220_7.5811,Caffè Cavour,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/caff_cavour_45.0220_7.5811.json,custom
45.024626,7.594007,ov_bar_las_americas_45.0246_7.5940,Bar Las Americas,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/bar_las_americas_45.0246_7.5940.json,custom
45.024091,7.593122,ov_bar_giordano_45.0241_7.5931,Bar Giordano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/bar_giordano_45.0241_7.5931.json,custom
45.017446,7.577436,ov_circolo_il_malinteso_45.0174_7.5774,Circolo Il Malinteso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/circolo_il_malinteso_45.0174_7.5774.json,custom
45.006553,7.601561,ov_caffe_dei_portici_45.0066_7.6016,Caffe Dei Portici,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/caffe_dei_portici_45.0066_7.6016.json,custom
45.003150,7.602777,ov_caffetteria_al_diciannove_b_45.0032_7.6028,Caffetteria Al Diciannove B,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/caffetteria_al_diciannove_b_45.0032_7.6028.json,custom
45.006201,7.602951,osm_la_felce_45.0062_7.6030,La Felce,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/la_felce_45.0062_7.6030.json,custom
45.052437,7.583906,ov_beach_volley_training_45.0524_7.5839,Beach Volley Training,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/beach_volley_training_45.0524_7.5839.json,custom
45.026053,7.599617,ov_serao_45.0261_7.5996,Serao,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/serao_45.0261_7.5996.json,custom
45.026219,7.588087,ov_whynot_dance_school_45.0262_7.5881,WhyNot Dance School,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beinasco/pages/whynot_dance_school_45.0262_7.5881.json,custom
