# lat,lng,id,name,building_type,type,url,page_type
# Vico del Gargano -- Tutti
41.935196,15.941947,ov_ospedale_gb_grassi_ostia_41.9352_15.9419,Ospedale Gb Grassi Ostia,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/ospedale_gb_grassi_ostia_41.9352_15.9419.json,custom
41.896933,15.957464,ov_ideal_bar_di_vico_del_gargano_41.8969_15.9575,IDEAL BAR di Vico del Gargano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/ideal_bar_di_vico_del_gargano_41.8969_15.9575.json,custom
41.897122,15.957971,ov_blu_bar_di_marcantonio_sergio_41.8971_15.9580,Blu Bar di Marcantonio Sergio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/blu_bar_di_marcantonio_sergio_41.8971_15.9580.json,custom
41.896446,15.959052,ov_bar_da_mimmo_41.8964_15.9591,Bar da Mimmo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/bar_da_mimmo_41.8964_15.9591.json,custom
41.901113,15.967596,ov_la_quercia_bar_piadineria_41.9011_15.9676,La Quercia Bar Piadineria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/la_quercia_bar_piadineria_41.9011_15.9676.json,custom
41.936180,15.953990,ov_elite_lido_del_sole_41.9362_15.9540,Elite Lido Del sole,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/elite_lido_del_sole_41.9362_15.9540.json,custom
41.936626,15.949933,ov_officina_balneare_41.9366_15.9499,Officina balneare,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/officina_balneare_41.9366_15.9499.json,custom
41.891446,15.962754,ov_new_free_time_41.8914_15.9628,New Free Time,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/new_free_time_41.8914_15.9628.json,custom
41.892870,15.962510,ov_personal_trainer_center_vico_del_gargano_41.8929_15.9625,Personal trainer center Vico del Gargano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/personal_trainer_center_vico_del_gargano_41.8929_15.9625.json,custom
41.901120,15.965456,ov_danza_e_movimento_41.9011_15.9655,Danza e Movimento,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/danza_e_movimento_41.9011_15.9655.json,custom
41.935526,15.943727,ov_torre_dei_preposti_41.9355_15.9437,Torre dei Preposti,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/torre_dei_preposti_41.9355_15.9437.json,custom
41.897450,15.952270,ov_ecomuseo_necropoli_di_monte_pucci_41.8974_15.9523,Ecomuseo Necropoli di Monte Pucci,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/ecomuseo_necropoli_di_monte_pucci_41.8974_15.9523.json,custom
41.897389,15.952880,ov_museo_trappeto_maratea_41.8974_15.9529,Museo Trappeto Maratea,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/museo_trappeto_maratea_41.8974_15.9529.json,custom
41.897503,15.954403,ov_museo_civico_archeologico_francesco_dell_41.8975_15.9544,Museo Civico Archeologico Francesco Delli Muti,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/museo_civico_archeologico_francesco_dell_41.8975_15.9544.json,custom
41.895861,15.962730,ov_liuteria_rignanese_41.8959_15.9627,Liuteria Rignanese,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/liuteria_rignanese_41.8959_15.9627.json,custom
41.900601,15.968171,ov_convento_dei_cappuccini_41.9006_15.9682,Convento Dei Cappuccini,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/convento_dei_cappuccini_41.9006_15.9682.json,custom
41.897485,15.954474,ov_biblioteca_civica_giuseppe_del_viscio_41.8975_15.9545,Biblioteca Civica Giuseppe Del Viscio,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/biblioteca_civica_giuseppe_del_viscio_41.8975_15.9545.json,custom
