# lat,lng,id,name,building_type,type,url,page_type
# Rottofreno -- Tutti
45.046910,9.606426,ov_ospedale_piacenza_45.0469_9.6064,Ospedale Piacenza,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/ospedale_piacenza_45.0469_9.6064.json,custom
45.056291,9.601551,ov_il_grano_d_oro_45.0563_9.6016,Il Grano d'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/il_grano_doro_45.0563_9.6016.json,custom
45.058739,9.605945,ov_croce_rossa_italiana_comitato_di_san_nic_45.0587_9.6059,Croce rossa Italiana Comitato di san Nicoló,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/croce_rossa_italiana_comitato_di_san_nic_45.0587_9.6059.json,custom
45.056030,9.611780,ov_zefiro___ristorante___pizzeria_45.0560_9.6118,Zefiro - Ristorante & Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/zefiro_-_ristorante_pizzeria_45.0560_9.6118.json,custom
45.055929,9.611218,ov_pizzeria___focacceria_san_nicolo_45.0559_9.6112,Pizzeria & Focacceria San Nicolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/pizzeria_focacceria_san_nicolo_45.0559_9.6112.json,custom
45.055965,9.610261,ov_dal_pane_al_vino_45.0560_9.6103,Dal Pane al Vino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/dal_pane_al_vino_45.0560_9.6103.json,custom
45.056058,9.610830,ov_trivial_pizza_45.0561_9.6108,Trivial Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/trivial_pizza_45.0561_9.6108.json,custom
45.056221,9.606491,ov_turkish_city_kebab_45.0562_9.6065,Turkish City Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/turkish_city_kebab_45.0562_9.6065.json,custom
45.056107,9.609056,ov_pizzeria_ristorante_feeling_45.0561_9.6091,Pizzeria Ristorante Feeling,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/pizzeria_ristorante_feeling_45.0561_9.6091.json,custom
45.056018,9.608927,ov_ristorante_la_colonna_45.0560_9.6089,Ristorante La Colonna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/ristorante_la_colonna_45.0560_9.6089.json,custom
45.055239,9.609781,ov_il_cuore_del_sapore_45.0552_9.6098,Il Cuore del Sapore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/il_cuore_del_sapore_45.0552_9.6098.json,custom
45.055606,9.614194,ov_ristorante_gusto_45.0556_9.6142,Ristorante Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/ristorante_gusto_45.0556_9.6142.json,custom
44.922211,9.721398,ov_non_solo_caff__44.9222_9.7214,Non Solo Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/non_solo_caff_44.9222_9.7214.json,custom
45.077588,9.566693,ov_bar_osteria_santimento_45.0776_9.5667,Bar Osteria Santimento,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/bar_osteria_santimento_45.0776_9.5667.json,custom
45.054558,9.551868,ov_bennybar_45.0546_9.5519,Bennybar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/bennybar_45.0546_9.5519.json,custom
45.051428,9.602757,ov_bar_amici_45.0514_9.6028,BAR AMICI,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/bar_amici_45.0514_9.6028.json,custom
45.048985,9.606872,ov_roxy_bar_di_linda_45.0490_9.6069,Roxy Bar di Linda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/roxy_bar_di_linda_45.0490_9.6069.json,custom
45.053788,9.609740,ov_melville_caff__letterario_45.0538_9.6097,Melville Caffé Letterario,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/melville_caff_letterario_45.0538_9.6097.json,custom
45.056356,9.601389,ov_bar_sister_s_45.0564_9.6014,BAR Sister's,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/bar_sisters_45.0564_9.6014.json,custom
45.056190,9.607810,ov_monkey_bar_45.0562_9.6078,Monkey Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/monkey_bar_45.0562_9.6078.json,custom
45.055623,9.608264,ov_panta_rei_caf__45.0556_9.6083,Panta Rei Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/panta_rei_caf_45.0556_9.6083.json,custom
45.055365,9.608681,ov_bar_mir__45.0554_9.6087,Bar Mirò,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/bar_mir_45.0554_9.6087.json,custom
45.055311,9.609478,ov_bar_in_piazzetta_45.0553_9.6095,Bar In Piazzetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/bar_in_piazzetta_45.0553_9.6095.json,custom
45.055648,9.614553,ov_pepe_rosa_cafe_45.0556_9.6146,Pepe Rosa Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/pepe_rosa_cafe_45.0556_9.6146.json,custom
45.104560,9.553231,ov_cs_horses_45.1046_9.5532,CS Horses,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/cs_horses_45.1046_9.5532.json,custom
45.052840,9.609610,ov_ginnastica_dinamica_militare_san_nicolo__45.0528_9.6096,Ginnastica Dinamica Militare San Nicolo',GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/ginnastica_dinamica_militare_san_nicolo_45.0528_9.6096.json,custom
45.052309,9.616369,ov_bowling_laser_game_45.0523_9.6164,Bowling Laser Game,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/bowling_laser_game_45.0523_9.6164.json,custom
45.056330,9.589650,ov_dance_art_academy_45.0563_9.5897,Dance Art Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/dance_art_academy_45.0563_9.5897.json,custom
45.056131,9.612366,ov_asd_studio_danza_piacenza_45.0561_9.6124,ASD Studio Danza Piacenza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/asd_studio_danza_piacenza_45.0561_9.6124.json,custom
45.056140,9.612365,ov_valelupi_poledance_academy_a_s_d__45.0561_9.6124,ValeLupi PoleDance Academy a.s.d.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/valelupi_poledance_academy_asd_45.0561_9.6124.json,custom
45.056081,9.612041,ov_latin_lover_45.0561_9.6120,Latin Lover,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/latin_lover_45.0561_9.6120.json,custom
45.055280,9.610330,ov_asd_accademia__il_palcoscenico_45.0553_9.6103,Asd Accademia  Il Palcoscenico,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/asd_accademia_il_palcoscenico_45.0553_9.6103.json,custom
