# lat,lng,id,name,building_type,type,url,page_type
# Lentate sul Seveso -- Tutti
45.674050,9.117960,ov_prosopon_centro_medico_polispecialistico_45.6741_9.1180,Prosopon Centro Medico Polispecialistico e Fisioterapico,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/prosopon_centro_medico_polispecialistico_45.6741_9.1180.json,custom
45.666497,9.112487,ov_sporting_45.6665_9.1125,Sporting,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/sporting_45.6665_9.1125.json,custom
45.677092,9.116638,osm_aurora_caf__45.6771_9.1166,Aurora Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/aurora_caf_45.6771_9.1166.json,custom
45.677211,9.117388,osm_st__james__gate_45.6772_9.1174,St. James' Gate,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/st_james_gate_45.6772_9.1174.json,custom
45.668675,9.133028,osm_bar_anna_45.6687_9.1330,Bar Anna,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/bar_anna_45.6687_9.1330.json,custom
45.684073,9.111643,osm_fashion_caf__45.6841_9.1116,Fashion Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/fashion_caf_45.6841_9.1116.json,custom
45.679608,9.120952,osm_bar_roma_45.6796_9.1210,Bar Roma,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/bar_roma_45.6796_9.1210.json,custom
45.667849,9.128350,osm_penelope_45.6678_9.1283,Penelope,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/penelope_45.6678_9.1283.json,custom
45.668554,9.128767,osm_new_bar_45.6686_9.1288,New Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/new_bar_45.6686_9.1288.json,custom
45.676880,9.115916,osm_ricevitoria_tabaccheria_bar_scommesse_45.6769_9.1159,Ricevitoria Tabaccheria Bar Scommesse,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/ricevitoria_tabaccheria_bar_scommesse_45.6769_9.1159.json,custom
45.668294,9.133272,osm_bar_stazione_45.6683_9.1333,Bar Stazione,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/bar_stazione_45.6683_9.1333.json,custom
45.669913,9.104316,osm_il_rifugio_45.6699_9.1043,Il rifugio,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/il_rifugio_45.6699_9.1043.json,custom
45.690391,9.103835,osm_la_bottega_del_caff__45.6904_9.1038,La bottega del caffè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/la_bottega_del_caff_45.6904_9.1038.json,custom
45.666592,9.112408,osm_sporting_bar_45.6666_9.1124,Sporting Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/sporting_bar_45.6666_9.1124.json,custom
45.682816,9.111999,osm_youcoffee_45.6828_9.1120,YouCoffee,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/youcoffee_45.6828_9.1120.json,custom
45.688159,9.151246,ov_comedical_lentate_45.6882_9.1512,comedical_lentate,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/comedicallentate_45.6882_9.1512.json,custom
45.671143,9.139078,ov_gemky_dancing_school_45.6711_9.1391,Gemky Dancing School,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/gemky_dancing_school_45.6711_9.1391.json,custom
45.672016,9.127597,ov_associazione_sportiva_metal_gym_45.6720_9.1276,Associazione Sportiva Metal Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/associazione_sportiva_metal_gym_45.6720_9.1276.json,custom
45.671803,9.129833,ov_kiwi_dance_studio_a_s_d__45.6718_9.1298,Kiwi Dance Studio A.S.D.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/kiwi_dance_studio_asd_45.6718_9.1298.json,custom
45.675470,9.108290,ov_gdm_lazzate_45.6755_9.1083,GDM Lazzate,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/gdm_lazzate_45.6755_9.1083.json,custom
45.659981,9.104134,ov_centro_ippico_brianteo_45.6600_9.1041,Centro Ippico Brianteo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/centro_ippico_brianteo_45.6600_9.1041.json,custom
45.664046,9.130123,ov_energy_factory_45.6640_9.1301,Energy Factory,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/energy_factory_45.6640_9.1301.json,custom
45.665815,9.137305,ov_tree_of_life_45.6658_9.1373,Tree of Life,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/tree_of_life_45.6658_9.1373.json,custom
45.665750,9.137213,osm_tree_of_life__studio_pilates_45.6658_9.1372,Tree of Life. Studio Pilates,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/tree_of_life_studio_pilates_45.6658_9.1372.json,custom
45.684162,9.111542,osm_vibe_fitness_45.6842_9.1115,ViBE Fitness,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/vibe_fitness_45.6842_9.1115.json,custom
45.679561,9.118855,ov_museo_civico_di_lentate_sul_seveso_45.6796_9.1189,Museo Civico di Lentate sul Seveso,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/museo_civico_di_lentate_sul_seveso_45.6796_9.1189.json,custom
45.996063,9.332433,ov_museo_delle_grigne_45.9961_9.3324,Museo delle Grigne,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/museo_delle_grigne_45.9961_9.3324.json,custom
45.676793,9.115217,osm_poste_italiane___lentate_sul_seveso_45.6768_9.1152,Poste italiane - Lentate sul Seveso,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/poste_italiane_-_lentate_sul_seveso_45.6768_9.1152.json,custom
45.696656,9.107164,ov_biblioteca_comunale__pietro_panzeri___cu_45.6967_9.1072,Biblioteca comunale  Pietro Panzeri - Cucciago,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/biblioteca_comunale_pietro_panzeri_-_cuc_45.6967_9.1072.json,custom
45.668689,9.129472,ov_biblioteca___cultura_a_lentate_45.6687_9.1295,Biblioteca & Cultura a Lentate,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/biblioteca_cultura_a_lentate_45.6687_9.1295.json,custom
