# lat,lng,id,name,building_type,type,url,page_type
# Portomaggiore -- Tutti
44.700171,11.810409,ov_ospedale_c__eppi_44.7002_11.8104,Ospedale C. Eppi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/ospedale_c_eppi_44.7002_11.8104.json,custom
44.697867,11.806879,ov_come_fosse_antani_44.6979_11.8069,Come Fosse Antani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/come_fosse_antani_44.6979_11.8069.json,custom
44.698129,11.807310,ov_la_piazzetta_44.6981_11.8073,La Piazzetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/la_piazzetta_44.6981_11.8073.json,custom
44.697231,11.806279,ov_take_away_44.6972_11.8063,Take Away,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/take_away_44.6972_11.8063.json,custom
44.698472,11.804587,ov_pizzeria_i_3_moschettieri_44.6985_11.8046,Pizzeria I 3 Moschettieri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/pizzeria_i_3_moschettieri_44.6985_11.8046.json,custom
44.701348,11.805408,ov_trattoria_pizzeria_tartarughe_ninja_44.7013_11.8054,Trattoria pizzeria tartarughe ninja,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/trattoria_pizzeria_tartarughe_ninja_44.7013_11.8054.json,custom
44.699782,11.813604,ov_la_trattoria_toscana__da_baffino_44.6998_11.8136,La Trattoria Toscana  da Baffino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/la_trattoria_toscana_da_baffino_44.6998_11.8136.json,custom
44.688374,11.790486,ov_ristorante_la_zdora_44.6884_11.7905,Ristorante La Zdora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/ristorante_la_zdora_44.6884_11.7905.json,custom
44.712225,11.733764,ov_il_presidio_ristorante_e_locanda_44.7122_11.7338,Il Presidio Ristorante e Locanda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/il_presidio_ristorante_e_locanda_44.7122_11.7338.json,custom
44.709931,11.757685,ov_la_chiocciola___trattoria_locanda_44.7099_11.7577,La Chiocciola - Trattoria Locanda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/la_chiocciola_-_trattoria_locanda_44.7099_11.7577.json,custom
44.714439,11.759013,ov_agriturismo_l_unicorno_44.7144_11.7590,Agriturismo L'Unicorno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/agriturismo_lunicorno_44.7144_11.7590.json,custom
44.747268,11.829229,ov_agriturismo_ai_due_laghi_44.7473_11.8292,Agriturismo Ai Due Laghi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/agriturismo_ai_due_laghi_44.7473_11.8292.json,custom
44.725109,11.815131,ov_amici_per_la_promozione_di_sandolo_44.7251_11.8151,Amici per la promozione di Sandolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/amici_per_la_promozione_di_sandolo_44.7251_11.8151.json,custom
44.690981,11.887826,ov_la_cariola_44.6910_11.8878,La cariola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/la_cariola_44.6910_11.8878.json,custom
44.679108,11.891578,ov_agriturismo_trava_44.6791_11.8916,Agriturismo Trava,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/agriturismo_trava_44.6791_11.8916.json,custom
44.692967,11.835259,ov_bar_sport_44.6930_11.8353,Bar Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/bar_sport_44.6930_11.8353.json,custom
44.696146,11.803438,ov_bar_grillo_44.6961_11.8034,Bar Grillo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/bar_grillo_44.6961_11.8034.json,custom
44.696980,11.807160,ov_portimaggiore__italy__44.6970_11.8072,Portimaggiore (Italy),RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/portimaggiore_italy_44.6970_11.8072.json,custom
44.697990,11.809513,ov_bar_portuense_44.6980_11.8095,Bar Portuense,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/bar_portuense_44.6980_11.8095.json,custom
44.698473,11.807685,ov_bar_il_chiosco_44.6985_11.8077,BAR Il Chiosco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/bar_il_chiosco_44.6985_11.8077.json,custom
44.698090,11.805510,ov_x_tokken_data_2_44.6981_11.8055,X Tokken Data 2,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/x_tokken_data_2_44.6981_11.8055.json,custom
44.697833,11.805853,ov_bar_centrale_44.6978_11.8059,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/bar_centrale_44.6978_11.8059.json,custom
44.697302,11.805786,ov_bar_happy_days_44.6973_11.8058,Bar happy days,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/bar_happy_days_44.6973_11.8058.json,custom
44.698154,11.804973,ov_bar_boogie_woogie_44.6982_11.8050,Bar Boogie Woogie,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/bar_boogie_woogie_44.6982_11.8050.json,custom
44.698388,11.805139,ov_bar_pic_nic_colazioni___aperitivi_44.6984_11.8051,BAR PIC NIC colazioni & aperitivi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/bar_pic_nic_colazioni_aperitivi_44.6984_11.8051.json,custom
44.700021,11.809329,ov_ploom_store_bar_sole_44.7000_11.8093,PLOOM STORE Bar Sole,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/ploom_store_bar_sole_44.7000_11.8093.json,custom
44.695687,11.756086,ov_bar_sorriso_44.6957_11.7561,Bar Sorriso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/bar_sorriso_44.6957_11.7561.json,custom
44.689301,11.784896,ov_birraio_ripapersico_44.6893_11.7849,Birraio Ripapersico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/birraio_ripapersico_44.6893_11.7849.json,custom
44.739400,11.773864,ov_bar_runco_di_finessi_flavia_44.7394_11.7739,Bar Runco Di Finessi Flavia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/bar_runco_di_finessi_flavia_44.7394_11.7739.json,custom
44.750291,11.888580,ov_divino_3_0_44.7503_11.8886,Divino 3.0,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/divino_30_44.7503_11.8886.json,custom
44.686063,11.758207,osm_amadeus_44.6861_11.7582,Amadeus,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/amadeus_44.6861_11.7582.json,custom
44.697660,11.805730,ov_palestra_porto_gym_portomaggiore_44.6977_11.8057,Palestra PORTO GYM Portomaggiore,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/palestra_porto_gym_portomaggiore_44.6977_11.8057.json,custom
44.703690,11.813919,ov_asd_attiva_med_2_44.7037_11.8139,ASD Attiva Med 2,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/asd_attiva_med_2_44.7037_11.8139.json,custom
44.684803,11.771587,ov_circuito_del_persico___motorland_44.6848_11.7716,Circuito del Persico - Motorland,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/circuito_del_persico_-_motorland_44.6848_11.7716.json,custom
44.695974,11.807791,ov_biblioteca_comunale_portomaggiore_44.6960_11.8078,Biblioteca Comunale Portomaggiore,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/biblioteca_comunale_portomaggiore_44.6960_11.8078.json,custom
44.695722,11.808255,ov_biblioteca_peppino_impastato_portomaggio_44.6957_11.8083,Biblioteca Peppino Impastato Portomaggiore,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/biblioteca_peppino_impastato_portomaggio_44.6957_11.8083.json,custom
44.695919,11.807749,osm_biblioteca_comunale_44.6959_11.8077,Biblioteca comunale,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/portomaggiore/pages/biblioteca_comunale_44.6959_11.8077.json,custom
