# lat,lng,id,name,building_type,type,url,page_type
# silvi -- Tutti
42.575776,14.095423,osm_croce_rossa_italiana___118_42.5758_14.0954,Croce Rossa Italiana - 118,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/croce_rossa_italiana_-_118_42.5758_14.0954.json,custom
42.569610,14.090000,ov_parco_archea_eventi_42.5696_14.0900,Parco Archea Eventi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/parco_archea_eventi_42.5696_14.0900.json,custom
42.569497,14.090082,ov_ferretti_42.5695_14.0901,Ferretti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/ferretti_42.5695_14.0901.json,custom
42.562239,14.086950,ov_autogrill_42.5622_14.0870,Autogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/autogrill_42.5622_14.0870.json,custom
42.564197,14.090809,ov_aname_42.5642_14.0908,Aname,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/aname_42.5642_14.0908.json,custom
42.556640,14.079274,ov_ristorante_la_collinetta_42.5566_14.0793,Ristorante La Collinetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/ristorante_la_collinetta_42.5566_14.0793.json,custom
42.578237,14.094340,ov_assaggeria_arrosticini_artigianali_42.5782_14.0943,Assaggeria Arrosticini Artigianali,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/assaggeria_arrosticini_artigianali_42.5782_14.0943.json,custom
42.575802,14.095676,ov_ristorante_km431_assaggeria_42.5758_14.0957,Ristorante KM431 Assaggeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/ristorante_km431_assaggeria_42.5758_14.0957.json,custom
42.573680,14.096960,ov_eurofocaccia_silvi_marina_42.5737_14.0970,Eurofocaccia Silvi Marina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/eurofocaccia_silvi_marina_42.5737_14.0970.json,custom
42.572351,14.097580,ov_senjyu_sushi_ristorante_giapponese_42.5724_14.0976,Senjyu Sushi Ristorante Giapponese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/senjyu_sushi_ristorante_giapponese_42.5724_14.0976.json,custom
42.572370,14.097728,ov_piada_concept_42.5724_14.0977,Piada Concept,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/piada_concept_42.5724_14.0977.json,custom
42.573760,14.097890,ov_sinu__42.5738_14.0979,Sinuè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/sinu_42.5738_14.0979.json,custom
42.572775,14.097515,ov_pizzeria_forno_nero_42.5728_14.0975,Pizzeria FORNO NERO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/pizzeria_forno_nero_42.5728_14.0975.json,custom
42.575107,14.098395,ov_la_pinetina_42.5751_14.0984,La Pinetina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/la_pinetina_42.5751_14.0984.json,custom
42.572650,14.099560,ov_lido_poseidon_silvi_marina_42.5726_14.0996,Lido Poseidon Silvi Marina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/lido_poseidon_silvi_marina_42.5726_14.0996.json,custom
42.548298,14.124412,ov_onda_marina_42.5483_14.1244,Onda Marina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/onda_marina_42.5483_14.1244.json,custom
42.547761,14.124438,ov_la_barchetta_42.5478_14.1244,La Barchetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/la_barchetta_42.5478_14.1244.json,custom
42.548261,14.123688,ov_pizzeria_loasi_42.5483_14.1237,Pizzeria LoAsi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/pizzeria_loasi_42.5483_14.1237.json,custom
42.548528,14.123198,ov_l_abruzze_me_42.5485_14.1232,L'Abruzze Me,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/labruzze_me_42.5485_14.1232.json,custom
42.548634,14.122780,ov_assaggeria_km_431___al_mare_42.5486_14.1228,Assaggeria Km 431 - Al Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/assaggeria_km_431_-_al_mare_42.5486_14.1228.json,custom
42.549091,14.122574,ov_abruzzo_love_42.5491_14.1226,Abruzzo love,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/abruzzo_love_42.5491_14.1226.json,custom
42.549171,14.122982,ov_becco_giallo_42.5492_14.1230,Becco Giallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/becco_giallo_42.5492_14.1230.json,custom
42.550006,14.121746,ov_pizzeria_piccola_sunshine_42.5500_14.1217,Pizzeria Piccola Sunshine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/pizzeria_piccola_sunshine_42.5500_14.1217.json,custom
42.549586,14.122239,ov_brunchami_42.5496_14.1222,Brunchami,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/brunchami_42.5496_14.1222.json,custom
42.548327,14.121752,ov_ristorante_pizzeria_paninote_la_piazzett_42.5483_14.1218,Ristorante Pizzeria Paninote La Piazzetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/ristorante_pizzeria_paninote_la_piazzett_42.5483_14.1218.json,custom
42.549810,14.121355,ov_brodetto_imperiale_silvi_marina_42.5498_14.1214,Brodetto Imperiale Silvi Marina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/brodetto_imperiale_silvi_marina_42.5498_14.1214.json,custom
42.550161,14.121401,ov_crudogeno_42.5502_14.1214,Crudogeno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/crudogeno_42.5502_14.1214.json,custom
42.550328,14.119896,ov_la_lanterna_42.5503_14.1199,La Lanterna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/la_lanterna_42.5503_14.1199.json,custom
42.550777,14.119469,ov_vittoria_contat_matranga_42.5508_14.1195,Vittoria Contat Matranga,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/vittoria_contat_matranga_42.5508_14.1195.json,custom
42.551640,14.119640,ov_calima_42.5516_14.1196,Calima,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/calima_42.5516_14.1196.json,custom
42.550800,14.120573,ov_lido_iris_42.5508_14.1206,Lido Iris,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/lido_iris_42.5508_14.1206.json,custom
42.551028,14.120464,ov_ristorante_volta_la_carta_42.5510_14.1205,Ristorante Volta La Carta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/ristorante_volta_la_carta_42.5510_14.1205.json,custom
42.552554,14.119485,ov_le_hawaii_42.5526_14.1195,Le Hawaii,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/le_hawaii_42.5526_14.1195.json,custom
42.552245,14.119001,ov_ristorante_belzeo_42.5522_14.1190,Ristorante Belzeo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/ristorante_belzeo_42.5522_14.1190.json,custom
42.552586,14.118183,ov_fats_bar___gri_42.5526_14.1182,Fats Bar & Gri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/fats_bar_gri_42.5526_14.1182.json,custom
42.552559,14.118240,ov_pizzeria_peter_pan_42.5526_14.1182,Pizzeria Peter Pan,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/pizzeria_peter_pan_42.5526_14.1182.json,custom
42.549797,14.117586,ov_la_zamira_vineria_e_caffe_42.5498_14.1176,La Zamira Vineria e Caffe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/la_zamira_vineria_e_caffe_42.5498_14.1176.json,custom
42.554278,14.116719,ov_la_dispensa_dei_brothers_42.5543_14.1167,La Dispensa Dei Brothers,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/la_dispensa_dei_brothers_42.5543_14.1167.json,custom
42.553480,14.118552,ov_lido__plinius_42.5535_14.1186,Lido  Plinius,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/lido_plinius_42.5535_14.1186.json,custom
42.560232,14.111734,ov_lido_las_vegas_42.5602_14.1117,Lido Las Vegas,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/lido_las_vegas_42.5602_14.1117.json,custom
42.559852,14.110623,ov_peppizza_42.5599_14.1106,Peppizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/peppizza_42.5599_14.1106.json,custom
42.559870,14.110610,ov_pizzeria_il_vesuvio_da_luciano_42.5599_14.1106,Pizzeria il Vesuvio da Luciano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/pizzeria_il_vesuvio_da_luciano_42.5599_14.1106.json,custom
42.567721,14.104341,ov_ippocampo_beach_42.5677_14.1043,Ippocampo Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/ippocampo_beach_42.5677_14.1043.json,custom
42.566450,14.103930,ov_taverna_ferretti_42.5665_14.1039,Taverna Ferretti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/taverna_ferretti_42.5665_14.1039.json,custom
42.565272,14.105854,ov_brezza_42.5653_14.1059,Brezza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/brezza_42.5653_14.1059.json,custom
42.564661,14.105601,ov_hotel_la_cucala_42.5647_14.1056,Hotel La Cucala,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/hotel_la_cucala_42.5647_14.1056.json,custom
42.563456,14.107323,ov_elsa_bistrot_42.5635_14.1073,Elsa Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/elsa_bistrot_42.5635_14.1073.json,custom
42.563740,14.107619,ov_loasi_42.5637_14.1076,Loasi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/loasi_42.5637_14.1076.json,custom
42.561457,14.109291,ov_ristorante_le_caravelle_srl_42.5615_14.1093,Ristorante Le Caravelle SRL,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/ristorante_le_caravelle_srl_42.5615_14.1093.json,custom
42.555750,14.113725,ov_tabacchi_centrale___cucina___drink_42.5558_14.1137,Tabacchi Centrale - Cucina & Drink,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/tabacchi_centrale_-_cucina_drink_42.5558_14.1137.json,custom
42.556995,14.113651,ov_salotto_47_42.5570_14.1137,Salotto 47,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/salotto_47_42.5570_14.1137.json,custom
42.556900,14.113438,ov_alusea_il_ristorante_42.5569_14.1134,Alusea Il Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/alusea_il_ristorante_42.5569_14.1134.json,custom
42.557595,14.113331,ov_loco_loco_pizzeria_42.5576_14.1133,Loco Loco Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/loco_loco_pizzeria_42.5576_14.1133.json,custom
42.557876,14.113011,ov_malu_42.5579_14.1130,Malu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/malu_42.5579_14.1130.json,custom
42.556768,14.115111,ov_costa_verde_42.5568_14.1151,Costa Verde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/costa_verde_42.5568_14.1151.json,custom
42.548989,14.113431,ov_ristorante_pizzeria_gli_antenati_42.5490_14.1134,Ristorante Pizzeria Gli Antenati,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/ristorante_pizzeria_gli_antenati_42.5490_14.1134.json,custom
42.543673,14.112977,ov_era_ora_pizzeria___grill_42.5437_14.1130,ERA ORA Pizzeria & Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/era_ora_pizzeria_grill_42.5437_14.1130.json,custom
42.547032,14.119710,ov_trattoria_da_mara_e_peppe_42.5470_14.1197,Trattoria da Mara e Peppe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/trattoria_da_mara_e_peppe_42.5470_14.1197.json,custom
42.545418,14.120953,ov_bella_silvi_42.5454_14.1210,Bella Silvi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/bella_silvi_42.5454_14.1210.json,custom
42.543876,14.121953,ov_dipronio_ristorante_braceria_42.5439_14.1220,DiPronio Ristorante Braceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/dipronio_ristorante_braceria_42.5439_14.1220.json,custom
42.535968,14.121102,ov_lungo_mare_silvi_marina_42.5360_14.1211,Lungo Mare Silvi Marina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/lungo_mare_silvi_marina_42.5360_14.1211.json,custom
42.540135,14.124769,ov_dr_ssa_emiliana_d_andreamatteo___dietist_42.5401_14.1248,Dr.ssa Emiliana D'Andreamatteo - Dietista,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/drssa_emiliana_dandreamatteo_-_dietista_42.5401_14.1248.json,custom
42.542820,14.122479,ov_mcdonald_s_42.5428_14.1225,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/mcdonalds_42.5428_14.1225.json,custom
42.546193,14.123905,ov_pizza_bar_di_di_febo_agnese_42.5462_14.1239,Pizza Bar di Di Febo Agnese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/pizza_bar_di_di_febo_agnese_42.5462_14.1239.json,custom
42.546114,14.125471,ov_vintage_cafe_trattoria_mare_42.5461_14.1255,Vintage Cafe Trattoria Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/vintage_cafe_trattoria_mare_42.5461_14.1255.json,custom
42.546035,14.125467,ov_pizzabar_d__annunzio_42.5460_14.1255,PizzaBar D''annunzio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/pizzabar_dannunzio_42.5460_14.1255.json,custom
42.543241,14.127051,ov_paradise_42.5432_14.1271,Paradise,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/paradise_42.5432_14.1271.json,custom
42.545188,14.125917,ov_gastronomia_del_villaggio_42.5452_14.1259,Gastronomia del Villaggio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/gastronomia_del_villaggio_42.5452_14.1259.json,custom
42.544222,14.128567,ov_la_darsena_beach___restaurant_42.5442_14.1286,La Darsena beach & restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/la_darsena_beach_restaurant_42.5442_14.1286.json,custom
42.543848,14.128381,ov_l_isola_felice_42.5438_14.1284,L'Isola Felice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/lisola_felice_42.5438_14.1284.json,custom
42.539160,14.125500,ov_otto_e_mezzo_ristorante_42.5392_14.1255,Otto e mezzo ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/otto_e_mezzo_ristorante_42.5392_14.1255.json,custom
42.539160,14.125500,ov_pasta___pizza_42.5392_14.1255,Pasta & Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/pasta_pizza_42.5392_14.1255.json,custom
42.538307,14.125814,ov_ristorante_di_pesce__hotel_boston_silvi__42.5383_14.1258,Ristorante Di Pesce  Hotel Boston Silvi Marina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/ristorante_di_pesce_hotel_boston_silvi_m_42.5383_14.1258.json,custom
42.537130,14.126972,ov_come_na__vote_42.5371_14.1270,Come na' Vote,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/come_na_vote_42.5371_14.1270.json,custom
42.531660,14.125074,ov_autogrill_42.5317_14.1251,Autogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/autogrill_42.5317_14.1251.json,custom
42.531127,14.124870,ov_area_di_servizio_pescara_nord_42.5311_14.1249,Area Di Servizio Pescara Nord,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/area_di_servizio_pescara_nord_42.5311_14.1249.json,custom
42.535030,14.131472,ov_ristorante_georgiano_saba_42.5350_14.1315,Ristorante Georgiano Saba,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/ristorante_georgiano_saba_42.5350_14.1315.json,custom
42.532358,14.131796,ov_ristorante_da_giuliano_42.5324_14.1318,Ristorante da Giuliano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/ristorante_da_giuliano_42.5324_14.1318.json,custom
42.532421,14.131950,ov_cafe_cantante_42.5324_14.1319,Cafe Cantante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/cafe_cantante_42.5324_14.1319.json,custom
42.535409,14.132000,ov_assaporando___pub_42.5354_14.1320,Assaporando - Pub,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/assaporando_-_pub_42.5354_14.1320.json,custom
42.534836,14.134892,ov_tombion_42.5348_14.1349,Tombion,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/tombion_42.5348_14.1349.json,custom
42.535072,14.137004,ov_la_nuova_regina_del_mare_42.5351_14.1370,La Nuova Regina Del Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/la_nuova_regina_del_mare_42.5351_14.1370.json,custom
42.535540,14.136671,ov_ristorante_velvet_42.5355_14.1367,Ristorante Velvet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/ristorante_velvet_42.5355_14.1367.json,custom
42.534470,14.135430,ov_ristorante_villa_elena_silvi_42.5345_14.1354,Ristorante Villa Elena Silvi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/ristorante_villa_elena_silvi_42.5345_14.1354.json,custom
42.534928,14.134907,ov_floriana_gastronomia_42.5349_14.1349,Floriana Gastronomia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/floriana_gastronomia_42.5349_14.1349.json,custom
42.536444,14.135022,ov_il_tucano_pizzeria_ristorante_42.5364_14.1350,Il Tucano Pizzeria Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/il_tucano_pizzeria_ristorante_42.5364_14.1350.json,custom
42.536952,14.135925,ov_focaccia_blues_42.5370_14.1359,Focaccia Blues,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/focaccia_blues_42.5370_14.1359.json,custom
42.535985,14.137530,ov_ristorante_il_gambero_rosso_da_adriano_42.5360_14.1375,Ristorante Il Gambero Rosso da Adriano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/ristorante_il_gambero_rosso_da_adriano_42.5360_14.1375.json,custom
42.538518,14.132891,ov_trieste_pizza_silvi_42.5385_14.1329,Trieste Pizza Silvi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/trieste_pizza_silvi_42.5385_14.1329.json,custom
42.539130,14.131880,ov_le_dune_citt__mediterranea_42.5391_14.1319,Le Dune Città Mediterranea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/le_dune_citt_mediterranea_42.5391_14.1319.json,custom
42.539274,14.131857,ov_pizzeria_trieste_42.5393_14.1319,Pizzeria Trieste,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/pizzeria_trieste_42.5393_14.1319.json,custom
42.539460,14.132970,ov_alusea_ilristorante_42.5395_14.1330,Alusea IlRistorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/alusea_ilristorante_42.5395_14.1330.json,custom
42.541333,14.129121,ov_il_giardino_dei_mascalzoni_42.5413_14.1291,Il Giardino Dei Mascalzoni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/il_giardino_dei_mascalzoni_42.5413_14.1291.json,custom
