# lat,lng,id,name,building_type,type,url,page_type
# torre_boldone -- Tutti
45.718369,9.707663,ov_rsa_torre_boldone_45.7184_9.7077,RSA Torre Boldone,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/rsa_torre_boldone_45.7184_9.7077.json,custom
45.720530,9.710940,ov_la_favola_di_zanetti_orietta___rosa_45.7205_9.7109,La Favola di Zanetti Orietta & Rosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/la_favola_di_zanetti_orietta_rosa_45.7205_9.7109.json,custom
45.722666,9.695925,osm_ristorante_papillon_45.7227_9.6959,Ristorante Papillon,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/ristorante_papillon_45.7227_9.6959.json,custom
45.713650,9.711700,ov_miky_bar_45.7137_9.7117,MIKY Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/miky_bar_45.7137_9.7117.json,custom
45.714027,9.715258,ov_bread___breakfast_45.7140_9.7153,Bread & Breakfast,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/bread_breakfast_45.7140_9.7153.json,custom
45.719621,9.709969,ov_la_cambusa_45.7196_9.7100,La Cambusa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/la_cambusa_45.7196_9.7100.json,custom
45.718570,9.706206,ov_caffetteria_borghetto_45.7186_9.7062,Caffetteria Borghetto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/caffetteria_borghetto_45.7186_9.7062.json,custom
45.717669,9.707829,ov_lukas_bar_caffe_45.7177_9.7078,Lukas Bar Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/lukas_bar_caffe_45.7177_9.7078.json,custom
45.716408,9.708323,ov_happy_3_caffetteria_wine_bar_45.7164_9.7083,Happy 3 Caffetteria Wine Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/happy_3_caffetteria_wine_bar_45.7164_9.7083.json,custom
45.715929,9.706194,ov_maemi_cafe__45.7159_9.7062,Maemi Cafe',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/maemi_cafe_45.7159_9.7062.json,custom
45.715139,9.706412,ov_barcellona_cafe_45.7151_9.7064,Barcellona Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/barcellona_cafe_45.7151_9.7064.json,custom
45.714857,9.706481,ov_serturini_cristian_45.7149_9.7065,Serturini Cristian,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/serturini_cristian_45.7149_9.7065.json,custom
45.715707,9.706044,ov_bar_caffe_del_centro_45.7157_9.7060,Bar Caffe del Centro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/bar_caffe_del_centro_45.7157_9.7060.json,custom
45.715393,9.705406,ov_paraiso_ristobar_45.7154_9.7054,Paraiso Ristobar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/paraiso_ristobar_45.7154_9.7054.json,custom
45.707980,9.707990,ov_monster_country_group_45.7080_9.7080,Monster Country Group,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/monster_country_group_45.7080_9.7080.json,custom
45.709559,9.714115,ov_reborn_45.7096_9.7141,Reborn,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/reborn_45.7096_9.7141.json,custom
45.709251,9.714224,ov_modern_ballet_45.7093_9.7142,Modern Ballet,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/modern_ballet_45.7093_9.7142.json,custom
45.723738,9.703241,ov_studio_pilates_sabrina_45.7237_9.7032,Studio Pilates Sabrina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/studio_pilates_sabrina_45.7237_9.7032.json,custom
45.715860,9.705880,ov_biblioteca_di_torre_boldone_45.7159_9.7059,Biblioteca di Torre Boldone,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/biblioteca_di_torre_boldone_45.7159_9.7059.json,custom
