# lat,lng,id,name,building_type,type,url,page_type
# Casagiove -- Tutti
41.050749,14.421639,ov_centro_medico_hermes_41.0507_14.4216,Centro Medico Hermes,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/centro_medico_hermes_41.0507_14.4216.json,custom
41.073810,14.311797,ov_pizzeria_il_folletto_41.0738_14.3118,Pizzeria il Folletto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/pizzeria_il_folletto_41.0738_14.3118.json,custom
41.072930,14.310740,ov_nami_restaurant___events_41.0729_14.3107,NAMI Restaurant & Events,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/nami_restaurant_events_41.0729_14.3107.json,custom
41.072492,14.310636,ov_seacrispy_41.0725_14.3106,SeaCrispy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/seacrispy_41.0725_14.3106.json,custom
41.072976,14.312599,ov_shanghai_oriente_41.0730_14.3126,Shanghai Oriente,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/shanghai_oriente_41.0730_14.3126.json,custom
41.072440,14.312830,ov_officina_del_panino_41.0724_14.3128,Officina del Panino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/officina_del_panino_41.0724_14.3128.json,custom
41.081441,14.314417,ov_la_campagnola_bella_41.0814_14.3144,La Campagnola Bella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/la_campagnola_bella_41.0814_14.3144.json,custom
41.077911,14.317128,ov_pizzeria_ninetynine_da_franco_41.0779_14.3171,Pizzeria Ninetynine da Franco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/pizzeria_ninetynine_da_franco_41.0779_14.3171.json,custom
41.074886,14.316113,ov_la_saporita_pizzeria_e_rosticceria__41.0749_14.3161,La Saporita pizzeria e rosticceria.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/la_saporita_pizzeria_e_rosticceria_41.0749_14.3161.json,custom
41.072692,14.315693,ov_pizzeria_lievito_reale_41.0727_14.3157,Pizzeria Lievito Reale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/pizzeria_lievito_reale_41.0727_14.3157.json,custom
41.076296,14.319041,ov_pizzeria_donna_sophia_41.0763_14.3190,Pizzeria Donna Sophia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/pizzeria_donna_sophia_41.0763_14.3190.json,custom
41.077271,14.321053,ov_pizzeria_280_grammi_41.0773_14.3211,Pizzeria 280 Grammi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/pizzeria_280_grammi_41.0773_14.3211.json,custom
41.003299,14.411453,ov_tradizioni_campane_41.0033_14.4115,Tradizioni Campane,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/tradizioni_campane_41.0033_14.4115.json,custom
41.077956,14.317077,osm_pizzeria___rosticceria_ninetynine_41.0780_14.3171,Pizzeria - Rosticceria NinetyNine,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/pizzeria_-_rosticceria_ninetynine_41.0780_14.3171.json,custom
41.073228,14.302713,osm_t_bone_41.0732_14.3027,T-BONE,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/t-bone_41.0732_14.3027.json,custom
41.082217,14.306278,osm_complesso_metro_2010_41.0822_14.3063,Complesso Metro 2010,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/complesso_metro_2010_41.0822_14.3063.json,custom
41.072725,14.304790,osm_mcdonald_s_41.0727_14.3048,McDonald's,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/mcdonalds_41.0727_14.3048.json,custom
41.050398,14.281629,ov_l__angolo_del_caff__41.0504_14.2816,L' Angolo del Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/l_angolo_del_caff_41.0504_14.2816.json,custom
41.065825,14.306197,ov_angel_and_devil_bar_41.0658_14.3062,Angel and Devil Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/angel_and_devil_bar_41.0658_14.3062.json,custom
41.076160,14.304536,ov_new_bar_del_sole_41.0762_14.3045,New Bar Del Sole,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/new_bar_del_sole_41.0762_14.3045.json,custom
41.078487,14.305082,ov_vin_topic_41.0785_14.3051,Vin Topic,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/vin_topic_41.0785_14.3051.json,custom
41.073238,14.306798,ov_royal_bar_41.0732_14.3068,Royal Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/royal_bar_41.0732_14.3068.json,custom
41.073004,14.308770,ov_monella_lounge_bar_41.0730_14.3088,Monella Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/monella_lounge_bar_41.0730_14.3088.json,custom
41.074227,14.310282,ov_l_angolo_del_caff__41.0742_14.3103,L'Angolo del Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/langolo_del_caff_41.0742_14.3103.json,custom
41.074409,14.311726,ov_stanleybet_41.0744_14.3117,Stanleybet,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/stanleybet_41.0744_14.3117.json,custom
41.072859,14.312691,ov_nocera_cafe_41.0729_14.3127,Nocera Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/nocera_cafe_41.0729_14.3127.json,custom
41.072910,14.313570,ov_bar_bowling_casagiove_41.0729_14.3136,Bar bowling casagiove,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/bar_bowling_casagiove_41.0729_14.3136.json,custom
41.075808,14.315659,ov_saporedivino___vino_sfuso_41.0758_14.3157,Saporedivino - Vino Sfuso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/saporedivino_-_vino_sfuso_41.0758_14.3157.json,custom
41.072797,14.316123,ov_gran_cafe_victoria_41.0728_14.3161,Gran Cafe Victoria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/gran_cafe_victoria_41.0728_14.3161.json,custom
41.077184,14.318903,ov_caffe_sedicinoni_41.0772_14.3189,Caffe Sedicinoni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/caffe_sedicinoni_41.0772_14.3189.json,custom
41.082001,14.319467,ov_coffee_lab_41.0820_14.3195,Coffee Lab,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/coffee_lab_41.0820_14.3195.json,custom
41.077751,14.317109,osm_bar_tazzina_41.0778_14.3171,Bar Tazzina,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/bar_tazzina_41.0778_14.3171.json,custom
41.084716,14.318756,osm_the_coffee_stop_41.0847_14.3188,The Coffee Stop,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/the_coffee_stop_41.0847_14.3188.json,custom
41.066667,14.300000,ov_adaptivestrength_studio_41.0667_14.3000,Adaptivestrength_studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/adaptivestrengthstudio_41.0667_14.3000.json,custom
41.073414,14.300319,ov_bowling_28_bucaneve_41.0734_14.3003,Bowling 28 Bucaneve,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/bowling_28_bucaneve_41.0734_14.3003.json,custom
41.071521,14.302487,ov_odettecentro_formazione_danza_41.0715_14.3025,OdetteCentro formazione Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/odettecentro_formazione_danza_41.0715_14.3025.json,custom
41.074932,14.303305,ov_athletic_fitness_41.0749_14.3033,Athletic Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/athletic_fitness_41.0749_14.3033.json,custom
41.072978,14.309899,ov_gialmica_urban_41.0730_14.3099,Gialmica Urban,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/gialmica_urban_41.0730_14.3099.json,custom
41.074252,14.309091,ov_palextra_fitness_center_41.0743_14.3091,Palextra Fitness Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/palextra_fitness_center_41.0743_14.3091.json,custom
41.074558,14.311734,ov_asd_studio_danza___genny_giannetti_41.0746_14.3117,ASD Studio Danza - Genny Giannetti,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/asd_studio_danza_-_genny_giannetti_41.0746_14.3117.json,custom
41.075712,14.315757,ov_mks_associazione_sportiva_dilettantistic_41.0757_14.3158,MKS associazione sportiva dilettantistica,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/mks_associazione_sportiva_dilettantistic_41.0757_14.3158.json,custom
41.072621,14.315939,ov_storefit_caserta_41.0726_14.3159,StoreFit Caserta,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/storefit_caserta_41.0726_14.3159.json,custom
41.075728,14.318936,ov_wellfit_personal_training_club_41.0757_14.3189,WellFit Personal Training Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/wellfit_personal_training_club_41.0757_14.3189.json,custom
41.084721,14.317264,ov_agoghe_wellness_41.0847_14.3173,Agoghe Wellness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/agoghe_wellness_41.0847_14.3173.json,custom
41.077346,14.308891,osm_campo_polivalente_di_casagiove_41.0773_14.3089,Campo polivalente di Casagiove,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/campo_polivalente_di_casagiove_41.0773_14.3089.json,custom
41.078741,14.312624,ov_casa_museo_rossi_41.0787_14.3126,Casa Museo Rossi,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/casa_museo_rossi_41.0787_14.3126.json,custom
