# lat,lng,id,name,building_type,type,url,page_type
# Ajdovščina -- Tutti
45.886017,13.905812,ov_zdravstveni_dom_ajdov__ina_45.8860_13.9058,Zdravstveni dom Ajdovščina,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/zdravstveni_dom_ajdovina_45.8860_13.9058.json,custom
45.883096,13.892183,ov_bistro_luft_45.8831_13.8922,Bistro LUFT,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/bistro_luft_45.8831_13.8922.json,custom
45.887010,13.892281,ov_picerija_zmaj_45.8870_13.8923,Picerija Zmaj,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/picerija_zmaj_45.8870_13.8923.json,custom
45.904611,13.911837,ov_gostilna_pri_izviru_hublja_45.9046_13.9118,Gostilna pri izviru Hublja,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/gostilna_pri_izviru_hublja_45.9046_13.9118.json,custom
45.911457,13.891345,ov_pizzeria_porka_eva_45.9115_13.8913,Pizzeria Porka Eva,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/pizzeria_porka_eva_45.9115_13.8913.json,custom
45.881123,13.999122,ov_gostilna_tratnik_45.8811_13.9991,Gostilna Tratnik,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/gostilna_tratnik_45.8811_13.9991.json,custom
45.885796,13.893122,osm_okrep_evalnica_barbera_45.8858_13.8931,Okrepčevalnica Barbera,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/okrepevalnica_barbera_45.8858_13.8931.json,custom
45.887508,13.910771,osm_letni_vrt_na_livadi_45.8875_13.9108,Letni vrt Na livadi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/letni_vrt_na_livadi_45.8875_13.9108.json,custom
45.849055,13.910100,osm_guerila_45.8491_13.9101,Guerila,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/guerila_45.8491_13.9101.json,custom
45.887010,13.892285,osm_pizzerija_in__pageterija_zmaj_45.8870_13.8923,Pizzerija in špageterija Zmaj,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/pizzerija_in_pageterija_zmaj_45.8870_13.8923.json,custom
45.952985,13.879733,osm_ko_a_edmunda__ibeja_45.9530_13.8797,Koča Edmunda Čibeja,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/koa_edmunda_ibeja_45.9530_13.8797.json,custom
45.886820,13.908277,osm_sla__i_arna_ajdov__ina_45.8868_13.9083,Slaščičarna Ajdovščina,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/slaiarna_ajdovina_45.8868_13.9083.json,custom
45.917000,13.719500,ov_as_gostinske_storitve_45.9170_13.7195,As Gostinske Storitve,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/as_gostinske_storitve_45.9170_13.7195.json,custom
45.893260,13.791790,ov_bar__trukelj_45.8933_13.7918,Bar Štrukelj,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/bar_trukelj_45.8933_13.7918.json,custom
45.894052,13.782091,ov_castra_pivovarna_d_o_o__45.8941_13.7821,Castra pivovarna d.o.o.,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/castra_pivovarna_doo_45.8941_13.7821.json,custom
45.896567,13.906513,ov_pelicon_brewery_45.8966_13.9065,Pelicon Brewery,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/pelicon_brewery_45.8966_13.9065.json,custom
45.888797,13.904740,ov_cafe_ave_45.8888_13.9047,Cafe Ave,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/cafe_ave_45.8888_13.9047.json,custom
45.888430,13.904990,ov__ajnica_in__okoladnica_erilo_45.8884_13.9050,Čajnica in čokoladnica Erilo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/ajnica_in_okoladnica_erilo_45.8884_13.9050.json,custom
45.888329,13.903759,ov_club_012_45.8883_13.9038,Club 012,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/club_012_45.8883_13.9038.json,custom
45.887956,13.904378,ov_bar_stolp_45.8880_13.9044,Bar Stolp,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/bar_stolp_45.8880_13.9044.json,custom
45.888267,13.904548,ov_b52_45.8883_13.9045,B52,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/b52_45.8883_13.9045.json,custom
45.887800,13.904940,ov_faladur_vinoteca_45.8878_13.9049,Faladur Vinoteca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/faladur_vinoteca_45.8878_13.9049.json,custom
45.886679,13.908268,ov_sla__i_arna_ajdov__ina___hi_a_sla__ic_45.8867_13.9083,Slaščičarna Ajdovščina - hiša slaščic,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/slaiarna_ajdovina_-_hia_slaic_45.8867_13.9083.json,custom
45.887577,13.905436,ov_cukr_45.8876_13.9054,Cukr,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/cukr_45.8876_13.9054.json,custom
45.886615,13.905652,ov_pivnica_pivovarna_pigal_45.8866_13.9057,Pivnica Pivovarna Pigal,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/pivnica_pivovarna_pigal_45.8866_13.9057.json,custom
45.886822,13.906529,ov_prima_bar_ajdov__ina_45.8868_13.9065,PRIMA BAR Ajdovščina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/prima_bar_ajdovina_45.8868_13.9065.json,custom
45.886036,13.906111,ov_pivnica_gold_klub_45.8860_13.9061,Pivnica Gold klub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/pivnica_gold_klub_45.8860_13.9061.json,custom
45.886944,13.903230,ov_bar_adrijana_45.8869_13.9032,Bar Adrijana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/bar_adrijana_45.8869_13.9032.json,custom
45.886755,13.900963,ov_bbr_okrep_evalnica_45.8868_13.9010,BBR okrepčevalnica,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/bbr_okrepevalnica_45.8868_13.9010.json,custom
45.886636,13.901063,ov_kava_bar_top_hill_45.8866_13.9011,Kava Bar Top Hill,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/kava_bar_top_hill_45.8866_13.9011.json,custom
45.887453,13.900092,ov_bar_vogal_45.8875_13.9001,BAR VOGAL,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/bar_vogal_45.8875_13.9001.json,custom
45.885255,13.889715,ov_coupe_caffe_45.8853_13.8897,Coupe Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/coupe_caffe_45.8853_13.8897.json,custom
45.885265,13.889741,ov_bar_cc_45.8853_13.8897,Bar CC,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/bar_cc_45.8853_13.8897.json,custom
45.891276,13.900760,ov_bar_police_45.8913_13.9008,Bar Police,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/bar_police_45.8913_13.9008.json,custom
45.891340,13.901420,ov_oaza_sport_bar_45.8913_13.9014,OAZA Sport bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/oaza_sport_bar_45.8913_13.9014.json,custom
45.796518,13.971978,ov_tri_ma_ke_bar__ajdov__ina_45.7965_13.9720,"TRI MAČKE BAR, Ajdovščina",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/tri_make_bar_ajdovina_45.7965_13.9720.json,custom
45.881232,13.911431,osm_kavarna_cc_45.8812_13.9114,Kavarna CC,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/kavarna_cc_45.8812_13.9114.json,custom
45.896668,13.906616,osm_pivovarna_pelicon_45.8967_13.9066,Pivovarna Pelicon,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/pivovarna_pelicon_45.8967_13.9066.json,custom
45.887577,13.905436,osm_kavarna_cukr_45.8876_13.9054,Kavarna Cukr,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/kavarna_cukr_45.8876_13.9054.json,custom
45.888803,13.904685,osm_kavarna_ave_45.8888_13.9047,Kavarna Ave,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/kavarna_ave_45.8888_13.9047.json,custom
45.880777,13.862030,osm_darovi_vipavske__wine_bar_and_local_shop_45.8808_13.8620,Darovi Vipavske, Wine bar and local shop,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/darovi_vipavske_wine_bar_and_local_shop_45.8808_13.8620.json,custom
45.887047,13.914840,ov_studio_maxim_45.8870_13.9148,Studio Maxim,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/studio_maxim_45.8870_13.9148.json,custom
45.883170,13.909130,ov_sport___pole___dance_45.8832_13.9091,Sport & Pole & Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/sport_pole_dance_45.8832_13.9091.json,custom
45.883170,13.909130,ov_wellness_klub_good_4_u_ajdov__ina_45.8832_13.9091,Wellness klub GOOD 4 U Ajdovščina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/wellness_klub_good_4_u_ajdovina_45.8832_13.9091.json,custom
45.886716,13.898317,ov_healthy_life_fitness___nutrition_45.8867_13.8983,Healthy Life Fitness & Nutrition,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/healthy_life_fitness_nutrition_45.8867_13.8983.json,custom
45.874310,13.949700,ov_muzej_budanje_45.8743_13.9497,MUZEJ Budanje,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/muzej_budanje_45.8743_13.9497.json,custom
45.889260,13.905217,ov_rimska_utrdba_castra_45.8893_13.9052,Rimska Utrdba Castra,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/rimska_utrdba_castra_45.8893_13.9052.json,custom
45.887245,13.903149,osm_po_ta_ajdov__ina_45.8872_13.9031,Pošta Ajdovščina,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/pota_ajdovina_45.8872_13.9031.json,custom
45.888013,13.907560,ov_lavri_eva_knji_nica_ajdov__ina_45.8880_13.9076,Lavričeva knjižnica Ajdovščina,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/lavrieva_knjinica_ajdovina_45.8880_13.9076.json,custom
45.888111,13.907425,osm_lavri_eva_knji_nica_ajdov__ina_45.8881_13.9074,Lavričeva knjižnica Ajdovščina,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/lavrieva_knjinica_ajdovina_45.8881_13.9074.json,custom
