# lat,lng,id,name,building_type,type,url,page_type
# montenero_di_bisaccia -- Tutti
41.979790,14.771350,ov_villa_santa_maria___casa_dell_anziano_e__41.9798_14.7713,Villa Santa Maria - Casa dell'Anziano e RSD,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/villa_santa_maria_-_casa_dellanziano_e_r_41.9798_14.7713.json,custom
42.064010,14.789585,ov_divine_follie_42.0640_14.7896,Divine Follie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/divine_follie_42.0640_14.7896.json,custom
42.062770,14.788289,ov_marina_nueva_42.0628_14.7883,Marina Nueva,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/marina_nueva_42.0628_14.7883.json,custom
42.050824,14.796804,ov_agriturismo_l_antica_torre_42.0508_14.7968,Agriturismo L'Antica Torre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/agriturismo_lantica_torre_42.0508_14.7968.json,custom
42.062607,14.784753,ov_ristorante_pizzeria_max_42.0626_14.7848,Ristorante Pizzeria Max,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/ristorante_pizzeria_max_42.0626_14.7848.json,custom
42.062598,14.779820,ov_fuori_costa_42.0626_14.7798,Fuori Costa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/fuori_costa_42.0626_14.7798.json,custom
42.063693,14.777074,ov_che_buono___self_service_42.0637_14.7771,Che Buono - Self Service,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/che_buono_-_self_service_42.0637_14.7771.json,custom
42.067564,14.788935,ov_arnaldo_sea_restaurant_42.0676_14.7889,Arnaldo Sea Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/arnaldo_sea_restaurant_42.0676_14.7889.json,custom
42.068349,14.788975,ov_carpa_fish_pub_42.0683_14.7890,Carpa Fish Pub,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/carpa_fish_pub_42.0683_14.7890.json,custom
42.067985,14.788567,ov_la_pulce_42.0680_14.7886,La Pulce,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/la_pulce_42.0680_14.7886.json,custom
41.971128,14.777839,osm_mare_e_monti_41.9711_14.7778,Mare e Monti,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/mare_e_monti_41.9711_14.7778.json,custom
41.964398,14.768660,ov_pit_stop_41.9644_14.7687,Pit Stop,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/pit_stop_41.9644_14.7687.json,custom
41.954138,14.782974,ov_bullock_s_41.9541_14.7830,Bullock's,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/bullocks_41.9541_14.7830.json,custom
41.954040,14.783210,ov_el_chiringuito___il_peggior_bar_dell_adr_41.9540_14.7832,El Chiringuito • il peggior bar dell’Adriatico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/el_chiringuito_il_peggior_bar_delladriat_41.9540_14.7832.json,custom
41.954040,14.783210,ov_red_pub_montenero_41.9540_14.7832,Red Pub Montenero,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/red_pub_montenero_41.9540_14.7832.json,custom
41.957622,14.781261,ov_las_fuentes_bar_41.9576_14.7813,Las Fuentes Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/las_fuentes_bar_41.9576_14.7813.json,custom
41.957237,14.780592,ov_nairobi_41.9572_14.7806,Nairobi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/nairobi_41.9572_14.7806.json,custom
41.957010,14.780212,ov_circolo_arci_la_ruota_41.9570_14.7802,Circolo Arci La Ruota,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/circolo_arci_la_ruota_41.9570_14.7802.json,custom
41.958119,14.782113,ov_harry_s_bar_caff__41.9581_14.7821,Harry's Bar Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/harrys_bar_caff_41.9581_14.7821.json,custom
41.968619,14.778290,ov_officina_del_gusto_popolare_41.9686_14.7783,Officina del Gusto Popolare,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/officina_del_gusto_popolare_41.9686_14.7783.json,custom
41.991350,14.776182,ov_red_pub_41.9914_14.7762,Red pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/red_pub_41.9914_14.7762.json,custom
42.050410,14.796592,ov_torre_di_montebello_42.0504_14.7966,Torre di Montebello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/torre_di_montebello_42.0504_14.7966.json,custom
42.055670,14.776420,ov_pacifico_a_sud_42.0557_14.7764,Pacifico a Sud,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/pacifico_a_sud_42.0557_14.7764.json,custom
42.068435,14.785897,ov_pacifico_a_sud_42.0684_14.7859,Pacifico a sud,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/pacifico_a_sud_42.0684_14.7859.json,custom
42.067808,14.788506,ov_bar_onda_marina_42.0678_14.7885,Bar Onda marina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/bar_onda_marina_42.0678_14.7885.json,custom
42.063534,14.777546,osm_mona_lisa_42.0635_14.7775,Mona Lisa,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/mona_lisa_42.0635_14.7775.json,custom
41.957629,14.781906,osm_lele_s_bar_41.9576_14.7819,Lele’s bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/leles_bar_41.9576_14.7819.json,custom
41.957772,14.780430,osm_windy_city_bar_n_food_41.9578_14.7804,Windy City Bar N Food,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/windy_city_bar_n_food_41.9578_14.7804.json,custom
41.958298,14.782113,osm_harry_s_bar_41.9583_14.7821,Harry's Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/harrys_bar_41.9583_14.7821.json,custom
41.963930,14.784120,ov_asd_dance___fitness_by_brenda_41.9639_14.7841,ASD Dance & Fitness by Brenda,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/asd_dance_fitness_by_brenda_41.9639_14.7841.json,custom
41.983499,14.776805,ov_yume_fit_ssd_srl_41.9835_14.7768,Yume fit ssd srl,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/yume_fit_ssd_srl_41.9835_14.7768.json,custom
41.983563,14.776914,ov_i_love_yume_fit_a_s_d__41.9836_14.7769,I Love Yume.Fit A.S.D.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/i_love_yumefit_asd_41.9836_14.7769.json,custom
41.957651,14.781168,ov_muma_contemporary___museo_d_arte_contemp_41.9577_14.7812,MuMa Contemporary - Museo d'Arte Contemporanea di Mafalda,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/muma_contemporary_-_museo_darte_contempo_41.9577_14.7812.json,custom
41.957089,14.781837,osm_poste_italiane_41.9571_14.7818,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/poste_italiane_41.9571_14.7818.json,custom
41.957890,14.782290,ov_biblioteca_comunale_montenero_di_bisacci_41.9579_14.7823,Biblioteca Comunale Montenero di Bisaccia,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/biblioteca_comunale_montenero_di_bisacci_41.9579_14.7823.json,custom
