# lat,lng,id,name,building_type,type,url,page_type
# San Quirino -- Tutti
46.036140,12.674780,ov_centro_di_riferimento_oncologico_46.0361_12.6748,Centro di Riferimento Oncologico,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_quirino/pages/centro_di_riferimento_oncologico_46.0361_12.6748.json,custom
46.054519,12.668445,ov_bau_bar_46.0545_12.6684,Bau Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_quirino/pages/bau_bar_46.0545_12.6684.json,custom
46.036216,12.679615,ov_antico_caff__roma_46.0362_12.6796,Antico Caffè Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_quirino/pages/antico_caff_roma_46.0362_12.6796.json,custom
46.035685,12.683082,ov_taca_boton_46.0357_12.6831,Taca Boton,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_quirino/pages/taca_boton_46.0357_12.6831.json,custom
46.054450,12.668371,osm_bau_bar_46.0545_12.6684,Bau Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_quirino/pages/bau_bar_46.0545_12.6684.json,custom
46.058740,12.691273,osm_osteria_46.0587_12.6913,Osteria,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_quirino/pages/osteria_46.0587_12.6913.json,custom
46.058577,12.691458,osm_la_frasca_46.0586_12.6915,La Frasca,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_quirino/pages/la_frasca_46.0586_12.6915.json,custom
46.021190,12.652957,osm_bar_roiatta_46.0212_12.6530,Bar Roiatta,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_quirino/pages/bar_roiatta_46.0212_12.6530.json,custom
46.010941,12.659785,ov_area_portieri_27_46.0109_12.6598,Area Portieri 27,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_quirino/pages/area_portieri_27_46.0109_12.6598.json,custom
46.050923,12.695093,ov_asd_scuderia_sandys_46.0509_12.6951,ASD Scuderia Sandys,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_quirino/pages/asd_scuderia_sandys_46.0509_12.6951.json,custom
46.053860,12.667360,ov_mil_pasos_asd___danza_sportiva_46.0539_12.6674,Mil Pasos ASD - Danza Sportiva,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_quirino/pages/mil_pasos_asd_-_danza_sportiva_46.0539_12.6674.json,custom
46.038789,12.680134,ov_gymnos_san_quirino_46.0388_12.6801,Gymnos San Quirino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_quirino/pages/gymnos_san_quirino_46.0388_12.6801.json,custom
46.035770,12.680818,ov_bibioteca_civica_anna_battilana_46.0358_12.6808,Bibioteca civica Anna Battilana,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_quirino/pages/bibioteca_civica_anna_battilana_46.0358_12.6808.json,custom
46.035764,12.680876,osm_biblioteca_civica_anna_battilana_46.0358_12.6809,Biblioteca Civica Anna Battilana,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_quirino/pages/biblioteca_civica_anna_battilana_46.0358_12.6809.json,custom
