# lat,lng,id,name,building_type,type,url,page_type
# Sestri Levante -- Tutti
44.274524,9.405720,ov_ospedale_civile_44.2745_9.4057,Ospedale Civile,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/ospedale_civile_44.2745_9.4057.json,custom
44.276595,9.393883,ov_conte_max_44.2766_9.3939,Conte Max,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/conte_max_44.2766_9.3939.json,custom
44.275828,9.394196,ov_ristorante_mapi_44.2758_9.3942,Ristorante Mapi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/ristorante_mapi_44.2758_9.3942.json,custom
44.279401,9.410531,ov_uolli_s_bbq_factory_44.2794_9.4105,Uolli's BBQ Factory,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/uollis_bbq_factory_44.2794_9.4105.json,custom
44.274441,9.406735,ov_il_ristoro___sestri_levante_44.2744_9.4067,Il Ristoro - Sestri Levante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/il_ristoro_-_sestri_levante_44.2744_9.4067.json,custom
44.272923,9.402859,ov_la_botticella_sestri_levante_44.2729_9.4029,La Botticella Sestri Levante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/la_botticella_sestri_levante_44.2729_9.4029.json,custom
44.272827,9.402831,ov_tokyo_sushi_ristorante_44.2728_9.4028,Tokyo Sushi Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/tokyo_sushi_ristorante_44.2728_9.4028.json,custom
44.272900,9.403080,ov_pizzeria_i_due_forni_44.2729_9.4031,Pizzeria I Due Forni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/pizzeria_i_due_forni_44.2729_9.4031.json,custom
44.273290,9.407463,ov_osteria_la_piccola_44.2733_9.4075,Osteria La Piccola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/osteria_la_piccola_44.2733_9.4075.json,custom
44.273333,9.407020,ov_pizzeria_da_gian_di_gini_katiuscia_44.2733_9.4070,Pizzeria da Gian di Gini Katiuscia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/pizzeria_da_gian_di_gini_katiuscia_44.2733_9.4070.json,custom
44.271320,9.413754,ov_pizzeria_d_asporto_44.2713_9.4138,Pizzeria d’asporto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/pizzeria_dasporto_44.2713_9.4138.json,custom
44.271339,9.413236,ov_i_due_gabbiani_44.2713_9.4132,I Due Gabbiani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/i_due_gabbiani_44.2713_9.4132.json,custom
44.269578,9.413365,ov_city_pizza_44.2696_9.4134,City Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/city_pizza_44.2696_9.4134.json,custom
44.270210,9.405536,ov_le_cantine_44.2702_9.4055,Le Cantine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/le_cantine_44.2702_9.4055.json,custom
44.272718,9.409602,ov_trattoria_antico_tannino_44.2727_9.4096,Trattoria Antico Tannino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/trattoria_antico_tannino_44.2727_9.4096.json,custom
44.271767,9.400471,ov_city_pizza_44.2718_9.4005,City Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/city_pizza_44.2718_9.4005.json,custom
44.271949,9.399256,ov_verace_44.2719_9.3993,Verace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/verace_44.2719_9.3993.json,custom
44.271958,9.399248,ov_pizzeria_ristorante_previna_44.2720_9.3992,Pizzeria Ristorante Previna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/pizzeria_ristorante_previna_44.2720_9.3992.json,custom
44.271737,9.399061,ov_bistromare_44.2717_9.3991,Bistromare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/bistromare_44.2717_9.3991.json,custom
44.271355,9.396877,ov_ristorante_pizzeria_contigo_44.2714_9.3969,Ristorante Pizzeria Contigo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/ristorante_pizzeria_contigo_44.2714_9.3969.json,custom
44.270836,9.397074,ov_le_calamare_44.2708_9.3971,Le Calamare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/le_calamare_44.2708_9.3971.json,custom
44.271402,9.395645,ov_a_mare_bistro_44.2714_9.3956,A.MARE Bistro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/amare_bistro_44.2714_9.3956.json,custom
44.271325,9.395473,ov_osteria_mattana_44.2713_9.3955,Osteria Mattana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/osteria_mattana_44.2713_9.3955.json,custom
44.271413,9.395703,ov_ca_du_luasso_44.2714_9.3957,Ca Du Luasso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/ca_du_luasso_44.2714_9.3957.json,custom
44.271834,9.395887,ov_pescheria_ai_pesci_vivi_44.2718_9.3959,Pescheria Ai Pesci Vivi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/pescheria_ai_pesci_vivi_44.2718_9.3959.json,custom
44.271918,9.396180,ov_le_gardenie_ristorante_pizzeria_44.2719_9.3962,Le Gardenie Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/le_gardenie_ristorante_pizzeria_44.2719_9.3962.json,custom
44.272046,9.398029,ov_i_due_forni_pizzeria_44.2720_9.3980,I Due Forni Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/i_due_forni_pizzeria_44.2720_9.3980.json,custom
44.272007,9.397408,ov_santapizza_44.2720_9.3974,Santapizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/santapizza_44.2720_9.3974.json,custom
44.271999,9.397505,ov_reccolab_44.2720_9.3975,Reccolab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/reccolab_44.2720_9.3975.json,custom
44.271940,9.397010,ov_paste___pollo_44.2719_9.3970,PaSte & pollo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/paste_pollo_44.2719_9.3970.json,custom
44.271918,9.396987,ov_ste_alla_griglia_44.2719_9.3970,Ste alla Griglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/ste_alla_griglia_44.2719_9.3970.json,custom
44.272632,9.396806,ov_yugo_sushi_experience__sestri_levante_44.2726_9.3968,Yugo Sushi Experience－ Sestri Levante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/yugo_sushi_experience_sestri_levante_44.2726_9.3968.json,custom
44.272110,9.396304,ov_easy_ristorante_bar_44.2721_9.3963,Easy Ristorante Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/easy_ristorante_bar_44.2721_9.3963.json,custom
44.272231,9.393785,ov_la_terrazza_44.2722_9.3938,La Terrazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/la_terrazza_44.2722_9.3938.json,custom
44.272096,9.394722,ov_rezzano_restaurant_44.2721_9.3947,Rezzano Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/rezzano_restaurant_44.2721_9.3947.json,custom
44.270239,9.390244,ov_pelagica_44.2702_9.3902,Pelagica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/pelagica_44.2702_9.3902.json,custom
44.270282,9.392984,ov_portobello_2_44.2703_9.3930,Portobello 2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/portobello_2_44.2703_9.3930.json,custom
44.270313,9.392963,ov_egua_e_sa__44.2703_9.3930,Egua e sa^,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/egua_e_sa_44.2703_9.3930.json,custom
44.270404,9.393000,ov_la_locanda_carmagnini_44.2704_9.3930,La Locanda Carmagnini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/la_locanda_carmagnini_44.2704_9.3930.json,custom
44.271200,9.393970,ov_verve_restaurant_lounge_bar_44.2712_9.3940,Verve Restaurant Lounge Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/verve_restaurant_lounge_bar_44.2712_9.3940.json,custom
44.271127,9.393810,ov_i_due_gabbiani_mare_44.2711_9.3938,I due gabbiani mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/i_due_gabbiani_mare_44.2711_9.3938.json,custom
44.270614,9.394518,ov_i_siciliani_la_sicilia_in_bocca_44.2706_9.3945,I Siciliani La Sicilia in BOCCA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/i_siciliani_la_sicilia_in_bocca_44.2706_9.3945.json,custom
44.270415,9.394058,ov_trattoria_da_turin_44.2704_9.3941,Trattoria da Turin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/trattoria_da_turin_44.2704_9.3941.json,custom
44.270649,9.393765,ov_pizzeria_4_canti_44.2706_9.3938,Pizzeria 4 Canti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/pizzeria_4_canti_44.2706_9.3938.json,custom
44.270733,9.393514,ov_don_luigi_44.2707_9.3935,Don Luigi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/don_luigi_44.2707_9.3935.json,custom
44.270667,9.393399,ov_brigantino_44.2707_9.3934,Brigantino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/brigantino_44.2707_9.3934.json,custom
44.270580,9.393168,ov_pizzeria_riri_44.2706_9.3932,Pizzeria Riri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/pizzeria_riri_44.2706_9.3932.json,custom
44.270544,9.393810,ov_nauroz_fast_food_44.2705_9.3938,NAUROZ Fast Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/nauroz_fast_food_44.2705_9.3938.json,custom
44.270301,9.393693,ov_tosi_burger___tonic_44.2703_9.3937,Tosi Burger & Tonic,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/tosi_burger_tonic_44.2703_9.3937.json,custom
44.270115,9.393579,ov_la_sciamadda_dei_vinaccieri_ballerini_44.2701_9.3936,La Sciamadda dei Vinaccieri Ballerini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/la_sciamadda_dei_vinaccieri_ballerini_44.2701_9.3936.json,custom
44.270146,9.393567,ov_ristorante_la_mainolla_44.2701_9.3936,Ristorante La Mainolla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/ristorante_la_mainolla_44.2701_9.3936.json,custom
44.270130,9.393575,ov_aragosta_d_oro_44.2701_9.3936,Aragosta D'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/aragosta_doro_44.2701_9.3936.json,custom
44.270210,9.393713,ov_polpo_mario_44.2702_9.3937,Polpo Mario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/polpo_mario_44.2702_9.3937.json,custom
44.270134,9.394302,ov_capocotta_44.2701_9.3943,Capocotta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/capocotta_44.2701_9.3943.json,custom
44.270408,9.394016,ov_il_bargonello_44.2704_9.3940,Il Bargonello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/il_bargonello_44.2704_9.3940.json,custom
44.269756,9.394043,ov_ristorante_baia_del_silenzio_44.2698_9.3940,Ristorante Baia del Silenzio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/ristorante_baia_del_silenzio_44.2698_9.3940.json,custom
44.269923,9.394039,ov_l_acciugaio_del_carruggio__sestri_levant_44.2699_9.3940,L'acciugaio del carruggio- Sestri Levante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/lacciugaio_del_carruggio-_sestri_levante_44.2699_9.3940.json,custom
44.269981,9.394212,ov_la_cantina_del_polpo_44.2700_9.3942,La Cantina del Polpo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/la_cantina_del_polpo_44.2700_9.3942.json,custom
44.270029,9.393239,ov_150___la_casa_delle_compere_44.2700_9.3932,150 - La Casa delle Compere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/150_-_la_casa_delle_compere_44.2700_9.3932.json,custom
44.269543,9.393274,ov_ittiturismo_bistromare_44.2695_9.3933,IttIturismo Bistromare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/ittiturismo_bistromare_44.2695_9.3933.json,custom
44.269054,9.391956,ov_cutter_cucca_44.2691_9.3920,Cutter Cucca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/cutter_cucca_44.2691_9.3920.json,custom
44.269459,9.392608,ov_pasta_e_polpette_44.2695_9.3926,Pasta e Polpette,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/pasta_e_polpette_44.2695_9.3926.json,custom
44.269641,9.392764,ov_la_calanca_44.2696_9.3928,La Calanca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/la_calanca_44.2696_9.3928.json,custom
44.269774,9.392687,ov_angiolina_restaurant_44.2698_9.3927,Angiolina Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/angiolina_restaurant_44.2698_9.3927.json,custom
44.269954,9.393014,ov_la_casa_delle_compere_44.2700_9.3930,La Casa delle Compere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/la_casa_delle_compere_44.2700_9.3930.json,custom
44.269938,9.392319,ov_il_besugo_44.2699_9.3923,Il Besugo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/il_besugo_44.2699_9.3923.json,custom
44.269994,9.388778,ov_sestri_levante_44.2700_9.3888,Sestri levante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/sestri_levante_44.2700_9.3888.json,custom
44.269603,9.387495,ov_pesce_balla_44.2696_9.3875,Pesce Balla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/pesce_balla_44.2696_9.3875.json,custom
44.269101,9.389081,ov_ristorante_dei_castelli_44.2691_9.3891,Ristorante dei Castelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/ristorante_dei_castelli_44.2691_9.3891.json,custom
44.267751,9.392046,ov_centro_congressi_mediterraneo_44.2678_9.3920,Centro congressi Mediterraneo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/centro_congressi_mediterraneo_44.2678_9.3920.json,custom
44.268434,9.391922,ov_ristorante_portobello_44.2684_9.3919,Ristorante Portobello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/ristorante_portobello_44.2684_9.3919.json,custom
44.269287,9.395334,ov_vistamare_44.2693_9.3953,Vistamare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/vistamare_44.2693_9.3953.json,custom
44.269879,9.396850,ov_ristorante_olimpo_44.2699_9.3969,Ristorante Olimpo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/ristorante_olimpo_44.2699_9.3969.json,custom
44.260296,9.417597,ov_ristorante_pizzeria_bar_u_cantu_44.2603_9.4176,Ristorante Pizzeria Bar U Cantu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/ristorante_pizzeria_bar_u_cantu_44.2603_9.4176.json,custom
44.259971,9.417633,ov_bunkerbar_44.2600_9.4176,BunkerBar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/bunkerbar_44.2600_9.4176.json,custom
44.271039,9.385169,ov_ristorante_san_marco_1957_44.2710_9.3852,Ristorante San Marco 1957,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/ristorante_san_marco_1957_44.2710_9.3852.json,custom
44.270942,9.385201,ov_san_marco_da_max_44.2709_9.3852,San Marco da Max,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/san_marco_da_max_44.2709_9.3852.json,custom
44.241094,9.452186,ov_nua_natua_44.2411_9.4522,Nua Natua,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/nua_natua_44.2411_9.4522.json,custom
44.259122,9.424926,ov_osteria_pizzarello_44.2591_9.4249,Osteria Pizzarello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/osteria_pizzarello_44.2591_9.4249.json,custom
44.258602,9.423641,ov_tigu_beach_44.2586_9.4236,Tigu Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/tigu_beach_44.2586_9.4236.json,custom
44.258586,9.423604,ov_tigu_sushi_by_kisen_44.2586_9.4236,Tigu Sushi by Kisen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/tigu_sushi_by_kisen_44.2586_9.4236.json,custom
44.258493,9.426776,ov_c_e_ugo_44.2585_9.4268,C'e Ugo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/ce_ugo_44.2585_9.4268.json,custom
44.258500,9.426757,ov_trattoria_tirreno_44.2585_9.4268,Trattoria Tirreno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/trattoria_tirreno_44.2585_9.4268.json,custom
44.258678,9.425597,ov_le_gardenie_44.2587_9.4256,Le Gardenie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/le_gardenie_44.2587_9.4256.json,custom
44.259985,9.422524,ov_ristorante_pizzeria_la_rada_44.2600_9.4225,Ristorante Pizzeria La Rada,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/ristorante_pizzeria_la_rada_44.2600_9.4225.json,custom
44.259570,9.421825,ov_u_punent_44.2596_9.4218,U Punent,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/u_punent_44.2596_9.4218.json,custom
44.260204,9.422852,ov_dal_ponte_44.2602_9.4229,Dal Ponte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/dal_ponte_44.2602_9.4229.json,custom
