# lat,lng,id,name,building_type,type,url,page_type
# Manziana -- Tutti
42.096236,12.072609,ov_bracciano_ospedale_42.0962_12.0726,Bracciano Ospedale,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/bracciano_ospedale_42.0962_12.0726.json,custom
42.094486,12.086464,ov_agriturismo_la_tarantola_42.0945_12.0865,Agriturismo La Tarantola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/agriturismo_la_tarantola_42.0945_12.0865.json,custom
42.092458,12.090116,ov_la_castagnetta_agriristoro_42.0925_12.0901,La Castagnetta Agriristoro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/la_castagnetta_agriristoro_42.0925_12.0901.json,custom
42.095480,12.111167,ov_sciambreto_42.0955_12.1112,Sciambreto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/sciambreto_42.0955_12.1112.json,custom
42.131307,12.119521,osm_la_pergola_da_camillo_42.1313_12.1195,La Pergola da Camillo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/la_pergola_da_camillo_42.1313_12.1195.json,custom
42.094792,12.111174,osm_elios_ristorante_42.0948_12.1112,Elios Ristorante,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/elios_ristorante_42.0948_12.1112.json,custom
42.095621,12.086228,osm_agriturismo_la_tarantola_42.0956_12.0862,Agriturismo La Tarantola,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/agriturismo_la_tarantola_42.0956_12.0862.json,custom
42.116172,12.125922,osm_burger_king_42.1162_12.1259,Burger King,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/burger_king_42.1162_12.1259.json,custom
42.131507,12.126866,ov_bar_maria_42.1315_12.1269,Bar Maria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/bar_maria_42.1315_12.1269.json,custom
42.129355,12.132509,ov_caff__praecilia_42.1294_12.1325,Caffè Praecilia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/caff_praecilia_42.1294_12.1325.json,custom
42.130447,12.127441,ov_manth_birrificio_botanico_42.1304_12.1274,Manth Birrificio Botanico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/manth_birrificio_botanico_42.1304_12.1274.json,custom
42.130557,12.130248,ov_il_bar_della_piazzetta_42.1306_12.1302,Il Bar della Piazzetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/il_bar_della_piazzetta_42.1306_12.1302.json,custom
42.130129,12.131572,ov_crema___cioccolato_manziana_42.1301_12.1316,Crema & Cioccolato Manziana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/crema_cioccolato_manziana_42.1301_12.1316.json,custom
42.127737,12.125536,ov_bar_caff__ai_platani_42.1277_12.1255,Bar Caffè Ai Platani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/bar_caff_ai_platani_42.1277_12.1255.json,custom
42.122095,12.124670,ov_road_bar_manziana_42.1221_12.1247,ROAD BAR manziana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/road_bar_manziana_42.1221_12.1247.json,custom
42.118190,12.125899,ov_road_bar_tabacchi_42.1182_12.1259,Road Bar Tabacchi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/road_bar_tabacchi_42.1182_12.1259.json,custom
42.111005,12.126378,ov_ale_s_farm_funny_horse_42.1110_12.1264,ALE'S Farm-Funny HORSE,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/ales_farm-funny_horse_42.1110_12.1264.json,custom
42.106030,12.094170,ov_maneggio_macchia_grande_manziana_42.1060_12.0942,Maneggio Macchia Grande Manziana,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/maneggio_macchia_grande_manziana_42.1060_12.0942.json,custom
42.096016,12.103429,ov_martenz_club_42.0960_12.1034,Martenz club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/martenz_club_42.0960_12.1034.json,custom
42.130592,12.127157,osm_poste_italiane_42.1306_12.1272,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/poste_italiane_42.1306_12.1272.json,custom
42.130411,12.133354,ov_biblioteca_comunale_di_manziana_42.1304_12.1334,Biblioteca Comunale Di Manziana,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/biblioteca_comunale_di_manziana_42.1304_12.1334.json,custom
42.130270,12.133365,osm_biblioteca_comunale_42.1303_12.1334,Biblioteca Comunale,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/biblioteca_comunale_42.1303_12.1334.json,custom
