# lat,lng,id,name,building_type,type,url,page_type
# Vicopisano -- Tutti
43.698560,10.583670,ov_studio_medico_prof__virgilio_facchini_43.6986_10.5837,Studio medico Prof. Virgilio Facchini,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/studio_medico_prof_virgilio_facchini_43.6986_10.5837.json,custom
43.699481,10.589853,ov_timo___cucina_mediterranea_43.6995_10.5899,Timo - Cucina Mediterranea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/timo_-_cucina_mediterranea_43.6995_10.5899.json,custom
43.700660,10.585080,ov_tarantini_carni_food_43.7007_10.5851,Tarantini Carni&Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/tarantini_carnifood_43.7007_10.5851.json,custom
43.700213,10.583869,ov_le_belle_torri_43.7002_10.5839,Le Belle Torri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/le_belle_torri_43.7002_10.5839.json,custom
43.701449,10.596321,ov_ristorante_pizzeria_il_maniero_43.7014_10.5963,Ristorante Pizzeria Il Maniero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/ristorante_pizzeria_il_maniero_43.7014_10.5963.json,custom
43.703757,10.602454,ov_cibus_in_vino_veritas_43.7038_10.6025,Cibus in vino veritas,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/cibus_in_vino_veritas_43.7038_10.6025.json,custom
43.694732,10.588408,osm_osteria_la_rocca_43.6947_10.5884,Osteria La Rocca,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/osteria_la_rocca_43.6947_10.5884.json,custom
43.700049,10.583945,osm_macelleria_testi_43.7000_10.5839,Macelleria Testi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/macelleria_testi_43.7000_10.5839.json,custom
43.699587,10.583862,osm_taverna_aurora_43.6996_10.5839,Taverna Aurora,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/taverna_aurora_43.6996_10.5839.json,custom
43.687055,10.584323,osm_l_uovo_al_tegamino_43.6871_10.5843,L'Uovo al Tegamino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/luovo_al_tegamino_43.6871_10.5843.json,custom
43.699540,10.590003,osm_timo_cucina_mediterranea_43.6995_10.5900,Timo Cucina Mediterranea,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/timo_cucina_mediterranea_43.6995_10.5900.json,custom
43.704161,10.507203,ov_la_dolce_vita_43.7042_10.5072,La dolce vita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/la_dolce_vita_43.7042_10.5072.json,custom
43.695608,10.513167,ov_birrante_birrificio_artigianale_43.6956_10.5132,Birrante Birrificio Artigianale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/birrante_birrificio_artigianale_43.6956_10.5132.json,custom
43.686962,10.545854,ov_bar_de_feo_43.6870_10.5459,Bar De Feo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/bar_de_feo_43.6870_10.5459.json,custom
43.686662,10.538434,ov_pausa_caffe_43.6867_10.5384,Pausa Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/pausa_caffe_43.6867_10.5384.json,custom
43.685148,10.553193,ov_la_fonte_del_vino_43.6851_10.5532,La fonte del vino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/la_fonte_del_vino_43.6851_10.5532.json,custom
43.682006,10.567272,ov_bar_punto_di_incontro_43.6820_10.5673,Bar Punto Di Incontro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/bar_punto_di_incontro_43.6820_10.5673.json,custom
43.682086,10.567211,ov_i_tre_moschettieri_43.6821_10.5672,I Tre Moschettieri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/i_tre_moschettieri_43.6821_10.5672.json,custom
43.684680,10.576150,ov_il_castellare_______circolo_acli_43.6847_10.5762,IL Castellare       Circolo Acli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/il_castellare_circolo_acli_43.6847_10.5762.json,custom
43.685779,10.577176,ov_circolo_arci_lo_stradello_43.6858_10.5772,Circolo Arci Lo Stradello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/circolo_arci_lo_stradello_43.6858_10.5772.json,custom
43.687365,10.587058,ov_novi_caffe_43.6874_10.5871,Novi Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/novi_caffe_43.6874_10.5871.json,custom
43.687717,10.583986,ov_dejavu_ristobar_43.6877_10.5840,Dejavu Ristobar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/dejavu_ristobar_43.6877_10.5840.json,custom
43.698459,10.586634,ov_enoteca_88_43.6985_10.5866,Enoteca 88,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/enoteca_88_43.6985_10.5866.json,custom
43.698231,10.588991,ov_gambassi_sedie___tavoli_43.6982_10.5890,Gambassi sedie & tavoli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/gambassi_sedie_tavoli_43.6982_10.5890.json,custom
43.699610,10.581560,ov_enosophia_vicopisano_43.6996_10.5816,Enosophia Vicopisano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/enosophia_vicopisano_43.6996_10.5816.json,custom
43.699356,10.584274,ov_pasticceria_cavallini_vicopisano_43.6994_10.5843,Pasticceria Cavallini Vicopisano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/pasticceria_cavallini_vicopisano_43.6994_10.5843.json,custom
43.711690,10.556004,ov_monte_lombardona_43.7117_10.5560,Monte Lombardona,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/monte_lombardona_43.7117_10.5560.json,custom
43.933443,10.769491,ov_bar_pizzeria_della_misericordia_di_momig_43.9334_10.7695,Bar/Pizzeria della Misericordia di Momigno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/barpizzeria_della_misericordia_di_momign_43.9334_10.7695.json,custom
43.690674,10.583971,ov_marila_fitness_club_43.6907_10.5840,Marila Fitness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/marila_fitness_club_43.6907_10.5840.json,custom
43.700660,10.585080,ov_il_tiglio_2023_43.7007_10.5851,Il Tiglio 2023,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/il_tiglio_2023_43.7007_10.5851.json,custom
43.702616,10.599058,ov_asd_dance_academy_43.7026_10.5991,ASD Dance Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/asd_dance_academy_43.7026_10.5991.json,custom
43.710945,10.504345,ov_new_aurora_dance_asd_43.7109_10.5043,New Aurora Dance ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/new_aurora_dance_asd_43.7109_10.5043.json,custom
43.713368,10.596100,ov_club_ippico_rio_bravo_43.7134_10.5961,Club ippico Rio Bravo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/club_ippico_rio_bravo_43.7134_10.5961.json,custom
43.719320,10.606810,ov_ranch_il_canyon_43.7193_10.6068,Ranch il Canyon,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/ranch_il_canyon_43.7193_10.6068.json,custom
43.726808,10.617873,ov_lakini_yoga_43.7268_10.6179,Lakini Yoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/lakini_yoga_43.7268_10.6179.json,custom
43.707339,10.507038,ov_caprona_tower_43.7073_10.5070,Caprona Tower,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/caprona_tower_43.7073_10.5070.json,custom
43.707247,10.506926,ov_torre_degli_upezzinghi_43.7072_10.5069,Torre degli Upezzinghi,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/torre_degli_upezzinghi_43.7072_10.5069.json,custom
43.699220,10.585960,ov_archivio_storico_di_vicopisano_43.6992_10.5860,Archivio Storico di Vicopisano,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/archivio_storico_di_vicopisano_43.6992_10.5860.json,custom
43.699423,10.586392,ov_rocca_di_vicopisano_43.6994_10.5864,Rocca di Vicopisano,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/rocca_di_vicopisano_43.6994_10.5864.json,custom
43.700427,10.586385,ov_torre_delle_quattro_porte_43.7004_10.5864,Torre delle quattro porte,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/torre_delle_quattro_porte_43.7004_10.5864.json,custom
43.705768,10.505524,osm_poste_italiane_43.7058_10.5055,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/poste_italiane_43.7058_10.5055.json,custom
43.698813,10.585426,ov_biblioteca_comunale_peppino_impastato_43.6988_10.5854,Biblioteca Comunale Peppino Impastato,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/biblioteca_comunale_peppino_impastato_43.6988_10.5854.json,custom
43.698818,10.585434,osm_biblioteca_comunale_43.6988_10.5854,Biblioteca Comunale,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/biblioteca_comunale_43.6988_10.5854.json,custom
