# lat,lng,id,name,building_type,type,url,page_type
# celano -- Tutti
42.086642,13.538724,ov_ospedale_di_celano_42.0866_13.5387,Ospedale Di Celano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/ospedale_di_celano_42.0866_13.5387.json,custom
42.082822,13.549307,ov_il_locale_67_42.0828_13.5493,Il Locale 67,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/il_locale_67_42.0828_13.5493.json,custom
42.084204,13.548392,ov_crosta_e_mollica_42.0842_13.5484,Crosta e Mollica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/crosta_e_mollica_42.0842_13.5484.json,custom
42.084332,13.547786,ov_bar_gelateria_meeting_42.0843_13.5478,Bar Gelateria Meeting,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/bar_gelateria_meeting_42.0843_13.5478.json,custom
42.084142,13.547104,ov_pizzart_celano_42.0841_13.5471,PizzArt Celano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/pizzart_celano_42.0841_13.5471.json,custom
42.083882,13.546195,ov_ristorante_cittadella_42.0839_13.5462,Ristorante Cittadella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/ristorante_cittadella_42.0839_13.5462.json,custom
42.084857,13.546310,ov_osteria_degli_artisti_42.0849_13.5463,Osteria degli Artisti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/osteria_degli_artisti_42.0849_13.5463.json,custom
42.085197,13.546232,ov_la_locanda_del_castello_42.0852_13.5462,La Locanda Del Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/la_locanda_del_castello_42.0852_13.5462.json,custom
42.085208,13.546103,ov_ristorante_la_torre_42.0852_13.5461,Ristorante La Torre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/ristorante_la_torre_42.0852_13.5461.json,custom
42.085469,13.546216,ov_lebistrot_celano_42.0855_13.5462,LeBistrot Celano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/lebistrot_celano_42.0855_13.5462.json,custom
42.084891,13.547478,ov_pizzeria_da_cesarina_42.0849_13.5475,Pizzeria da Cesarina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/pizzeria_da_cesarina_42.0849_13.5475.json,custom
42.084896,13.547386,ov_il_girasole_2_0_42.0849_13.5474,Il Girasole 2.0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/il_girasole_20_42.0849_13.5474.json,custom
42.084873,13.547090,ov_burger_castello_42.0849_13.5471,Burger Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/burger_castello_42.0849_13.5471.json,custom
42.085097,13.544493,ov_baretto_perrotta_42.0851_13.5445,Baretto Perrotta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/baretto_perrotta_42.0851_13.5445.json,custom
42.084191,13.544912,ov_locanda_madonna_delle_vigne_42.0842_13.5449,Locanda Madonna delle Vigne,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/locanda_madonna_delle_vigne_42.0842_13.5449.json,custom
42.088241,13.540025,ov_la_terrazza_42.0882_13.5400,La Terrazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/la_terrazza_42.0882_13.5400.json,custom
42.083916,13.546127,osm_cittadella_42.0839_13.5461,Cittadella,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/cittadella_42.0839_13.5461.json,custom
42.044070,13.541610,ov_icaro_bar_42.0441_13.5416,Icaro bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/icaro_bar_42.0441_13.5416.json,custom
42.062440,13.539110,ov_officina_curti_42.0624_13.5391,Officina Curti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/officina_curti_42.0624_13.5391.json,custom
42.080695,13.517087,ov_c_c_caffe_42.0807_13.5171,C&C Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/cc_caffe_42.0807_13.5171.json,custom
42.087900,13.536400,ov_l_antico_forno_42.0879_13.5364,L'antico forno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/lantico_forno_42.0879_13.5364.json,custom
42.087626,13.536597,ov_bar_pasticceria_vanilla_42.0876_13.5366,Bar Pasticceria Vanilla,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/bar_pasticceria_vanilla_42.0876_13.5366.json,custom
42.083343,13.538744,ov_enoteca_bb_42.0833_13.5387,Enoteca Bb,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/enoteca_bb_42.0833_13.5387.json,custom
42.077097,13.539673,ov_los_fumo_s_hermanos_bar_42.0771_13.5397,Los Fumo's Hermanos Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/los_fumos_hermanos_bar_42.0771_13.5397.json,custom
42.077245,13.543526,ov_bar_trilogy_42.0772_13.5435,Bar Trilogy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/bar_trilogy_42.0772_13.5435.json,custom
42.079023,13.550184,ov_bar_pasticceria_santilli_42.0790_13.5502,Bar Pasticceria Santilli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/bar_pasticceria_santilli_42.0790_13.5502.json,custom
42.083919,13.549675,ov_l_angolo_del_caffe_42.0839_13.5497,L'Angolo del Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/langolo_del_caffe_42.0839_13.5497.json,custom
42.083975,13.549612,ov_bar_sport_42.0840_13.5496,Bar Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/bar_sport_42.0840_13.5496.json,custom
42.084415,13.548349,ov_tequila_bar_di_ruscio_ediva_42.0844_13.5483,Tequila Bar Di Ruscio Ediva,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/tequila_bar_di_ruscio_ediva_42.0844_13.5483.json,custom
42.085230,13.546164,ov_prince_cafe_42.0852_13.5462,Prince Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/prince_cafe_42.0852_13.5462.json,custom
42.085886,13.545869,ov_la_birraia_42.0859_13.5459,La Birraia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/la_birraia_42.0859_13.5459.json,custom
42.085110,13.547700,ov_bar_il_grottino_42.0851_13.5477,Bar Il Grottino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/bar_il_grottino_42.0851_13.5477.json,custom
42.084978,13.548363,ov_malu_garden_bar_42.0850_13.5484,Malu Garden Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/malu_garden_bar_42.0850_13.5484.json,custom
42.086009,13.544681,ov_la_vecchia_cantina_barpestilli_42.0860_13.5447,La Vecchia Cantina BarPestilli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/la_vecchia_cantina_barpestilli_42.0860_13.5447.json,custom
42.084205,13.544939,ov_bar_le_torri_42.0842_13.5449,Bar Le Torri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/bar_le_torri_42.0842_13.5449.json,custom
42.081401,13.544996,ov_bar_cavallino_rosso_42.0814_13.5450,Bar Cavallino Rosso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/bar_cavallino_rosso_42.0814_13.5450.json,custom
42.082470,13.544786,ov_plivio_break__42.0825_13.5448,Plivio Break_,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/plivio_break_42.0825_13.5448.json,custom
42.082411,13.542755,ov_roxy_bar_42.0824_13.5428,Roxy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/roxy_bar_42.0824_13.5428.json,custom
42.086922,13.540390,ov_celano_42.0869_13.5404,Celano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/celano_42.0869_13.5404.json,custom
42.052280,13.564180,ov_crossodromo_fabio_piccone_42.0523_13.5642,Crossodromo fabio Piccone,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/crossodromo_fabio_piccone_42.0523_13.5642.json,custom
42.057778,13.555083,ov_maxfit_42.0578_13.5551,Maxfit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/maxfit_42.0578_13.5551.json,custom
42.073622,13.537986,ov_palace_of_the_sport_of_celano_42.0736_13.5380,Palace Of The Sport Of Celano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/palace_of_the_sport_of_celano_42.0736_13.5380.json,custom
42.077971,13.549345,ov_pacitto_palestre_42.0780_13.5493,Pacitto Palestre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/pacitto_palestre_42.0780_13.5493.json,custom
42.079142,13.550758,ov_crossodromo_di_celano_42.0791_13.5508,Crossodromo Di Celano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/crossodromo_di_celano_42.0791_13.5508.json,custom
42.052705,13.514512,ov_museo_paludi___celano_42.0527_13.5145,Museo Paludi - Celano,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/museo_paludi_-_celano_42.0527_13.5145.json,custom
42.084058,13.548722,ov_mus____nuovo_museo_paludi_di_celano___ce_42.0841_13.5487,Musè - Nuovo Museo Paludi di Celano - Centro di Restauro,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/mus_-_nuovo_museo_paludi_di_celano_-_cen_42.0841_13.5487.json,custom
42.084588,13.545411,ov_piccolomini_castle_42.0846_13.5454,Piccolomini Castle,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/piccolomini_castle_42.0846_13.5454.json,custom
42.084547,13.545515,ov_museo_d_arte_sacra_della_marsica_42.0845_13.5455,Museo D'Arte Sacra della Marsica,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/museo_darte_sacra_della_marsica_42.0845_13.5455.json,custom
42.080949,13.543955,osm_poste_italiane_42.0809_13.5440,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/poste_italiane_42.0809_13.5440.json,custom
42.087700,13.538500,ov_biblioteca_santa_maria_valleverde___cela_42.0877_13.5385,Biblioteca Santa Maria Valleverde - Celano - AQ,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/biblioteca_santa_maria_valleverde_-_cela_42.0877_13.5385.json,custom
