# lat,lng,id,name,building_type,type,url,page_type
# san_giorgio_di_nogaro -- Tutti
45.837111,13.206873,ov_centro_medico_universit__castrense_srl_45.8371_13.2069,Centro Medico Università Castrense SRL,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/centro_medico_universit_castrense_srl_45.8371_13.2069.json,custom
45.819216,13.214487,ov_al_portico_45.8192_13.2145,Al Portico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/al_portico_45.8192_13.2145.json,custom
45.816317,13.218031,ov_osteria_alla_marittima_45.8163_13.2180,Osteria Alla Marittima,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/osteria_alla_marittima_45.8163_13.2180.json,custom
45.806470,13.221790,ov_ristorante_al_portico_45.8065_13.2218,Ristorante Al Portico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/ristorante_al_portico_45.8065_13.2218.json,custom
45.802547,13.225989,ov_la_darsena_restaurant_45.8025_13.2260,La Darsena Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/la_darsena_restaurant_45.8025_13.2260.json,custom
45.761539,13.240959,ov_stella_di_mare_bar_ristorante_45.7615_13.2410,Stella di Mare Bar Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/stella_di_mare_bar_ristorante_45.7615_13.2410.json,custom
45.823402,13.214409,osm_pizzeria__laguna_blu__45.8234_13.2144,Pizzeria 'Laguna blu',ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/pizzeria_laguna_blu_45.8234_13.2144.json,custom
45.802520,13.226023,osm_ristorante_la_darsena_45.8025_13.2260,Ristorante La Darsena,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/ristorante_la_darsena_45.8025_13.2260.json,custom
45.832106,13.210794,osm_da_alfonso_45.8321_13.2108,Da Alfonso,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/da_alfonso_45.8321_13.2108.json,custom
45.831627,13.210256,ov_bar_roma_45.8316_13.2103,Bar Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/bar_roma_45.8316_13.2103.json,custom
45.832305,13.208410,ov_bar_sport_45.8323_13.2084,Bar Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/bar_sport_45.8323_13.2084.json,custom
45.832058,13.209630,ov_bar_centro_45.8321_13.2096,Bar Centro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/bar_centro_45.8321_13.2096.json,custom
45.832283,13.209417,ov_caff__bar_alla_posta_45.8323_13.2094,Caffè Bar Alla posta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/caff_bar_alla_posta_45.8323_13.2094.json,custom
45.832841,13.208802,ov_bar_al_marinaio_45.8328_13.2088,Bar Al Marinaio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/bar_al_marinaio_45.8328_13.2088.json,custom
45.833763,13.207393,ov_giardino_da_balan_45.8338_13.2074,Giardino Da Balan,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/giardino_da_balan_45.8338_13.2074.json,custom
45.832888,13.213996,ov_station_bar_45.8329_13.2140,Station Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/station_bar_45.8329_13.2140.json,custom
45.831960,13.211099,ov_bar_convivio_45.8320_13.2111,Bar Convivio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/bar_convivio_45.8320_13.2111.json,custom
45.824250,13.213750,ov_non_solo_bar_new_45.8242_13.2137,Non Solo Bar New,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/non_solo_bar_new_45.8242_13.2137.json,custom
45.823441,13.214415,ov_thaiti_bar_45.8234_13.2144,Thaiti Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/thaiti_bar_45.8234_13.2144.json,custom
45.818617,13.221847,ov_aganis_beer_45.8186_13.2218,Aganis Beer,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/aganis_beer_45.8186_13.2218.json,custom
45.795101,13.225851,ov_birra_castello_45.7951_13.2259,Birra Castello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/birra_castello_45.7951_13.2259.json,custom
45.832266,13.180294,ov_bar_naos_45.8323_13.1803,Bar Naos,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/bar_naos_45.8323_13.1803.json,custom
45.834243,13.193939,ov_happy_coffee_bar_tabacchi_45.8342_13.1939,Happy Coffee Bar Tabacchi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/happy_coffee_bar_tabacchi_45.8342_13.1939.json,custom
45.777212,13.234196,ov_bar_all_aussa_corno_45.7772_13.2342,Bar All'Aussa Corno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/bar_allaussa_corno_45.7772_13.2342.json,custom
45.764148,13.241521,ov_trattoria_aussa_corno_45.7641_13.2415,Trattoria Aussa Corno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/trattoria_aussa_corno_45.7641_13.2415.json,custom
45.832185,13.208192,osm_bottega_del_caff__45.8322_13.2082,Bottega del Caffè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/bottega_del_caff_45.8322_13.2082.json,custom
45.840007,13.227488,ov_a_s_d__tiro_a_volo_porpetto_45.8400_13.2275,A.S.D. Tiro A Volo Porpetto,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/asd_tiro_a_volo_porpetto_45.8400_13.2275.json,custom
45.823630,13.214714,ov_palestra_in_forma_45.8236_13.2147,Palestra In.Forma,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/palestra_informa_45.8236_13.2147.json,custom
45.831702,13.212477,ov_villa_dora_45.8317_13.2125,Villa Dora,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/villa_dora_45.8317_13.2125.json,custom
