# lat,lng,id,name,building_type,type,url,page_type
# Apricena -- Tutti
41.781975,15.443584,ov_studio_medico_neurologico_melchionda_41.7820_15.4436,Studio Medico Neurologico Melchionda,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/studio_medico_neurologico_melchionda_41.7820_15.4436.json,custom
41.783418,15.444963,ov_pizzeria_fast_food_scisci_41.7834_15.4450,Pizzeria Fast Food Scisci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/pizzeria_fast_food_scisci_41.7834_15.4450.json,custom
41.785036,15.445865,ov_cibo_a_catinelle_da_lucia_41.7850_15.4459,Cibo a Catinelle da Lucia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/cibo_a_catinelle_da_lucia_41.7850_15.4459.json,custom
41.785152,15.445560,ov_osteria_80_41.7852_15.4456,Osteria 80,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/osteria_80_41.7852_15.4456.json,custom
41.785166,15.445397,ov_fast_food_mc_queen_41.7852_15.4454,Fast food Mc Queen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/fast_food_mc_queen_41.7852_15.4454.json,custom
41.802057,15.445525,ov_olga_caf__restaurant_41.8021_15.4455,Olga Café Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/olga_caf_restaurant_41.8021_15.4455.json,custom
41.802819,15.426621,ov_il_boschetto_restaurant_and_pool_41.8028_15.4266,Il Boschetto Restaurant and Pool,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/il_boschetto_restaurant_and_pool_41.8028_15.4266.json,custom
41.800249,15.428418,ov_ristorante_dell_incoronata_41.8002_15.4284,Ristorante dell'Incoronata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/ristorante_dellincoronata_41.8002_15.4284.json,custom
41.796199,15.432153,ov_grotta_degli_ulivi_41.7962_15.4322,Grotta degli Ulivi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/grotta_degli_ulivi_41.7962_15.4322.json,custom
41.789547,15.444004,ov_the_notorious_41.7895_15.4440,The Notorious,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/the_notorious_41.7895_15.4440.json,custom
41.785681,15.442790,ov_da_nonna_peppina___la_tradizione_che_sor_41.7857_15.4428,Da Nonna Peppina - La Tradizione che Sorprende,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/da_nonna_peppina_-_la_tradizione_che_sor_41.7857_15.4428.json,custom
41.786048,15.442400,ov_rainbow_sushi_2_0_apricena_41.7860_15.4424,Rainbow Sushi 2.0 Apricena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/rainbow_sushi_20_apricena_41.7860_15.4424.json,custom
41.788447,15.441734,ov_l_arte_di_luciano_41.7884_15.4417,L'arte di Luciano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/larte_di_luciano_41.7884_15.4417.json,custom
41.785490,15.441855,ov_corte_federiciana_41.7855_15.4419,Corte Federiciana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/corte_federiciana_41.7855_15.4419.json,custom
41.784431,15.441196,ov_bisi__41.7844_15.4412,Bisiù,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/bisi_41.7844_15.4412.json,custom
41.784569,15.440280,ov_saiba_41.7846_15.4403,SAIBA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/saiba_41.7846_15.4403.json,custom
41.783591,15.439340,ov_le_tre_porte_41.7836_15.4393,Le Tre Porte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/le_tre_porte_41.7836_15.4393.json,custom
41.784291,15.443246,ov_pizzeria_free_time_41.7843_15.4432,Pizzeria Free Time,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/pizzeria_free_time_41.7843_15.4432.json,custom
41.783950,15.443580,ov_circolo_unione_41.7839_15.4436,Circolo Unione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/circolo_unione_41.7839_15.4436.json,custom
41.780935,15.447753,ov_palafranchino_apricena_41.7809_15.4478,Palafranchino Apricena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/palafranchino_apricena_41.7809_15.4478.json,custom
41.800274,15.500569,ov_cavatappi_41.8003_15.5006,Cavatappi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/cavatappi_41.8003_15.5006.json,custom
41.784544,15.451246,ov_bar_tabacchi_il_migliore_41.7845_15.4512,Bar Tabacchi Il Migliore,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/bar_tabacchi_il_migliore_41.7845_15.4512.json,custom
41.785074,15.447685,ov_business_cafe_41.7851_15.4477,Business Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/business_cafe_41.7851_15.4477.json,custom
41.782565,15.446506,ov_bar_centrale_41.7826_15.4465,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/bar_centrale_41.7826_15.4465.json,custom
41.782688,15.446575,ov_micro_bar_41.7827_15.4466,Micro bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/micro_bar_41.7827_15.4466.json,custom
41.782823,15.446303,ov_the_one_caf__41.7828_15.4463,The One Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/the_one_caf_41.7828_15.4463.json,custom
41.782497,15.445991,ov_fitzgerald_bar_41.7825_15.4460,Fitzgerald Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/fitzgerald_bar_41.7825_15.4460.json,custom
41.782967,15.445542,ov_green_music_school_del_sud_41.7830_15.4455,Green Music School del Sud,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/green_music_school_del_sud_41.7830_15.4455.json,custom
41.785144,15.445708,ov_bar_civico_82_41.7851_15.4457,Bar Civico 82,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/bar_civico_82_41.7851_15.4457.json,custom
41.787200,15.446302,ov_alma_cafe_41.7872_15.4463,Alma Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/alma_cafe_41.7872_15.4463.json,custom
41.802505,15.444404,ov_pummarella_apricena_41.8025_15.4444,Pummarella Apricena,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/pummarella_apricena_41.8025_15.4444.json,custom
41.788303,15.437808,ov_freedom_lounge_bar_apricena_41.7883_15.4378,Freedom Lounge Bar Apricena,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/freedom_lounge_bar_apricena_41.7883_15.4378.json,custom
41.790057,15.437895,ov_drink_bar_41.7901_15.4379,Drink Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/drink_bar_41.7901_15.4379.json,custom
41.789270,15.438494,ov_2_0_ristopub_41.7893_15.4385,2.0 RistoPub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/20_ristopub_41.7893_15.4385.json,custom
41.784980,15.440240,ov_caffetteria_del_corso__apricena_41.7850_15.4402,Caffetteria del corso  Apricena,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/caffetteria_del_corso_apricena_41.7850_15.4402.json,custom
41.784087,15.442002,ov_crema_e_cioccolato_41.7841_15.4420,Crema e cioccolato,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/crema_e_cioccolato_41.7841_15.4420.json,custom
41.784722,15.442163,ov_tavernacolo_apricena_41.7847_15.4422,Tavernacolo Apricena,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/tavernacolo_apricena_41.7847_15.4422.json,custom
41.783620,15.444394,ov_bar_excelsior_41.7836_15.4444,Bar Excelsior,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/bar_excelsior_41.7836_15.4444.json,custom
41.778784,15.437455,ov_caffetteria_la_mi_vida_41.7788_15.4375,Caffetteria La Mi Vida,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/caffetteria_la_mi_vida_41.7788_15.4375.json,custom
41.770370,15.429933,ov_gru_pizzicoli_41.7704_15.4299,gru_pizzicoli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/grupizzicoli_41.7704_15.4299.json,custom
41.763646,15.427055,ov_artis___beer_lab_41.7636_15.4271,Artis - Beer Lab,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/artis_-_beer_lab_41.7636_15.4271.json,custom
41.780235,15.447210,ov_lato_opposto_41.7802_15.4472,Lato Opposto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/lato_opposto_41.7802_15.4472.json,custom
41.788492,15.441758,osm_l_arte_di_luciano_41.7885_15.4418,L'Arte di Luciano,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/larte_di_luciano_41.7885_15.4418.json,custom
41.786308,15.448714,ov_world_fitness_41.7863_15.4487,World Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/world_fitness_41.7863_15.4487.json,custom
41.785250,15.448250,ov_viryabody_mind_41.7852_15.4482,ViryaBody&Mind,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/viryabodymind_41.7852_15.4482.json,custom
41.783079,15.448302,ov_cross_gym_41.7831_15.4483,Cross Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/cross_gym_41.7831_15.4483.json,custom
41.784715,15.447529,ov_vertical_studio_41.7847_15.4475,Vertical studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/vertical_studio_41.7847_15.4475.json,custom
41.782935,15.445165,ov_viscio_urban_design_41.7829_15.4452,Viscio Urban Design,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/viscio_urban_design_41.7829_15.4452.json,custom
41.785420,15.445428,ov_lp_dance_studio_41.7854_15.4454,LP Dance Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/lp_dance_studio_41.7854_15.4454.json,custom
41.784688,15.442589,ov_jofc_rodi_garganico_sez__di_apricena_41.7847_15.4426,Jofc Rodi Garganico sez. di Apricena,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/jofc_rodi_garganico_sez_di_apricena_41.7847_15.4426.json,custom
41.780307,15.445047,ov_zoom_dance_center_41.7803_15.4450,Zoom Dance center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/zoom_dance_center_41.7803_15.4450.json,custom
41.801263,15.420771,ov_campo_volo_apricena_fly_41.8013_15.4208,CAMPO VOLO Apricena FLY,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/campo_volo_apricena_fly_41.8013_15.4208.json,custom
41.756123,15.530507,ov_castelpagano_41.7561_15.5305,Castelpagano,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/castelpagano_41.7561_15.5305.json,custom
41.786143,15.441403,ov_biblioteca_nicola_pitta_comunale_41.7861_15.4414,Biblioteca Nicola Pitta Comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/biblioteca_nicola_pitta_comunale_41.7861_15.4414.json,custom
