# lat,lng,id,name,building_type,type,url,page_type
# niscemi -- Tutti
37.152063,14.384903,ov_ospedale_suor_cecilia_basarocco_37.1521_14.3849,Ospedale Suor Cecilia Basarocco,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/ospedale_suor_cecilia_basarocco_37.1521_14.3849.json,custom
37.141739,14.397489,ov_braceria_pizzeria_separe__37.1417_14.3975,Braceria Pizzeria Separe’,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/braceria_pizzeria_separe_37.1417_14.3975.json,custom
37.146814,14.413428,ov_villa_sofia_niscemi_37.1468_14.4134,Villa Sofia Niscemi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/villa_sofia_niscemi_37.1468_14.4134.json,custom
37.142273,14.426787,ov_soundgarden_music_pub_37.1423_14.4268,SoundGarden Music Pub,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/soundgarden_music_pub_37.1423_14.4268.json,custom
37.154122,14.452269,ov_ristorante_clich__sicilia_37.1541_14.4523,Ristorante Clichè Sicilia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/ristorante_clich_sicilia_37.1541_14.4523.json,custom
37.126404,14.393949,ov_bar_sicilia_37.1264_14.3939,Bar Sicilia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/bar_sicilia_37.1264_14.3939.json,custom
37.145592,14.383324,ov_kaos_pub_37.1456_14.3833,Kaos Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/kaos_pub_37.1456_14.3833.json,custom
37.145264,14.389694,ov_vintage_caf__37.1453_14.3897,Vintage cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/vintage_caf_37.1453_14.3897.json,custom
37.146344,14.392120,ov_dr_caff__mood_37.1463_14.3921,DR Caffè Mood,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/dr_caff_mood_37.1463_14.3921.json,custom
37.147010,14.386701,ov_vestro_pub_37.1470_14.3867,Vestro Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/vestro_pub_37.1470_14.3867.json,custom
37.146738,14.386389,ov_caffet_tiamo_37.1467_14.3864,Caffet Tiamo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/caffet_tiamo_37.1467_14.3864.json,custom
37.146501,14.387590,ov_d_g_bistrot_37.1465_14.3876,D&G bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/dg_bistrot_37.1465_14.3876.json,custom
37.145371,14.385884,ov_bar_vicari_37.1454_14.3859,Bar Vicari,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/bar_vicari_37.1454_14.3859.json,custom
37.145460,14.385524,ov_bar_buco_37.1455_14.3855,Bar Buco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/bar_buco_37.1455_14.3855.json,custom
37.145485,14.385370,ov_winebar_zanti_37.1455_14.3854,Winebar Zanti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/winebar_zanti_37.1455_14.3854.json,custom
37.145206,14.384858,ov_al_sedici_37.1452_14.3849,Al Sedici,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/al_sedici_37.1452_14.3849.json,custom
37.145196,14.384730,ov_nixenum_37.1452_14.3847,Nixenum,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/nixenum_37.1452_14.3847.json,custom
37.145438,14.384436,ov_frida_rooftop_bar_37.1454_14.3844,Frida Rooftop Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/frida_rooftop_bar_37.1454_14.3844.json,custom
37.145469,14.384143,ov_pasticceria_koala_37.1455_14.3841,Pasticceria Koala,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/pasticceria_koala_37.1455_14.3841.json,custom
37.145138,14.383906,ov_cartavetrata_37.1451_14.3839,Cartavetrata,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/cartavetrata_37.1451_14.3839.json,custom
37.145565,14.383476,ov_miro_37.1456_14.3835,Miro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/miro_37.1456_14.3835.json,custom
37.145560,14.383990,ov___friscu___premium_drink_37.1456_14.3840,Ò friscu - Premium drink,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/_friscu_-_premium_drink_37.1456_14.3840.json,custom
37.147862,14.387042,ov_bar_las_vegas_37.1479_14.3870,Bar Las Vegas,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/bar_las_vegas_37.1479_14.3870.json,custom
37.148940,14.386727,ov_bar_piper_37.1489_14.3867,Bar Piper,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/bar_piper_37.1489_14.3867.json,custom
37.150653,14.388324,ov_big_red_bar_niscemi_37.1507_14.3883,Big red bar Niscemi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/big_red_bar_niscemi_37.1507_14.3883.json,custom
37.150961,14.389208,ov_contrada_pilacane_37.1510_14.3892,Contrada Pilacane,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/contrada_pilacane_37.1510_14.3892.json,custom
37.150828,14.389494,ov_marvin_2_0_37.1508_14.3895,Marvin 2.0,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/marvin_20_37.1508_14.3895.json,custom
37.150302,14.391356,ov_bar_vulcano_37.1503_14.3914,bar vulcano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/bar_vulcano_37.1503_14.3914.json,custom
37.149624,14.392495,ov_bar_aurora_di_cutrona_sabrina_37.1496_14.3925,Bar Aurora di Cutrona Sabrina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/bar_aurora_di_cutrona_sabrina_37.1496_14.3925.json,custom
37.148620,14.389159,ov_shop_caff__37.1486_14.3892,Shop Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/shop_caff_37.1486_14.3892.json,custom
37.147839,14.389254,ov_al_vinsanto_37.1478_14.3893,Al Vinsanto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/al_vinsanto_37.1478_14.3893.json,custom
37.147514,14.390401,ov_chiosco_da_saro_37.1475_14.3904,Chiosco da Saro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/chiosco_da_saro_37.1475_14.3904.json,custom
37.146940,14.393889,ov_colorado_caff__37.1469_14.3939,Colorado Caffé,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/colorado_caff_37.1469_14.3939.json,custom
37.145797,14.392982,ov_bar_sicilia_chessari_37.1458_14.3930,Bar Sicilia Chessari,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/bar_sicilia_chessari_37.1458_14.3930.json,custom
37.145973,14.395804,ov_la_dolce_vita_saverio_e_lidia_parisi_37.1460_14.3958,La dolce vita Saverio e Lidia Parisi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/la_dolce_vita_saverio_e_lidia_parisi_37.1460_14.3958.json,custom
37.143117,14.394508,ov_plaza_caffe_37.1431_14.3945,Plaza Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/plaza_caffe_37.1431_14.3945.json,custom
37.143066,14.394761,ov_bar_paradise_37.1431_14.3948,BAR Paradise,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/bar_paradise_37.1431_14.3948.json,custom
37.139053,14.398390,ov_caff__italia____37.1391_14.3984,Caffé Italia''',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/caff_italia_37.1391_14.3984.json,custom
37.142335,14.391112,ov_bar_t_t_37.1423_14.3911,Bar T&T,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/bar_tt_37.1423_14.3911.json,custom
37.142064,14.426973,ov_birrificio_terre_a_sud_est_37.1421_14.4270,Birrificio Terre a Sud Est,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/birrificio_terre_a_sud_est_37.1421_14.4270.json,custom
37.151846,14.385447,ov_chiosco_europa_37.1518_14.3854,Chiosco Europa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/chiosco_europa_37.1518_14.3854.json,custom
37.147841,14.394478,ov_tiger_school_37.1478_14.3945,Tiger School,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/tiger_school_37.1478_14.3945.json,custom
37.149512,14.393506,ov_mg_fitness_club_37.1495_14.3935,MG fitness club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/mg_fitness_club_37.1495_14.3935.json,custom
37.146035,14.396199,ov_studio_chinesioligico_dott__luigi_alario_37.1460_14.3962,Studio Chinesioligico Dott. Luigi Alario,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/studio_chinesioligico_dott_luigi_alario_37.1460_14.3962.json,custom
37.139095,14.398403,ov_asd_power_gym_37.1391_14.3984,Asd power gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/asd_power_gym_37.1391_14.3984.json,custom
37.136450,14.402550,ov_emm3_studio_37.1365_14.4025,EMM3 Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/emm3_studio_37.1365_14.4025.json,custom
37.143274,14.407065,ov_gt_sport_37.1433_14.4071,GT SPORT,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/gt_sport_37.1433_14.4071.json,custom
37.146233,14.406802,ov_one_dance___fitness_37.1462_14.4068,One Dance & Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/one_dance_fitness_37.1462_14.4068.json,custom
37.146216,14.404493,ov_fitness_center_37.1462_14.4045,Fitness Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/fitness_center_37.1462_14.4045.json,custom
37.150684,14.448710,ov_centro_equitazione_niscemi_37.1507_14.4487,Centro Equitazione Niscemi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/centro_equitazione_niscemi_37.1507_14.4487.json,custom
37.152657,14.386013,ov_centro_sportivo_pio_la_torre_37.1527_14.3860,Centro sportivo Pio la Torre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/centro_sportivo_pio_la_torre_37.1527_14.3860.json,custom
37.145953,14.391223,ov_museo_civico_di_niscemi_37.1460_14.3912,Museo Civico di Niscemi,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/museo_civico_di_niscemi_37.1460_14.3912.json,custom
37.151699,14.384586,ov_museo_didattico_comprensoriale_di_storia_37.1517_14.3846,Museo Didattico Comprensoriale di Storia Naturale,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/museo_didattico_comprensoriale_di_storia_37.1517_14.3846.json,custom
37.151788,14.384728,ov_museo_civico_di_niscemi_37.1518_14.3847,Museo Civico di Niscemi,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/museo_civico_di_niscemi_37.1518_14.3847.json,custom
