# lat,lng,id,name,building_type,type,url,page_type
# Serravalle Scrivia -- Tutti
44.742464,8.841811,ov_ospedale_di_novi_ligure_44.7425_8.8418,Ospedale Di Novi Ligure,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/ospedale_di_novi_ligure_44.7425_8.8418.json,custom
44.732451,8.836369,ov_obic____serravalle_44.7325_8.8364,Obicà - Serravalle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/obic_-_serravalle_44.7325_8.8364.json,custom
44.730332,8.838218,ov_sushi_serravalle_snc_di_chen_huihui___c_44.7303_8.8382,Sushi Serravalle SNC di Chen Huihui & C,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/sushi_serravalle_snc_di_chen_huihui_c_44.7303_8.8382.json,custom
44.730512,8.839316,ov_serravalle_44.7305_8.8393,SERRAVALLE,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/serravalle_44.7305_8.8393.json,custom
44.719049,8.859178,ov_merlo_eliana_44.7190_8.8592,Merlo Eliana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/merlo_eliana_44.7190_8.8592.json,custom
44.718967,8.859462,ov_hostaria_3_scalini_44.7190_8.8595,Hostaria 3 Scalini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/hostaria_3_scalini_44.7190_8.8595.json,custom
44.723455,8.857413,ov_autogrill_44.7235_8.8574,Autogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/autogrill_44.7235_8.8574.json,custom
44.723390,8.857520,ov_burger_king_44.7234_8.8575,Burger King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/burger_king_44.7234_8.8575.json,custom
44.721383,8.858764,ov_pizzeria_del_monumento_44.7214_8.8588,Pizzeria del Monumento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/pizzeria_del_monumento_44.7214_8.8588.json,custom
44.721024,8.859038,ov_la_farinata_dal_1954_44.7210_8.8590,La Farinata dal 1954,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/la_farinata_dal_1954_44.7210_8.8590.json,custom
44.733318,8.832125,ov_roadhouse_restaurant_44.7333_8.8321,Roadhouse Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/roadhouse_restaurant_44.7333_8.8321.json,custom
44.732824,8.835685,ov_ham_holy_burger___serravalle_designer_ou_44.7328_8.8357,Ham Holy Burger - Serravalle Designer Outlet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/ham_holy_burger_-_serravalle_designer_ou_44.7328_8.8357.json,custom
44.735061,8.835971,ov_i_love_poke_44.7351_8.8360,I Love Poke,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/i_love_poke_44.7351_8.8360.json,custom
44.735292,8.836555,ov_autogrill_44.7353_8.8366,Autogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/autogrill_44.7353_8.8366.json,custom
44.735374,8.836636,ov_burger_king_44.7354_8.8366,Burger King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/burger_king_44.7354_8.8366.json,custom
44.735452,8.837002,ov_wagamama_44.7355_8.8370,Wagamama,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/wagamama_44.7355_8.8370.json,custom
44.735497,8.838252,ov_god_save_the_food___serravalle_scrivia_o_44.7355_8.8383,God Save The Food - Serravalle Scrivia Outlet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/god_save_the_food_-_serravalle_scrivia_o_44.7355_8.8383.json,custom
44.735620,8.838771,ov_mcdonald_s_44.7356_8.8388,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/mcdonalds_44.7356_8.8388.json,custom
44.735790,8.838700,ov_la_caveja_44.7358_8.8387,La Caveja,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/la_caveja_44.7358_8.8387.json,custom
44.735734,8.836641,ov_spizzico_44.7357_8.8366,Spizzico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/spizzico_44.7357_8.8366.json,custom
44.735531,8.836680,ov_eataly_44.7355_8.8367,Eataly,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/eataly_44.7355_8.8367.json,custom
44.736163,8.835422,ov_farinella_44.7362_8.8354,Farinella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/farinella_44.7362_8.8354.json,custom
44.736343,8.835182,ov_obic__mozzarella_bar_44.7363_8.8352,Obicà Mozzarella Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/obic_mozzarella_bar_44.7363_8.8352.json,custom
44.735773,8.830440,ov_pizzium_44.7358_8.8304,Pizzium,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/pizzium_44.7358_8.8304.json,custom
44.735906,8.830632,ov_la_sosta_44.7359_8.8306,La Sosta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/la_sosta_44.7359_8.8306.json,custom
44.735822,8.830086,ov_billy_tacos_44.7358_8.8301,Billy Tacos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/billy_tacos_44.7358_8.8301.json,custom
44.735695,8.830101,ov_calavera_restaurant_44.7357_8.8301,Calavera Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/calavera_restaurant_44.7357_8.8301.json,custom
44.736351,8.830442,ov_burger_king_44.7364_8.8304,Burger King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/burger_king_44.7364_8.8304.json,custom
44.737020,8.836889,ov_bomaki_44.7370_8.8369,BOMAKI,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/bomaki_44.7370_8.8369.json,custom
44.736714,8.835923,ov_focaccino___the_italian_bakery_44.7367_8.8359,Focaccino | The Italian Bakery,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/focaccino_the_italian_bakery_44.7367_8.8359.json,custom
44.734960,8.849199,ov_pre_mat_logistics_srl_44.7350_8.8492,Pre.mat Logistics srl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/premat_logistics_srl_44.7350_8.8492.json,custom
44.745360,8.846450,ov_agricom_alimenti_per_l_alveare_44.7454_8.8465,Agricom Alimenti per l'alveare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/agricom_alimenti_per_lalveare_44.7454_8.8465.json,custom
44.744316,8.839674,ov_tenuta_san_giorgio_44.7443_8.8397,Tenuta San Giorgio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/tenuta_san_giorgio_44.7443_8.8397.json,custom
44.728386,8.852662,osm_pesca_e_mangia_44.7284_8.8527,Pesca e Mangia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/pesca_e_mangia_44.7284_8.8527.json,custom
44.728752,8.846650,ov_new_locanda_antichi_sapori_44.7288_8.8466,New Locanda Antichi Sapori,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/new_locanda_antichi_sapori_44.7288_8.8466.json,custom
44.730691,8.838701,ov_portello_caffe_44.7307_8.8387,Portello Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/portello_caffe_44.7307_8.8387.json,custom
44.732017,8.836462,ov_32_via_dei_birrai_beer_shop_bistrot_44.7320_8.8365,32 Via dei birrai Beer Shop Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/32_via_dei_birrai_beer_shop_bistrot_44.7320_8.8365.json,custom
44.720280,8.858560,ov_new_locanda_antichi_sapori_44.7203_8.8586,New Locanda Antichi Sapori,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/new_locanda_antichi_sapori_44.7203_8.8586.json,custom
44.720937,8.853617,ov_caffe_latte_44.7209_8.8536,Caffe Latte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/caffe_latte_44.7209_8.8536.json,custom
44.723340,8.857348,ov_baila_al_fella_44.7233_8.8573,BAILA al FELLA,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/baila_al_fella_44.7233_8.8573.json,custom
44.723069,8.857778,ov_caffe_centrale_44.7231_8.8578,Caffe Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/caffe_centrale_44.7231_8.8578.json,custom
44.723653,8.857966,ov_ruben_s_cafe_44.7237_8.8580,Ruben's Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/rubens_cafe_44.7237_8.8580.json,custom
44.722107,8.858521,ov_vino_e_caffe_44.7221_8.8585,Vino e Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/vino_e_caffe_44.7221_8.8585.json,custom
44.733204,8.835574,ov_bonetti_serravalle_44.7332_8.8356,Bonetti Serravalle,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/bonetti_serravalle_44.7332_8.8356.json,custom
44.729718,8.850656,osm_la_suissa_44.7297_8.8507,La Suissa,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/la_suissa_44.7297_8.8507.json,custom
44.725421,8.856097,osm_ruben_s_caf__44.7254_8.8561,Ruben's Café,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/rubens_caf_44.7254_8.8561.json,custom
44.720368,8.863828,osm_lux_caf__44.7204_8.8638,Lux Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/lux_caf_44.7204_8.8638.json,custom
44.724814,8.856271,osm_bar_del_corso_44.7248_8.8563,Bar del corso,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/bar_del_corso_44.7248_8.8563.json,custom
44.730681,8.837111,ov_punto_di_ristoro___antonio_marzano_44.7307_8.8371,Punto di ristoro - Antonio Marzano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/punto_di_ristoro_-_antonio_marzano_44.7307_8.8371.json,custom
44.720632,8.863071,ov_fight_club_stazzano_44.7206_8.8631,Fight Club Stazzano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/fight_club_stazzano_44.7206_8.8631.json,custom
44.720794,8.858948,ov_ufficio_del_giudice_di_pace_44.7208_8.8589,Ufficio del Giudice di Pace,GOVERNMENT,ufficio_pubblico,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/ufficio_del_giudice_di_pace_44.7208_8.8589.json,custom
44.722530,8.857680,ov_biblioteca_serravalle_scrivia_44.7225_8.8577,Biblioteca Serravalle Scrivia,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/biblioteca_serravalle_scrivia_44.7225_8.8577.json,custom
