# lat,lng,id,name,building_type,type,url,page_type
# sankt_moritz -- Tutti
46.483511,9.835104,ov_klinik_gut_st__moritz_46.4835_9.8351,Klinik Gut St. Moritz,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/klinik_gut_st_moritz_46.4835_9.8351.json,custom
46.498920,9.839878,ov_la_stalla_46.4989_9.8399,La Stalla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/la_stalla_46.4989_9.8399.json,custom
46.498628,9.839527,ov_the_mono_restaurant_46.4986_9.8395,The Mono Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/the_mono_restaurant_46.4986_9.8395.json,custom
46.498471,9.839589,ov_restaurant_grischuna_46.4985_9.8396,Restaurant Grischuna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/restaurant_grischuna_46.4985_9.8396.json,custom
46.498256,9.839615,ov_hatecke_46.4983_9.8396,Hatecke,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/hatecke_46.4983_9.8396.json,custom
46.499100,9.839244,ov_top_of_the_food_st__moritz_46.4991_9.8392,Top of the Food St. Moritz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/top_of_the_food_st_moritz_46.4991_9.8392.json,custom
46.499030,9.839010,ov_la_scarpetta_2_0_46.4990_9.8390,La Scarpetta 2.0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/la_scarpetta_20_46.4990_9.8390.json,custom
46.498335,9.838873,ov_restaurant_skih_tte_alpina_46.4983_9.8389,Restaurant Skihütte Alpina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/restaurant_skihtte_alpina_46.4983_9.8389.json,custom
46.497690,9.838080,ov_ecco_fine_dining_46.4977_9.8381,Ecco Fine Dining,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/ecco_fine_dining_46.4977_9.8381.json,custom
46.497690,9.838080,ov_hide___seek_restaurants_46.4977_9.8381,Hide & Seek Restaurants,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/hide_seek_restaurants_46.4977_9.8381.json,custom
46.497006,9.838163,ov_riccardo_s_46.4970_9.8382,Riccardo's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/riccardos_46.4970_9.8382.json,custom
46.497002,9.837857,ov_restaurant_acla_46.4970_9.8379,Restaurant Acla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/restaurant_acla_46.4970_9.8379.json,custom
46.497121,9.837051,ov_balthazar_st__moritz_46.4971_9.8371,Balthazar St. Moritz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/balthazar_st_moritz_46.4971_9.8371.json,custom
46.494412,9.835005,ov_grissini_46.4944_9.8350,Grissini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/grissini_46.4944_9.8350.json,custom
46.499382,9.828683,ov_celeste_bistrot_46.4994_9.8287,Celeste Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/celeste_bistrot_46.4994_9.8287.json,custom
46.499371,9.828723,ov_roter_moritz_46.4994_9.8287,Roter Moritz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/roter_moritz_46.4994_9.8287.json,custom
46.499636,9.828431,ov_langosteria_46.4996_9.8284,Langosteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/langosteria_46.4996_9.8284.json,custom
46.499512,9.828367,ov_chesa_chantarella_46.4995_9.8284,Chesa Chantarella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/chesa_chantarella_46.4995_9.8284.json,custom
46.482334,9.833602,ov_crazy_pizza_st__moritz_46.4823_9.8336,Crazy Pizza St. Moritz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/crazy_pizza_st_moritz_46.4823_9.8336.json,custom
46.482599,9.832935,ov_billionaire_st__moritz_46.4826_9.8329,Billionaire St. Moritz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/billionaire_st_moritz_46.4826_9.8329.json,custom
46.482640,9.831120,ov_la_baracca_st__moritz_46.4826_9.8311,la baracca st. moritz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/la_baracca_st_moritz_46.4826_9.8311.json,custom
46.481997,9.831851,ov_ul_cusch_46.4820_9.8319,Ul Cusch,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/ul_cusch_46.4820_9.8319.json,custom
46.476163,9.823501,ov_ristorante_peppino_s_46.4762_9.8235,Ristorante Peppino's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/ristorante_peppinos_46.4762_9.8235.json,custom
46.475712,9.822748,ov_tennisclub_st__moritz_46.4757_9.8227,Tennisclub St. Moritz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/tennisclub_st_moritz_46.4757_9.8227.json,custom
46.484531,9.819946,ov_grand_restaurant_46.4845_9.8199,Grand Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/grand_restaurant_46.4845_9.8199.json,custom
46.490462,9.821682,ov_clavadatsch_46.4905_9.8217,Clavadatsch,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/clavadatsch_46.4905_9.8217.json,custom
46.493550,9.902000,ov_r_experience_pop_up_kitchen___bar_46.4935_9.9020,R-Experience Pop-Up Kitchen & Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/r-experience_pop-up_kitchen_bar_46.4935_9.9020.json,custom
46.497428,9.844827,ov_caff__spettacolo_46.4974_9.8448,Caffè Spettacolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/caff_spettacolo_46.4974_9.8448.json,custom
46.488916,9.835221,ov_banfi_s_46.4889_9.8352,Banfi's,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/banfis_46.4889_9.8352.json,custom
46.490147,9.836605,ov_la_gondla_1837_46.4901_9.8366,La Gondla 1837,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/la_gondla_1837_46.4901_9.8366.json,custom
46.497740,9.840693,ov_roth_bar_st_moritz_46.4977_9.8407,Roth Bar St Moritz,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/roth_bar_st_moritz_46.4977_9.8407.json,custom
46.499444,9.842733,ov_sunny_bar___grill_46.4994_9.8427,Sunny Bar & Grill,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/sunny_bar_grill_46.4994_9.8427.json,custom
46.498900,9.839866,ov_bailando_46.4989_9.8399,Bailando,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/bailando_46.4989_9.8399.json,custom
46.498697,9.840162,ov_caf__belmont_46.4987_9.8402,Café Belmont,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/caf_belmont_46.4987_9.8402.json,custom
46.498979,9.839154,ov_nayansushistmoritz_46.4990_9.8392,NAYANSushiStmoritz,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/nayansushistmoritz_46.4990_9.8392.json,custom
46.498900,9.839416,ov_pavarotti_friends_46.4989_9.8394,Pavarotti Friends,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/pavarotti_friends_46.4989_9.8394.json,custom
46.497306,9.838521,ov_cow_bar_and_grill_46.4973_9.8385,Cow Bar and Grill,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/cow_bar_and_grill_46.4973_9.8385.json,custom
46.496984,9.837963,ov_pianobar_46.4970_9.8380,Pianobar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/pianobar_46.4970_9.8380.json,custom
46.496162,9.837030,ov_bobby_s_pub_46.4962_9.8370,Bobby's Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/bobbys_pub_46.4962_9.8370.json,custom
46.496977,9.837816,ov_st_bli_st__moritz_46.4970_9.8378,Stübli St. Moritz,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/stbli_st_moritz_46.4970_9.8378.json,custom
46.497430,9.837817,ov_roo_bar_st__moritz_46.4974_9.8378,Roo Bar St. Moritz,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/roo_bar_st_moritz_46.4974_9.8378.json,custom
46.495325,9.836314,ov_zoo_bar_46.4953_9.8363,Zoo Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/zoo_bar_46.4953_9.8363.json,custom
46.482041,9.832246,ov_sunnest_bli_46.4820_9.8322,Sunnestübli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/sunnestbli_46.4820_9.8322.json,custom
46.484533,9.819948,ov_anton_s_bar_46.4845_9.8199,Anton's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/antons_bar_46.4845_9.8199.json,custom
46.494420,9.822119,ov_alp_giop_46.4944_9.8221,Alp Giop,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/alp_giop_46.4944_9.8221.json,custom
46.484740,9.839641,ov_leichtathletikbahn_46.4847_9.8396,Leichtathletikbahn,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/leichtathletikbahn_46.4847_9.8396.json,custom
46.484960,9.835872,ov_x_fun_46.4850_9.8359,X-Fun,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/x-fun_46.4850_9.8359.json,custom
46.494786,9.843694,ov_st__moritz_polo_46.4948_9.8437,St. Moritz Polo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/st_moritz_polo_46.4948_9.8437.json,custom
46.497479,9.842193,ov_update_fitness_46.4975_9.8422,Update Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/update_fitness_46.4975_9.8422.json,custom
46.499975,9.842331,ov_vivis_health_lounge_46.5000_9.8423,Vivis Health Lounge,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/vivis_health_lounge_46.5000_9.8423.json,custom
46.496030,9.837047,ov_fresk_46.4960_9.8370,Fresk,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/fresk_46.4960_9.8370.json,custom
46.497202,9.837358,ov_the_beat_46.4972_9.8374,The Beat,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/the_beat_46.4972_9.8374.json,custom
46.483782,9.833429,ov_st_moritz_ski_school_european_snowsport_46.4838_9.8334,St Moritz Ski School European Snowsport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/st_moritz_ski_school_european_snowsport_46.4838_9.8334.json,custom
46.483331,9.832783,ov_corviglia_snowpark_46.4833_9.8328,corviglia snowpark,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/corviglia_snowpark_46.4833_9.8328.json,custom
46.481235,9.832380,ov_tennis_and_squash_center_st__moritz_46.4812_9.8324,Tennis and Squash Center St. Moritz,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/tennis_and_squash_center_st_moritz_46.4812_9.8324.json,custom
46.484997,9.820686,ov_suvretta_sports___skischule_suvretta_st__46.4850_9.8207,Suvretta Sports - Skischule Suvretta St. Moritz,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/suvretta_sports_-_skischule_suvretta_st__46.4850_9.8207.json,custom
46.497465,9.856004,ov_mili_weber_museum_46.4975_9.8560,Mili Weber Museum,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/mili_weber_museum_46.4975_9.8560.json,custom
46.483245,9.835933,ov_forum_paracelsus_46.4832_9.8359,Forum Paracelsus,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/forum_paracelsus_46.4832_9.8359.json,custom
46.499701,9.841333,ov_leaning_tower_of_st__moritz_46.4997_9.8413,Leaning Tower of St. Moritz,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/leaning_tower_of_st_moritz_46.4997_9.8413.json,custom
46.499501,9.841234,ov_cresta___bob_museum_46.4995_9.8412,Cresta & Bob Museum,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/cresta_bob_museum_46.4995_9.8412.json,custom
46.498800,9.839030,ov_engadiner_museumsnacht_46.4988_9.8390,Engadiner Museumsnacht,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/engadiner_museumsnacht_46.4988_9.8390.json,custom
46.493916,9.835365,ov_engadiner_museum_46.4939_9.8354,Engadiner Museum,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/engadiner_museum_46.4939_9.8354.json,custom
46.492698,9.833360,ov_segantini_museum_46.4927_9.8334,Segantini Museum,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/segantini_museum_46.4927_9.8334.json,custom
