# lat,lng,id,name,building_type,type,url,page_type
# montegranaro -- Tutti
43.228775,13.620696,ov_ospedale_43.2288_13.6207,Ospedale,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/ospedale_43.2288_13.6207.json,custom
43.233581,13.632481,ov_na_stilla_43.2336_13.6325,Na stilla,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/na_stilla_43.2336_13.6325.json,custom
43.233311,13.631826,ov_bar_tropical_43.2333_13.6318,Bar tropical,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/bar_tropical_43.2333_13.6318.json,custom
43.233497,13.632166,ov_puff_gong_43.2335_13.6322,Puff Gong,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/puff_gong_43.2335_13.6322.json,custom
43.226853,13.628761,ov_bar_boncore_43.2269_13.6288,Bar Boncore,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/bar_boncore_43.2269_13.6288.json,custom
43.234299,13.633930,ov_bar_paradise_43.2343_13.6339,Bar Paradise,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/bar_paradise_43.2343_13.6339.json,custom
43.234564,13.636190,ov_scaramante_caffetteria_bistrot_43.2346_13.6362,Scaramante Caffetteria Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/scaramante_caffetteria_bistrot_43.2346_13.6362.json,custom
43.234173,13.636255,ov_no_osoo_caf__43.2342_13.6363,No'osoo cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/noosoo_caf_43.2342_13.6363.json,custom
43.234764,13.637142,ov_bar_del_commercio_43.2348_13.6371,Bar del Commercio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/bar_del_commercio_43.2348_13.6371.json,custom
43.237840,13.641510,ov_tao_club_montegranaro_43.2378_13.6415,TAO CLUB Montegranaro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/tao_club_montegranaro_43.2378_13.6415.json,custom
43.237779,13.645308,ov_continental_bar_43.2378_13.6453,Continental Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/continental_bar_43.2378_13.6453.json,custom
43.242582,13.645930,ov_bar_el_farelito_43.2426_13.6459,Bar El Farelito,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/bar_el_farelito_43.2426_13.6459.json,custom
43.243247,13.647093,ov_isenz_bar_43.2432_13.6471,ISenz bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/isenz_bar_43.2432_13.6471.json,custom
43.059199,13.712035,ov_la_diva_bottiglia_43.0592_13.7120,La Diva Bottiglia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/la_diva_bottiglia_43.0592_13.7120.json,custom
43.230697,13.627826,osm_bar_delle_rose_43.2307_13.6278,Bar delle rose,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/bar_delle_rose_43.2307_13.6278.json,custom
43.260804,13.650712,osm_caff__doppio_43.2608_13.6507,Caffè Doppio,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/caff_doppio_43.2608_13.6507.json,custom
43.233937,13.633266,osm_hop__n_roll_43.2339_13.6333,Hop 'n'Roll,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/hop_nroll_43.2339_13.6333.json,custom
43.233290,13.635305,ov_carillon_dance_experience_43.2333_13.6353,Carillon Dance Experience,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/carillon_dance_experience_43.2333_13.6353.json,custom
43.234563,13.636194,ov_boario_club_centro_fitness_43.2346_13.6362,Boario Club Centro Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/boario_club_centro_fitness_43.2346_13.6362.json,custom
43.236619,13.641529,ov_kumbha_mela___centro_yoga_43.2366_13.6415,Kumbha Mela - centro yoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/kumbha_mela_-_centro_yoga_43.2366_13.6415.json,custom
43.241044,13.642497,ov_palestra_comunale_san_liborio_43.2410_13.6425,Palestra comunale San Liborio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/palestra_comunale_san_liborio_43.2410_13.6425.json,custom
43.239195,13.646927,ov_asd_benefits_43.2392_13.6469,ASD Benefits,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/asd_benefits_43.2392_13.6469.json,custom
43.214196,13.642988,ov_olimpia_sporting_club_43.2142_13.6430,Olimpia Sporting Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/olimpia_sporting_club_43.2142_13.6430.json,custom
43.230920,13.628997,ov_principato_de_fujema_43.2309_13.6290,Principato De Fujema,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/principato_de_fujema_43.2309_13.6290.json,custom
43.233001,13.631329,ov_biblioteca_comunale_43.2330_13.6313,Biblioteca Comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/biblioteca_comunale_43.2330_13.6313.json,custom
43.232931,13.631358,osm_biblioteca_comunale_di_montegranaro_43.2329_13.6314,Biblioteca Comunale di Montegranaro,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/biblioteca_comunale_di_montegranaro_43.2329_13.6314.json,custom
