# lat,lng,id,name,building_type,type,url,page_type
# grado -- Tutti
45.677511,13.383616,osm_porta_grande_45.6775_13.3836,Porta Grande,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/porta_grande_45.6775_13.3836.json,custom
45.677320,13.386695,osm_excelsior_45.6773_13.3867,Excelsior,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/excelsior_45.6773_13.3867.json,custom
45.677450,13.384628,osm_campiello_della_torre_45.6775_13.3846,Campiello della Torre,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/campiello_della_torre_45.6775_13.3846.json,custom
45.677377,13.394388,osm_bee_happy_45.6774_13.3944,Bee Happy,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/bee_happy_45.6774_13.3944.json,custom
45.677037,13.427727,osm_laguna_gradese_45.6770_13.4277,Laguna Gradese,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/laguna_gradese_45.6770_13.4277.json,custom
45.677224,13.426077,osm_pineta_beach_45.6772_13.4261,Pineta Beach,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/pineta_beach_45.6772_13.4261.json,custom
45.677396,13.424706,osm_spiaggia_di_snoopy_45.6774_13.4247,Spiaggia di Snoopy,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/spiaggia_di_snoopy_45.6774_13.4247.json,custom
45.683360,13.415120,ov_centro_panta_rei_45.6834_13.4151,Centro Panta Rei,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/centro_panta_rei_45.6834_13.4151.json,custom
45.683113,13.414563,ov_oasi_gym_grado_45.6831_13.4146,Oasi Gym Grado,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/oasi_gym_grado_45.6831_13.4146.json,custom
45.680943,13.379134,ov_summer_gym_beach_by_panta_rei___asd_lagu_45.6809_13.3791,Summer Gym Beach by Panta Rei & ASD Laguna Champ,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/summer_gym_beach_by_panta_rei_asd_laguna_45.6809_13.3791.json,custom
45.679021,13.386566,ov_dance_all_day___grado_45.6790_13.3866,Dance All Day · Grado,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/dance_all_day_grado_45.6790_13.3866.json,custom
45.678658,13.411644,ov_grado_sport_village___gsv_45.6787_13.4116,Grado Sport Village - Gsv,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/grado_sport_village_-_gsv_45.6787_13.4116.json,custom
45.677481,13.395106,ov_minigolf_club_grado_45.6775_13.3951,Minigolf Club Grado,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/minigolf_club_grado_45.6775_13.3951.json,custom
45.679009,13.401442,osm_beutyful_body_center_45.6790_13.4014,Beutyful Body Center,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/beutyful_body_center_45.6790_13.4014.json,custom
45.676553,13.383220,ov_museo_nazionale_dell_archeologia_subacqu_45.6766_13.3832,Museo Nazionale dell'Archeologia Subacquea,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/museo_nazionale_dellarcheologia_subacque_45.6766_13.3832.json,custom
45.678960,13.381740,ov_amici_della_biblioteca_di_grado_45.6790_13.3817,Amici della Biblioteca di Grado,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/amici_della_biblioteca_di_grado_45.6790_13.3817.json,custom
