# lat,lng,id,name,building_type,type,url,page_type
# grado -- Tutti
45.677409,13.384452,ov_ristorante_adriatico_45.6774_13.3845,Ristorante Adriatico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/ristorante_adriatico_45.6774_13.3845.json,custom
45.677472,13.384601,ov_osteria_campiello_della_torre_45.6775_13.3846,Osteria Campiello della Torre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/osteria_campiello_della_torre_45.6775_13.3846.json,custom
45.677566,13.383405,ov_tavernetta_al_portego_di_scaramuzza_anto_45.6776_13.3834,Tavernetta al Portego di Scaramuzza Antonio Antonio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/tavernetta_al_portego_di_scaramuzza_anto_45.6776_13.3834.json,custom
45.677516,13.383721,ov_vecchia_marina_45.6775_13.3837,Vecchia Marina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/vecchia_marina_45.6775_13.3837.json,custom
45.677706,13.382971,ov_la_piadineria_45.6777_13.3830,La Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/la_piadineria_45.6777_13.3830.json,custom
45.677670,13.383206,ov_trattoria_la_perla_45.6777_13.3832,Trattoria La Perla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/trattoria_la_perla_45.6777_13.3832.json,custom
45.677681,13.383796,ov_la_caina_45.6777_13.3838,La Caina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/la_caina_45.6777_13.3838.json,custom
45.677665,13.384683,ov_in_piaseta_45.6777_13.3847,In Piaseta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/in_piaseta_45.6777_13.3847.json,custom
45.677797,13.382745,ov_ai_bragossi_45.6778_13.3827,Ai Bragossi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/ai_bragossi_45.6778_13.3827.json,custom
45.676662,13.384329,ov_in_stralonga_45.6767_13.3843,In Stralonga,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/in_stralonga_45.6767_13.3843.json,custom
45.676678,13.387976,ov_la_ravaiarina__il_ristorante_sull_isola_45.6767_13.3880,"La ravaiarina, il ristorante sull'isola",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/la_ravaiarina_il_ristorante_sullisola_45.6767_13.3880.json,custom
45.676616,13.385918,ov_hosteria_de_gustibus_mmxvi_45.6766_13.3859,Hosteria De Gustibus MMXVI,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/hosteria_de_gustibus_mmxvi_45.6766_13.3859.json,custom
45.676543,13.396043,ov_bar_ristorante_antiche_terme_45.6765_13.3960,Bar Ristorante Antiche Terme,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/bar_ristorante_antiche_terme_45.6765_13.3960.json,custom
45.676720,13.390930,ov_g_i_t__grado_impianti_turistici___bar_gi_45.6767_13.3909,G.I.T. Grado Impianti Turistici - Bar Giardini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/git_grado_impianti_turistici_-_bar_giard_45.6767_13.3909.json,custom
45.676859,13.390024,ov_al_doge_grado_45.6769_13.3900,Al Doge Grado,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/al_doge_grado_45.6769_13.3900.json,custom
45.676750,13.384891,ov_tavernetta_all_androna_45.6767_13.3849,Tavernetta all'Androna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/tavernetta_allandrona_45.6767_13.3849.json,custom
45.676739,13.384641,ov_ristorante_taverna_al_canevon_45.6767_13.3846,Ristorante Taverna al Canevon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/ristorante_taverna_al_canevon_45.6767_13.3846.json,custom
45.676912,13.388084,ov_la_ciacolada_45.6769_13.3881,La Ciacolada,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/la_ciacolada_45.6769_13.3881.json,custom
45.676981,13.385661,ov_trattoria_cicchetteria_bruno_masaneta_45.6770_13.3857,Trattoria Cicchetteria Bruno Masaneta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/trattoria_cicchetteria_bruno_masaneta_45.6770_13.3857.json,custom
45.676992,13.388275,ov_trattoria_alla_posta_da_jimmy_45.6770_13.3883,Trattoria Alla Posta da Jimmy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/trattoria_alla_posta_da_jimmy_45.6770_13.3883.json,custom
45.677033,13.383913,ov_trattoria_de_toni_45.6770_13.3839,Trattoria De Toni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/trattoria_de_toni_45.6770_13.3839.json,custom
45.677092,13.383486,ov_lounge_bar_duca_d_aosta_45.6771_13.3835,Lounge Bar Duca d'Aosta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/lounge_bar_duca_daosta_45.6771_13.3835.json,custom
45.677172,13.383766,ov_pescada_45.6772_13.3838,Pescada,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/pescada_45.6772_13.3838.json,custom
