# lat,lng,id,name,building_type,type,url,page_type
# Valsamoggia -- Tutti
44.507070,11.172818,ov_pizza_e_cucina_44.5071_11.1728,Pizza'e cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/pizzae_cucina_44.5071_11.1728.json,custom
44.512428,11.169810,ov_la_buona_forchetta_44.5124_11.1698,La Buona Forchetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/la_buona_forchetta_44.5124_11.1698.json,custom
44.510761,11.143224,osm_america_graffiti_diner_restaurant_44.5108_11.1432,America Graffiti Diner Restaurant,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/america_graffiti_diner_restaurant_44.5108_11.1432.json,custom
44.507158,11.067746,ov_dream_cafe_44.5072_11.0677,Dream Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/dream_cafe_44.5072_11.0677.json,custom
44.500769,11.085057,ov_bar_prince_44.5008_11.0851,Bar Prince,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/bar_prince_44.5008_11.0851.json,custom
44.504802,11.083681,ov_bar_l_angolo_44.5048_11.0837,Bar L'Angolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/bar_langolo_44.5048_11.0837.json,custom
44.505174,11.083330,ov_moma_caff__44.5052_11.0833,Moma Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/moma_caff_44.5052_11.0833.json,custom
44.504975,11.083006,ov_bazzano_piazza_ga_44.5050_11.0830,Bazzano Piazza Ga,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/bazzano_piazza_ga_44.5050_11.0830.json,custom
44.507931,11.082753,ov_bottled_gin___cocktail_44.5079_11.0828,BOTTLED Gin & Cocktail,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/bottled_gin_cocktail_44.5079_11.0828.json,custom
44.507525,11.083692,ov_area_gusto_1987_44.5075_11.0837,Area Gusto 1987,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/area_gusto_1987_44.5075_11.0837.json,custom
44.505627,11.085507,ov_bar_commercio_bazzano_44.5056_11.0855,Bar Commercio Bazzano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/bar_commercio_bazzano_44.5056_11.0855.json,custom
