# lat,lng,id,name,building_type,type,url,page_type
# Giffoni Sei Casali -- Tutti
40.741611,14.903421,ov_rsa_sant_antonio_residenza_sanitaria_ass_40.7416_14.9034,RSA Sant'Antonio Residenza Sanitaria Assistenziale,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/giffoni_sei_casali/pages/rsa_santantonio_residenza_sanitaria_assi_40.7416_14.9034.json,custom
40.716305,14.906937,ov_pizzeria_le_sette_meraviglie_40.7163_14.9069,Pizzeria le sette meraviglie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/giffoni_sei_casali/pages/pizzeria_le_sette_meraviglie_40.7163_14.9069.json,custom
40.715592,14.909465,ov_la_pineta_40.7156_14.9095,La Pineta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/giffoni_sei_casali/pages/la_pineta_40.7156_14.9095.json,custom
40.703948,14.905875,ov_popilia_ristorante_pizzeria_braceria_40.7039_14.9059,Popilia Ristorante Pizzeria Braceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/giffoni_sei_casali/pages/popilia_ristorante_pizzeria_braceria_40.7039_14.9059.json,custom
40.687101,14.885626,ov_la_gardenia_40.6871_14.8856,La Gardenia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/giffoni_sei_casali/pages/la_gardenia_40.6871_14.8856.json,custom
40.687116,14.885758,ov_mia_restaurant_40.6871_14.8858,Mia Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/giffoni_sei_casali/pages/mia_restaurant_40.6871_14.8858.json,custom
40.692401,14.892443,ov_le_malche__giffoni_sei_casali__sa__40.6924_14.8924,"Le Malche, Giffoni Sei Casali (Sa)",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/giffoni_sei_casali/pages/le_malche_giffoni_sei_casali_sa_40.6924_14.8924.json,custom
40.692198,14.892882,ov_al_casale_piceno_40.6922_14.8929,Al Casale Piceno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/giffoni_sei_casali/pages/al_casale_piceno_40.6922_14.8929.json,custom
40.692430,14.893430,ov_die__gustibus_40.6924_14.8934,Die' gustibus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/giffoni_sei_casali/pages/die_gustibus_40.6924_14.8934.json,custom
40.717828,14.906215,ov_bar_janis_caf__40.7178_14.9062,Bar Janis Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/giffoni_sei_casali/pages/bar_janis_caf_40.7178_14.9062.json,custom
40.720965,14.903446,ov_nuovo_millennio_40.7210_14.9034,Nuovo Millennio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/giffoni_sei_casali/pages/nuovo_millennio_40.7210_14.9034.json,custom
40.709300,14.903579,ov_associazione_sportiva_il_grifone_40.7093_14.9036,Associazione-Sportiva Il Grifone,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/giffoni_sei_casali/pages/associazione-sportiva_il_grifone_40.7093_14.9036.json,custom
40.700450,14.894410,ov_scuderia_di_carlo_40.7004_14.8944,Scuderia Di Carlo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/giffoni_sei_casali/pages/scuderia_di_carlo_40.7004_14.8944.json,custom
40.700450,14.894410,ov_centro_ippico___free_horse____40.7004_14.8944,Centro Ippico ''Free Horse '',GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/giffoni_sei_casali/pages/centro_ippico_free_horse__40.7004_14.8944.json,custom
40.678743,14.944044,ov_museo_archeologico_di_pontecagnano_40.6787_14.9440,Museo Archeologico Di Pontecagnano,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/giffoni_sei_casali/pages/museo_archeologico_di_pontecagnano_40.6787_14.9440.json,custom
40.719550,14.903800,ov_biblioteca_comunale_giffoni_sei_casali_j_40.7195_14.9038,Biblioteca comunale Giffoni Sei Casali Jack Frusciante,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/giffoni_sei_casali/pages/biblioteca_comunale_giffoni_sei_casali_j_40.7195_14.9038.json,custom
