# lat,lng,id,name,building_type,type,url,page_type
# Castel Bolognese -- Tutti
44.317967,11.801103,osm_casa_della_salute_44.3180_11.8011,Casa della salute,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/casa_della_salute_44.3180_11.8011.json,custom
44.317976,11.800558,ov_caf__antico_44.3180_11.8006,Cafè Antico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/caf_antico_44.3180_11.8006.json,custom
44.318326,11.801113,ov_bar_capriccio_44.3183_11.8011,Bar Capriccio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/bar_capriccio_44.3183_11.8011.json,custom
44.318526,11.801293,ov_caf__dei_mille_44.3185_11.8013,Café dei mille,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/caf_dei_mille_44.3185_11.8013.json,custom
44.318658,11.800139,ov_giga_bar_44.3187_11.8001,Giga Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/giga_bar_44.3187_11.8001.json,custom
44.320057,11.795908,ov_dolce_salato_caffe_44.3201_11.7959,Dolce Salato Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/dolce_salato_caffe_44.3201_11.7959.json,custom
44.321564,11.795133,ov_mojito_caf__44.3216_11.7951,Mojito Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/mojito_caf_44.3216_11.7951.json,custom
44.308723,11.745237,ov_circolo_csi_santa_maria_della_serra_44.3087_11.7452,Circolo CSI Santa Maria della Serra,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/circolo_csi_santa_maria_della_serra_44.3087_11.7452.json,custom
44.327457,11.788646,ov_associazione_sportiva_dilettantistica_vo_44.3275_11.7886,Associazione Sportiva Dilettantistica Volere e Potere,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/associazione_sportiva_dilettantistica_vo_44.3275_11.7886.json,custom
44.326691,11.789925,ov_core_plus_studio_44.3267_11.7899,Core Plus Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/core_plus_studio_44.3267_11.7899.json,custom
44.325848,11.788246,ov_danza___danza_44.3258_11.7882,Danza & Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/danza_danza_44.3258_11.7882.json,custom
44.326498,11.789401,ov_fitness_ayrton_44.3265_11.7894,Fitness Ayrton,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/fitness_ayrton_44.3265_11.7894.json,custom
44.325247,11.787858,ov_fun_city_family___bowling_castel_bologne_44.3252_11.7879,Fun City Family | Bowling Castel Bolognese,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/fun_city_family_bowling_castel_bolognese_44.3252_11.7879.json,custom
44.318261,11.806283,ov_crossfit_castel_bolognese_44.3183_11.8063,Crossfit Castel Bolognese,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/crossfit_castel_bolognese_44.3183_11.8063.json,custom
44.317888,11.798525,ov_kineyoga_44.3179_11.7985,Kineyoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/kineyoga_44.3179_11.7985.json,custom
44.319665,11.802001,ov_agoradanza_44.3197_11.8020,AgoraDanza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/agoradanza_44.3197_11.8020.json,custom
44.316261,11.791920,ov_il_cigno_asd_44.3163_11.7919,Il Cigno ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/il_cigno_asd_44.3163_11.7919.json,custom
44.320438,11.797939,ov_museo_civico_di_castelbolognese_44.3204_11.7979,Museo Civico di Castelbolognese,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/museo_civico_di_castelbolognese_44.3204_11.7979.json,custom
44.320348,11.795878,osm_poste_italiane_44.3203_11.7959,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/poste_italiane_44.3203_11.7959.json,custom
44.319275,11.798147,ov_biblioteca_comunale_luigi_dal_pane_44.3193_11.7981,Biblioteca Comunale Luigi Dal Pane,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/biblioteca_comunale_luigi_dal_pane_44.3193_11.7981.json,custom
44.319945,11.798667,ov_biblioteca_libertaria_armando_borghi_44.3199_11.7987,Biblioteca Libertaria Armando Borghi,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/biblioteca_libertaria_armando_borghi_44.3199_11.7987.json,custom
