# lat,lng,id,name,building_type,type,url,page_type
# Mandello del Lario -- Tutti
45.918105,9.322878,osm_soccorso_degli_alpini_45.9181_9.3229,Soccorso degli Alpini,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/soccorso_degli_alpini_45.9181_9.3229.json,custom
45.919452,9.321800,ov_pizzeria_goffe_45.9195_9.3218,Pizzeria Goffe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/pizzeria_goffe_45.9195_9.3218.json,custom
45.918020,9.321720,ov_bar_e_pizzeria_a_mandello_del_lario_45.9180_9.3217,Bar e pizzeria a Mandello del lario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/bar_e_pizzeria_a_mandello_del_lario_45.9180_9.3217.json,custom
45.917963,9.321773,ov_pizzeria_d_asporto_santa_maria_45.9180_9.3218,Pizzeria D'Asporto Santa Maria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/pizzeria_dasporto_santa_maria_45.9180_9.3218.json,custom
45.916147,9.321622,ov_la_pizzeria_trattoria_rosalba_45.9161_9.3216,La Pizzeria Trattoria Rosalba,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/la_pizzeria_trattoria_rosalba_45.9161_9.3216.json,custom
45.918090,9.320434,ov_focacceria_ligure_45.9181_9.3204,Focacceria Ligure,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/focacceria_ligure_45.9181_9.3204.json,custom
45.917775,9.320236,ov_pizzeria_pace_45.9178_9.3202,Pizzeria Pace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/pizzeria_pace_45.9178_9.3202.json,custom
45.916940,9.319694,ov_il_canton_della_pasta_di_landi_enrico_45.9169_9.3197,Il Canton della Pasta di Landi Enrico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/il_canton_della_pasta_di_landi_enrico_45.9169_9.3197.json,custom
45.912194,9.319176,ov_mamma_ciccia_45.9122_9.3192,Mamma Ciccia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/mamma_ciccia_45.9122_9.3192.json,custom
45.911980,9.319565,ov_le_cose_mandello_45.9120_9.3196,Le Cose Mandello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/le_cose_mandello_45.9120_9.3196.json,custom
45.911976,9.319725,ov_riva_granda_45.9120_9.3197,Riva Granda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/riva_granda_45.9120_9.3197.json,custom
45.907380,9.383420,ov_rifugio_rosalba_45.9074_9.3834,Rifugio Rosalba,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/rifugio_rosalba_45.9074_9.3834.json,custom
45.908959,9.327528,ov_la_tavernetta_45.9090_9.3275,La Tavernetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/la_tavernetta_45.9090_9.3275.json,custom
45.919400,9.321999,ov_la_cantina_del_bontempon_45.9194_9.3220,La Cantina del Bontempon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/la_cantina_del_bontempon_45.9194_9.3220.json,custom
45.919514,9.321921,ov_momento_45.9195_9.3219,Momento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/momento_45.9195_9.3219.json,custom
45.930174,9.324220,ov_locanda_dei_bravi_45.9302_9.3242,Locanda dei Bravi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/locanda_dei_bravi_45.9302_9.3242.json,custom
45.932247,9.330000,ov_agriturismo_la_selvaggia_45.9322_9.3300,Agriturismo La Selvaggia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/agriturismo_la_selvaggia_45.9322_9.3300.json,custom
45.913753,9.329907,ov_aquaduulza_45.9138_9.3299,Aquaduulza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/aquaduulza_45.9138_9.3299.json,custom
45.917103,9.330727,ov_la_ca__del_tuscan_45.9171_9.3307,La Ca' del Tuscan,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/la_ca_del_tuscan_45.9171_9.3307.json,custom
45.916332,9.330671,ov_osteria_sali_e_tabacchi_45.9163_9.3307,Osteria Sali e Tabacchi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/osteria_sali_e_tabacchi_45.9163_9.3307.json,custom
45.912108,9.319369,osm_mamma_ciccia_cooking_academy_45.9121_9.3194,Mamma Ciccia Cooking Academy,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/mamma_ciccia_cooking_academy_45.9121_9.3194.json,custom
45.915327,9.320688,osm_albergo_ristorante_grigna_45.9153_9.3207,Albergo Ristorante Grigna,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/albergo_ristorante_grigna_45.9153_9.3207.json,custom
45.912580,9.316657,osm_ristorante_il_giardinetto_45.9126_9.3167,Ristorante Il Giardinetto,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/ristorante_il_giardinetto_45.9126_9.3167.json,custom
45.912925,9.316971,osm_al_ghezz_45.9129_9.3170,Al Ghezz,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/al_ghezz_45.9129_9.3170.json,custom
45.916148,9.321625,osm_la_pizzeria_trattoria_rosalba_45.9161_9.3216,La Pizzeria-Trattoria Rosalba,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/la_pizzeria-trattoria_rosalba_45.9161_9.3216.json,custom
45.923557,9.313604,ov_bar_anna_45.9236_9.3136,Bar Anna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/bar_anna_45.9236_9.3136.json,custom
45.916818,9.314472,ov_kikera_tobacco___coffee_45.9168_9.3145,Kikera Tobacco & Coffee,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/kikera_tobacco_coffee_45.9168_9.3145.json,custom
45.912934,9.316871,ov_bar_pizzeria_al_ghezz_45.9129_9.3169,Bar Pizzeria Al Ghezz,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/bar_pizzeria_al_ghezz_45.9129_9.3169.json,custom
45.912202,9.318754,ov_bar_roma_45.9122_9.3188,Bar Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/bar_roma_45.9122_9.3188.json,custom
45.914221,9.317992,ov_bar_san_lorenzo_45.9142_9.3180,Bar San Lorenzo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/bar_san_lorenzo_45.9142_9.3180.json,custom
45.926056,9.319062,ov_bar_tropi_cales_srl_45.9261_9.3191,Bar Tropi Cales Srl,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/bar_tropi_cales_srl_45.9261_9.3191.json,custom
45.918568,9.319506,ov_bar_il_veliero_45.9186_9.3195,Bar Il Veliero,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/bar_il_veliero_45.9186_9.3195.json,custom
45.921511,9.321096,ov_enoteca_comini_45.9215_9.3211,Enoteca Comini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/enoteca_comini_45.9215_9.3211.json,custom
45.917984,9.321754,ov_bar_san_zenone_45.9180_9.3218,Bar San Zenone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/bar_san_zenone_45.9180_9.3218.json,custom
45.917499,9.320013,ov_caffe_centrale_45.9175_9.3200,Caffe Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/caffe_centrale_45.9175_9.3200.json,custom
45.916960,9.319726,ov_elefante_caff__45.9170_9.3197,Elefante Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/elefante_caff_45.9170_9.3197.json,custom
45.877653,9.349351,ov_bar_rapa_nui_45.8777_9.3494,Bar Rapa-Nui,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/bar_rapa-nui_45.8777_9.3494.json,custom
45.922502,9.322518,ov_old_rino_bar_45.9225_9.3225,Old Rino Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/old_rino_bar_45.9225_9.3225.json,custom
45.930871,9.328882,ov_beb_dell_acqua_bianca_45.9309_9.3289,BeB dell'Acqua Bianca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/beb_dellacqua_bianca_45.9309_9.3289.json,custom
45.918557,9.319478,osm_il_veliero_45.9186_9.3195,Il Veliero,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/il_veliero_45.9186_9.3195.json,custom
45.917572,9.320090,osm_bar_centrale_45.9176_9.3201,Bar Centrale,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/bar_centrale_45.9176_9.3201.json,custom
45.916977,9.319752,osm_elefante_rosa_45.9170_9.3198,Elefante Rosa,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/elefante_rosa_45.9170_9.3198.json,custom
45.916746,9.314571,osm_kikera_45.9167_9.3146,kikera,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/kikera_45.9167_9.3146.json,custom
45.911887,9.319411,osm_mamma_ciccia_caf__45.9119_9.3194,Mamma Ciccia Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/mamma_ciccia_caf_45.9119_9.3194.json,custom
45.925130,9.315675,ov_circolo_arci_la_dolce_vita_45.9251_9.3157,Circolo arci LA DOLCE VITA,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/circolo_arci_la_dolce_vita_45.9251_9.3157.json,custom
45.923718,9.313420,ov_victoria_wellness_club_45.9237_9.3134,Victoria Wellness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/victoria_wellness_club_45.9237_9.3134.json,custom
45.923649,9.313399,ov_fattore_danza_45.9236_9.3134,Fattore Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/fattore_danza_45.9236_9.3134.json,custom
45.922330,9.316880,ov_asd_canottieri_moto_guzzi_45.9223_9.3169,ASD Canottieri Moto Guzzi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/asd_canottieri_moto_guzzi_45.9223_9.3169.json,custom
45.913054,9.319958,ov_silver_gym_45.9131_9.3200,Silver Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/silver_gym_45.9131_9.3200.json,custom
45.877873,9.349316,ov_dive_in__bellagio_45.8779_9.3493,Dive In' Bellagio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/dive_in_bellagio_45.8779_9.3493.json,custom
45.880974,9.341228,ov_il_moregallo_45.8810_9.3412,Il Moregallo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/il_moregallo_45.8810_9.3412.json,custom
45.911594,9.325272,ov_killer_point_di_paolo_brambilla_45.9116_9.3253,Killer Point di Paolo Brambilla,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/killer_point_di_paolo_brambilla_45.9116_9.3253.json,custom
45.912637,9.318119,ov_museo_d_arte_sacra_45.9126_9.3181,Museo d'Arte Sacra,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/museo_darte_sacra_45.9126_9.3181.json,custom
45.924145,9.321600,ov_mulino_ripamonti_45.9241_9.3216,Mulino Ripamonti,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/mulino_ripamonti_45.9241_9.3216.json,custom
45.918000,9.319150,ov_l_officina_del_prototipo_guzzi_45.9180_9.3192,L'officina del prototipo Guzzi,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/lofficina_del_prototipo_guzzi_45.9180_9.3192.json,custom
45.915165,9.322879,ov_moto_guzzi_museum_45.9152_9.3229,Moto Guzzi Museum,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/moto_guzzi_museum_45.9152_9.3229.json,custom
45.915777,9.321612,ov_biblioteca_alda_merini_di_pescate_45.9158_9.3216,Biblioteca Alda Merini di Pescate,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/biblioteca_alda_merini_di_pescate_45.9158_9.3216.json,custom
45.914852,9.318109,osm_biblioteca_ercole_carcano_45.9149_9.3181,Biblioteca Ercole Carcano,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/biblioteca_ercole_carcano_45.9149_9.3181.json,custom
