# lat,lng,id,name,building_type,type,url,page_type
# Cassano Magnago -- Tutti
45.673201,8.831416,ov_cronos_orologeria_bottega_orafa_45.6732_8.8314,Cronos Orologeria Bottega Orafa,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/cronos_orologeria_bottega_orafa_45.6732_8.8314.json,custom
45.675519,8.831927,ov_hiro_45.6755_8.8319,Hiro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/hiro_45.6755_8.8319.json,custom
45.674874,8.824823,ov_ali_baba_45.6749_8.8248,Ali Baba,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/ali_baba_45.6749_8.8248.json,custom
45.674365,8.822901,ov_antica_boqueria_italiana_45.6744_8.8229,Antica Boqueria Italiana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/antica_boqueria_italiana_45.6744_8.8229.json,custom
45.676394,8.822281,ov_made_in_italy___profumi___sapori_d_itali_45.6764_8.8223,MADE IN ITALY - Profumi & Sapori d'Italia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/made_in_italy_-_profumi_sapori_ditalia_45.6764_8.8223.json,custom
45.672132,8.823465,ov_sushic_cassano_magnago_45.6721_8.8235,Sushic Cassano Magnago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/sushic_cassano_magnago_45.6721_8.8235.json,custom
45.674186,8.823103,ov_la_bella_napoli_pizzeria_45.6742_8.8231,La Bella Napoli Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/la_bella_napoli_pizzeria_45.6742_8.8231.json,custom
45.673932,8.823379,ov_don_tony_griglieria_rosticceria_45.6739_8.8234,Don Tony Griglieria Rosticceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/don_tony_griglieria_rosticceria_45.6739_8.8234.json,custom
45.673939,8.823454,ov_ristorante_marconi_45.6739_8.8235,Ristorante Marconi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/ristorante_marconi_45.6739_8.8235.json,custom
45.673608,8.826395,ov_sakura_japanese_restaurant_45.6736_8.8264,Sakura Japanese Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/sakura_japanese_restaurant_45.6736_8.8264.json,custom
45.673649,8.826354,ov_izakaya_by_fresh_ramen_45.6736_8.8264,Izakaya by Fresh Ramen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/izakaya_by_fresh_ramen_45.6736_8.8264.json,custom
45.667883,8.827742,ov_rolling_goat_45.6679_8.8277,Rolling Goat,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/rolling_goat_45.6679_8.8277.json,custom
45.668739,8.824367,ov_il_marchese_del_grillo_45.6687_8.8244,Il Marchese del Grillo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/il_marchese_del_grillo_45.6687_8.8244.json,custom
45.668941,8.824441,ov_da_grillo_45.6689_8.8244,Da Grillo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/da_grillo_45.6689_8.8244.json,custom
45.669171,8.818818,ov_pizzaioli_si_nasce_45.6692_8.8188,Pizzaioli Si Nasce,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/pizzaioli_si_nasce_45.6692_8.8188.json,custom
45.669950,8.820137,ov_green_poke___grill_45.6699_8.8201,GREEN Poke & Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/green_poke_grill_45.6699_8.8201.json,custom
45.680410,8.821955,ov_ristorante_pizzeria_santo_stefano_4_45.6804_8.8220,Ristorante Pizzeria Santo Stefano 4,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/ristorante_pizzeria_santo_stefano_4_45.6804_8.8220.json,custom
45.682636,8.821168,ov_food_and_fire_srl_45.6826_8.8212,Food And Fire Srl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/food_and_fire_srl_45.6826_8.8212.json,custom
45.696920,8.828605,ov_agriturismo_oasi_45.6969_8.8286,Agriturismo Oasi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/agriturismo_oasi_45.6969_8.8286.json,custom
45.674650,8.822946,osm_san_giorgio_45.6746_8.8229,San Giorgio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/san_giorgio_45.6746_8.8229.json,custom
45.674144,8.823055,osm_la_bella_napoli_45.6741_8.8231,La Bella Napoli,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/la_bella_napoli_45.6741_8.8231.json,custom
45.673608,8.826395,osm_sakura_45.6736_8.8264,Sakura,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/sakura_45.6736_8.8264.json,custom
45.662181,8.841338,osm_pizzaclubnolimits_45.6622_8.8413,PizzaClubNoLimits,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/pizzaclubnolimits_45.6622_8.8413.json,custom
45.676395,8.822182,osm_infermenta_45.6764_8.8222,InFermenta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/infermenta_45.6764_8.8222.json,custom
45.668737,8.824583,osm_ristorante_da_grillo_45.6687_8.8246,Ristorante da Grillo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/ristorante_da_grillo_45.6687_8.8246.json,custom
45.508794,8.722075,ov_audeo_45.5088_8.7221,Audeo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/audeo_45.5088_8.7221.json,custom
45.637503,8.838918,ov_40__piedi__bar_self_service_45.6375_8.8389,40' Piedi  Bar Self Service,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/40_piedi_bar_self_service_45.6375_8.8389.json,custom
45.655450,8.822740,ov_mokha_rescaldina_45.6555_8.8227,Mokha Rescaldina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/mokha_rescaldina_45.6555_8.8227.json,custom
45.662294,8.818448,ov_full_pub_45.6623_8.8184,Full Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/full_pub_45.6623_8.8184.json,custom
45.666079,8.829571,ov_crossing_caf__45.6661_8.8296,Crossing Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/crossing_caf_45.6661_8.8296.json,custom
45.663960,8.830490,ov_hippo_bar_45.6640_8.8305,HIPPO BAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/hippo_bar_45.6640_8.8305.json,custom
45.663887,8.830605,ov_roxy_bar_45.6639_8.8306,Roxy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/roxy_bar_45.6639_8.8306.json,custom
45.663823,8.830441,ov_lucy_caff__45.6638_8.8304,Lucy Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/lucy_caff_45.6638_8.8304.json,custom
45.658920,8.825414,ov_lia_caff__45.6589_8.8254,Lia Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/lia_caff_45.6589_8.8254.json,custom
45.661680,8.834345,ov_bar_franco_45.6617_8.8343,Bar Franco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/bar_franco_45.6617_8.8343.json,custom
45.666684,8.837650,ov_flowers___events_cafe_45.6667_8.8377,Flowers & Events Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/flowers_events_cafe_45.6667_8.8377.json,custom
45.666881,8.837864,ov_marilyn_lounge_bar_piadineria_bistro__45.6669_8.8379,Marilyn Lounge Bar Piadineria Bistro',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/marilyn_lounge_bar_piadineria_bistro_45.6669_8.8379.json,custom
45.674781,8.829910,ov_muppet_bar_45.6748_8.8299,Muppet Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/muppet_bar_45.6748_8.8299.json,custom
45.674728,8.829767,ov_il_caffettino_45.6747_8.8298,Il Caffettino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/il_caffettino_45.6747_8.8298.json,custom
45.675375,8.825335,ov_bar_mi___ti_45.6754_8.8253,Bar Mi & Ti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/bar_mi_ti_45.6754_8.8253.json,custom
45.675924,8.826140,ov_bar_micky_san_giulio__189_45.6759_8.8261,Bar Micky San Giulio  189,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/bar_micky_san_giulio_189_45.6759_8.8261.json,custom
45.676307,8.826952,ov_bar_big_ben__eurobet__scommesse_sportive_45.6763_8.8270,Bar Big ben (Eurobet) scommesse sportive,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/bar_big_ben_eurobet_scommesse_sportive_45.6763_8.8270.json,custom
45.674839,8.819410,ov_tabaccheria_caff__paradiso_45.6748_8.8194,Tabaccheria Caffè Paradiso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/tabaccheria_caff_paradiso_45.6748_8.8194.json,custom
45.672797,8.822054,ov_art_cafe_45.6728_8.8221,Art Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/art_cafe_45.6728_8.8221.json,custom
45.669143,8.825467,ov_goldy_45.6691_8.8255,Goldy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/goldy_45.6691_8.8255.json,custom
45.666816,8.830346,ov_martinelli_caff__bar_tabacchi_45.6668_8.8303,Martinelli Caffè Bar Tabacchi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/martinelli_caff_bar_tabacchi_45.6668_8.8303.json,custom
45.668740,8.817529,ov_bar_twelve_45.6687_8.8175,Bar Twelve,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/bar_twelve_45.6687_8.8175.json,custom
45.668870,8.817320,ov_bar_80_s_caf__45.6689_8.8173,Bar 80'S CafÉ,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/bar_80s_caf_45.6689_8.8173.json,custom
45.671202,8.819858,ov_bar_corona_45.6712_8.8199,Bar Corona,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/bar_corona_45.6712_8.8199.json,custom
45.687826,8.821621,ov_coan_bistrot_cassano_magnago_45.6878_8.8216,CoAn Bistrot Cassano Magnago,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/coan_bistrot_cassano_magnago_45.6878_8.8216.json,custom
45.677363,8.836224,ov_luxale_45.6774_8.8362,Luxale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/luxale_45.6774_8.8362.json,custom
45.673578,8.824298,osm_pane_amore_e_fantasia_45.6736_8.8243,Pane Amore e Fantasia,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/pane_amore_e_fantasia_45.6736_8.8243.json,custom
45.673288,8.824690,osm_pasticceria_gelateria_cerati_45.6733_8.8247,Pasticceria Gelateria Cerati,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/pasticceria_gelateria_cerati_45.6733_8.8247.json,custom
45.662258,8.818525,osm_full_pub_45.6623_8.8185,Full Pub,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/full_pub_45.6623_8.8185.json,custom
45.673317,8.826469,osm_il_dolce_risveglio_45.6733_8.8265,Il dolce risveglio,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/il_dolce_risveglio_45.6733_8.8265.json,custom
45.677305,8.836286,osm_zeus_45.6773_8.8363,Zeus,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/zeus_45.6773_8.8363.json,custom
45.651800,8.840617,ov_la_fornace_enduro_park_45.6518_8.8406,La Fornace Enduro Park,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/la_fornace_enduro_park_45.6518_8.8406.json,custom
45.662223,8.821821,ov_mioclub_45.6622_8.8218,Mioclub,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/mioclub_45.6622_8.8218.json,custom
45.660370,8.824060,ov_escuderia_danza_45.6604_8.8241,Escuderia Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/escuderia_danza_45.6604_8.8241.json,custom
45.667211,8.836872,ov_mc_studio_di_osteopatia_e_massoterapia_d_45.6672_8.8369,MC Studio di Osteopatia e Massoterapia di Christian Messana,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/mc_studio_di_osteopatia_e_massoterapia_d_45.6672_8.8369.json,custom
45.667198,8.836933,ov_impact_fitness_club_45.6672_8.8369,Impact Fitness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/impact_fitness_club_45.6672_8.8369.json,custom
45.671980,8.824890,ov_sensual_dance_fit_carlotta_cassano_magna_45.6720_8.8249,Sensual Dance Fit Carlotta Cassano Magnago,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/sensual_dance_fit_carlotta_cassano_magna_45.6720_8.8249.json,custom
45.668946,8.829885,ov_palestra_cassano_45.6689_8.8299,Palestra Cassano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/palestra_cassano_45.6689_8.8299.json,custom
45.670240,8.819059,ov_mirko_coach_45.6702_8.8191,Mirko Coach,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/mirko_coach_45.6702_8.8191.json,custom
45.678293,8.823601,ov_castello_dei_cento_tetti_45.6783_8.8236,Castello dei Cento Tetti,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/castello_dei_cento_tetti_45.6783_8.8236.json,custom
45.662485,8.836847,osm_cassano_magnago_1_45.6625_8.8368,Cassano Magnago 1,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/cassano_magnago_1_45.6625_8.8368.json,custom
45.666760,8.831820,ov_biblioteca_comunale_di_cassano_magnago_45.6668_8.8318,Biblioteca comunale di Cassano Magnago,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/biblioteca_comunale_di_cassano_magnago_45.6668_8.8318.json,custom
