# lat,lng,id,name,building_type,type,url,page_type
# Flero -- Tutti
45.461558,10.180972,ov_med_line_poliambulatorio_45.4616_10.1810,Med-Line Poliambulatorio,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/med-line_poliambulatorio_45.4616_10.1810.json,custom
45.485088,10.179986,ov_ristorante_al_portichetto_45.4851_10.1800,Ristorante al Portichetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/ristorante_al_portichetto_45.4851_10.1800.json,custom
45.485090,10.177380,ov_new_capri_2_45.4851_10.1774,New Capri 2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/new_capri_2_45.4851_10.1774.json,custom
45.484657,10.174323,ov_il_pulcino_ballerino_di_verzeletti_barba_45.4847_10.1743,Il Pulcino Ballerino di Verzeletti Barbara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/il_pulcino_ballerino_di_verzeletti_barba_45.4847_10.1743.json,custom
45.485760,10.173815,ov_la_vigna___pizza_e_cucina_45.4858_10.1738,La Vigna - Pizza e cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/la_vigna_-_pizza_e_cucina_45.4858_10.1738.json,custom
45.488346,10.153025,ov_la_piadineria_45.4883_10.1530,La Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/la_piadineria_45.4883_10.1530.json,custom
45.488184,10.152763,ov_mikk_sushi_45.4882_10.1528,Mikk Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/mikk_sushi_45.4882_10.1528.json,custom
45.487649,10.151886,ov_officina_33_bar___bistrot_45.4876_10.1519,Officina 33 Bar & Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/officina_33_bar_bistrot_45.4876_10.1519.json,custom
45.496488,10.163622,ov_ai_piedi_dell_etna_45.4965_10.1636,Ai Piedi Dell'Etna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/ai_piedi_delletna_45.4965_10.1636.json,custom
45.493710,10.182690,ov_ankara_pizza_e_kebab_45.4937_10.1827,Ankara pizza e kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/ankara_pizza_e_kebab_45.4937_10.1827.json,custom
45.471884,10.176406,ov_frate_luppolo_45.4719_10.1764,Frate Luppolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/frate_luppolo_45.4719_10.1764.json,custom
45.478940,10.178060,ov_francy_bar_flero_45.4789_10.1781,francy_bar_flero,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/francybarflero_45.4789_10.1781.json,custom
45.483991,10.175223,ov_bar_centrale_45.4840_10.1752,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/bar_centrale_45.4840_10.1752.json,custom
45.485082,10.174193,ov_mingo_cafe_45.4851_10.1742,Mingo Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/mingo_cafe_45.4851_10.1742.json,custom
45.486490,10.173730,ov_monycaf__45.4865_10.1737,Monycafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/monycaf_45.4865_10.1737.json,custom
45.489023,10.153450,ov_bar_tabacchi_tre_castagni_45.4890_10.1535,Bar Tabacchi Tre Castagni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/bar_tabacchi_tre_castagni_45.4890_10.1535.json,custom
45.492636,10.161125,ov_la_caffetteria_45.4926_10.1611,La Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/la_caffetteria_45.4926_10.1611.json,custom
45.494872,10.166271,ov_molinari_bar_caffetteria_45.4949_10.1663,Molinari Bar Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/molinari_bar_caffetteria_45.4949_10.1663.json,custom
45.496561,10.163859,ov_maison_41_45.4966_10.1639,Maison 41,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/maison_41_45.4966_10.1639.json,custom
45.495270,10.166460,ov_bar_evolution_flero_45.4953_10.1665,Bar Evolution Flero,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/bar_evolution_flero_45.4953_10.1665.json,custom
45.570390,10.220530,ov_bar_caff__milano_45.5704_10.2205,Bar Caffè Milano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/bar_caff_milano_45.5704_10.2205.json,custom
45.484290,10.175200,osm_bar_45.4843_10.1752,Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/bar_45.4843_10.1752.json,custom
45.472338,10.174690,ov_fitactive_flero_45.4723_10.1747,FitActive Flero,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/fitactive_flero_45.4723_10.1747.json,custom
45.485408,10.171642,ov_gdm_italiana_flero_45.4854_10.1716,Gdm Italiana Flero,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/gdm_italiana_flero_45.4854_10.1716.json,custom
45.486459,10.173996,ov_profumo_del_se_45.4865_10.1740,Profumo del Se,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/profumo_del_se_45.4865_10.1740.json,custom
45.487335,10.153751,ov_ardesi_equitazione_45.4873_10.1538,Ardesi Equitazione,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/ardesi_equitazione_45.4873_10.1538.json,custom
45.489441,10.154582,ov_mm_dance_center_45.4894_10.1546,MM Dance Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/mm_dance_center_45.4894_10.1546.json,custom
45.495905,10.167401,ov_a_s_d__artistica_brescia_45.4959_10.1674,A.S.D. Artistica Brescia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/asd_artistica_brescia_45.4959_10.1674.json,custom
45.490392,10.158414,ov_gurdwara_singh_sabha_flero_45.4904_10.1584,Gurdwara Singh Sabha Flero,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/gurdwara_singh_sabha_flero_45.4904_10.1584.json,custom
45.484186,10.175307,osm_flero___piazza_quattro_novembre_45.4842_10.1753,Flero - Piazza Quattro Novembre,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/flero_-_piazza_quattro_novembre_45.4842_10.1753.json,custom
45.482284,10.177135,ov_biblioteca_di_flero_45.4823_10.1771,Biblioteca di Flero,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/biblioteca_di_flero_45.4823_10.1771.json,custom
