# lat,lng,id,name,building_type,type,url,page_type
# pergola -- Tutti
43.568727,12.830481,ov_ospedale_di_pergola_43.5687_12.8305,ospedale di Pergola,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/ospedale_di_pergola_43.5687_12.8305.json,custom
43.619083,12.861844,ov_montevecchio_circolo_43.6191_12.8618,Montevecchio Circolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/montevecchio_circolo_43.6191_12.8618.json,custom
43.562020,12.836473,ov_caff__della_voltarella_43.5620_12.8365,Caffé della Voltarella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/caff_della_voltarella_43.5620_12.8365.json,custom
43.560223,12.837098,ov_il_giardino_di_pergola_43.5602_12.8371,Il Giardino di Pergola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/il_giardino_di_pergola_43.5602_12.8371.json,custom
43.559870,12.835969,ov_anna_bar_di_borgia_annamaria_43.5599_12.8360,Anna Bar Di Borgia Annamaria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/anna_bar_di_borgia_annamaria_43.5599_12.8360.json,custom
43.563850,12.835910,ov_c_era_gi__43.5639_12.8359,C’ERA GIÀ,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/cera_gi_43.5639_12.8359.json,custom
43.563753,12.836034,ov_lola_s_caff__wine_bar_43.5638_12.8360,Lola's Caffè wine bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/lolas_caff_wine_bar_43.5638_12.8360.json,custom
43.563056,12.836173,ov_caff__del_corso_43.5631_12.8362,Caffè Del Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/caff_del_corso_43.5631_12.8362.json,custom
43.566095,12.830998,ov_la_pergola_43.5661_12.8310,La Pergola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/la_pergola_43.5661_12.8310.json,custom
43.568723,12.835513,ov_extra_boccio_43.5687_12.8355,Extra Boccio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/extra_boccio_43.5687_12.8355.json,custom
43.551520,12.804160,ov_all_osteria_da_samanta_43.5515_12.8042,All'osteria da Samanta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/allosteria_da_samanta_43.5515_12.8042.json,custom
43.552630,12.835960,ov_parcheggio_bar_piccolo_fiore_43.5526_12.8360,Parcheggio Bar Piccolo Fiore,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/parcheggio_bar_piccolo_fiore_43.5526_12.8360.json,custom
43.554486,12.835506,ov_pasticceria_dolce_caffe_43.5545_12.8355,Pasticceria Dolce Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/pasticceria_dolce_caffe_43.5545_12.8355.json,custom
43.547967,12.835856,ov_bar_21_pergola_43.5480_12.8359,BAR 21 Pergola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/bar_21_pergola_43.5480_12.8359.json,custom
43.538562,12.833155,ov_simone_bar_sonia_berluti_43.5386_12.8332,Simone Bar Sonia Berluti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/simone_bar_sonia_berluti_43.5386_12.8332.json,custom
43.522200,12.826307,ov_elda_caffe_43.5222_12.8263,Elda Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/elda_caffe_43.5222_12.8263.json,custom
43.561357,12.836070,osm_meeting_pub_43.5614_12.8361,Meeting Pub,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/meeting_pub_43.5614_12.8361.json,custom
43.566256,12.830752,osm_pasticceria_caffetteria_la_pergola_43.5663_12.8308,Pasticceria Caffetteria La Pergola,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/pasticceria_caffetteria_la_pergola_43.5663_12.8308.json,custom
43.588207,12.873669,ov_palestra_energia_asd_43.5882_12.8737,Palestra Energia Asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/palestra_energia_asd_43.5882_12.8737.json,custom
43.599605,12.852171,ov_taiji_quan_tai_chi_qigong_kung_fu_wushu__43.5996_12.8522,Taiji quan tai chi qigong kung fu wushu Pergola PU Marche,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/taiji_quan_tai_chi_qigong_kung_fu_wushu__43.5996_12.8522.json,custom
43.560193,12.835233,ov_movimento_e_fantasia_pergola_43.5602_12.8352,Movimento e Fantasia Pergola,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/movimento_e_fantasia_pergola_43.5602_12.8352.json,custom
43.557359,12.834424,ov_stadio_comunale_mario_stefanelli_43.5574_12.8344,Stadio comunale Mario Stefanelli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/stadio_comunale_mario_stefanelli_43.5574_12.8344.json,custom
43.558623,12.822501,ov_scuderia_la_spinosa_43.5586_12.8225,Scuderia La Spinosa,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/scuderia_la_spinosa_43.5586_12.8225.json,custom
43.563082,12.836229,ov_palestra_energia_asd_43.5631_12.8362,Palestra Energia Asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/palestra_energia_asd_43.5631_12.8362.json,custom
43.564641,12.828350,ov_fossatella_ranch_43.5646_12.8283,Fossatella Ranch,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/fossatella_ranch_43.5646_12.8283.json,custom
43.567740,12.837744,ov_asd_eco_dance___fitness_43.5677_12.8377,ASD Eco Dance & Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/asd_eco_dance_fitness_43.5677_12.8377.json,custom
43.544750,12.834595,ov_studio_personal_training_gym453_43.5448_12.8346,Studio Personal Training GYM453,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/studio_personal_training_gym453_43.5448_12.8346.json,custom
43.557589,12.836673,ov_musei_dei_bronzi_dorati_43.5576_12.8367,Musei dei Bronzi Dorati,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/musei_dei_bronzi_dorati_43.5576_12.8367.json,custom
