# lat,lng,id,name,building_type,type,url,page_type
# San Sebastiano al Vesuvio -- Tutti
40.845067,14.372245,ov_medical_center_40.8451_14.3722,Medical Center,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/medical_center_40.8451_14.3722.json,custom
40.844614,14.359235,ov_glam_food_and_events_40.8446_14.3592,Glam Food and Events,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/glam_food_and_events_40.8446_14.3592.json,custom
40.845140,14.358646,ov_societ__agricola_complesso_agrituristico_40.8451_14.3586,Società Agricola Complesso Agrituristico Il Vulcano SRL,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/societ_agricola_complesso_agrituristico__40.8451_14.3586.json,custom
40.845191,14.358510,ov_azienda_agrituristica_vulcano_di_migliac_40.8452_14.3585,Azienda Agrituristica Vulcano di Migliaccio Ciro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/azienda_agrituristica_vulcano_di_migliac_40.8452_14.3585.json,custom
40.845551,14.369532,ov_pizzeria_regin__40.8456_14.3695,Pizzeria Reginè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/pizzeria_regin_40.8456_14.3695.json,custom
40.845541,14.369522,ov_fratelli_di_pizza_40.8455_14.3695,Fratelli di Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/fratelli_di_pizza_40.8455_14.3695.json,custom
40.846951,14.356513,ov_al_vicol_etto_bistrot_40.8470_14.3565,Al Vicol'etto Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/al_vicoletto_bistrot_40.8470_14.3565.json,custom
40.848116,14.359182,ov_complesso_the_princess_40.8481_14.3592,Complesso The Princess,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/complesso_the_princess_40.8481_14.3592.json,custom
40.847987,14.359178,ov_funiculi_funicula_40.8480_14.3592,Funiculi Funicula,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/funiculi_funicula_40.8480_14.3592.json,custom
40.848593,14.361271,ov_civico_80_40.8486_14.3613,Civico 80,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/civico_80_40.8486_14.3613.json,custom
40.847367,14.367146,ov_wine_up_40.8474_14.3671,Wine Up,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/wine_up_40.8474_14.3671.json,custom
40.852100,14.273021,ov_agenzia_prestitosi_san_sebastiano_al_ves_40.8521_14.2730,Agenzia PrestitoSi San Sebastiano al Vesuvio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/agenzia_prestitosi_san_sebastiano_al_ves_40.8521_14.2730.json,custom
40.840278,14.369054,ov_san_sebastiano_village_bar_40.8403_14.3691,San Sebastiano Village Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/san_sebastiano_village_bar_40.8403_14.3691.json,custom
40.842608,14.369934,ov_smove_cafe_40.8426_14.3699,smove cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/smove_cafe_40.8426_14.3699.json,custom
40.842376,14.369518,ov_l_isola_che_non_c_e_40.8424_14.3695,L'Isola Che Non C'e,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/lisola_che_non_ce_40.8424_14.3695.json,custom
40.842010,14.370050,ov_bar_l_angolo_40.8420_14.3701,Bar l'angolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/bar_langolo_40.8420_14.3701.json,custom
40.841989,14.369362,ov_plinio_caf__40.8420_14.3694,Plinio Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/plinio_caf_40.8420_14.3694.json,custom
40.842107,14.370470,ov_mood_cafe_40.8421_14.3705,Mood Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/mood_cafe_40.8421_14.3705.json,custom
40.841322,14.369177,ov_leo_s_american_bar_40.8413_14.3692,Leo's American Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/leos_american_bar_40.8413_14.3692.json,custom
40.840772,14.360056,ov_bar_della_piazzetta_40.8408_14.3601,Bar della Piazzetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/bar_della_piazzetta_40.8408_14.3601.json,custom
40.842400,14.372484,ov_ricomincio_da_te_40.8424_14.3725,Ricomincio da Te,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/ricomincio_da_te_40.8424_14.3725.json,custom
40.851250,14.370440,ov_edelweiss_40.8513_14.3704,Edelweiss,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/edelweiss_40.8513_14.3704.json,custom
40.844488,14.369250,ov_terrazza_belvedere_40.8445_14.3693,Terrazza Belvedere,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/terrazza_belvedere_40.8445_14.3693.json,custom
40.843798,14.367953,ov_kiwi_club_40.8438_14.3680,Kiwi Club,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/kiwi_club_40.8438_14.3680.json,custom
40.844239,14.370065,ov_iqos_partner_gran_caffe_sterminator_vese_40.8442_14.3701,IQOS Partner Gran Caffe Sterminator Vesevo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/iqos_partner_gran_caffe_sterminator_vese_40.8442_14.3701.json,custom
40.843752,14.370304,ov_fashion_coffee_40.8438_14.3703,Fashion Coffee,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/fashion_coffee_40.8438_14.3703.json,custom
40.843068,14.369638,ov_bar_centrale_di_luigi_ostella_40.8431_14.3696,Bar Centrale di Luigi Ostella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/bar_centrale_di_luigi_ostella_40.8431_14.3696.json,custom
40.842840,14.370080,ov_paninoteca__e_scugnizz_40.8428_14.3701,Paninoteca 'E Scugnizz,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/paninoteca_e_scugnizz_40.8428_14.3701.json,custom
40.848543,14.361248,ov_rose___crown_40.8485_14.3612,Rose & Crown,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/rose_crown_40.8485_14.3612.json,custom
40.847550,14.367180,ov_bar_del_professore_san_sebastiano_al_ves_40.8475_14.3672,Bar del professore San sebastiano al vesuvio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/bar_del_professore_san_sebastiano_al_ves_40.8475_14.3672.json,custom
40.846930,14.368790,ov_bar_tabacchi_cento_100_40.8469_14.3688,Bar tabacchi cento 100,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/bar_tabacchi_cento_100_40.8469_14.3688.json,custom
40.840930,14.359608,ov_gorilla_gym_40.8409_14.3596,Gorilla Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/gorilla_gym_40.8409_14.3596.json,custom
40.841291,14.369082,ov_new_plinium_center_40.8413_14.3691,New Plinium Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/new_plinium_center_40.8413_14.3691.json,custom
40.841030,14.367903,ov_centro_danza_andreotti_40.8410_14.3679,Centro Danza Andreotti,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/centro_danza_andreotti_40.8410_14.3679.json,custom
40.843280,14.369940,ov_team_brigante_40.8433_14.3699,Team Brigante,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/team_brigante_40.8433_14.3699.json,custom
40.844815,14.353400,ov_paintball_war_game_napoli_40.8448_14.3534,Paintball War Game Napoli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/paintball_war_game_napoli_40.8448_14.3534.json,custom
40.845407,14.351965,ov_palestra_dinamika_40.8454_14.3520,Palestra Dinamika,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/palestra_dinamika_40.8454_14.3520.json,custom
40.845664,14.362936,ov_physical_fitness_40.8457_14.3629,Physical Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/physical_fitness_40.8457_14.3629.json,custom
40.846073,14.369044,ov_accademia_gymnasion_40.8461_14.3690,Accademia Gymnasion,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/accademia_gymnasion_40.8461_14.3690.json,custom
40.848158,14.359267,ov_latin_steps_academy_40.8482_14.3593,Latin Steps Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/latin_steps_academy_40.8482_14.3593.json,custom
40.848630,14.361196,ov_ka_r_ma_postural_pilates_40.8486_14.3612,Ka.r.ma Postural Pilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/karma_postural_pilates_40.8486_14.3612.json,custom
40.848121,14.367714,ov_palawojtyla_40.8481_14.3677,Palawojtyla,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/palawojtyla_40.8481_14.3677.json,custom
40.841762,14.370299,ov_comune_san_sebastiano_40.8418_14.3703,Comune San Sebastiano,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/comune_san_sebastiano_40.8418_14.3703.json,custom
