# lat,lng,id,name,building_type,type,url,page_type
# Cortina d'Ampezzo -- Tutti
46.554740,12.132119,ov_ospedale_cortina_46.5547_12.1321,Ospedale Cortina,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ospedale_cortina_46.5547_12.1321.json,custom
46.546908,12.137251,ov_ristorante_amadeus_46.5469_12.1373,Ristorante Amadeus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ristorante_amadeus_46.5469_12.1373.json,custom
46.539350,12.137203,ov_ristorante_ariston_46.5394_12.1372,Ristorante Ariston,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ristorante_ariston_46.5394_12.1372.json,custom
46.539412,12.137139,ov_al_passetto_46.5394_12.1371,Al Passetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/al_passetto_46.5394_12.1371.json,custom
46.542046,12.135342,ov_zuma_cortina_46.5420_12.1353,Zuma Cortina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/zuma_cortina_46.5420_12.1353.json,custom
46.542085,12.134336,ov_la_tavernetta_46.5421_12.1343,La Tavernetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/la_tavernetta_46.5421_12.1343.json,custom
46.539893,12.134421,ov_restaurant_ra_stua_46.5399_12.1344,Restaurant Ra Stua,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/restaurant_ra_stua_46.5399_12.1344.json,custom
46.540384,12.134977,ov_ristorante_stella_polare_46.5404_12.1350,Ristorante Stella Polare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ristorante_stella_polare_46.5404_12.1350.json,custom
46.541375,12.135155,ov_alpine_restaurant_46.5414_12.1352,Alpine Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/alpine_restaurant_46.5414_12.1352.json,custom
46.539255,12.134944,ov_osteria_il_gusto_46.5393_12.1349,Osteria Il Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/osteria_il_gusto_46.5393_12.1349.json,custom
46.539473,12.134903,ov_pizzeria_ristorante_croda_cafe_46.5395_12.1349,Pizzeria Ristorante Croda Cafe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/pizzeria_ristorante_croda_cafe_46.5395_12.1349.json,custom
46.539460,12.134800,ov_ristorante_pizzeria_staolin_46.5395_12.1348,Ristorante Pizzeria Staolin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ristorante_pizzeria_staolin_46.5395_12.1348.json,custom
46.539422,12.135109,ov_dolom_eats_all_aquila_46.5394_12.1351,Dolom'eats all'Aquila,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/dolomeats_allaquila_46.5394_12.1351.json,custom
46.538346,12.135148,ov_ai_due_forni_46.5383_12.1351,Ai Due Forni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ai_due_forni_46.5383_12.1351.json,custom
46.536257,12.134158,ov_fvsion_cortina_restaurant_46.5363_12.1342,Fvsion Cortina Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/fvsion_cortina_restaurant_46.5363_12.1342.json,custom
46.534929,12.134724,ov_tivoli_46.5349_12.1347,Tivoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/tivoli_46.5349_12.1347.json,custom
46.538688,12.135900,ov_pontejel_bierstube_forst_46.5387_12.1359,Pontejel Bierstube Forst,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/pontejel_bierstube_forst_46.5387_12.1359.json,custom
46.538581,12.136015,ov_ristorante_pontejel_46.5386_12.1360,Ristorante Pontejel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ristorante_pontejel_46.5386_12.1360.json,custom
46.538688,12.136240,ov_5_torri_46.5387_12.1362,5 Torri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/5_torri_46.5387_12.1362.json,custom
46.537363,12.136807,ov_rifugiolorenzi_46.5374_12.1368,RifugioLorenzi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/rifugiolorenzi_46.5374_12.1368.json,custom
46.536817,12.137004,ov_la_perla_46.5368_12.1370,La Perla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/la_perla_46.5368_12.1370.json,custom
46.536941,12.136938,ov_pizzeria_porto_rotondo_cortina_46.5369_12.1369,Pizzeria Porto Rotondo cortina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/pizzeria_porto_rotondo_cortina_46.5369_12.1369.json,custom
46.542827,12.129806,ov_country_club_house_46.5428_12.1298,Country Club House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/country_club_house_46.5428_12.1298.json,custom
46.534310,12.125290,ov_alexander_gusto_antico_46.5343_12.1253,Alexander Gusto Antico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/alexander_gusto_antico_46.5343_12.1253.json,custom
46.543111,12.125999,ov_alajmo_cortina_46.5431_12.1260,Alajmo Cortina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/alajmo_cortina_46.5431_12.1260.json,custom
46.543166,12.125844,ov_toul__46.5432_12.1258,Toulà,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/toul_46.5432_12.1258.json,custom
46.535670,12.122220,ov_rifugio_socrepes_46.5357_12.1222,Rifugio Socrepes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/rifugio_socrepes_46.5357_12.1222.json,custom
46.535295,12.121746,ov_chalet_tofane_46.5353_12.1217,Chalet Tofane,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/chalet_tofane_46.5353_12.1217.json,custom
46.533589,12.121841,ov_ristorante_tivoli_cortina_46.5336_12.1218,Ristorante Tivoli Cortina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ristorante_tivoli_cortina_46.5336_12.1218.json,custom
46.514279,12.132908,ov_ristorante_lago_pianozes_46.5143_12.1329,Ristorante Lago Pianozes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ristorante_lago_pianozes_46.5143_12.1329.json,custom
46.514230,12.132958,ov_la_scogliera_cortina_46.5142_12.1330,La Scogliera Cortina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/la_scogliera_cortina_46.5142_12.1330.json,custom
46.516410,12.134820,ov_azienda_agricola_salandro_46.5164_12.1348,Azienda Agricola Salandro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/azienda_agricola_salandro_46.5164_12.1348.json,custom
46.515607,12.143927,ov_la_corte_del_lampone_46.5156_12.1439,La Corte del Lampone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/la_corte_del_lampone_46.5156_12.1439.json,custom
46.535598,12.139025,ov_rifugio_biella_46.5356_12.1390,Rifugio Biella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/rifugio_biella_46.5356_12.1390.json,custom
46.535598,12.139025,ov_rio_gere_46.5356_12.1390,Rio Gere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/rio_gere_46.5356_12.1390.json,custom
46.535598,12.139025,ov_ristorante_rifugio_ospitale_46.5356_12.1390,Ristorante Rifugio Ospitale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ristorante_rifugio_ospitale_46.5356_12.1390.json,custom
46.535598,12.139025,ov_super_g_cortina___faloria_mountain_club_46.5356_12.1390,Super G Cortina - Faloria Mountain Club,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/super_g_cortina_-_faloria_mountain_club_46.5356_12.1390.json,custom
46.536969,12.138619,ov_the_roof_cortina_46.5370_12.1386,The Roof Cortina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/the_roof_cortina_46.5370_12.1386.json,custom
46.538014,12.138247,ov_ampezzo_pizza_46.5380_12.1382,Ampezzo pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ampezzo_pizza_46.5380_12.1382.json,custom
46.536904,12.137793,ov_il_vizietto_di_cortina_46.5369_12.1378,Il Vizietto Di Cortina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/il_vizietto_di_cortina_46.5369_12.1378.json,custom
46.537156,12.137725,ov_hostaria_in_cortina___alajmo_46.5372_12.1377,Hostaria in Cortina - Alajmo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/hostaria_in_cortina_-_alajmo_46.5372_12.1377.json,custom
46.538080,12.137698,ov_harley_srl_46.5381_12.1377,Harley SRL,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/harley_srl_46.5381_12.1377.json,custom
46.538408,12.137584,ov_hierbas_cortina_46.5384_12.1376,Hierbas Cortina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/hierbas_cortina_46.5384_12.1376.json,custom
46.538912,12.137644,ov_associazione_azzurri_e_olimpici_d_italia_46.5389_12.1376,Associazione Azzurri e Olimpici d'Italia Sezione Cortina-Bel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/associazione_azzurri_e_olimpici_ditalia__46.5389_12.1376.json,custom
46.536592,12.140803,ov_ristorante_pizzeria_il_ponte_46.5366_12.1408,Ristorante Pizzeria Il Ponte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ristorante_pizzeria_il_ponte_46.5366_12.1408.json,custom
46.533420,12.140360,ov_col_gallina_cortina_d_ampezzo_46.5334_12.1404,Col Gallina Cortina D'Ampezzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/col_gallina_cortina_dampezzo_46.5334_12.1404.json,custom
46.533540,12.140741,ov_ristorante_la_terrazza_46.5335_12.1407,ristorante la Terrazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ristorante_la_terrazza_46.5335_12.1407.json,custom
46.535241,12.140789,ov_1224_restaurant_cortina_46.5352_12.1408,1224 Restaurant Cortina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/1224_restaurant_cortina_46.5352_12.1408.json,custom
46.534483,12.140753,ov_birreria_trattoria_vienna_46.5345_12.1408,Birreria Trattoria Vienna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/birreria_trattoria_vienna_46.5345_12.1408.json,custom
46.534916,12.141355,ov_ristorante_pizzeria_el_bronsin_46.5349_12.1414,Ristorante Pizzeria El Bronsin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ristorante_pizzeria_el_bronsin_46.5349_12.1414.json,custom
46.532699,12.141353,ov_la_passeggiata_di_cortina_46.5327_12.1414,La Passeggiata di Cortina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/la_passeggiata_di_cortina_46.5327_12.1414.json,custom
46.522123,12.149508,ov_ristorante_da_pier_46.5221_12.1495,Ristorante da Pier,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ristorante_da_pier_46.5221_12.1495.json,custom
46.544359,12.150814,ov_al_camin_46.5444_12.1508,Al Camin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/al_camin_46.5444_12.1508.json,custom
46.544133,12.150967,ov_leone_e_anna_46.5441_12.1510,Leone e Anna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/leone_e_anna_46.5441_12.1510.json,custom
46.515895,12.091501,ov_pezie_de_paru_46.5159_12.0915,Pezie de Paru,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/pezie_de_paru_46.5159_12.0915.json,custom
46.520244,12.093763,ov_la_locanda_del_cantoniere_46.5202_12.0938,La Locanda del Cantoniere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/la_locanda_del_cantoniere_46.5202_12.0938.json,custom
46.521745,12.095639,ov_ciasa_vervei__hotel____franz_joseph_stub_46.5217_12.0956,Ciasa Vervei  Hotel    Franz Joseph Stube Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ciasa_vervei_hotel_franz_joseph_stube_ri_46.5217_12.0956.json,custom
46.540877,12.098753,ov_baita_pi__tofana_46.5409_12.0988,Baita Piè Tofana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/baita_pi_tofana_46.5409_12.0988.json,custom
46.541230,12.099170,ov_el_camineto_ristorante_cortina_46.5412_12.0992,El Camineto Ristorante Cortina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/el_camineto_ristorante_cortina_46.5412_12.0992.json,custom
46.543035,12.104122,ov_restaurant_col_drusci__46.5430_12.1041,Restaurant Col Drusciè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/restaurant_col_drusci_46.5430_12.1041.json,custom
46.534737,12.102384,ov_col_taron_46.5347_12.1024,Col Taron,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/col_taron_46.5347_12.1024.json,custom
46.523321,12.100252,ov_son_dei_prade_46.5233_12.1003,Son dei Prade,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/son_dei_prade_46.5233_12.1003.json,custom
46.523013,12.100151,ov_baita_resch_46.5230_12.1002,Baita Resch,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/baita_resch_46.5230_12.1002.json,custom
46.517294,12.114096,ov_rifugio_lago_d_ajal_46.5173_12.1141,Rifugio Lago d'Ajal,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/rifugio_lago_dajal_46.5173_12.1141.json,custom
46.528117,12.113152,ov_el_sorei_46.5281_12.1132,El Sorei,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/el_sorei_46.5281_12.1132.json,custom
46.533942,12.118319,ov_chalet_franz_kraler___club_moritzino_46.5339_12.1183,Chalet Franz Kraler - Club Moritzino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/chalet_franz_kraler_-_club_moritzino_46.5339_12.1183.json,custom
46.537502,12.104464,ov_il_meloncino_al_camineto_46.5375_12.1045,Il Meloncino al Camineto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/il_meloncino_al_camineto_46.5375_12.1045.json,custom
46.556516,12.112370,ov_ristorante_lago_scin_46.5565_12.1124,Ristorante Lago Scin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ristorante_lago_scin_46.5565_12.1124.json,custom
46.555248,12.113660,ov_lago_ghedina_46.5552_12.1137,Lago Ghedina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/lago_ghedina_46.5552_12.1137.json,custom
46.570486,12.115406,ov_ristorante_mdp_cortina_46.5705_12.1154,Ristorante Mdp Cortina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ristorante_mdp_cortina_46.5705_12.1154.json,custom
46.574618,12.117577,ov_ristorante_rifugio_ospitale_46.5746_12.1176,Ristorante Rifugio Ospitale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ristorante_rifugio_ospitale_46.5746_12.1176.json,custom
46.617180,12.095810,ov_rifugio_malga_ra_stua_46.6172_12.0958,Rifugio Malga Ra Stua,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/rifugio_malga_ra_stua_46.6172_12.0958.json,custom
46.625618,12.098757,ov_malga_ra_stua_46.6256_12.0988,Malga Ra Stua,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/malga_ra_stua_46.6256_12.0988.json,custom
46.603006,12.142267,ov_ristorante_rifugio_ospitale_46.6030_12.1423,Ristorante Rifugio Ospitale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ristorante_rifugio_ospitale_46.6030_12.1423.json,custom
46.538330,12.136977,osm_proscutterie_dok_dall_ava_46.5383_12.1370,Proscutterie DOK Dall'ava,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/proscutterie_dok_dallava_46.5383_12.1370.json,custom
46.551556,12.189963,osm_rio_gere_46.5516_12.1900,Rio Gere,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/rio_gere_46.5516_12.1900.json,custom
46.545048,12.165627,osm_ristorante_lago_scin_46.5450_12.1656,Ristorante Lago Scin,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ristorante_lago_scin_46.5450_12.1656.json,custom
46.539902,12.134351,osm_ra_stua_46.5399_12.1344,Ra Stua,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ra_stua_46.5399_12.1344.json,custom
46.536833,12.137718,osm_la_piazzetta_46.5368_12.1377,La Piazzetta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/la_piazzetta_46.5368_12.1377.json,custom
46.543396,12.156537,osm_sanbrite_46.5434_12.1565,SanBrite,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/sanbrite_46.5434_12.1565.json,custom
46.538470,12.136244,osm_janbo_46.5385_12.1362,Janbo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/janbo_46.5385_12.1362.json,custom
46.538792,12.134229,osm_ristorante_de_len_46.5388_12.1342,Ristorante de LEN,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ristorante_de_len_46.5388_12.1342.json,custom
46.533562,12.121548,osm_tivoli_46.5336_12.1215,Tivoli,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/tivoli_46.5336_12.1215.json,custom
46.619912,12.182912,ov_passo_cimebianche_mt__1530_46.6199_12.1829,Passo Cimebianche Mt. 1530,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/passo_cimebianche_mt_1530_46.6199_12.1829.json,custom
46.556660,12.202034,ov_bar_bistrot_tre_croci_46.5567_12.2020,Bar Bistrot Tre Croci,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/bar_bistrot_tre_croci_46.5567_12.2020.json,custom
