# lat,lng,id,name,building_type,type,url,page_type
# Montoro -- Tutti
40.821628,14.786671,ov_san_pietro_di_montoro_av_40.8216_14.7867,San Pietro Di Montoro Av,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/san_pietro_di_montoro_av_40.8216_14.7867.json,custom
40.850961,14.785997,ov_osteria_del_borgo_40.8510_14.7860,Osteria del Borgo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/osteria_del_borgo_40.8510_14.7860.json,custom
40.850945,14.786078,ov_tenuta_del_re_40.8509_14.7861,Tenuta del Re,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/tenuta_del_re_40.8509_14.7861.json,custom
40.850740,14.785755,ov_interrazza_street_food_40.8507_14.7858,InTerrazza Street FOOD,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/interrazza_street_food_40.8507_14.7858.json,custom
40.836275,14.771031,ov_gb_agricola___casa_barbato_40.8363_14.7710,GB Agricola - Casa Barbato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/gb_agricola_-_casa_barbato_40.8363_14.7710.json,custom
40.836344,14.761954,ov_una_lanterna_nella_valle_40.8363_14.7620,Una Lanterna Nella Valle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/una_lanterna_nella_valle_40.8363_14.7620.json,custom
40.830187,14.774148,ov_trattoria_la_masseria_40.8302_14.7741,Trattoria la Masseria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/trattoria_la_masseria_40.8302_14.7741.json,custom
40.830537,14.764574,ov_pizzeria_a__piazz_40.8305_14.7646,Pizzeria A' Piazz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/pizzeria_a_piazz_40.8305_14.7646.json,custom
40.814213,14.758134,ov_rockcaf__40.8142_14.7581,Rockcafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/rockcaf_40.8142_14.7581.json,custom
40.816432,14.758911,ov_bar_smile_40.8164_14.7589,Bar Smile,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/bar_smile_40.8164_14.7589.json,custom
40.823028,14.760154,ov_fuelsorrentino_40.8230_14.7602,Fuelsorrentino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/fuelsorrentino_40.8230_14.7602.json,custom
40.820513,14.762116,ov_las_vegas_bar_e_slot_40.8205_14.7621,Las Vegas Bar e Slot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/las_vegas_bar_e_slot_40.8205_14.7621.json,custom
40.821150,14.759852,ov_mo_mo_cafe_40.8212_14.7599,Mo-Mo Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/mo-mo_cafe_40.8212_14.7599.json,custom
40.821079,14.759683,ov_snai_cafe_40.8211_14.7597,Snai Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/snai_cafe_40.8211_14.7597.json,custom
40.817273,14.775609,ov_mi__bar_40.8173_14.7756,Miù bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/mi_bar_40.8173_14.7756.json,custom
40.820449,14.775771,ov_iqos_partner___crazy_head_bar__montoro_40.8204_14.7758,"IQOS PARTNER - Crazy Head Bar, Montoro",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/iqos_partner_-_crazy_head_bar_montoro_40.8204_14.7758.json,custom
40.820630,14.776013,ov_crazy_head_40.8206_14.7760,Crazy Head,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/crazy_head_40.8206_14.7760.json,custom
40.822382,14.777138,ov_sweet_inc__40.8224_14.7771,Sweet inc.,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/sweet_inc_40.8224_14.7771.json,custom
40.822545,14.782474,ov_vita_nova_caffe_40.8225_14.7825,Vita nova caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/vita_nova_caffe_40.8225_14.7825.json,custom
40.819719,14.785812,ov_miu_caffe_40.8197_14.7858,MIU Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/miu_caffe_40.8197_14.7858.json,custom
40.817761,14.795616,ov_parco_bar_torchiati_40.8178_14.7956,Parco bar Torchiati,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/parco_bar_torchiati_40.8178_14.7956.json,custom
40.817140,14.798639,ov_bar_tabacchi_sharon_40.8171_14.7986,Bar Tabacchi Sharon,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/bar_tabacchi_sharon_40.8171_14.7986.json,custom
40.815954,14.796572,ov_caff__aroma___sapori_40.8160_14.7966,Caffè Aroma & Sapori,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/caff_aroma_sapori_40.8160_14.7966.json,custom
40.808489,14.772898,ov_luna_rossa_40.8085_14.7729,Luna Rossa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/luna_rossa_40.8085_14.7729.json,custom
40.826852,14.779622,ov_roxy_bar_40.8269_14.7796,Roxy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/roxy_bar_40.8269_14.7796.json,custom
40.829122,14.763989,ov_the_sweet_life_bar_40.8291_14.7640,The Sweet Life Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/the_sweet_life_bar_40.8291_14.7640.json,custom
40.829686,14.781646,ov_bar_oasi_verde_40.8297_14.7816,Bar Oasi Verde,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/bar_oasi_verde_40.8297_14.7816.json,custom
40.823275,14.758131,ov_fp_centro_fitness_40.8233_14.7581,FP Centro Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/fp_centro_fitness_40.8233_14.7581.json,custom
40.819802,14.759318,ov_asd_new_another_dance_40.8198_14.7593,Asd New Another Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/asd_new_another_dance_40.8198_14.7593.json,custom
40.820316,14.782992,ov_la_rinascente_studio_40.8203_14.7830,La Rinascente Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/la_rinascente_studio_40.8203_14.7830.json,custom
40.820621,14.776151,ov_club_23_wellness___fitness_40.8206_14.7762,Club 23 Wellness & Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/club_23_wellness_fitness_40.8206_14.7762.json,custom
40.818250,14.798950,ov_campo_afab_40.8182_14.7989,campo_afab,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/campoafab_40.8182_14.7989.json,custom
40.811850,14.788187,ov_a_s_d_colmay_horses_club_40.8118_14.7882,A.S.D Colmay Horses CLUB,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/asd_colmay_horses_club_40.8118_14.7882.json,custom
40.838228,14.782933,ov_asd_box_979_40.8382_14.7829,ASD Box 979,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/asd_box_979_40.8382_14.7829.json,custom
40.840321,14.774390,ov_taurus_ranch_40.8403_14.7744,Taurus Ranch,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/taurus_ranch_40.8403_14.7744.json,custom
40.813478,14.763976,ov_pimac___pinacoteca_d_arte_contemporanea_40.8135_14.7640,PIMAC - Pinacoteca d'Arte Contemporanea,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/pimac_-_pinacoteca_darte_contemporanea_40.8135_14.7640.json,custom
40.840715,14.789853,ov_castello_longobardo_di_montoro_40.8407_14.7899,Castello Longobardo di Montoro,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/castello_longobardo_di_montoro_40.8407_14.7899.json,custom
40.841700,14.785260,ov_museo_delle_maschere_e_del_carnevale_di__40.8417_14.7853,Museo delle Maschere e del Carnevale di Montoro - Stati Gene,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/montoro/pages/museo_delle_maschere_e_del_carnevale_di__40.8417_14.7853.json,custom
