# lat,lng,id,name,building_type,type,url,page_type
# Adro -- Tutti
45.626207,9.951234,ov_instituto_dr_beker_45.6262_9.9512,Instituto Dr Beker,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/instituto_dr_beker_45.6262_9.9512.json,custom
45.619650,9.966899,ov_fior_di_pizza_45.6196_9.9669,Fior di Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/fior_di_pizza_45.6196_9.9669.json,custom
45.620846,9.963776,ov_pizzeria_le_piramidi_45.6208_9.9638,Pizzeria le piramidi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/pizzeria_le_piramidi_45.6208_9.9638.json,custom
45.622147,9.962643,ov_pizzeria_las_vegas_45.6221_9.9626,Pizzeria Las Vegas,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/pizzeria_las_vegas_45.6221_9.9626.json,custom
45.608466,10.001256,osm_dispensa_pani_e_vini_franciacorta_45.6085_10.0013,Dispensa Pani e Vini Franciacorta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/dispensa_pani_e_vini_franciacorta_45.6085_10.0013.json,custom
45.473355,10.011596,ov_oratorio_trenzano_45.4734_10.0116,Oratorio Trenzano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/oratorio_trenzano_45.4734_10.0116.json,custom
45.610161,9.991834,ov_belafonte_45.6102_9.9918,Belafonte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/belafonte_45.6102_9.9918.json,custom
45.608865,10.001383,ov_chrissy_cafe_45.6089_10.0014,Chrissy Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/chrissy_cafe_45.6089_10.0014.json,custom
45.607770,10.001310,ov_3zero3_45.6078_10.0013,3zero3,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/3zero3_45.6078_10.0013.json,custom
45.625630,9.953640,ov_bar_buonconsiglio_45.6256_9.9536,Bar Buonconsiglio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/bar_buonconsiglio_45.6256_9.9536.json,custom
45.620960,9.957725,ov_gliss_adro_45.6210_9.9577,Gliss adro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/gliss_adro_45.6210_9.9577.json,custom
45.617320,9.959680,ov_pasticceria_gelateria_caffetteria_meetin_45.6173_9.9597,Pasticceria Gelateria Caffetteria Meeting di Moira e Debora,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/pasticceria_gelateria_caffetteria_meetin_45.6173_9.9597.json,custom
45.617448,9.978871,ov_al_santuario_caffe_e_bistrot_45.6174_9.9789,Al Santuario Caffe e Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/al_santuario_caffe_e_bistrot_45.6174_9.9789.json,custom
45.618699,9.975864,ov_chicchera_caffe_45.6187_9.9759,Chicchera Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/chicchera_caffe_45.6187_9.9759.json,custom
45.619207,9.967512,ov_roxy_bar_45.6192_9.9675,Roxy bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/roxy_bar_45.6192_9.9675.json,custom
45.619311,9.968316,ov_bar_della_musica_45.6193_9.9683,Bar della Musica,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/bar_della_musica_45.6193_9.9683.json,custom
45.622101,9.961315,ov_flabacco_45.6221_9.9613,Flabacco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/flabacco_45.6221_9.9613.json,custom
45.621808,9.962148,ov_il_cantuccio_45.6218_9.9621,Il Cantuccio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/il_cantuccio_45.6218_9.9621.json,custom
45.608558,10.001235,osm_dispensa_pani_e_vini_franciacorta_45.6086_10.0012,Dispensa Pani e Vini Franciacorta,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/dispensa_pani_e_vini_franciacorta_45.6086_10.0012.json,custom
45.611640,9.961250,ov_yamamoto_gym_adro_45.6116_9.9612,Yamamoto Gym Adro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/yamamoto_gym_adro_45.6116_9.9612.json,custom
45.612035,9.961341,ov_crossfit_adro_45.6120_9.9613,CrossFit Adro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/crossfit_adro_45.6120_9.9613.json,custom
45.612290,9.960800,ov_fenix_gym_adro_45.6123_9.9608,Fenix Gym Adro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/fenix_gym_adro_45.6123_9.9608.json,custom
45.611770,9.982790,ov_newlifefitnessadro_45.6118_9.9828,newlifefitnessadro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/newlifefitnessadro_45.6118_9.9828.json,custom
45.610380,10.001629,ov_ballo_antiage_adro_45.6104_10.0016,Ballo Antiage Adro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/ballo_antiage_adro_45.6104_10.0016.json,custom
45.633496,9.948716,ov_la_barbatella_scuderia_45.6335_9.9487,La Barbatella Scuderia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/la_barbatella_scuderia_45.6335_9.9487.json,custom
45.615855,9.960443,ov_le_stanze_dell__anima_asd__45.6159_9.9604,Le Stanze dell' Anima asd.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/le_stanze_dell_anima_asd_45.6159_9.9604.json,custom
45.618716,9.975741,ov_hatha_pilates_45.6187_9.9757,Hatha Pilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/hatha_pilates_45.6187_9.9757.json,custom
45.621092,9.961097,ov_a_s_d__danza_etoile_45.6211_9.9611,A.S.D. Danza Etoile,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/asd_danza_etoile_45.6211_9.9611.json,custom
45.620451,9.967510,ov_museo_del_ricordo_45.6205_9.9675,Museo del Ricordo,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/museo_del_ricordo_45.6205_9.9675.json,custom
45.624603,9.956682,ov_biblioteca_di_adro_45.6246_9.9567,Biblioteca di Adro,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/biblioteca_di_adro_45.6246_9.9567.json,custom
45.620150,9.960110,ov_biblioteca_comunale_di_urago_d_oglio_45.6202_9.9601,Biblioteca comunale di Urago d'Oglio,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/biblioteca_comunale_di_urago_doglio_45.6202_9.9601.json,custom
