# lat,lng,id,name,building_type,type,url,page_type
# tignes -- Tutti
45.455871,6.900616,ov_p_le_sant__france_45.4559_6.9006,Pôle Santé France,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/ple_sant_france_45.4559_6.9006.json,custom
45.456388,6.900412,ov_les_poulettes_de_tignes_45.4564_6.9004,Les poulettes de Tignes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/les_poulettes_de_tignes_45.4564_6.9004.json,custom
45.456410,6.901490,ov_restaurants_ski_45.4564_6.9015,Restaurants Ski,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/restaurants_ski_45.4564_6.9015.json,custom
45.456298,6.901089,ov_oh_la_vache_bistro_alpin_45.4563_6.9011,Oh La Vache Bistro Alpin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/oh_la_vache_bistro_alpin_45.4563_6.9011.json,custom
45.456221,6.901203,ov_la_pignatta_45.4562_6.9012,La Pignatta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/la_pignatta_45.4562_6.9012.json,custom
45.456226,6.900408,ov_le_grattalu_45.4562_6.9004,Le Grattalu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/le_grattalu_45.4562_6.9004.json,custom
45.456278,6.900641,ov_restaurant_la_petite_lulu_45.4563_6.9006,Restaurant La Petite Lulu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/restaurant_la_petite_lulu_45.4563_6.9006.json,custom
45.455557,6.920273,ov_restaurant_altitude_de_tovi_re_45.4556_6.9203,Restaurant Altitude de Tovière,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/restaurant_altitude_de_tovire_45.4556_6.9203.json,custom
45.456959,6.900847,ov_moe_s_pizza_tignes_45.4570_6.9008,Moe's pizza Tignes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/moes_pizza_tignes_45.4570_6.9008.json,custom
45.456937,6.901092,ov_l_armoise_45.4569_6.9011,L'armoise,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/larmoise_45.4569_6.9011.json,custom
45.456915,6.900912,ov_tex_mex_45.4569_6.9009,Tex Mex,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/tex_mex_45.4569_6.9009.json,custom
45.456843,6.900470,ov_le_palet_tignes_45.4568_6.9005,Le Palet Tignes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/le_palet_tignes_45.4568_6.9005.json,custom
45.456811,6.900963,ov_bistro_nomade_45.4568_6.9010,Bistro Nomade,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/bistro_nomade_45.4568_6.9010.json,custom
45.456749,6.900581,ov_brasserie_du_petit_savoyard_45.4567_6.9006,Brasserie du Petit Savoyard,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/brasserie_du_petit_savoyard_45.4567_6.9006.json,custom
45.457463,6.901086,ov_le_snow_food_tignes_45.4575_6.9011,Le snow food tignes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/le_snow_food_tignes_45.4575_6.9011.json,custom
45.457866,6.899229,ov_la_table_de_jeanne_45.4579_6.8992,La Table de Jeanne,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/la_table_de_jeanne_45.4579_6.8992.json,custom
45.457911,6.901303,ov_restaurant_ursus_45.4579_6.9013,Restaurant URSUS,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/restaurant_ursus_45.4579_6.9013.json,custom
45.459615,6.902951,ov_restaurant_du_golf_45.4596_6.9030,Restaurant du Golf,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/restaurant_du_golf_45.4596_6.9030.json,custom
45.468326,6.910534,ov_restaurant_il_savoia_45.4683_6.9105,Restaurant Il Savoia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/restaurant_il_savoia_45.4683_6.9105.json,custom
45.468306,6.909439,ov_the_break_45.4683_6.9094,The Break,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/the_break_45.4683_6.9094.json,custom
45.468242,6.909313,ov_wanaka_cr_perie_45.4682_6.9093,Wanaka crêperie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/wanaka_crperie_45.4682_6.9093.json,custom
45.467959,6.909926,ov_tignes_cuisine_streetfood_45.4680_6.9099,Tignes Cuisine Streetfood,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/tignes_cuisine_streetfood_45.4680_6.9099.json,custom
45.468294,6.903445,ov_niurou_steakhouse_45.4683_6.9034,Niurou Steakhouse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/niurou_steakhouse_45.4683_6.9034.json,custom
45.467841,6.910027,ov_loop_bar___restaurant_45.4678_6.9100,Loop Bar & Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/loop_bar_restaurant_45.4678_6.9100.json,custom
45.469603,6.899286,ov_la_savouna_45.4696_6.8993,La Savouna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/la_savouna_45.4696_6.8993.json,custom
45.469208,6.908013,ov_l_escale_blanche_45.4692_6.9080,L'Escale Blanche,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/lescale_blanche_45.4692_6.9080.json,custom
45.469134,6.907734,ov_toko_snack_45.4691_6.9077,Toko Snack,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/toko_snack_45.4691_6.9077.json,custom
45.468867,6.905078,ov_chez_juliane_45.4689_6.9051,Chez Juliane,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/chez_juliane_45.4689_6.9051.json,custom
45.468863,6.905377,ov_le_rendez_vous_45.4689_6.9054,Le Rendez-Vous,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/le_rendez-vous_45.4689_6.9054.json,custom
45.468852,6.904571,ov_langley_alpine_kitchen_45.4689_6.9046,Langley Alpine Kitchen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/langley_alpine_kitchen_45.4689_6.9046.json,custom
45.468669,6.903836,ov_l_eterlou_45.4687_6.9038,L'Eterlou,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/leterlou_45.4687_6.9038.json,custom
45.468685,6.905703,ov_les_planches_45.4687_6.9057,Les Planches,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/les_planches_45.4687_6.9057.json,custom
45.468556,6.908740,ov_coeur_des_neiges_45.4686_6.9087,Coeur des Neiges,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/coeur_des_neiges_45.4686_6.9087.json,custom
45.470080,6.907811,ov_restaurant_altitude_de_toviere_45.4701_6.9078,Restaurant Altitude de Toviere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/restaurant_altitude_de_toviere_45.4701_6.9078.json,custom
45.470193,6.907383,ov_restaurant_la_place_45.4702_6.9074,Restaurant La Place,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/restaurant_la_place_45.4702_6.9074.json,custom
45.472120,6.907325,ov_restaurant_les_chanterelles_45.4721_6.9073,Restaurant Les Chanterelles,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/restaurant_les_chanterelles_45.4721_6.9073.json,custom
45.472163,6.913623,ov___table_chez_pat__45.4722_6.9136,À Table Chez Pat',RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/_table_chez_pat_45.4722_6.9136.json,custom
45.472098,6.914465,ov_kodo_45.4721_6.9145,Kodo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/kodo_45.4721_6.9145.json,custom
45.472063,6.913672,ov_le_bouchon_montagnard_45.4721_6.9137,Le Bouchon Montagnard,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/le_bouchon_montagnard_45.4721_6.9137.json,custom
45.472069,6.913875,ov_mendikoa_45.4721_6.9139,Mendikoa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/mendikoa_45.4721_6.9139.json,custom
45.471736,6.914478,ov_l_arti_45.4717_6.9145,L'Arti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/larti_45.4717_6.9145.json,custom
45.471650,6.914376,ov_pizza_nick_tignes_45.4717_6.9144,Pizza Nick Tignes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/pizza_nick_tignes_45.4717_6.9144.json,custom
45.471540,6.914206,ov_la_queue_de_cochon_45.4715_6.9142,La Queue de Cochon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/la_queue_de_cochon_45.4715_6.9142.json,custom
45.471748,6.907160,ov_restaurant_la_chaumi_re_45.4717_6.9072,Restaurant la Chaumière,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/restaurant_la_chaumire_45.4717_6.9072.json,custom
45.471768,6.906379,ov_restaurant_le_gourmet_45.4718_6.9064,Restaurant le Gourmet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/restaurant_le_gourmet_45.4718_6.9064.json,custom
45.471379,6.914443,ov_le_brasero_45.4714_6.9144,Le Brasero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/le_brasero_45.4714_6.9144.json,custom
45.473057,6.911123,ov_la_ferme_des_3_capucines_45.4731_6.9111,La Ferme des 3 Capucines,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/la_ferme_des_3_capucines_45.4731_6.9111.json,custom
45.472613,6.909828,ov_lo_soli_45.4726_6.9098,Lo Soli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/lo_soli_45.4726_6.9098.json,custom
45.472672,6.909866,ov_l_alpage_des_chaudannes_45.4727_6.9099,L'Alpage des Chaudannes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/lalpage_des_chaudannes_45.4727_6.9099.json,custom
45.481990,6.905509,ov_restaurant_l_alpage_45.4820_6.9055,Restaurant l'Alpage,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/restaurant_lalpage_45.4820_6.9055.json,custom
45.482042,6.905470,ov_lo_soli_45.4820_6.9055,Lo Soli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/lo_soli_45.4820_6.9055.json,custom
45.482001,6.905599,ov_self_bar_l_alpage_des_chaudannes_45.4820_6.9056,Self-bar L'Alpage des Chaudannes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/self-bar_lalpage_des_chaudannes_45.4820_6.9056.json,custom
45.497100,6.925430,ov_restaurant_l_avalanche_45.4971_6.9254,Restaurant l’Avalanche,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/restaurant_lavalanche_45.4971_6.9254.json,custom
45.495829,6.926398,ov_cav___1800_45.4958_6.9264,Cav'Ô 1800,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/cav_1800_45.4958_6.9264.json,custom
45.496080,6.927890,ov_lo_soli_tignes_45.4961_6.9279,Lo Soli Tignes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/lo_soli_tignes_45.4961_6.9279.json,custom
45.509550,6.919420,ov_restaurant___1800_45.5095_6.9194,Restaurant Ô 1800,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/restaurant_1800_45.5095_6.9194.json,custom
45.506744,6.920157,ov_l__toile_des_neiges_45.5067_6.9202,L'étoile des neiges,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/ltoile_des_neiges_45.5067_6.9202.json,custom
45.507050,6.920608,ov_restaurant_la_bouida_45.5070_6.9206,Restaurant La Bouida,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/restaurant_la_bouida_45.5070_6.9206.json,custom
45.507120,6.920763,ov_l_armailly_45.5071_6.9208,L'Armailly,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/larmailly_45.5071_6.9208.json,custom
45.423510,6.890944,ov_le_panoramic_45.4235_6.8909,Le Panoramic,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/le_panoramic_45.4235_6.8909.json,custom
45.423650,6.891277,ov_maison_bouvier__grande_motte_45.4236_6.8913,"Maison Bouvier, Grande Motte",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/maison_bouvier_grande_motte_45.4236_6.8913.json,custom
45.468644,6.903768,osm_le_shamrock_45.4686_6.9038,Le Shamrock,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/le_shamrock_45.4686_6.9038.json,custom
45.452354,6.898039,ov_cocorico_apr_s_ski_45.4524_6.8980,Cocorico Après Ski,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/cocorico_aprs_ski_45.4524_6.8980.json,custom
45.454210,6.898362,ov_tom_crean_s_pub_45.4542_6.8984,Tom Crean's Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/tom_creans_pub_45.4542_6.8984.json,custom
45.454998,6.901670,ov_le_dahu_45.4550_6.9017,Le Dahu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/le_dahu_45.4550_6.9017.json,custom
45.455148,6.901211,ov_le_cameleon_45.4551_6.9012,LE Cameleon,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/le_cameleon_45.4551_6.9012.json,custom
45.455492,6.900429,ov_le_coffee_45.4555_6.9004,Le Coffee,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/le_coffee_45.4555_6.9004.json,custom
45.455598,6.900997,ov_grizzly_s_bar_45.4556_6.9010,Grizzly's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/grizzlys_bar_45.4556_6.9010.json,custom
45.455707,6.900399,ov_dropzone_tignes_45.4557_6.9004,Dropzone Tignes,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/dropzone_tignes_45.4557_6.9004.json,custom
45.455652,6.900189,ov_inside_bar_tignes_45.4557_6.9002,Inside bar Tignes,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/inside_bar_tignes_45.4557_6.9002.json,custom
45.455921,6.900126,ov_granite_bar_45.4559_6.9001,Granite-bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/granite-bar_45.4559_6.9001.json,custom
45.455990,6.900391,ov_blue_girl_tignes_45.4560_6.9004,Blue Girl Tignes,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/blue_girl_tignes_45.4560_6.9004.json,custom
45.455979,6.900161,ov_le_studio_45.4560_6.9002,Le Studio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/le_studio_45.4560_6.9002.json,custom
45.456509,6.900451,ov_arobaze_45.4565_6.9005,Arobaze,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/arobaze_45.4565_6.9005.json,custom
45.457099,6.899945,ov_la_rhumerie_givr_e___by_247bar_45.4571_6.8999,La Rhumerie Givrée - by 247Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/la_rhumerie_givre_-_by_247bar_45.4571_6.8999.json,custom
45.456904,6.900790,ov_le_twenty_four_seven_45.4569_6.9008,Le Twenty Four Seven,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/le_twenty_four_seven_45.4569_6.9008.json,custom
45.456756,6.901143,ov_ranga_s_bar_45.4568_6.9011,Ranga's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/rangas_bar_45.4568_6.9011.json,custom
45.457574,6.900853,ov_charlie_s_bar_45.4576_6.9009,Charlie's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/charlies_bar_45.4576_6.9009.json,custom
45.468047,6.910025,ov_loop_45.4680_6.9100,Loop,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/loop_45.4680_6.9100.json,custom
45.467761,6.910164,ov_cave_du_loop_45.4678_6.9102,Cave Du Loop,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/cave_du_loop_45.4678_6.9102.json,custom
45.466954,6.902173,ov_lo_terrachu_45.4670_6.9022,Lo Terrachu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/lo_terrachu_45.4670_6.9022.json,custom
45.466908,6.902008,ov_chez_popeye_45.4669_6.9020,Chez Popeye,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/chez_popeye_45.4669_6.9020.json,custom
45.468929,6.905667,ov_the_marmot_45.4689_6.9057,The Marmot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/the_marmot_45.4689_6.9057.json,custom
45.468976,6.905777,ov_jam_bar_45.4690_6.9058,Jam Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/jam_bar_45.4690_6.9058.json,custom
45.468847,6.905971,ov_tigerbar_tignes_45.4688_6.9060,Tigerbar Tignes,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/tigerbar_tignes_45.4688_6.9060.json,custom
45.468634,6.908550,ov_la_palette_des_2_boules_45.4686_6.9086,La Palette des 2 Boules,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/la_palette_des_2_boules_45.4686_6.9086.json,custom
45.470300,6.907810,ov_oxyg_ne_caf____tignes_45.4703_6.9078,Oxygène Café - Tignes,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/oxygne_caf_-_tignes_45.4703_6.9078.json,custom
45.472129,6.914364,ov_la_paillote_de_tignes_45.4721_6.9144,La Paillote de Tignes,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/tignes/pages/la_paillote_de_tignes_45.4721_6.9144.json,custom
