# lat,lng,id,name,building_type,type,url,page_type
# Atessa -- Tutti
42.072998,14.447413,ov_ospedale_civile_di_atessa_42.0730_14.4474,Ospedale Civile di Atessa,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/ospedale_civile_di_atessa_42.0730_14.4474.json,custom
42.137371,14.429448,ov_ai_viali_da_rocco___atessa_42.1374_14.4294,Ai Viali da Rocco - Atessa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/ai_viali_da_rocco_-_atessa_42.1374_14.4294.json,custom
42.140848,14.427291,ov_ai_viali_da_rocco___atessa_42.1408_14.4273,Ai Viali da Rocco - Atessa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/ai_viali_da_rocco_-_atessa_42.1408_14.4273.json,custom
42.150690,14.451290,ov_le_capricciose_pizzeria_al_taglio_42.1507_14.4513,Le Capricciose Pizzeria al taglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/le_capricciose_pizzeria_al_taglio_42.1507_14.4513.json,custom
42.146125,14.443203,ov_la_cucina_di_cri_42.1461_14.4432,La cucina di Cri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/la_cucina_di_cri_42.1461_14.4432.json,custom
42.146159,14.442847,ov_bar_pizzeria_saletti_42.1462_14.4428,Bar pizzeria Saletti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/bar_pizzeria_saletti_42.1462_14.4428.json,custom
42.144934,14.440837,ov_ristorante_ponte_nuovo_42.1449_14.4408,Ristorante Ponte Nuovo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/ristorante_ponte_nuovo_42.1449_14.4408.json,custom
42.143324,14.438556,ov_dejavu_42.1433_14.4386,Dejavu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/dejavu_42.1433_14.4386.json,custom
42.138792,14.432212,ov_royal_garden_42.1388_14.4322,Royal Garden,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/royal_garden_42.1388_14.4322.json,custom
42.137393,14.431584,ov_pasta_fresca_da_lucia_42.1374_14.4316,Pasta Fresca da Lucia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/pasta_fresca_da_lucia_42.1374_14.4316.json,custom
42.137335,14.431620,ov_le_capricciose_42.1373_14.4316,Le Capricciose,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/le_capricciose_42.1373_14.4316.json,custom
42.134906,14.430907,ov_braciopizzaselfatessa_42.1349_14.4309,Braciopizzaselfatessa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/braciopizzaselfatessa_42.1349_14.4309.json,custom
42.142268,14.446650,ov_trattoria_il_tagliavento_42.1423_14.4467,Trattoria Il Tagliavento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/trattoria_il_tagliavento_42.1423_14.4467.json,custom
42.132309,14.448553,ov_agriturismo_il_castelluccio_42.1323_14.4486,Agriturismo Il Castelluccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/agriturismo_il_castelluccio_42.1323_14.4486.json,custom
42.119211,14.458330,ov_agriturismo_la_ruelle_atessa_42.1192_14.4583,Agriturismo La Ruelle Atessa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/agriturismo_la_ruelle_atessa_42.1192_14.4583.json,custom
42.066766,14.444254,ov_bar_del_corso_42.0668_14.4443,Bar del corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/bar_del_corso_42.0668_14.4443.json,custom
42.067305,14.444592,ov_bar_chalet_42.0673_14.4446,Bar Chalet,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/bar_chalet_42.0673_14.4446.json,custom
42.066805,14.443883,ov_bar_viviana_42.0668_14.4439,Bar Viviana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/bar_viviana_42.0668_14.4439.json,custom
42.066966,14.443686,ov_gran_caffe__d_angelo_42.0670_14.4437,Gran Caffe' D'Angelo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/gran_caffe_dangelo_42.0670_14.4437.json,custom
42.073093,14.447106,ov_snack_bar_da_stefano_42.0731_14.4471,snack bar da Stefano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/snack_bar_da_stefano_42.0731_14.4471.json,custom
42.066457,14.446316,ov_bar_pilot_atessa_42.0665_14.4463,Bar Pilot Atessa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/bar_pilot_atessa_42.0665_14.4463.json,custom
42.066316,14.446820,ov_perbacco_42.0663_14.4468,Perbacco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/perbacco_42.0663_14.4468.json,custom
42.067372,14.447987,ov_bar_la_perla_42.0674_14.4480,Bar La Perla,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/bar_la_perla_42.0674_14.4480.json,custom
42.067361,14.447935,ov_ka_thea_cocktail_s_ristobar_42.0674_14.4479,KA'THEA cocktail's&Ristobar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/kathea_cocktailsristobar_42.0674_14.4479.json,custom
42.067180,14.448010,ov_la_villa_atessa_42.0672_14.4480,La Villa Atessa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/la_villa_atessa_42.0672_14.4480.json,custom
42.067322,14.448133,ov_barone_cocktail_and_food_42.0673_14.4481,Barone cocktail and food,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/barone_cocktail_and_food_42.0673_14.4481.json,custom
42.067127,14.447548,ov_uvarara_atessa_42.0671_14.4475,UvaRara Atessa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/uvarara_atessa_42.0671_14.4475.json,custom
42.069985,14.451876,ov_sicomoro_42.0700_14.4519,Sicomoro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/sicomoro_42.0700_14.4519.json,custom
42.071680,14.451849,ov_res_caf__42.0717_14.4518,RES Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/res_caf_42.0717_14.4518.json,custom
42.103885,14.434584,ov_bar_black_and_white_42.1039_14.4346,Bar Black And White,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/bar_black_and_white_42.1039_14.4346.json,custom
42.104021,14.434490,ov_dejav__42.1040_14.4345,Dejavù,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/dejav_42.1040_14.4345.json,custom
42.110328,14.432086,ov_cafe_encanto_42.1103_14.4321,Cafe Encanto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/cafe_encanto_42.1103_14.4321.json,custom
42.124576,14.432392,ov_bar_sport_42.1246_14.4324,Bar Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/bar_sport_42.1246_14.4324.json,custom
42.125616,14.407420,ov_bar_la_dolce_vita_42.1256_14.4074,Bar La Dolce Vita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/bar_la_dolce_vita_42.1256_14.4074.json,custom
42.145298,14.441563,ov_new_poker_bar_42.1453_14.4416,New Poker Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/new_poker_bar_42.1453_14.4416.json,custom
42.142882,14.438478,ov_bar_pasticceria_la_stella_42.1429_14.4385,Bar pasticceria La stella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/bar_pasticceria_la_stella_42.1429_14.4385.json,custom
42.138545,14.431646,ov_online_shopping_42.1385_14.4316,OnLine Shopping,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/online_shopping_42.1385_14.4316.json,custom
42.137528,14.431122,ov_bar_gemelli_42.1375_14.4311,Bar Gemelli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/bar_gemelli_42.1375_14.4311.json,custom
42.139155,14.433129,ov_caff__point_42.1392_14.4331,Caffè Point,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/caff_point_42.1392_14.4331.json,custom
42.135838,14.440321,ov_bar_coco_caf__42.1358_14.4403,Bar Coco Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/bar_coco_caf_42.1358_14.4403.json,custom
42.070020,14.461698,ov_bar_berardi_42.0700_14.4617,Bar Berardi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/bar_berardi_42.0700_14.4617.json,custom
42.072835,14.445652,ov_atessa_sportvillage_42.0728_14.4457,Atessa Sportvillage,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/atessa_sportvillage_42.0728_14.4457.json,custom
42.067572,14.448521,ov_accademia_ars_antiqua___musica_teatro_da_42.0676_14.4485,Accademia Ars Antiqua - Musica Teatro Danza Ginnastica,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/accademia_ars_antiqua_-_musica_teatro_da_42.0676_14.4485.json,custom
42.080280,14.442140,ov_ads_ate_tixa_sport_42.0803_14.4421,ADS Ate Tixa Sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/ads_ate_tixa_sport_42.0803_14.4421.json,custom
42.128090,14.416903,ov_alpha_training_center_42.1281_14.4169,Alpha Training Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/alpha_training_center_42.1281_14.4169.json,custom
42.128030,14.412066,ov_sunshine_centro_fitness_42.1280_14.4121,Sunshine Centro Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/sunshine_centro_fitness_42.1280_14.4121.json,custom
42.130490,14.418850,ov_corpus_club_42.1305_14.4189,Corpus Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/corpus_club_42.1305_14.4189.json,custom
42.069023,14.457611,ov_stadio_fonte_cicero_42.0690_14.4576,Stadio Fonte Cicero,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/stadio_fonte_cicero_42.0690_14.4576.json,custom
42.069357,14.441712,ov_porta_di_santa_margherita_42.0694_14.4417,Porta di Santa Margherita,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/porta_di_santa_margherita_42.0694_14.4417.json,custom
42.067562,14.443520,ov_campanile_san_leucio_42.0676_14.4435,Campanile San Leucio,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/campanile_san_leucio_42.0676_14.4435.json,custom
42.066808,14.446896,ov_porta_di_san_michele_42.0668_14.4469,Porta di San Michele,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/porta_di_san_michele_42.0668_14.4469.json,custom
42.066547,14.447276,ov_museo_sassu___atessa_42.0665_14.4473,Museo Sassu - Atessa,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/museo_sassu_-_atessa_42.0665_14.4473.json,custom
42.072807,14.451877,ov_casa_museo_gaetano_minale_42.0728_14.4519,Casa Museo Gaetano Minale,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/casa_museo_gaetano_minale_42.0728_14.4519.json,custom
42.067846,14.445841,osm_poste_italiane_42.0678_14.4458,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/poste_italiane_42.0678_14.4458.json,custom
42.067163,14.445764,ov_biblioteca_atessa_42.0672_14.4458,Biblioteca Atessa,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/atessa/pages/biblioteca_atessa_42.0672_14.4458.json,custom
