# lat,lng,id,name,building_type,type,url,page_type
# Olevano sul Tusciano -- Tutti
40.649740,15.022030,ov_laboratorio_analisi_cliniche_marsilia_40.6497_15.0220,Laboratorio Analisi Cliniche Marsilia,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/olevano_sul_tusciano/pages/laboratorio_analisi_cliniche_marsilia_40.6497_15.0220.json,custom
40.596564,15.002020,ov_karmacaffe1990_40.5966_15.0020,karmacaffe1990,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/olevano_sul_tusciano/pages/karmacaffe1990_40.5966_15.0020.json,custom
40.628717,15.015478,ov_relax_coffee_capone_40.6287_15.0155,Relax Coffee Capone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/olevano_sul_tusciano/pages/relax_coffee_capone_40.6287_15.0155.json,custom
40.649530,15.020778,ov_olympocaffe_2_0_40.6495_15.0208,Olympocaffe’2.0,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/olevano_sul_tusciano/pages/olympocaffe20_40.6495_15.0208.json,custom
40.649171,15.019702,ov_coffee___game_40.6492_15.0197,Coffee & Game,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/olevano_sul_tusciano/pages/coffee_game_40.6492_15.0197.json,custom
40.656654,15.025119,ov_phoenix_beer___oil_40.6567_15.0251,Phoenix Beer & Oil,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/olevano_sul_tusciano/pages/phoenix_beer_oil_40.6567_15.0251.json,custom
40.676678,15.024157,ov_amnesja_cafe_40.6767_15.0242,Amnesja Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/olevano_sul_tusciano/pages/amnesja_cafe_40.6767_15.0242.json,custom
40.675082,15.023531,ov_p___p_pub_40.6751_15.0235,P & P Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/olevano_sul_tusciano/pages/p_p_pub_40.6751_15.0235.json,custom
40.647825,15.013648,ov_enforma_fitness_club_40.6478_15.0136,Enforma Fitness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/olevano_sul_tusciano/pages/enforma_fitness_club_40.6478_15.0136.json,custom
40.645417,15.011653,ov_centro_sportivo_green_park_40.6454_15.0117,Centro sportivo Green Park,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/olevano_sul_tusciano/pages/centro_sportivo_green_park_40.6454_15.0117.json,custom
40.649174,15.019736,ov_the_real_dance_40.6492_15.0197,The Real Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/olevano_sul_tusciano/pages/the_real_dance_40.6492_15.0197.json,custom
40.652388,15.036935,ov_crossodromo_arena_bianca_40.6524_15.0369,Crossodromo arena bianca,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/olevano_sul_tusciano/pages/crossodromo_arena_bianca_40.6524_15.0369.json,custom
