# lat,lng,id,name,building_type,type,url,page_type
# Mortara -- Tutti
45.260981,8.742250,ov_centro_ippico_di_mortara_45.2610_8.7422,Centro Ippico Di Mortara,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/centro_ippico_di_mortara_45.2610_8.7422.json,custom
45.257836,8.750948,ov_gasometro_pub_45.2578_8.7509,Gasometro Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/gasometro_pub_45.2578_8.7509.json,custom
45.265608,8.789857,ov_la_caste_45.2656_8.7899,La Caste,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/la_caste_45.2656_8.7899.json,custom
45.293084,8.705204,ov_sama_sas_di_mancuso_michela___c__45.2931_8.7052,Sama SAS di Mancuso Michela & C.,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/sama_sas_di_mancuso_michela_c_45.2931_8.7052.json,custom
45.267307,8.715334,ov_tenuta_margherita_45.2673_8.7153,Tenuta Margherita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/tenuta_margherita_45.2673_8.7153.json,custom
45.251766,8.736804,osm_caff__santi_45.2518_8.7368,Caffè Santi,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/caff_santi_45.2518_8.7368.json,custom
45.249916,8.727856,ov_stadio_comunale_di_mortara_45.2499_8.7279,Stadio Comunale Di Mortara,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/stadio_comunale_di_mortara_45.2499_8.7279.json,custom
45.252744,8.726824,ov_raduno_dei_castelli_lomellini___memorial_45.2527_8.7268,Raduno dei Castelli Lomellini - Memorial Luciano Botto,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/raduno_dei_castelli_lomellini_-_memorial_45.2527_8.7268.json,custom
45.256199,8.737590,ov_studio_danza_mortara_45.2562_8.7376,Studio Danza Mortara,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/studio_danza_mortara_45.2562_8.7376.json,custom
45.255431,8.738159,ov_oratorio_cappa_ricci___mortara_45.2554_8.7382,Oratorio Cappa Ricci - Mortara,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/oratorio_cappa_ricci_-_mortara_45.2554_8.7382.json,custom
45.248014,8.735883,ov_fitness_program_45.2480_8.7359,Fitness Program,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/fitness_program_45.2480_8.7359.json,custom
45.248005,8.734745,ov_us_body_building_centre_45.2480_8.7347,Us Body Building Centre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/us_body_building_centre_45.2480_8.7347.json,custom
45.251569,8.751578,ov_fitup_mortara_45.2516_8.7516,FitUP Mortara,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/fitup_mortara_45.2516_8.7516.json,custom
45.250950,8.748461,ov_societa_ginnastica_la_costanza_45.2510_8.7485,Societa Ginnastica La Costanza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/societa_ginnastica_la_costanza_45.2510_8.7485.json,custom
45.250970,8.748724,ov_palamassucchi_45.2510_8.7487,PalaMassucchi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/palamassucchi_45.2510_8.7487.json,custom
45.250455,8.744377,ov_palestra_scuole_medie_45.2505_8.7444,Palestra scuole medie,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/palestra_scuole_medie_45.2505_8.7444.json,custom
45.250955,8.746087,ov_ap_padana_ssdrl_45.2510_8.7461,AP Padana SSDRL,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/ap_padana_ssdrl_45.2510_8.7461.json,custom
45.251572,8.744433,ov_palazzetto_dello_sport_r__guglieri_45.2516_8.7444,Palazzetto dello Sport R. Guglieri,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/palazzetto_dello_sport_r_guglieri_45.2516_8.7444.json,custom
45.255412,8.743490,ov_campo_sportivo_45.2554_8.7435,Campo Sportivo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/campo_sportivo_45.2554_8.7435.json,custom
45.252440,8.735360,ov_piazza__carlo_alberto_mortara_45.2524_8.7354,Piazza  Carlo Alberto Mortara,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/piazza_carlo_alberto_mortara_45.2524_8.7354.json,custom
45.250947,8.735135,ov_sistema_bibliotecario_della_lomellina_45.2509_8.7351,Sistema Bibliotecario della Lomellina,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/sistema_bibliotecario_della_lomellina_45.2509_8.7351.json,custom
45.250936,8.735034,ov_biblioteca_civico17_45.2509_8.7350,Biblioteca Civico17,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mortara/pages/biblioteca_civico17_45.2509_8.7350.json,custom
