# lat,lng,id,name,building_type,type,url,page_type
# Scarperia e San Piero -- Tutti
43.972038,11.331614,ov_cmo_mugello_43.9720_11.3316,CMO Mugello,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/cmo_mugello_43.9720_11.3316.json,custom
43.991715,11.353734,ov_sottosopra_43.9917_11.3537,SottoSopra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/sottosopra_43.9917_11.3537.json,custom
43.994129,11.354672,ov_il_rustico_43.9941_11.3547,Il Rustico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/il_rustico_43.9941_11.3547.json,custom
43.994120,11.353690,ov_ristorante_san_barnaba_43.9941_11.3537,Ristorante San Barnaba,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/ristorante_san_barnaba_43.9941_11.3537.json,custom
43.994953,11.354152,ov_mystoria_sapori___tradizioni_43.9950_11.3542,MYSTORIA Sapori & Tradizioni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/mystoria_sapori_tradizioni_43.9950_11.3542.json,custom
43.995082,11.354216,ov_tiratardi_43.9951_11.3542,Tiratardi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/tiratardi_43.9951_11.3542.json,custom
43.995476,11.355718,ov_sagra_del_tortello_di_scarperia_43.9955_11.3557,Sagra del Tortello di Scarperia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/sagra_del_tortello_di_scarperia_43.9955_11.3557.json,custom
43.996346,11.355064,ov_trattoria_pizzeria_il_torrione_43.9963_11.3551,Trattoria pizzeria Il Torrione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/trattoria_pizzeria_il_torrione_43.9963_11.3551.json,custom
43.996378,11.354972,ov_rosi_bistrot_43.9964_11.3550,Rosi Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/rosi_bistrot_43.9964_11.3550.json,custom
43.996878,11.355346,ov_pizza_paramatta_scarperia_43.9969_11.3553,Pizza Paramatta Scarperia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/pizza_paramatta_scarperia_43.9969_11.3553.json,custom
43.997009,11.355362,ov_gastronomia_luca_parrini_43.9970_11.3554,Gastronomia Luca Parrini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/gastronomia_luca_parrini_43.9970_11.3554.json,custom
43.971300,11.332129,ov_bar_n_boh_43.9713_11.3321,Bar'n Boh,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/barn_boh_43.9713_11.3321.json,custom
43.965737,11.328746,ov_garden_caff__43.9657_11.3287,Garden Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/garden_caff_43.9657_11.3287.json,custom
43.960377,11.328762,ov_i_barrettino_43.9604_11.3288,I'Barrettino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/ibarrettino_43.9604_11.3288.json,custom
43.961577,11.324172,ov_twin_bar_san_piero_a_sieve_43.9616_11.3242,TWIN BAR San Piero a Sieve,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/twin_bar_san_piero_a_sieve_43.9616_11.3242.json,custom
43.964405,11.324026,ov_circolo_arci_4_maggio_43.9644_11.3240,Circolo ARCI 4 Maggio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/circolo_arci_4_maggio_43.9644_11.3240.json,custom
43.971830,11.331381,ov_ke_bar_43.9718_11.3314,Ke Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/ke_bar_43.9718_11.3314.json,custom
43.990374,11.356468,ov_nuovo_bar_dei_vicari_43.9904_11.3565,Nuovo Bar Dei Vicari,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/nuovo_bar_dei_vicari_43.9904_11.3565.json,custom
43.993668,11.353260,ov_bar_gelateria_il_giardino_43.9937_11.3533,Bar gelateria Il Giardino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/bar_gelateria_il_giardino_43.9937_11.3533.json,custom
43.995060,11.354170,ov_no_name_drinks_and_food_43.9951_11.3542,No Name drinks and food,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/no_name_drinks_and_food_43.9951_11.3542.json,custom
43.995646,11.354637,ov_bar_sport_dal_1928_43.9956_11.3546,Bar Sport dal 1928,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/bar_sport_dal_1928_43.9956_11.3546.json,custom
43.996570,11.355186,ov_caffe_via_roma_43.9966_11.3552,Caffe Via Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/caffe_via_roma_43.9966_11.3552.json,custom
43.997216,11.355598,ov_gottino_138_43.9972_11.3556,Gottino 138,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/gottino_138_43.9972_11.3556.json,custom
43.960240,11.326820,ov_bikeboobs_asd_aps_43.9602_11.3268,Bikeboobs Asd Aps,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/bikeboobs_asd_aps_43.9602_11.3268.json,custom
43.967752,11.328377,ov_padel_club_mugello_43.9678_11.3284,Padel Club Mugello,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/padel_club_mugello_43.9678_11.3284.json,custom
43.961932,11.352338,ov_loft_studio_centro_danza_teatro_43.9619_11.3523,Loft Studio Centro Danza Teatro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/loft_studio_centro_danza_teatro_43.9619_11.3523.json,custom
43.994051,11.367774,ov_circuito_del_mugello_43.9941_11.3678,Circuito Del Mugello,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/circuito_del_mugello_43.9941_11.3678.json,custom
43.991007,11.370314,ov_mugello_circuit_43.9910_11.3703,Mugello Circuit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/mugello_circuit_43.9910_11.3703.json,custom
43.995880,11.359860,ov_paddock_autodromo_del_mugello_43.9959_11.3599,Paddock Autodromo Del Mugello,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/paddock_autodromo_del_mugello_43.9959_11.3599.json,custom
43.996841,11.371663,ov_autodromo_del_mugello_43.9968_11.3717,Autodromo del Mugello,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/autodromo_del_mugello_43.9968_11.3717.json,custom
43.996717,11.371719,ov_paddock_mugello_43.9967_11.3717,Paddock Mugello,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/paddock_mugello_43.9967_11.3717.json,custom
43.986218,11.303789,ov_bosco_ai_frati__la_chiesa__il_convento_e_43.9862_11.3038,"Bosco ai Frati, la chiesa, il convento e il museo",MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/bosco_ai_frati_la_chiesa_il_convento_e_i_43.9862_11.3038.json,custom
43.996071,11.354770,ov_museo_dei_ferri_taglienti_43.9961_11.3548,Museo dei Ferri Taglienti,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/museo_dei_ferri_taglienti_43.9961_11.3548.json,custom
43.960550,11.321988,ov_biblioteca_comunale_san_piero_a_sieve_pi_43.9605_11.3220,Biblioteca Comunale San Piero a Sieve Piero Bargellini,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/biblioteca_comunale_san_piero_a_sieve_pi_43.9605_11.3220.json,custom
43.962177,11.323076,ov_villa_adami_43.9622_11.3231,Villa Adami,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/villa_adami_43.9622_11.3231.json,custom
43.965406,11.362225,osm_biblioteca_del_terz_ordine_francescano_43.9654_11.3622,Biblioteca del Terz'ordine francescano,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/biblioteca_del_terzordine_francescano_43.9654_11.3622.json,custom
43.986193,11.303723,osm_biblioteca_del_convento_di_bosco_ai_frat_43.9862_11.3037,Biblioteca del Convento di Bosco ai Frati,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/biblioteca_del_convento_di_bosco_ai_frat_43.9862_11.3037.json,custom
43.995889,11.354689,osm_biblioteca_comunale_di_scarperia_43.9959_11.3547,Biblioteca comunale di Scarperia,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/biblioteca_comunale_di_scarperia_43.9959_11.3547.json,custom
43.961365,11.322400,osm_biblioteca_comunale_di_san_piero_a_sieve_43.9614_11.3224,Biblioteca comunale di San Piero a Sieve,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/scarperia_e_san_piero/pages/biblioteca_comunale_di_san_piero_a_sieve_43.9614_11.3224.json,custom
