# lat,lng,id,name,building_type,type,url,page_type
# collecchio -- Tutti
44.787750,10.347380,ov_dr__alessandro_giannone_44.7878_10.3474,Dr. Alessandro Giannone,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/dr_alessandro_giannone_44.7878_10.3474.json,custom
44.739291,10.191119,ov_osteria_il_fortino_44.7393_10.1911,Osteria Il Fortino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/osteria_il_fortino_44.7393_10.1911.json,custom
44.758025,10.228097,ov_pr__polpetta_con_rosetta_44.7580_10.2281,PR_ Polpetta Con Rosetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/pr_polpetta_con_rosetta_44.7580_10.2281.json,custom
44.764213,10.204574,ov_locanda_il_casale_44.7642_10.2046,Locanda Il Casale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/locanda_il_casale_44.7642_10.2046.json,custom
44.753360,10.213809,ov_bistrot_il_cerchio_44.7534_10.2138,Bistrot Il Cerchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/bistrot_il_cerchio_44.7534_10.2138.json,custom
44.754130,10.213829,ov_il_sognatore_44.7541_10.2138,Il Sognatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/il_sognatore_44.7541_10.2138.json,custom
44.755028,10.212798,ov_la_favola_44.7550_10.2128,La Favola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/la_favola_44.7550_10.2128.json,custom
44.749499,10.210357,ov_hotel_ristorante_pineta_44.7495_10.2104,Hotel Ristorante Pineta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/hotel_ristorante_pineta_44.7495_10.2104.json,custom
44.752285,10.214527,ov_myshibuya_sushi_point_44.7523_10.2145,MyShibuya Sushi Point,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/myshibuya_sushi_point_44.7523_10.2145.json,custom
44.752321,10.217103,ov_strada_grill_44.7523_10.2171,Strada Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/strada_grill_44.7523_10.2171.json,custom
44.750339,10.218126,ov_villa_maria_luigia_44.7503_10.2181,Villa Maria Luigia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/villa_maria_luigia_44.7503_10.2181.json,custom
44.752226,10.218032,ov_barcelleria_collecchio_44.7522_10.2180,Barcelleria Collecchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/barcelleria_collecchio_44.7522_10.2180.json,custom
44.752412,10.218343,ov_ristorante_le_scalette_44.7524_10.2183,Ristorante Le Scalette,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/ristorante_le_scalette_44.7524_10.2183.json,custom
44.752863,10.219185,ov_porfido_collecchio_44.7529_10.2192,Porfido Collecchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/porfido_collecchio_44.7529_10.2192.json,custom
44.754402,10.222104,ov_pizza_pazza_44.7544_10.2221,Pizza Pazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/pizza_pazza_44.7544_10.2221.json,custom
44.754596,10.221639,ov_dieciventitre_44.7546_10.2216,DieciVentitre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/dieciventitre_44.7546_10.2216.json,custom
44.755112,10.221942,ov_angolo_della_piada_44.7551_10.2219,Angolo della Piada,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/angolo_della_piada_44.7551_10.2219.json,custom
44.753725,10.226475,ov_ristorante_pizzeria_melograno_44.7537_10.2265,Ristorante Pizzeria Melograno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/ristorante_pizzeria_melograno_44.7537_10.2265.json,custom
44.751195,10.249558,ov_alexander_restaurant_44.7512_10.2496,Alexander Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/alexander_restaurant_44.7512_10.2496.json,custom
44.751468,10.249143,ov_bar_pizzeriasan_martino_44.7515_10.2491,BAR PizzeriaSan Martino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/bar_pizzeriasan_martino_44.7515_10.2491.json,custom
44.764073,10.249659,ov_stradella_di_collecchio_44.7641_10.2497,Stradella Di Collecchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/stradella_di_collecchio_44.7641_10.2497.json,custom
44.763803,10.248927,ov_pizzeria_antipasteria_da_antonio_44.7638_10.2489,Pizzeria Antipasteria da Antonio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/pizzeria_antipasteria_da_antonio_44.7638_10.2489.json,custom
44.764760,10.252790,ov_san_martino_ristorante_pizzeria_44.7648_10.2528,San Martino Ristorante-Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/san_martino_ristorante-pizzeria_44.7648_10.2528.json,custom
44.769189,10.261992,ov_timeout_44.7692_10.2620,TimeOut,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/timeout_44.7692_10.2620.json,custom
44.771124,10.258342,ov_fenco_food_machinery_44.7711_10.2583,FENCO Food Machinery,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/fenco_food_machinery_44.7711_10.2583.json,custom
44.791431,10.221852,ov_locanda_san_martino_44.7914_10.2219,Locanda San Martino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/locanda_san_martino_44.7914_10.2219.json,custom
44.764361,10.204588,osm_il_casale_wine___restaurant_44.7644_10.2046,Il Casale Wine & Restaurant,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/il_casale_wine_restaurant_44.7644_10.2046.json,custom
44.711061,10.141982,ov_read_drink___da_luca_a_ozzano_taro_44.7111_10.1420,Read&Drink - da Luca a Ozzano Taro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/readdrink_-_da_luca_a_ozzano_taro_44.7111_10.1420.json,custom
44.723970,10.172890,ov_chiosco_restaurant_lounge_caf__44.7240_10.1729,Chiosco Restaurant Lounge Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/chiosco_restaurant_lounge_caf_44.7240_10.1729.json,custom
44.746895,10.221676,ov_non_solo_caffe_44.7469_10.2217,Non Solo Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/non_solo_caffe_44.7469_10.2217.json,custom
44.745181,10.202433,ov_taro_taro_wine_bar_44.7452_10.2024,Taro Taro Wine Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/taro_taro_wine_bar_44.7452_10.2024.json,custom
44.757888,10.228268,ov_la_pulce_44.7579_10.2283,La Pulce,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/la_pulce_44.7579_10.2283.json,custom
44.755033,10.212534,ov_bar_stazione_di_oppici_luana_44.7550_10.2125,Bar Stazione Di Oppici Luana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/bar_stazione_di_oppici_luana_44.7550_10.2125.json,custom
44.754193,10.213546,ov_botanic_44.7542_10.2135,Botanic,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/botanic_44.7542_10.2135.json,custom
44.754498,10.203922,ov_bar_manhattan_44.7545_10.2039,Bar Manhattan,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/bar_manhattan_44.7545_10.2039.json,custom
44.751259,10.213779,ov_bar_liberty_44.7513_10.2138,Bar Liberty,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/bar_liberty_44.7513_10.2138.json,custom
44.751875,10.216243,ov_bar_centrale_44.7519_10.2162,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/bar_centrale_44.7519_10.2162.json,custom
44.751851,10.215335,ov_la_bodeguita_del_settimo_44.7519_10.2153,La Bodeguita del Settimo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/la_bodeguita_del_settimo_44.7519_10.2153.json,custom
44.751925,10.215760,ov_al_settimo_44.7519_10.2158,Al Settimo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/al_settimo_44.7519_10.2158.json,custom
44.751670,10.215160,ov_bar_km_centodieci_44.7517_10.2152,bar km centodieci,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/bar_km_centodieci_44.7517_10.2152.json,custom
44.751183,10.218701,ov_circolo_il_colle_44.7512_10.2187,Circolo Il Colle,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/circolo_il_colle_44.7512_10.2187.json,custom
44.752767,10.219089,ov_gulliver_pub_44.7528_10.2191,Gulliver Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/gulliver_pub_44.7528_10.2191.json,custom
44.754430,10.222830,ov_capriccio_bar_44.7544_10.2228,Capriccio BAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/capriccio_bar_44.7544_10.2228.json,custom
44.754552,10.222255,ov_twicky_bar_44.7546_10.2223,Twicky Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/twicky_bar_44.7546_10.2223.json,custom
44.754505,10.222259,ov_bar_di_nocera_44.7545_10.2223,Bar Di Nocera,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/bar_di_nocera_44.7545_10.2223.json,custom
44.754410,10.222196,ov_capriccio_bar_44.7544_10.2222,Capriccio Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/capriccio_bar_44.7544_10.2222.json,custom
44.755074,10.228207,ov_al_baretto_44.7551_10.2282,Al Baretto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/al_baretto_44.7551_10.2282.json,custom
44.754274,10.223997,ov_manhattan_caffe_44.7543_10.2240,Manhattan Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/manhattan_caffe_44.7543_10.2240.json,custom
44.751481,10.249335,ov_bim_bum_bar_44.7515_10.2493,Bim Bum Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/bim_bum_bar_44.7515_10.2493.json,custom
44.763687,10.247938,ov_bar_la_paninoteca_44.7637_10.2479,Bar La Paninoteca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/bar_la_paninoteca_44.7637_10.2479.json,custom
44.767920,10.257110,ov_caffetteria_franchising___cuore_di_caff__44.7679_10.2571,CAFFETTERIA FRANCHISING - CUORE DI CAFFÈ SRL,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/caffetteria_franchising_-_cuore_di_caff__44.7679_10.2571.json,custom
44.772222,10.267009,ov_lemi_bar_44.7722_10.2670,Lemi bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/lemi_bar_44.7722_10.2670.json,custom
44.773629,10.266644,ov_break_caffe_44.7736_10.2666,Break Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/break_caffe_44.7736_10.2666.json,custom
44.770101,10.265907,ov_twickenham_pub_and_billiards_44.7701_10.2659,Twickenham Pub and Billiards,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/twickenham_pub_and_billiards_44.7701_10.2659.json,custom
44.752227,10.216314,osm_il_chiosco_44.7522_10.2163,Il chiosco,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/il_chiosco_44.7522_10.2163.json,custom
44.755002,10.212478,osm_bar_stazione_44.7550_10.2125,Bar Stazione,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/bar_stazione_44.7550_10.2125.json,custom
44.745066,10.202537,osm_bar_taro_taro_wine_bar_44.7451_10.2025,Bar Taro Taro Wine Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/bar_taro_taro_wine_bar_44.7451_10.2025.json,custom
44.773770,10.266698,osm_break_caff__44.7738_10.2667,Break-Caffè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/break-caff_44.7738_10.2667.json,custom
44.735132,10.226244,ov_circolo_ippico_podere_torre_44.7351_10.2262,Circolo Ippico Podere Torre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/circolo_ippico_podere_torre_44.7351_10.2262.json,custom
44.743240,10.220730,ov_circolo_ippico_podere_torre_44.7432_10.2207,Circolo Ippico Podere Torre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/circolo_ippico_podere_torre_44.7432_10.2207.json,custom
44.748969,10.221536,ov_palazzetto_dello_sport_lionello_leoni_44.7490_10.2215,Palazzetto dello Sport Lionello Leoni,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/palazzetto_dello_sport_lionello_leoni_44.7490_10.2215.json,custom
44.749171,10.220657,ov_squash_collecchio_44.7492_10.2207,Squash Collecchio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/squash_collecchio_44.7492_10.2207.json,custom
44.752306,10.216079,ov_artemisia_tantra_yoga_44.7523_10.2161,Artemisia tantra yoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/artemisia_tantra_yoga_44.7523_10.2161.json,custom
44.752143,10.216051,ov_centro_yoga_madhupriya_44.7521_10.2161,Centro Yoga Madhupriya,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/centro_yoga_madhupriya_44.7521_10.2161.json,custom
44.751471,10.216967,ov_fit_and_go_collecchio_44.7515_10.2170,Fit And Go Collecchio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/fit_and_go_collecchio_44.7515_10.2170.json,custom
44.703826,10.135635,ov_fondazione_museo_ettore_guatelli_44.7038_10.1356,Fondazione Museo Ettore Guatelli,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/fondazione_museo_ettore_guatelli_44.7038_10.1356.json,custom
44.741007,10.174775,ov_museo_della_pasta_44.7410_10.1748,Museo Della Pasta,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/museo_della_pasta_44.7410_10.1748.json,custom
44.740803,10.174327,ov_museo_del_pomodoro_44.7408_10.1743,Museo Del Pomodoro,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/museo_del_pomodoro_44.7408_10.1743.json,custom
44.803387,10.220303,ov_casa_di_brando_44.8034_10.2203,Casa Di Brando,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/casa_di_brando_44.8034_10.2203.json,custom
44.737446,10.225339,ov_campus_innovative_food_ingredients_spa_44.7374_10.2253,Campus Innovative Food Ingredients Spa,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/collecchio/pages/campus_innovative_food_ingredients_spa_44.7374_10.2253.json,custom
