# lat,lng,id,name,building_type,type,url,page_type
# melito_di_porto_salvo -- Tutti
37.917472,15.780234,ov_hospital_tiberio_evoli_37.9175_15.7802,Hospital Tiberio Evoli,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/hospital_tiberio_evoli_37.9175_15.7802.json,custom
37.919787,15.776017,ov_bar_zar__37.9198_15.7760,Bar Zarà,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/bar_zar_37.9198_15.7760.json,custom
37.920104,15.770005,ov_bar_tabaccheria_ricevitoria_lagan__37.9201_15.7700,Bar Tabaccheria Ricevitoria Laganà,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/bar_tabaccheria_ricevitoria_lagan_37.9201_15.7700.json,custom
37.920551,15.782446,ov_bar_plaus_37.9206_15.7824,Bar Plaus,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/bar_plaus_37.9206_15.7824.json,custom
37.921313,15.782761,ov_lungomare_dei_mille_melito_porto_salvo_37.9213_15.7828,"Lungomare dei mille,Melito porto salvo",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/lungomare_dei_millemelito_porto_salvo_37.9213_15.7828.json,custom
37.924827,15.748733,ov_lido_bora_bora_37.9248_15.7487,Lido bora bora,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/lido_bora_bora_37.9248_15.7487.json,custom
37.927330,15.753890,ov_cavallino_coffee___lounge_bar_37.9273_15.7539,Cavallino Coffee & Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/cavallino_coffee_lounge_bar_37.9273_15.7539.json,custom
37.928513,15.789807,ov_pallica__melito_porto_salvo__37.9285_15.7898,Pallica (Melito Porto Salvo),RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/pallica_melito_porto_salvo_37.9285_15.7898.json,custom
37.940286,15.794797,ov_bar_pizzeria_san_giovanni_37.9403_15.7948,Bar Pizzeria San Giovanni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/bar_pizzeria_san_giovanni_37.9403_15.7948.json,custom
37.919246,15.780440,ov_a_s_d__eurogym_37.9192_15.7804,A.S.D. Eurogym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/asd_eurogym_37.9192_15.7804.json,custom
37.919228,15.780424,ov_maria_fitness_37.9192_15.7804,Maria Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/maria_fitness_37.9192_15.7804.json,custom
37.918881,15.784214,ov_asd_sprint_energy_centro_studi_danza_37.9189_15.7842,ASD Sprint Energy centro studi danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/asd_sprint_energy_centro_studi_danza_37.9189_15.7842.json,custom
37.918231,15.779103,ov_etoile_dance_37.9182_15.7791,Etoile Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/etoile_dance_37.9182_15.7791.json,custom
37.919463,15.780733,ov_la_fenice_asd_37.9195_15.7807,La Fenice ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/la_fenice_asd_37.9195_15.7807.json,custom
37.920470,15.783602,ov_fitness_point_palestra_37.9205_15.7836,Fitness Point Palestra,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/fitness_point_palestra_37.9205_15.7836.json,custom
37.921827,15.762775,ov_functional_strength_and_conditioning_37.9218_15.7628,Functional Strength and Conditioning,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/functional_strength_and_conditioning_37.9218_15.7628.json,custom
37.921210,15.755030,ov_museo_garibaldino___lungomare_dei_mille__37.9212_15.7550,"Museo Garibaldino - Lungomare dei Mille, Melito P.S.",MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/melito_di_porto_salvo/pages/museo_garibaldino_-_lungomare_dei_mille__37.9212_15.7550.json,custom
