# lat,lng,id,name,building_type,type,url,page_type
# Tremestieri Etneo -- Tutti
37.539610,15.093950,ov_ontario_group_37.5396_15.0939,Ontario group,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/ontario_group_37.5396_15.0939.json,custom
37.574435,15.073902,ov_la_perla_del_mare_37.5744_15.0739,La Perla del Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/la_perla_del_mare_37.5744_15.0739.json,custom
37.571950,15.074973,ov_l_oste_maurizio_37.5719_15.0750,L'Oste Maurizio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/loste_maurizio_37.5719_15.0750.json,custom
37.571969,15.075075,ov_brace_tremestieri_37.5720_15.0751,Brace Tremestieri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/brace_tremestieri_37.5720_15.0751.json,custom
37.570757,15.070056,ov_villa_delle_ginestre_37.5708_15.0701,Villa Delle Ginestre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/villa_delle_ginestre_37.5708_15.0701.json,custom
37.569720,15.074620,ov_scuola_mediterranea_aikido_37.5697_15.0746,Scuola Mediterranea Aikido,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/scuola_mediterranea_aikido_37.5697_15.0746.json,custom
37.569955,15.075330,ov_karp__sushi___drink_experience_37.5700_15.0753,Karpà Sushi & Drink Experience,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/karp_sushi_drink_experience_37.5700_15.0753.json,custom
37.570049,15.082511,ov_kalikanto_37.5700_15.0825,Kalikanto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/kalikanto_37.5700_15.0825.json,custom
37.569550,15.075523,ov_pappagrill_37.5695_15.0755,PappaGrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/pappagrill_37.5695_15.0755.json,custom
37.568209,15.075284,ov_pizzeria_l_azalea_37.5682_15.0753,Pizzeria L'Azalea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/pizzeria_lazalea_37.5682_15.0753.json,custom
37.565858,15.076095,ov_arte_pizza_37.5659_15.0761,Arte Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/arte_pizza_37.5659_15.0761.json,custom
37.537973,15.102374,ov_casafood_37.5380_15.1024,Casafood,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/casafood_37.5380_15.1024.json,custom
37.539000,15.100082,ov_pizzeria_mastro_don_gesualdo_37.5390_15.1001,Pizzeria Mastro Don Gesualdo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/pizzeria_mastro_don_gesualdo_37.5390_15.1001.json,custom
37.539563,15.090839,ov_pizzeria_orygano_gourmet_37.5396_15.0908,Pizzeria Orygano Gourmet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/pizzeria_orygano_gourmet_37.5396_15.0908.json,custom
37.539749,15.091674,ov_pianeta_mare_blu_37.5397_15.0917,Pianeta Mare Blu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/pianeta_mare_blu_37.5397_15.0917.json,custom
37.540633,15.090522,ov_pizzeria_al_nuovo_314_37.5406_15.0905,Pizzeria Al Nuovo 314,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/pizzeria_al_nuovo_314_37.5406_15.0905.json,custom
37.540727,15.090525,ov_al_braciere_da_donna_pippa_37.5407_15.0905,Al Braciere Da Donna Pippa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/al_braciere_da_donna_pippa_37.5407_15.0905.json,custom
37.543556,15.097778,ov_pizza_time_37.5436_15.0978,Pizza Time,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/pizza_time_37.5436_15.0978.json,custom
37.543592,15.097815,ov_sushimama_modern_market_37.5436_15.0978,Sushimama Modern Market,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/sushimama_modern_market_37.5436_15.0978.json,custom
37.575996,15.072873,ov_sala_feste_tremestieri_37.5760_15.0729,Sala feste Tremestieri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/sala_feste_tremestieri_37.5760_15.0729.json,custom
37.575820,15.073303,ov_bar_dante_37.5758_15.0733,Bar Dante,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/bar_dante_37.5758_15.0733.json,custom
37.575570,15.074284,ov_oasi_cafe_37.5756_15.0743,Oasi Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/oasi_cafe_37.5756_15.0743.json,custom
37.571834,15.075158,ov_dolcesalato_37.5718_15.0752,Dolcesalato,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/dolcesalato_37.5718_15.0752.json,custom
37.571311,15.079136,ov_four_g_bar_37.5713_15.0791,FOUR G BAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/four_g_bar_37.5713_15.0791.json,custom
37.571210,15.074276,ov_la_caverna_del_mastro_birraio_37.5712_15.0743,La Caverna del Mastro Birraio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/la_caverna_del_mastro_birraio_37.5712_15.0743.json,custom
37.570800,15.069980,ov_seven_coffee_37.5708_15.0700,Seven coffee,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/seven_coffee_37.5708_15.0700.json,custom
37.570213,15.082465,ov_sigma_pub_37.5702_15.0825,Sigma Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/sigma_pub_37.5702_15.0825.json,custom
37.569981,15.075351,ov_origami_sushi___drink_experience_37.5700_15.0754,Origami Sushi & Drink Experience,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/origami_sushi_drink_experience_37.5700_15.0754.json,custom
37.561636,15.072702,ov_caffe_di_armando_cordova_alessandro_37.5616_15.0727,Caffe Di Armando Cordova Alessandro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/caffe_di_armando_cordova_alessandro_37.5616_15.0727.json,custom
37.534667,15.101021,ov_chiosco_bar_nizzeti_37.5347_15.1010,Chiosco Bar Nizzeti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/chiosco_bar_nizzeti_37.5347_15.1010.json,custom
37.536138,15.101441,ov_la_tazza_d_oro_37.5361_15.1014,La Tazza d'Oro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/la_tazza_doro_37.5361_15.1014.json,custom
37.538129,15.098703,ov_al_chiaro_di_luna_chiosco_37.5381_15.0987,Al chiaro di luna chiosco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/al_chiaro_di_luna_chiosco_37.5381_15.0987.json,custom
37.540783,15.092651,ov_caff__mavilla_37.5408_15.0927,Caffè Mavilla,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/caff_mavilla_37.5408_15.0927.json,custom
37.541485,15.098110,ov_sicily_srl_37.5415_15.0981,Sicily Srl,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/sicily_srl_37.5415_15.0981.json,custom
37.544016,15.090463,ov_benzibar_37.5440_15.0905,BenziBar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/benzibar_37.5440_15.0905.json,custom
37.587609,15.060100,ov_circolo_ippico_il_ciliegio_37.5876_15.0601,Circolo Ippico Il Ciliegio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/circolo_ippico_il_ciliegio_37.5876_15.0601.json,custom
37.577514,15.072718,ov_danzaatelier_nuova_accademia___scuola_di_37.5775_15.0727,DanzaAtelier Nuova Accademia - scuola di danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/danzaatelier_nuova_accademia_-_scuola_di_37.5775_15.0727.json,custom
37.576940,15.076320,ov_gioedulab_37.5769_15.0763,GioeduLab,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/gioedulab_37.5769_15.0763.json,custom
37.572821,15.066859,ov_bowling_frenz_37.5728_15.0669,Bowling Frenz,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/bowling_frenz_37.5728_15.0669.json,custom
37.569747,15.074517,ov_workout_srl_37.5697_15.0745,Workout SRL,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/workout_srl_37.5697_15.0745.json,custom
37.570063,15.075752,ov_the_angel_s_school_centro_internazionale_37.5701_15.0758,The Angel's School Centro internazionale di danza ASD Andrea,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/the_angels_school_centro_internazionale__37.5701_15.0758.json,custom
37.568291,15.075307,ov_centro_studio_danze_kladeios_37.5683_15.0753,Centro Studio Danze Kladeios,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/centro_studio_danze_kladeios_37.5683_15.0753.json,custom
37.563115,15.070887,ov_java_dance_accademy_37.5631_15.0709,Java Dance Accademy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/java_dance_accademy_37.5631_15.0709.json,custom
37.561606,15.072697,ov_agr__dance_academy_37.5616_15.0727,"Agr, Dance Academy",GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/agr_dance_academy_37.5616_15.0727.json,custom
37.535900,15.094240,ov_mamborico_scuola_di_danza_catania_37.5359_15.0942,Mamborico Scuola di danza Catania,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/mamborico_scuola_di_danza_catania_37.5359_15.0942.json,custom
37.542699,15.094667,ov_fise___comitato_regionale_sicilia_37.5427_15.0947,Fise - Comitato Regionale Sicilia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/fise_-_comitato_regionale_sicilia_37.5427_15.0947.json,custom
37.544329,15.093131,ov_freedom_fitness_37.5443_15.0931,Freedom Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/freedom_fitness_37.5443_15.0931.json,custom
37.589692,15.069272,ov_tassi___art_museum_service_di_alfonso_ca_37.5897_15.0693,Tassi - Art Museum service di Alfonso Cantarero,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/tassi_-_art_museum_service_di_alfonso_ca_37.5897_15.0693.json,custom
37.566667,15.066667,ov_biblioteca_gravina_di_catania_37.5667_15.0667,Biblioteca Gravina Di Catania,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/biblioteca_gravina_di_catania_37.5667_15.0667.json,custom
