# lat,lng,id,name,building_type,type,url,page_type
# Brisighella -- Tutti
44.224041,11.772106,osm_ristorante_l_infinito_44.2240_11.7721,Ristorante L'Infinito,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/ristorante_linfinito_44.2240_11.7721.json,custom
44.211614,11.780562,osm_agriturismo_c__di_mezzo_44.2116_11.7806,Agriturismo Cà di Mezzo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/agriturismo_c_di_mezzo_44.2116_11.7806.json,custom
44.264333,11.804808,osm_podere_la_berta_44.2643_11.8048,Podere La Berta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/podere_la_berta_44.2643_11.8048.json,custom
44.239026,11.824190,osm_agriturismo_la_quercia_44.2390_11.8242,Agriturismo La Quercia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/agriturismo_la_quercia_44.2390_11.8242.json,custom
44.226903,11.858222,osm_ristorante_pizzeria_il_tartufo_44.2269_11.8582,Ristorante Pizzeria Il Tartufo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/ristorante_pizzeria_il_tartufo_44.2269_11.8582.json,custom
44.226063,11.704435,osm_monte_spada_agri_culture_44.2261_11.7044,Monte Spada Agri Culture,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/monte_spada_agri_culture_44.2261_11.7044.json,custom
44.227507,11.752498,osm_ristorante_da_mario_e_manicomi_44.2275_11.7525,Ristorante Da Mario e Manicomi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/ristorante_da_mario_e_manicomi_44.2275_11.7525.json,custom
44.222168,11.771503,osm_trattoria_la_casetta_44.2222_11.7715,Trattoria La Casetta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/trattoria_la_casetta_44.2222_11.7715.json,custom
44.209326,11.907326,osm_agriturismo_morattina_44.2093_11.9073,Agriturismo Morattina,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/agriturismo_morattina_44.2093_11.9073.json,custom
44.170640,11.688400,osm_borgo_rossi_44.1706_11.6884,Borgo Rossi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/borgo_rossi_44.1706_11.6884.json,custom
44.148275,11.688804,ov_camino_verde_cooperativa_44.1483_11.6888,Camino Verde Cooperativa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/camino_verde_cooperativa_44.1483_11.6888.json,custom
44.182416,11.699536,ov_ristorante_7_dollari_44.1824_11.6995,Ristorante 7 Dollari,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/ristorante_7_dollari_44.1824_11.6995.json,custom
44.226806,11.859366,ov_bar_romagna_marzeno_44.2268_11.8594,Bar Romagna Marzeno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/bar_romagna_marzeno_44.2268_11.8594.json,custom
44.205187,11.739158,ov_bar_lilli_44.2052_11.7392,Bar Lilli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/bar_lilli_44.2052_11.7392.json,custom
44.223560,11.772951,ov_vineria_coramella_44.2236_11.7730,Vineria Coramella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/vineria_coramella_44.2236_11.7730.json,custom
44.222525,11.775260,ov_mai_tai_caf__44.2225_11.7753,Mai Tai Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/mai_tai_caf_44.2225_11.7753.json,custom
44.203569,11.732017,ov_caff__lamone_44.2036_11.7320,Caffè Lamone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/caff_lamone_44.2036_11.7320.json,custom
44.189123,11.707285,ov_bar_casale_alimentari_44.1891_11.7073,Bar Casale alimentari,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/bar_casale_alimentari_44.1891_11.7073.json,custom
44.222829,11.771629,osm_bar_gelateria_aurora_44.2228_11.7716,Bar Gelateria Aurora,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/bar_gelateria_aurora_44.2228_11.7716.json,custom
44.220934,11.769367,osm_stazione_caff__44.2209_11.7694,Stazione Caffè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/stazione_caff_44.2209_11.7694.json,custom
44.148017,11.688955,ov_nuovo_camino_verde_44.1480_11.6890,Nuovo Camino Verde,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/nuovo_camino_verde_44.1480_11.6890.json,custom
44.250333,11.810253,ov_insinergia_di_melissa_ceroni___accademia_44.2503_11.8103,"InSinergia di Melissa Ceroni - Accademia, Studio Olistico & ",GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/insinergia_di_melissa_ceroni_-_accademia_44.2503_11.8103.json,custom
44.206168,11.744807,ov_piscina___palestra_millenium_asd_fognano_44.2062_11.7448,Piscina & Palestra Millenium Asd Fognano di Brisighella,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/piscina_palestra_millenium_asd_fognano_d_44.2062_11.7448.json,custom
44.222561,11.787489,ov_campo_di_brisighella_44.2226_11.7875,Campo Di Brisighella,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/campo_di_brisighella_44.2226_11.7875.json,custom
44.227230,11.695480,ov_sacrario_militare_friuli_nella_valle_del_44.2272_11.6955,Sacrario militare Friuli nella valle del Senio a Zattaglia,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/sacrario_militare_friuli_nella_valle_del_44.2272_11.6955.json,custom
44.232055,11.768482,ov_rocca_di_brisighella_44.2321_11.7685,Rocca di Brisighella,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/rocca_di_brisighella_44.2321_11.7685.json,custom
44.224656,11.770717,ov_rocca_manfrediana_44.2247_11.7707,Rocca Manfrediana,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/rocca_manfrediana_44.2247_11.7707.json,custom
44.225214,11.766375,ov_museo_geologico_del_monticino_44.2252_11.7664,Museo Geologico del Monticino,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/museo_geologico_del_monticino_44.2252_11.7664.json,custom
44.223623,11.773834,ov_museo_civico_g__ugonia_44.2236_11.7738,Museo Civico G. Ugonia,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/museo_civico_g_ugonia_44.2236_11.7738.json,custom
44.197736,11.737651,ov_quercia_monumentale_44.1977_11.7377,Quercia Monumentale,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/quercia_monumentale_44.1977_11.7377.json,custom
44.222115,11.768533,ov_public_library_carlo_pasini_44.2221_11.7685,Public Library Carlo Pasini,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/public_library_carlo_pasini_44.2221_11.7685.json,custom
