# lat,lng,id,name,building_type,type,url,page_type
# St. Moritz -- Tutti
46.483482,9.835263,osm_klinik_gut_46.4835_9.8353,Klinik Gut,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/klinik_gut_46.4835_9.8353.json,custom
46.499025,9.841486,osm_the_k_restaurant_46.4990_9.8415,The K Restaurant,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/the_k_restaurant_46.4990_9.8415.json,custom
46.485081,9.811697,osm_restaurant_st_vetta_46.4851_9.8117,Restaurant Stüvetta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/restaurant_stvetta_46.4851_9.8117.json,custom
46.499845,9.846872,osm_da_vittorio_st__moritz_46.4998_9.8469,Da Vittorio St. Moritz,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/da_vittorio_st_moritz_46.4998_9.8469.json,custom
46.499252,9.839855,osm_krone_46.4993_9.8399,Krone,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/krone_46.4993_9.8399.json,custom
46.482630,9.833717,osm_c__d_oro_46.4826_9.8337,Cà d'Oro,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/c_doro_46.4826_9.8337.json,custom
46.497206,9.839867,osm_le_restaurant___le_relais_46.4972_9.8399,Le Restaurant / Le Relais,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/le_restaurant_le_relais_46.4972_9.8399.json,custom
46.482603,9.833668,osm_da_adriano_46.4826_9.8337,Da Adriano,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/da_adriano_46.4826_9.8337.json,custom
46.497230,9.871289,osm_hotel_restorant_lej_da_staz_46.4972_9.8713,Hotel Restorant Lej da Staz,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/hotel_restorant_lej_da_staz_46.4972_9.8713.json,custom
46.482451,9.831597,osm_la_baracca_46.4825_9.8316,La Baracca,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/la_baracca_46.4825_9.8316.json,custom
46.498230,9.846255,ov_buffet_espresso_46.4982_9.8463,Buffet Espresso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/buffet_espresso_46.4982_9.8463.json,custom
46.494679,9.839948,ov_pier_34_46.4947_9.8399,Pier 34,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/pier_34_46.4947_9.8399.json,custom
46.497152,9.840923,ov_renaissance_bar_46.4972_9.8409,Renaissance Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/renaissance_bar_46.4972_9.8409.json,custom
46.499163,9.841672,ov_lobby_bar_46.4992_9.8417,Lobby Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/lobby_bar_46.4992_9.8417.json,custom
46.499034,9.839812,ov_verde_couch_bar_st__moritz_46.4990_9.8398,Verde Couch Bar St. Moritz,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/verde_couch_bar_st_moritz_46.4990_9.8398.json,custom
46.498064,9.838343,ov_la_gondla_46.4981_9.8383,La Gondla,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/la_gondla_46.4981_9.8383.json,custom
46.498252,9.839572,osm_hatecke_46.4983_9.8396,Hatecke,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/hatecke_46.4983_9.8396.json,custom
46.497291,9.837434,osm_le_mandarin_vivai_46.4973_9.8374,Le Mandarin Vivai,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/le_mandarin_vivai_46.4973_9.8374.json,custom
46.497176,9.836972,osm_balthazar_46.4972_9.8370,Balthazar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/balthazar_46.4972_9.8370.json,custom
46.497701,9.838084,osm_glattfelder_46.4977_9.8381,Glattfelder,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/glattfelder_46.4977_9.8381.json,custom
46.483896,9.836784,ov_update_fitness_st__moritz_bad_46.4839_9.8368,update Fitness St. Moritz Bad,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/update_fitness_st_moritz_bad_46.4839_9.8368.json,custom
46.486573,9.835960,ov_snow_polo_world_cup_st__moritz_46.4866_9.8360,Snow Polo World Cup St. Moritz,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/snow_polo_world_cup_st_moritz_46.4866_9.8360.json,custom
46.492905,9.834800,ov_st_moritz_ski_school___european_snowspor_46.4929_9.8348,St Moritz Ski School - European Snowsport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/st_moritz_ski_school_-_european_snowspor_46.4929_9.8348.json,custom
46.488804,9.842797,ov_all_mountain_fitness_46.4888_9.8428,all mountain fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/all_mountain_fitness_46.4888_9.8428.json,custom
46.496406,9.837796,ov_berry_museum_46.4964_9.8378,Berry Museum,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/berry_museum_46.4964_9.8378.json,custom
46.498725,9.839099,ov_grundbuchamt_der_region_maloja_46.4987_9.8391,Grundbuchamt der Region Maloja,GOVERNMENT,ufficio_pubblico,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/grundbuchamt_der_region_maloja_46.4987_9.8391.json,custom
46.498709,9.838553,osm_dokumentationsbibliothek_st__moritz_46.4987_9.8386,Dokumentationsbibliothek St. Moritz,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/dokumentationsbibliothek_st_moritz_46.4987_9.8386.json,custom
46.498637,9.838476,osm_leihbibliothek_st_moritz_46.4986_9.8385,Leihbibliothek St.Moritz,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/leihbibliothek_stmoritz_46.4986_9.8385.json,custom
