# lat,lng,id,name,building_type,type,url,page_type
# Sala Consilina -- Tutti
40.401011,15.592822,ov_nuova_ortopedia_lucana___sala_consilina_40.4010_15.5928,Nuova ortopedia lucana - Sala Consilina,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/nuova_ortopedia_lucana_-_sala_consilina_40.4010_15.5928.json,custom
40.377476,15.604019,ov_ristorante_pizzeria__acacie__di_vito_sab_40.3775_15.6040,Ristorante Pizzeria 'Acacie' di Vito Sabatino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/ristorante_pizzeria_acacie_di_vito_sabat_40.3775_15.6040.json,custom
40.400876,15.587893,ov_il_vecchio_mulino_40.4009_15.5879,Il Vecchio Mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/il_vecchio_mulino_40.4009_15.5879.json,custom
40.399040,15.589198,ov_osteria_johnny_40.3990_15.5892,Osteria Johnny,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/osteria_johnny_40.3990_15.5892.json,custom
40.398378,15.579906,ov_autogrill_40.3984_15.5799,Autogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/autogrill_40.3984_15.5799.json,custom
40.392133,15.596257,ov_pizza_express_40.3921_15.5963,Pizza Express,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/pizza_express_40.3921_15.5963.json,custom
40.392614,15.599635,ov_il_covo_della_bistecca_40.3926_15.5996,Il Covo della Bistecca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/il_covo_della_bistecca_40.3926_15.5996.json,custom
40.393584,15.593679,ov_agriturismo_macchiapiede_40.3936_15.5937,Agriturismo Macchiapiede,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/agriturismo_macchiapiede_40.3936_15.5937.json,custom
40.395376,15.597537,ov_assobastoni_40.3954_15.5975,Assobastoni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/assobastoni_40.3954_15.5975.json,custom
40.395489,15.597941,ov_la_svolta_40.3955_15.5979,La Svolta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/la_svolta_40.3955_15.5979.json,custom
40.398492,15.594810,ov_autogrill_40.3985_15.5948,Autogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/autogrill_40.3985_15.5948.json,custom
40.399490,15.594320,ov_very_nice_di_rotunno_antonio_40.3995_15.5943,Very Nice di Rotunno Antonio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/very_nice_di_rotunno_antonio_40.3995_15.5943.json,custom
40.401011,15.592822,ov_pizzeria_tressanti_40.4010_15.5928,Pizzeria Tressanti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/pizzeria_tressanti_40.4010_15.5928.json,custom
40.413438,15.566389,ov_nico_s_pizza_king_40.4134_15.5664,Nico's Pizza King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/nicos_pizza_king_40.4134_15.5664.json,custom
40.413930,15.565331,ov_ristorante_antros_40.4139_15.5653,Ristorante Antros,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/ristorante_antros_40.4139_15.5653.json,custom
40.410744,15.569873,ov_panificio_giardino_40.4107_15.5699,Panificio Giardino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/panificio_giardino_40.4107_15.5699.json,custom
40.406934,15.579160,ov_pizzeria_da_christian_40.4069_15.5792,Pizzeria Da Christian,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/pizzeria_da_christian_40.4069_15.5792.json,custom
40.403489,15.584582,ov_il_vecchio_mulino_40.4035_15.5846,Il vecchio mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/il_vecchio_mulino_40.4035_15.5846.json,custom
40.408959,15.575319,ov_la_carcara_dry_aged_40.4090_15.5753,La Carcara Dry aged,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/la_carcara_dry_aged_40.4090_15.5753.json,custom
40.416650,15.559272,ov_chef_house_accademy_40.4166_15.5593,Chef House Accademy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/chef_house_accademy_40.4166_15.5593.json,custom
40.361481,15.619353,ov_barriciello_40.3615_15.6194,Barriciello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/barriciello_40.3615_15.6194.json,custom
40.377104,15.608980,ov_trinity_bar_40.3771_15.6090,Trinity Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/trinity_bar_40.3771_15.6090.json,custom
40.374504,15.609246,ov_wine_bar_40.3745_15.6092,Wine Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/wine_bar_40.3745_15.6092.json,custom
40.374551,15.609671,ov_vogliart_caffe_40.3746_15.6097,Vogliart caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/vogliart_caffe_40.3746_15.6097.json,custom
40.371971,15.605707,ov_ubik_bar_40.3720_15.6057,Ubik Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/ubik_bar_40.3720_15.6057.json,custom
40.402856,15.589979,ov_tic_tac_bar_40.4029_15.5900,Tic Tac Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/tic_tac_bar_40.4029_15.5900.json,custom
40.401582,15.591629,ov_bar_gelateria_da_baffo_40.4016_15.5916,Bar Gelateria Da Baffo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/bar_gelateria_da_baffo_40.4016_15.5916.json,custom
40.398375,15.580147,ov_bar_snack_40.3984_15.5801,Bar snack,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/bar_snack_40.3984_15.5801.json,custom
40.398693,15.580966,ov_area_di_servizio_sala_consilina_40.3987_15.5810,Area di Servizio Sala Consilina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/area_di_servizio_sala_consilina_40.3987_15.5810.json,custom
40.397009,15.590708,ov_lux_food_and_spirits_40.3970_15.5907,Lux Food and Spirits,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/lux_food_and_spirits_40.3970_15.5907.json,custom
40.395295,15.591690,ov_trianon_citybar_40.3953_15.5917,Trianon citybar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/trianon_citybar_40.3953_15.5917.json,custom
40.390481,15.601465,ov_bar_scacco_matto_40.3905_15.6015,Bar Scacco Matto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/bar_scacco_matto_40.3905_15.6015.json,custom
40.398196,15.594948,ov_saint_michel_40.3982_15.5949,Saint Michel,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/saint_michel_40.3982_15.5949.json,custom
40.398079,15.596071,ov_il_conte_ugovino_40.3981_15.5961,Il Conte Ugovino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/il_conte_ugovino_40.3981_15.5961.json,custom
40.398705,15.595448,ov_marco_polo_lounge_bar_40.3987_15.5954,Marco Polo Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/marco_polo_lounge_bar_40.3987_15.5954.json,custom
40.401011,15.592822,ov_bar_monnalisa_2_40.4010_15.5928,Bar Monnalisa 2,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/bar_monnalisa_2_40.4010_15.5928.json,custom
40.400778,15.593150,ov_prince_cafe_40.4008_15.5932,Prince Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/prince_cafe_40.4008_15.5932.json,custom
40.401314,15.592190,ov_bar_nuova_caffetteria_40.4013_15.5922,Bar Nuova Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/bar_nuova_caffetteria_40.4013_15.5922.json,custom
40.383120,15.603288,ov_caffe_mania_40.3831_15.6033,Caffe Mania,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/caffe_mania_40.3831_15.6033.json,custom
40.383447,15.603309,ov_keste_caffetteria_40.3834_15.6033,Keste Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/keste_caffetteria_40.3834_15.6033.json,custom
40.381705,15.604777,ov_bar_pigliati_un_caf__40.3817_15.6048,Bar Pigliati un Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/bar_pigliati_un_caf_40.3817_15.6048.json,custom
40.382255,15.604079,ov_blue_ice_lounge_bar_40.3823_15.6041,Blue Ice Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/blue_ice_lounge_bar_40.3823_15.6041.json,custom
40.379411,15.606702,ov_macs_bar_40.3794_15.6067,Macs Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/macs_bar_40.3794_15.6067.json,custom
40.379411,15.606702,ov_friendsart_cafe__ubik_40.3794_15.6067,Friendsart Cafe/ Ubik,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/friendsart_cafe_ubik_40.3794_15.6067.json,custom
40.410421,15.572534,ov_bar_migliore_gelateria_artigianale_40.4104_15.5725,Bar Migliore Gelateria Artigianale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/bar_migliore_gelateria_artigianale_40.4104_15.5725.json,custom
40.407358,15.577127,ov_napoli_san_paolo_40.4074_15.5771,Napoli San Paolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/napoli_san_paolo_40.4074_15.5771.json,custom
40.421661,15.555219,osm_terminal_bus_snack_bar_40.4217_15.5552,Terminal Bus Snack Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/terminal_bus_snack_bar_40.4217_15.5552.json,custom
40.355772,15.626956,ov_palestra_mgm_40.3558_15.6270,Palestra MGM,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/palestra_mgm_40.3558_15.6270.json,custom
40.373563,15.610219,ov_the_white_studio_40.3736_15.6102,The White Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/the_white_studio_40.3736_15.6102.json,custom
40.371535,15.605250,ov_palestra_body_art_sala_consilina_40.3715_15.6052,Palestra Body Art Sala Consilina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/palestra_body_art_sala_consilina_40.3715_15.6052.json,custom
40.400733,15.591647,ov_new_dance_all_dance_ballet_studio_40.4007_15.5916,New Dance All Dance ballet Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/new_dance_all_dance_ballet_studio_40.4007_15.5916.json,custom
40.399238,15.590995,ov_palasport_giuseppe_zingaro_40.3992_15.5910,Palasport Giuseppe Zingaro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/palasport_giuseppe_zingaro_40.3992_15.5910.json,custom
40.390910,15.601660,ov_long_life_fitness_40.3909_15.6017,Long Life Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/long_life_fitness_40.3909_15.6017.json,custom
40.389580,15.601920,ov_sportzone_ginnastica_danza_40.3896_15.6019,SportZone Ginnastica&Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/sportzone_ginnasticadanza_40.3896_15.6019.json,custom
40.389941,15.601659,ov_s_m_paradise_centro_fitness_40.3899_15.6017,S M Paradise Centro Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/s_m_paradise_centro_fitness_40.3899_15.6017.json,custom
40.403052,15.589904,ov_fit___fight_40.4031_15.5899,Fit & Fight,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/fit_fight_40.4031_15.5899.json,custom
40.392344,15.604750,ov_antiquarium_40.3923_15.6047,Antiquarium,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/sala_consilina/pages/antiquarium_40.3923_15.6047.json,custom
