# lat,lng,id,name,building_type,type,url,page_type
# Vipiteno -- Tutti
46.723814,11.648033,ov_ospedale_bressanone_46.7238_11.6480,Ospedale Bressanone,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vipiteno/pages/ospedale_bressanone_46.7238_11.6480.json,custom
46.898591,11.431365,ov_vinzenz_zum_feinen_wein_46.8986_11.4314,Vinzenz zum feinen Wein,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vipiteno/pages/vinzenz_zum_feinen_wein_46.8986_11.4314.json,custom
46.898582,11.431332,ov_caf__turm_46.8986_11.4313,Café Turm,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vipiteno/pages/caf_turm_46.8986_11.4313.json,custom
46.896170,11.431333,ov_cafe_frick_46.8962_11.4313,Cafe Frick,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vipiteno/pages/cafe_frick_46.8962_11.4313.json,custom
46.896577,11.431911,ov_bar_stockl_46.8966_11.4319,Bar Stockl,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vipiteno/pages/bar_stockl_46.8966_11.4319.json,custom
46.897669,11.432116,ov_caf__rossi_46.8977_11.4321,Café Rossi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vipiteno/pages/caf_rossi_46.8977_11.4321.json,custom
46.898639,11.432380,ov_restaurante_pizzeria_bellavita_46.8986_11.4324,Restaurante pizzeria bellavita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vipiteno/pages/restaurante_pizzeria_bellavita_46.8986_11.4324.json,custom
46.898518,11.432848,ov_caf__mery_46.8985_11.4328,Café Mery,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vipiteno/pages/caf_mery_46.8985_11.4328.json,custom
46.896632,11.432480,ov_bar_bistro_sterzl_46.8966_11.4325,Bar Bistro Sterzl,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vipiteno/pages/bar_bistro_sterzl_46.8966_11.4325.json,custom
46.893922,11.436080,ov_vis_a_vis_by_pardeller_46.8939_11.4361,Vis-a-Vis by Pardeller,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vipiteno/pages/vis-a-vis_by_pardeller_46.8939_11.4361.json,custom
46.891993,11.433910,ov_bahnhofbar_buffet_sterzing_46.8920_11.4339,Bahnhofbar Buffet Sterzing,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vipiteno/pages/bahnhofbar_buffet_sterzing_46.8920_11.4339.json,custom
46.891620,11.440630,ov_freenergy_club_46.8916_11.4406,freenergy club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vipiteno/pages/freenergy_club_46.8916_11.4406.json,custom
46.902583,11.429436,ov_skytrek_46.9026_11.4294,Skytrek,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vipiteno/pages/skytrek_46.9026_11.4294.json,custom
46.897490,11.433510,ov_stadtbibliothek_sterzing___biblioteca_ci_46.8975_11.4335,Stadtbibliothek Sterzing - Biblioteca Civica di Vipiteno,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vipiteno/pages/stadtbibliothek_sterzing_-_biblioteca_ci_46.8975_11.4335.json,custom
