# lat,lng,id,name,building_type,type,url,page_type
# Pieve di Cento -- Tutti
44.713688,11.307820,ov_ospedale_di_pieve_di_cento_44.7137_11.3078,Ospedale di Pieve Di Cento,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/ospedale_di_pieve_di_cento_44.7137_11.3078.json,custom
44.713808,11.305837,ov_panevino_44.7138_11.3058,Panevino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/panevino_44.7138_11.3058.json,custom
44.713649,11.306201,ov_ristorante_black_bass_44.7136_11.3062,Ristorante Black Bass,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/ristorante_black_bass_44.7136_11.3062.json,custom
44.713557,11.306244,ov_pizzeria_le_4_porte_44.7136_11.3062,Pizzeria Le 4 Porte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/pizzeria_le_4_porte_44.7136_11.3062.json,custom
44.714051,11.307077,ov_la_vecchia_trattoria_da_braccio_44.7141_11.3071,La Vecchia Trattoria da Braccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/la_vecchia_trattoria_da_braccio_44.7141_11.3071.json,custom
44.715299,11.309084,ov_bugs_bunny_44.7153_11.3091,Bugs Bunny,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/bugs_bunny_44.7153_11.3091.json,custom
44.715049,11.308949,ov_pizzeria_levante_44.7150_11.3089,Pizzeria Levante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/pizzeria_levante_44.7150_11.3089.json,custom
44.715147,11.308938,ov_herman_44.7151_11.3089,Herman,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/herman_44.7151_11.3089.json,custom
44.712156,11.312675,ov_ristorante_la_lumira_44.7122_11.3127,Ristorante La Lumira,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/ristorante_la_lumira_44.7122_11.3127.json,custom
44.710120,11.320180,ov_la_lumira_44.7101_11.3202,La Lumira,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/la_lumira_44.7101_11.3202.json,custom
44.707471,11.313622,ov_pizzi_nicola_44.7075_11.3136,Pizzi Nicola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/pizzi_nicola_44.7075_11.3136.json,custom
44.711346,11.305961,osm_ristorante_f_lli_buriani_44.7113_11.3060,Ristorante F.lli Buriani,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/ristorante_flli_buriani_44.7113_11.3060.json,custom
44.715335,11.303251,ov_caf__la_locanda_della_mirandolina_44.7153_11.3033,Cafè La Locanda Della Mirandolina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/caf_la_locanda_della_mirandolina_44.7153_11.3033.json,custom
44.712459,11.301428,ov_blue_bar_44.7125_11.3014,Blue Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/blue_bar_44.7125_11.3014.json,custom
44.713300,11.304883,ov_osteria_del_lupo_44.7133_11.3049,Osteria Del Lupo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/osteria_del_lupo_44.7133_11.3049.json,custom
44.713233,11.306407,ov_pane_bar_e_bollicine_44.7132_11.3064,Pane bar e Bollicine,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/pane_bar_e_bollicine_44.7132_11.3064.json,custom
44.713471,11.306799,ov_da_zacca_44.7135_11.3068,Da Zacca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/da_zacca_44.7135_11.3068.json,custom
44.713406,11.306694,ov_enoteca_natali_44.7134_11.3067,Enoteca Natali,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/enoteca_natali_44.7134_11.3067.json,custom
44.713390,11.306476,ov_caffe_voltone_44.7134_11.3065,Caffe Voltone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/caffe_voltone_44.7134_11.3065.json,custom
44.711934,11.312604,ov_bar_paprika_44.7119_11.3126,Bar Paprika,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/bar_paprika_44.7119_11.3126.json,custom
44.718737,11.313842,ov_palestra_comunale_pieve_di_cento_44.7187_11.3138,Palestra Comunale Pieve di Cento,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/palestra_comunale_pieve_di_cento_44.7187_11.3138.json,custom
44.715846,11.298946,ov_gym_acqua___fitness_44.7158_11.2989,GYM Acqua & Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/gym_acqua_fitness_44.7158_11.2989.json,custom
44.715957,11.308266,ov_asd_libertas_argile_vigor_pieve_44.7160_11.3083,ASD Libertas Argile Vigor Pieve,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/asd_libertas_argile_vigor_pieve_44.7160_11.3083.json,custom
44.713753,11.309314,ov_kinetika_44.7138_11.3093,Kinetika,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/kinetika_44.7138_11.3093.json,custom
44.705383,11.316342,ov_palestra_fight___fitness_44.7054_11.3163,Palestra Fight & Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/palestra_fight_fitness_44.7054_11.3163.json,custom
44.710988,11.303528,ov_magi_900_44.7110_11.3035,MAGI'900,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/magi900_44.7110_11.3035.json,custom
44.711358,11.306901,ov_pinacoteca_civica_graziano_campanini_44.7114_11.3069,Pinacoteca Civica Graziano Campanini,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/pinacoteca_civica_graziano_campanini_44.7114_11.3069.json,custom
44.711901,11.305548,ov_museo_delle_storie_44.7119_11.3055,Museo delle Storie,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/museo_delle_storie_44.7119_11.3055.json,custom
44.711512,11.306865,ov_biblioteca_comunale_pieve_di_cento_44.7115_11.3069,Biblioteca comunale Pieve di Cento,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pieve_di_cento/pages/biblioteca_comunale_pieve_di_cento_44.7115_11.3069.json,custom
