# lat,lng,id,name,building_type,type,url,page_type
# foiano_della_chiana -- Tutti
43.252694,11.817440,ov_ristorante_fattoria_pulcino_43.2527_11.8174,Ristorante Fattoria Pulcino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/ristorante_fattoria_pulcino_43.2527_11.8174.json,custom
43.251990,11.819075,ov_casa_mengrello_43.2520_11.8191,Casa Mengrello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/casa_mengrello_43.2520_11.8191.json,custom
43.251478,11.816502,ov_qui_si_pizza_43.2515_11.8165,Qui Si Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/qui_si_pizza_43.2515_11.8165.json,custom
43.250917,11.817831,ov_ristorante_il_vizio_43.2509_11.8178,Ristorante Il Vizio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/ristorante_il_vizio_43.2509_11.8178.json,custom
43.250709,11.817727,ov_osteria_del_piazzone_43.2507_11.8177,Osteria del Piazzone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/osteria_del_piazzone_43.2507_11.8177.json,custom
43.250574,11.816959,ov_mengrello_43.2506_11.8170,Mengrello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/mengrello_43.2506_11.8170.json,custom
43.249793,11.818078,ov_osteria_pulcino_nero_43.2498_11.8181,Osteria Pulcino nero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/osteria_pulcino_nero_43.2498_11.8181.json,custom
43.249960,11.817226,ov_acqua___sapone_43.2500_11.8172,Acqua & Sapone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/acqua_sapone_43.2500_11.8172.json,custom
43.245670,11.820230,ov_martyhomerestaurant_43.2457_11.8202,Martyhomerestaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/martyhomerestaurant_43.2457_11.8202.json,custom
43.253016,11.818400,ov_pizzeria_happy_days_43.2530_11.8184,Pizzeria Happy Days,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/foiano_della_chiana/pages/pizzeria_happy_days_43.2530_11.8184.json,custom
