# lat,lng,id,name,building_type,type,url,page_type
# Cervarese Santa Croce -- Tutti
45.379757,11.708360,ov_arcella_analisi_mediche_biolab_srl_45.3798_11.7084,Arcella Analisi Mediche Biolab SRL,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cervarese_santa_croce/pages/arcella_analisi_mediche_biolab_srl_45.3798_11.7084.json,custom
45.393841,11.714194,osm_ristorante_pizzeria_euganeus_2000_45.3938_11.7142,Ristorante Pizzeria Euganeus 2000,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cervarese_santa_croce/pages/ristorante_pizzeria_euganeus_2000_45.3938_11.7142.json,custom
45.407383,11.676410,osm_al_bosco_45.4074_11.6764,Al Bosco,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cervarese_santa_croce/pages/al_bosco_45.4074_11.6764.json,custom
45.382083,11.707027,ov_barsport_montemerlo_45.3821_11.7070,BarSport Montemerlo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cervarese_santa_croce/pages/barsport_montemerlo_45.3821_11.7070.json,custom
45.401975,11.692899,ov_brus_bar_45.4020_11.6929,Brus Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cervarese_santa_croce/pages/brus_bar_45.4020_11.6929.json,custom
45.403523,11.695136,ov_revo_bistrot___cocktail_45.4035_11.6951,REVO Bistrot & Cocktail,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cervarese_santa_croce/pages/revo_bistrot_cocktail_45.4035_11.6951.json,custom
45.378683,11.705825,osm_ex_chiesa_parrocchiale_san_michele_arcan_45.3787_11.7058,Ex chiesa parrocchiale San Michele Arcangelo,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cervarese_santa_croce/pages/ex_chiesa_parrocchiale_san_michele_arcan_45.3787_11.7058.json,custom
45.389278,11.689359,ov_omega_equestrian_45.3893_11.6894,Omega Equestrian,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cervarese_santa_croce/pages/omega_equestrian_45.3893_11.6894.json,custom
45.419991,11.693375,ov_smarty_s_sport_and_show_45.4200_11.6934,Smarty's Sport and Show,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cervarese_santa_croce/pages/smartys_sport_and_show_45.4200_11.6934.json,custom
45.425794,11.684659,ov_equus_villa_trento_asd_45.4258_11.6847,EQUUS Villa Trento Asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cervarese_santa_croce/pages/equus_villa_trento_asd_45.4258_11.6847.json,custom
45.401669,11.691103,ov_jessydance_asd_45.4017_11.6911,Jessydance ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cervarese_santa_croce/pages/jessydance_asd_45.4017_11.6911.json,custom
45.414108,11.710036,ov_laboratorio_yoga_45.4141_11.7100,Laboratorio Yoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cervarese_santa_croce/pages/laboratorio_yoga_45.4141_11.7100.json,custom
45.404310,11.692755,ov_nicola_lunardi_45.4043_11.6928,Nicola Lunardi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cervarese_santa_croce/pages/nicola_lunardi_45.4043_11.6928.json,custom
45.404054,11.692248,ov_kinesis_asd_45.4041_11.6922,Kinesis asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cervarese_santa_croce/pages/kinesis_asd_45.4041_11.6922.json,custom
45.414309,11.710883,ov_parco_castello_di_san_martino_della_vane_45.4143_11.7109,Parco Castello di San Martino della Vaneza,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cervarese_santa_croce/pages/parco_castello_di_san_martino_della_vane_45.4143_11.7109.json,custom
45.409320,11.696690,ov_tempietto_van_es_45.4093_11.6967,Tempietto van Es,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cervarese_santa_croce/pages/tempietto_van_es_45.4093_11.6967.json,custom
45.378617,11.705671,ov_informagiovani_di_cervarese_santa_croce_45.3786_11.7057,Informagiovani di Cervarese Santa Croce,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cervarese_santa_croce/pages/informagiovani_di_cervarese_santa_croce_45.3786_11.7057.json,custom
45.378683,11.705726,ov_biblioteca_comunale_di_cervarese_santa_c_45.3787_11.7057,Biblioteca Comunale di Cervarese Santa Croce,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cervarese_santa_croce/pages/biblioteca_comunale_di_cervarese_santa_c_45.3787_11.7057.json,custom
