# lat,lng,id,name,building_type,type,url,page_type
# campli -- Tutti
42.532820,13.775650,ov_sanex_srl_42.5328_13.7757,Sanex Srl,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/sanex_srl_42.5328_13.7757.json,custom
42.772245,13.754247,ov_agriturismo_il_colle_delle_delizie_42.7722_13.7542,Agriturismo Il Colle delle Delizie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/agriturismo_il_colle_delle_delizie_42.7722_13.7542.json,custom
42.760714,13.737547,ov_bar_centrale_42.7607_13.7375,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/bar_centrale_42.7607_13.7375.json,custom
42.760368,13.737134,ov_caff__karibu_42.7604_13.7371,Caffè Karibu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/caff_karibu_42.7604_13.7371.json,custom
42.728915,13.662811,ov_daiana_s_bar_42.7289_13.6628,Daiana's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/daianas_bar_42.7289_13.6628.json,custom
42.734069,13.661562,ov_bar_del_ponte_42.7341_13.6616,Bar del Ponte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/bar_del_ponte_42.7341_13.6616.json,custom
42.714991,13.660113,ov_caffetteria_bar_de_i_piceni_42.7150_13.6601,Caffetteria Bar de I Piceni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/caffetteria_bar_de_i_piceni_42.7150_13.6601.json,custom
42.714279,13.664334,ov_montblanc_caffe_42.7143_13.6643,Montblanc Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/montblanc_caffe_42.7143_13.6643.json,custom
42.718090,13.671630,ov_bar_cafe__campli_42.7181_13.6716,Bar cafe' Campli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/bar_cafe_campli_42.7181_13.6716.json,custom
42.726247,13.686495,ov_caffe_farnese_42.7262_13.6865,Caffe Farnese,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/caffe_farnese_42.7262_13.6865.json,custom
42.726134,13.686531,ov_bar__il_duomo_42.7261_13.6865,Bar  Il Duomo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/bar_il_duomo_42.7261_13.6865.json,custom
42.727206,13.687569,ov_bar_dello_sport_42.7272_13.6876,Bar Dello Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/bar_dello_sport_42.7272_13.6876.json,custom
42.727341,13.687892,ov_mingus_caffe_42.7273_13.6879,Mingus caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/mingus_caffe_42.7273_13.6879.json,custom
42.716600,13.683196,ov_mont_blanc_caff__42.7166_13.6832,Mont blanc caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/mont_blanc_caff_42.7166_13.6832.json,custom
42.715485,13.637066,ov_birrificio_agricolo_ramoni_42.7155_13.6371,Birrificio Agricolo Ramoni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/birrificio_agricolo_ramoni_42.7155_13.6371.json,custom
42.772777,13.756593,ov_caff__riva_42.7728_13.7566,Caffè Riva,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/caff_riva_42.7728_13.7566.json,custom
42.731433,13.723515,ov_capoferri_gru___noleggio_autogru___camio_42.7314_13.7235,"Capoferri Gru - Noleggio Autogru , Camion gru e Piattaforme ",GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/capoferri_gru_-_noleggio_autogru_camion__42.7314_13.7235.json,custom
42.719790,13.726633,ov_la_fattoria_del_prof___maneggio__didatti_42.7198_13.7266,"La Fattoria del Prof - maneggio, didattica e sociale",GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/la_fattoria_del_prof_-_maneggio_didattic_42.7198_13.7266.json,custom
42.729424,13.746064,ov_zona_addestramento_colle_arenario_campli_42.7294_13.7461,Zona Addestramento Colle Arenario Campli TE,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/zona_addestramento_colle_arenario_campli_42.7294_13.7461.json,custom
42.717807,13.671052,ov_pala_borgognoni_42.7178_13.6711,Pala Borgognoni,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/pala_borgognoni_42.7178_13.6711.json,custom
42.730144,13.662019,ov_amici_della_necropoli_di_campovalano_42.7301_13.6620,Amici della Necropoli di Campovalano,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/amici_della_necropoli_di_campovalano_42.7301_13.6620.json,custom
42.727170,13.687672,ov_museo_archeologico_nazionale_di_campli_42.7272_13.6877,Museo Archeologico Nazionale di Campli,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/campli/pages/museo_archeologico_nazionale_di_campli_42.7272_13.6877.json,custom
