# lat,lng,id,name,building_type,type,url,page_type
# Villa San Giovanni -- Tutti
38.215799,15.638739,ov_casa_di_cura_caminiti_38.2158_15.6387,Casa di Cura Caminiti,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/casa_di_cura_caminiti_38.2158_15.6387.json,custom
38.234520,15.652013,ov_lido_coco_beach_38.2345_15.6520,Lido Coco Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/lido_coco_beach_38.2345_15.6520.json,custom
38.236716,15.659663,ov_calaviola___maison_mediterran_e_38.2367_15.6597,Calaviola - Maison Mediterranée,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/calaviola_-_maison_mediterrane_38.2367_15.6597.json,custom
38.227051,15.648910,ov_sala_ricevimenti_panorama_38.2271_15.6489,Sala Ricevimenti Panorama,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/sala_ricevimenti_panorama_38.2271_15.6489.json,custom
38.229768,15.635992,ov_magazzino41_38.2298_15.6360,Magazzino41,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/magazzino41_38.2298_15.6360.json,custom
38.229117,15.635798,ov_la_fenice_38.2291_15.6358,La Fenice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/la_fenice_38.2291_15.6358.json,custom
38.228828,15.635816,ov_leonardo_bistrot_38.2288_15.6358,Leonardo Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/leonardo_bistrot_38.2288_15.6358.json,custom
38.228575,15.635764,ov_la_mediterranea_38.2286_15.6358,La Mediterranea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/la_mediterranea_38.2286_15.6358.json,custom
38.227727,15.638056,ov_new_double_38.2277_15.6381,New Double,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/new_double_38.2277_15.6381.json,custom
38.226450,15.634644,ov_meraviglie_cafe_38.2264_15.6346,Meraviglie Cafe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/meraviglie_cafe_38.2264_15.6346.json,custom
38.224653,15.636674,ov_pulcinella_nello_stretto_38.2247_15.6367,Pulcinella nello Stretto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/pulcinella_nello_stretto_38.2247_15.6367.json,custom
38.221655,15.638227,ov_la_scottona_all_you_can_meat_38.2217_15.6382,La Scottona All You Can Meat,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/la_scottona_all_you_can_meat_38.2217_15.6382.json,custom
38.220566,15.635287,ov_mauni_pizza_and_risto_pub_38.2206_15.6353,Mauni Pizza and Risto Pub,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/mauni_pizza_and_risto_pub_38.2206_15.6353.json,custom
38.220680,15.637646,ov_squisita_38.2207_15.6376,Squisita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/squisita_38.2207_15.6376.json,custom
38.219199,15.636059,ov_new_lp_26_da_felice_paladino_38.2192_15.6361,New Lp 26 da Felice Paladino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/new_lp_26_da_felice_paladino_38.2192_15.6361.json,custom
38.219034,15.635273,ov_la_sosta_38.2190_15.6353,La Sosta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/la_sosta_38.2190_15.6353.json,custom
38.218902,15.640807,ov_il_gallo_d_oro_38.2189_15.6408,Il Gallo D'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/il_gallo_doro_38.2189_15.6408.json,custom
38.216942,15.640013,ov_acrobatic_38.2169_15.6400,Acrobatic,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/acrobatic_38.2169_15.6400.json,custom
38.216435,15.639308,ov_pizzeria_pit_stop_38.2164_15.6393,Pizzeria Pit Stop,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/pizzeria_pit_stop_38.2164_15.6393.json,custom
38.216656,15.638388,ov_b2_pizzeria_38.2167_15.6384,B2 Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/b2_pizzeria_38.2167_15.6384.json,custom
38.217684,15.638249,ov_la_piccola_taverna_38.2177_15.6382,La Piccola Taverna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/la_piccola_taverna_38.2177_15.6382.json,custom
38.217423,15.638196,ov_plaza_bistrot_38.2174_15.6382,Plaza Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/plaza_bistrot_38.2174_15.6382.json,custom
38.218262,15.635623,ov_supremo_sfizio_38.2183_15.6356,Supremo Sfizio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/supremo_sfizio_38.2183_15.6356.json,custom
38.217430,15.635397,ov_sapori_dello_stretto_38.2174_15.6354,Sapori dello Stretto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/sapori_dello_stretto_38.2174_15.6354.json,custom
38.216780,15.634745,ov_agios_pizzeria_38.2168_15.6347,Agios Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/agios_pizzeria_38.2168_15.6347.json,custom
38.216501,15.636199,ov_antica_trattoria_marconi_a_carticcia_38.2165_15.6362,Antica Trattoria Marconi A Carticcia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/antica_trattoria_marconi_a_carticcia_38.2165_15.6362.json,custom
38.216993,15.637255,ov_il_fornaio_pizzeria_38.2170_15.6373,Il Fornaio Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/il_fornaio_pizzeria_38.2170_15.6373.json,custom
38.215155,15.637021,ov_sesto_senso_38.2152_15.6370,Sesto Senso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/sesto_senso_38.2152_15.6370.json,custom
38.211662,15.639471,ov_la_montagnola2001_novello_38.2117_15.6395,La montagnola2001 novello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/la_montagnola2001_novello_38.2117_15.6395.json,custom
38.209651,15.635979,ov_civico_16_hostaria_38.2097_15.6360,Civico 16 Hostaria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/civico_16_hostaria_38.2097_15.6360.json,custom
38.207010,15.637520,ov_mare_fuori___restaurant_38.2070_15.6375,Mare Fuori - Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/mare_fuori_-_restaurant_38.2070_15.6375.json,custom
38.208045,15.639305,ov_officina_dei_sapori_38.2080_15.6393,Officina dei Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/officina_dei_sapori_38.2080_15.6393.json,custom
38.209402,15.642925,ov_villa_san_giovanni_east_38.2094_15.6429,Villa San Giovanni East,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/villa_san_giovanni_east_38.2094_15.6429.json,custom
38.200130,15.636698,ov_il_pomodoro_38.2001_15.6367,Il Pomodoro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/il_pomodoro_38.2001_15.6367.json,custom
38.216284,15.637679,osm_la_conca_38.2163_15.6377,La Conca,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/la_conca_38.2163_15.6377.json,custom
38.233723,15.681397,ov_campovolo_poggio_pignatelli_38.2337_15.6814,Campovolo Poggio Pignatelli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/campovolo_poggio_pignatelli_38.2337_15.6814.json,custom
38.233983,15.647056,ov_bar_pasticceria_gelateria_boccaccio_38.2340_15.6471,Bar Pasticceria Gelateria Boccaccio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/bar_pasticceria_gelateria_boccaccio_38.2340_15.6471.json,custom
38.234280,15.652570,ov_enoteca_culturale_altafiumara_38.2343_15.6526,Enoteca Culturale Altafiumara,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/enoteca_culturale_altafiumara_38.2343_15.6526.json,custom
38.234327,15.651625,ov_il_salotto_di_bruga___civico_48_38.2343_15.6516,Il Salotto di Bruga - Civico 48,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/il_salotto_di_bruga_-_civico_48_38.2343_15.6516.json,custom
38.229423,15.638497,ov_roxy_bar_38.2294_15.6385,Roxy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/roxy_bar_38.2294_15.6385.json,custom
38.227413,15.637000,ov_gallery_bar_38.2274_15.6370,Gallery Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/gallery_bar_38.2274_15.6370.json,custom
38.225562,15.637598,ov_bar_al_settimo_cielo_38.2256_15.6376,Bar Al Settimo Cielo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/bar_al_settimo_cielo_38.2256_15.6376.json,custom
38.224688,15.637075,ov_bar_pasticceria_pyper_kafe_38.2247_15.6371,Bar Pasticceria Pyper Kafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/bar_pasticceria_pyper_kafe_38.2247_15.6371.json,custom
38.222535,15.636221,ov_bar_pasticceria_le_golosie_38.2225_15.6362,Bar Pasticceria Le Golosie,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/bar_pasticceria_le_golosie_38.2225_15.6362.json,custom
38.223025,15.641114,ov_l_oasi_del_gusto_38.2230_15.6411,L'Oasi del Gusto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/loasi_del_gusto_38.2230_15.6411.json,custom
38.220938,15.638385,ov_la_piazzetta__lounge_bar_38.2209_15.6384,La Piazzetta  Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/la_piazzetta_lounge_bar_38.2209_15.6384.json,custom
38.219270,15.636040,ov_il_fiore_dello_stretto_38.2193_15.6360,Il Fiore dello Stretto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/il_fiore_dello_stretto_38.2193_15.6360.json,custom
38.217474,15.636080,ov_caffe_garibaldi_38.2175_15.6361,Caffe Garibaldi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/caffe_garibaldi_38.2175_15.6361.json,custom
38.218135,15.635312,ov_coffee_hour_38.2181_15.6353,Coffee Hour,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/coffee_hour_38.2181_15.6353.json,custom
38.217445,15.635684,ov_caff__mauro_38.2174_15.6357,Caffè Mauro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/caff_mauro_38.2174_15.6357.json,custom
38.216510,15.634870,ov_villa_est_gustososta_38.2165_15.6349,Villa Est Gustososta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/villa_est_gustososta_38.2165_15.6349.json,custom
38.216642,15.636197,ov_bar_h24_38.2166_15.6362,Bar h24,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/bar_h24_38.2166_15.6362.json,custom
38.216290,15.638231,ov_caffe_italia_38.2163_15.6382,Caffe Italia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/caffe_italia_38.2163_15.6382.json,custom
38.215200,15.635366,ov_bar_pantagruel_38.2152_15.6354,Bar Pantagruel,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/bar_pantagruel_38.2152_15.6354.json,custom
38.212724,15.636963,ov_bar_oriente_38.2127_15.6370,Bar Oriente,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/bar_oriente_38.2127_15.6370.json,custom
38.216478,15.633905,osm_bar_stazione_fs_38.2165_15.6339,Bar Stazione FS,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/bar_stazione_fs_38.2165_15.6339.json,custom
38.228979,15.640301,ov_asd_dreaming_sport_38.2290_15.6403,ASD Dreaming Sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/asd_dreaming_sport_38.2290_15.6403.json,custom
38.226191,15.639056,ov_bahia_punta_pellaro_38.2262_15.6391,Bahia punta Pellaro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/bahia_punta_pellaro_38.2262_15.6391.json,custom
38.223034,15.639053,ov_california_fitness_asd_38.2230_15.6391,California Fitness asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/california_fitness_asd_38.2230_15.6391.json,custom
38.222017,15.639509,ov_fitness_mania_38.2220_15.6395,Fitness Mania,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/fitness_mania_38.2220_15.6395.json,custom
38.218961,15.637989,ov_asd_isadora_dance_academy_38.2190_15.6380,ASD Isadora Dance Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/asd_isadora_dance_academy_38.2190_15.6380.json,custom
38.216933,15.639430,ov_la_bottega_dei_talenti_38.2169_15.6394,La Bottega dei Talenti,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/la_bottega_dei_talenti_38.2169_15.6394.json,custom
38.215023,15.638242,ov_centro_di_chinesiologia_38.2150_15.6382,Centro Di Chinesiologia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/centro_di_chinesiologia_38.2150_15.6382.json,custom
38.214269,15.643870,ov_traversata_dello_stretto_38.2143_15.6439,Traversata dello Stretto,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/traversata_dello_stretto_38.2143_15.6439.json,custom
38.214026,15.637048,ov_asd_divina_38.2140_15.6370,ASD Divina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/asd_divina_38.2140_15.6370.json,custom
38.233774,15.681757,ov_museo_faunistico_diorama_38.2338_15.6818,Museo Faunistico Diorama,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/museo_faunistico_diorama_38.2338_15.6818.json,custom
38.241604,15.681645,ov_pilone_38.2416_15.6816,Pilone,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/pilone_38.2416_15.6816.json,custom
38.234607,15.652119,ov_museo_marinaro_38.2346_15.6521,Museo Marinaro,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/museo_marinaro_38.2346_15.6521.json,custom
38.217402,15.634306,ov_la_capanna_di_tonnarella_38.2174_15.6343,La Capanna Di Tonnarella,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/la_capanna_di_tonnarella_38.2174_15.6343.json,custom
38.234610,15.653170,ov_biblioteca_del_cenide_38.2346_15.6532,Biblioteca del cenide,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/biblioteca_del_cenide_38.2346_15.6532.json,custom
38.224720,15.636950,ov_biblioteca_comunale_villa_san_giovanni_38.2247_15.6370,Biblioteca Comunale Villa San Giovanni,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/villa_san_giovanni/pages/biblioteca_comunale_villa_san_giovanni_38.2247_15.6370.json,custom
