# lat,lng,id,name,building_type,type,url,page_type
# bormio -- Tutti
46.461520,10.359580,osm_struttura_sanitaria_di_bormio_46.4615_10.3596,Struttura Sanitaria di Bormio,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/struttura_sanitaria_di_bormio_46.4615_10.3596.json,custom
46.465591,10.373418,ov_la_stube_46.4656_10.3734,La Stube,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/la_stube_46.4656_10.3734.json,custom
46.467166,10.373868,ov_bar_contea_46.4672_10.3739,Bar Contea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/bar_contea_46.4672_10.3739.json,custom
46.467771,10.373532,ov_sunny_valley_srl_46.4678_10.3735,Sunny Valley SRL,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/sunny_valley_srl_46.4678_10.3735.json,custom
46.467990,10.373741,ov_ristorante_osteria_de_i_magri_46.4680_10.3737,Ristorante Osteria De I Magri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/ristorante_osteria_de_i_magri_46.4680_10.3737.json,custom
46.468683,10.373391,ov_pizzeria_pizza4u_46.4687_10.3734,Pizzeria Pizza4u,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/pizzeria_pizza4u_46.4687_10.3734.json,custom
46.467578,10.372846,ov_al_filo_46.4676_10.3728,Al Filo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/al_filo_46.4676_10.3728.json,custom
46.469160,10.375006,ov_vicolo_piazzi_46.4692_10.3750,Vicolo Piazzi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/vicolo_piazzi_46.4692_10.3750.json,custom
46.469617,10.375105,ov_vecchio_borgo_46.4696_10.3751,Vecchio Borgo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/vecchio_borgo_46.4696_10.3751.json,custom
46.469559,10.368946,ov_bistrot_pizzeria_umami_46.4696_10.3689,Bistrot Pizzeria Umami,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/bistrot_pizzeria_umami_46.4696_10.3689.json,custom
46.467760,10.367340,ov_chalet_i_rododendri_46.4678_10.3673,Chalet I Rododendri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/chalet_i_rododendri_46.4678_10.3673.json,custom
46.466667,10.366667,ov_italian_alps__bormio_46.4667_10.3667,"Italian Alps, Bormio",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/italian_alps_bormio_46.4667_10.3667.json,custom
46.475071,10.362508,ov_golf_club_house_burel_46.4751_10.3625,Golf Club House Burel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/golf_club_house_burel_46.4751_10.3625.json,custom
46.467619,10.378153,ov_ristorante_e_pizzeria_miravalle_46.4676_10.3782,Ristorante e Pizzeria Miravalle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/ristorante_e_pizzeria_miravalle_46.4676_10.3782.json,custom
46.467842,10.377603,ov_osteria_la_bajona_46.4678_10.3776,Osteria la Bajona,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/osteria_la_bajona_46.4678_10.3776.json,custom
46.467807,10.377473,ov_bormio_piazza_del_kuerc_46.4678_10.3775,Bormio Piazza Del Kuerc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/bormio_piazza_del_kuerc_46.4678_10.3775.json,custom
46.467727,10.377287,ov_ristorante_kuerc_46.4677_10.3773,Ristorante Kuerc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/ristorante_kuerc_46.4677_10.3773.json,custom
46.468318,10.377542,ov_ristorante_gavioli_46.4683_10.3775,Ristorante Gavioli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/ristorante_gavioli_46.4683_10.3775.json,custom
46.468191,10.377143,ov_ristorante_e_pizzeria_contado_46.4682_10.3771,Ristorante e Pizzeria Contado,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/ristorante_e_pizzeria_contado_46.4682_10.3771.json,custom
46.468310,10.376910,ov_ristorante_pizzeria_eira_46.4683_10.3769,Ristorante Pizzeria Eira,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/ristorante_pizzeria_eira_46.4683_10.3769.json,custom
46.467119,10.375864,ov_enoteca_guanella_46.4671_10.3759,Enoteca Guanella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/enoteca_guanella_46.4671_10.3759.json,custom
46.467095,10.376300,ov_the_steak_house_bormio_46.4671_10.3763,The Steak House Bormio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/the_steak_house_bormio_46.4671_10.3763.json,custom
46.467195,10.376277,ov_ristorante_pizzeria_la_nuova_pastorella_46.4672_10.3763,Ristorante Pizzeria La Nuova Pastorella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/ristorante_pizzeria_la_nuova_pastorella_46.4672_10.3763.json,custom
46.466185,10.378778,ov_ristorante_la_sablonera_46.4662_10.3788,Ristorante La Sablonera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/ristorante_la_sablonera_46.4662_10.3788.json,custom
46.465146,10.379520,ov_ristorante_vecchia_combo_46.4651_10.3795,Ristorante Vecchia Combo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/ristorante_vecchia_combo_46.4651_10.3795.json,custom
46.465860,10.380772,ov_ristorante_la_rasiga_46.4659_10.3808,Ristorante La Rasiga,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/ristorante_la_rasiga_46.4659_10.3808.json,custom
46.464054,10.376411,ov_heaven_3000_46.4641_10.3764,Heaven 3000,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/heaven_3000_46.4641_10.3764.json,custom
46.464595,10.375751,ov_keller_steak_house_46.4646_10.3758,Keller Steak House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/keller_steak_house_46.4646_10.3758.json,custom
46.420402,10.410965,ov_ristorante_chalet_heaven_bormio_3000_46.4204_10.4110,Ristorante Chalet Heaven Bormio 3000,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/ristorante_chalet_heaven_bormio_3000_46.4204_10.4110.json,custom
46.444614,10.390136,ov_scuola_sci_e_snowboard_gallo_cedrone_46.4446_10.3901,Scuola sci e snowboard gallo cedrone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/scuola_sci_e_snowboard_gallo_cedrone_46.4446_10.3901.json,custom
46.444079,10.387703,ov_chiosco_da_michele_46.4441_10.3877,Chiosco da Michele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/chiosco_da_michele_46.4441_10.3877.json,custom
46.467629,10.377196,osm_bar_ristorante_kuerc_46.4676_10.3772,Bar ristorante Kuerc,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/bar_ristorante_kuerc_46.4676_10.3772.json,custom
46.465509,10.372616,osm_sunrise___la_caneva_46.4655_10.3726,Sunrise - La Caneva,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/sunrise_-_la_caneva_46.4655_10.3726.json,custom
46.467762,10.377173,osm_caff__cavour_46.4678_10.3772,Caffè Cavour,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/caff_cavour_46.4678_10.3772.json,custom
46.465509,10.373014,osm_hotel_baita_dei_pini_46.4655_10.3730,Hotel Baita dei Pini,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/hotel_baita_dei_pini_46.4655_10.3730.json,custom
46.485072,10.342627,ov_ristoro_monte_scale_46.4851_10.3426,Ristoro Monte Scale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/ristoro_monte_scale_46.4851_10.3426.json,custom
46.461510,10.360778,ov_bar_the_ram_s_46.4615_10.3608,Bar The Ram's,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/bar_the_rams_46.4615_10.3608.json,custom
46.462089,10.372562,ov_30m__l_apr_s_ski_46.4621_10.3726,30m² L'Aprés Ski,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/30m_laprs_ski_46.4621_10.3726.json,custom
46.467967,10.370200,ov_sottovento_bar_e_caffetteria_46.4680_10.3702,Sottovento Bar e Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/sottovento_bar_e_caffetteria_46.4680_10.3702.json,custom
46.466599,10.370684,ov_da_stefi_bar_46.4666_10.3707,Da Stefi Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/da_stefi_bar_46.4666_10.3707.json,custom
46.466668,10.372759,ov_slot___drink_46.4667_10.3728,Slot & Drink,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/slot_drink_46.4667_10.3728.json,custom
46.465619,10.372528,ov_sunrise_disco_pub_46.4656_10.3725,Sunrise Disco Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/sunrise_disco_pub_46.4656_10.3725.json,custom
46.466562,10.373523,ov_clem_pub_birreria_46.4666_10.3735,Clem Pub Birreria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/clem_pub_birreria_46.4666_10.3735.json,custom
46.466816,10.373468,ov_cafe_mozart_46.4668_10.3735,Cafe Mozart,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/cafe_mozart_46.4668_10.3735.json,custom
46.467033,10.373796,ov_la_contea_46.4670_10.3738,La Contea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/la_contea_46.4670_10.3738.json,custom
46.467450,10.374383,ov_mary_and_co_46.4675_10.3744,Mary and Co,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/mary_and_co_46.4675_10.3744.json,custom
46.467123,10.372359,ov_bar_la_piazzetta_bormio_46.4671_10.3724,Bar La Piazzetta Bormio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/bar_la_piazzetta_bormio_46.4671_10.3724.json,custom
46.467075,10.372232,ov_caff__bar_la_piazzetta_46.4671_10.3722,Caffè Bar La Piazzetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/caff_bar_la_piazzetta_46.4671_10.3722.json,custom
46.467125,10.372319,ov_il_vino_dell_oste_46.4671_10.3723,Il Vino dell'Oste,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/il_vino_delloste_46.4671_10.3723.json,custom
46.468083,10.371686,ov_bar_nuovo_46.4681_10.3717,Bar Nuovo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/bar_nuovo_46.4681_10.3717.json,custom
46.467614,10.367162,ov_giuly_smile_46.4676_10.3672,Giuly Smile,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/giuly_smile_46.4676_10.3672.json,custom
46.467539,10.377460,ov_bar_dolce_ozio_46.4675_10.3775,Bar Dolce Ozio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/bar_dolce_ozio_46.4675_10.3775.json,custom
46.467821,10.377266,ov_caffe_cavour_46.4678_10.3773,Caffe Cavour,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/caffe_cavour_46.4678_10.3773.json,custom
46.467401,10.376774,ov_skianta_caff__46.4674_10.3768,Skianta Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/skianta_caff_46.4674_10.3768.json,custom
46.467530,10.379940,ov_cancano_bar_bistr__46.4675_10.3799,Cancano Bar Bistrò,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/cancano_bar_bistr_46.4675_10.3799.json,custom
46.464512,10.377941,ov_cristall_bar_46.4645_10.3779,Cristall Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/cristall_bar_46.4645_10.3779.json,custom
46.464504,10.375431,ov_bar_jolly_da_lucia_46.4645_10.3754,Bar Jolly da Lucia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/bar_jolly_da_lucia_46.4645_10.3754.json,custom
46.464160,10.375909,ov_aperizeta_bormio_46.4642_10.3759,AperiZeta Bormio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/aperizeta_bormio_46.4642_10.3759.json,custom
46.461724,10.384073,ov_bosk_bass_46.4617_10.3841,Bosk Bass,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/bosk_bass_46.4617_10.3841.json,custom
46.446980,10.361560,ov_l_albero_artigianato_46.4470_10.3616,L'Albero artigianato,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/lalbero_artigianato_46.4470_10.3616.json,custom
46.467496,10.377401,osm_dolce_ozio_46.4675_10.3774,Dolce Ozio,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/dolce_ozio_46.4675_10.3774.json,custom
46.465346,10.359743,ov_wild_horse_46.4653_10.3597,Wild Horse,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/wild_horse_46.4653_10.3597.json,custom
46.462280,10.372450,ov_scuola_sci_nazionale_bormio_46.4623_10.3725,Scuola Sci Nazionale Bormio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/scuola_sci_nazionale_bormio_46.4623_10.3725.json,custom
46.461789,10.372492,ov_scuola_mountain_bike_bormio_46.4618_10.3725,Scuola Mountain Bike Bormio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/scuola_mountain_bike_bormio_46.4618_10.3725.json,custom
46.462387,10.372470,ov_scuola_sci_fondo_alta_valtellina_46.4624_10.3725,Scuola Sci Fondo Alta Valtellina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/scuola_sci_fondo_alta_valtellina_46.4624_10.3725.json,custom
46.466925,10.374381,ov_rifugio_pilates_46.4669_10.3744,Rifugio Pilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/rifugio_pilates_46.4669_10.3744.json,custom
46.467085,10.374606,ov_scuola_sci_international_ski_school_borm_46.4671_10.3746,Scuola Sci International Ski School Bormio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/scuola_sci_international_ski_school_borm_46.4671_10.3746.json,custom
46.467678,10.362706,ov_alpi4000_46.4677_10.3627,Alpi4000,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/alpi4000_46.4677_10.3627.json,custom
46.467545,10.361278,ov_campo_sportivo_bormio_comunale___atletic_46.4675_10.3613,Campo Sportivo Bormio Comunale - atletica,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/campo_sportivo_bormio_comunale_-_atletic_46.4675_10.3613.json,custom
46.468172,10.360450,ov_palestra_bormio_fitness_46.4682_10.3604,Palestra Bormio Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/palestra_bormio_fitness_46.4682_10.3604.json,custom
46.474768,10.363337,ov_bormio_golf_club_46.4748_10.3633,Bormio Golf Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/bormio_golf_club_46.4748_10.3633.json,custom
46.467073,10.375413,ov_scuola_sci_sertorelli_46.4671_10.3754,Scuola Sci Sertorelli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/scuola_sci_sertorelli_46.4671_10.3754.json,custom
46.467059,10.375289,ov_scuola_sci_contea_di_bormio_46.4671_10.3753,Scuola Sci Contea di Bormio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/scuola_sci_contea_di_bormio_46.4671_10.3753.json,custom
46.460359,10.381030,ov_pista_stelvio_46.4604_10.3810,Pista Stelvio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/pista_stelvio_46.4604_10.3810.json,custom
46.474503,10.370048,ov_museo_mineralogico_e_naturalistico_di_bo_46.4745_10.3700,Museo Mineralogico e Naturalistico di Bormio,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/museo_mineralogico_e_naturalistico_di_bo_46.4745_10.3700.json,custom
46.469445,10.376245,ov_museo_civico_di_bormio___stua_granda_46.4694_10.3762,Museo Civico di Bormio - Stua Granda,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/museo_civico_di_bormio_-_stua_granda_46.4694_10.3762.json,custom
46.467887,10.368620,ov_biblioteca_civica_di_valfurva___pagina_f_46.4679_10.3686,Biblioteca civica di Valfurva - Pagina FB,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/biblioteca_civica_di_valfurva_-_pagina_f_46.4679_10.3686.json,custom
46.467383,10.377691,osm_biblioteca_sertorio_46.4674_10.3777,Biblioteca Sertorio,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/biblioteca_sertorio_46.4674_10.3777.json,custom
46.464756,10.373230,ov_umami_46.4648_10.3732,umami,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bormio/pages/umami_46.4648_10.3732.json,custom
