# lat,lng,id,name,building_type,type,url,page_type
# Noventa Vicentina -- Tutti
45.293209,11.535941,ov_ospedale_di_noventa_vicentina_45.2932_11.5359,Ospedale di Noventa Vicentina,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/ospedale_di_noventa_vicentina_45.2932_11.5359.json,custom
45.290624,11.539305,ov_fuori_casa_45.2906_11.5393,Fuori Casa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/fuori_casa_45.2906_11.5393.json,custom
45.290095,11.537797,ov_ristorante_pizzeria_la_busa_45.2901_11.5378,Ristorante Pizzeria La Busa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/ristorante_pizzeria_la_busa_45.2901_11.5378.json,custom
45.291230,11.536767,ov_foxy_fox_45.2912_11.5368,Foxy Fox,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/foxy_fox_45.2912_11.5368.json,custom
45.291902,11.539738,ov_focacceria_ligure_45.2919_11.5397,Focacceria Ligure,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/focacceria_ligure_45.2919_11.5397.json,custom
45.293196,11.535805,ov_serenissima_ristorazione_45.2932_11.5358,Serenissima Ristorazione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/serenissima_ristorazione_45.2932_11.5358.json,custom
45.291982,11.535822,ov_hotel_ristorante_gelateria_da_romagnolo_45.2920_11.5358,Hotel Ristorante Gelateria da Romagnolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/hotel_ristorante_gelateria_da_romagnolo_45.2920_11.5358.json,custom
45.297808,11.534088,ov_leon_d_oro_sushi_45.2978_11.5341,Leon D'Oro Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/leon_doro_sushi_45.2978_11.5341.json,custom
45.310435,11.553027,ov_agriturismo_spinosa_45.3104_11.5530,Agriturismo Spinosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/agriturismo_spinosa_45.3104_11.5530.json,custom
45.288094,11.535429,osm_valentino_s_pizza_45.2881_11.5354,Valentino's Pizza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/valentinos_pizza_45.2881_11.5354.json,custom
45.291915,11.535863,osm_albergo_ristorante_romagnolo_45.2919_11.5359,Albergo Ristorante Romagnolo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/albergo_ristorante_romagnolo_45.2919_11.5359.json,custom
45.290774,11.540810,osm_pizzeria_la_rustica_45.2908_11.5408,Pizzeria La Rustica,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/pizzeria_la_rustica_45.2908_11.5408.json,custom
45.289912,11.537291,osm_pizzeria_d_asporto_45.2899_11.5373,Pizzeria d'Asporto,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/pizzeria_dasporto_45.2899_11.5373.json,custom
45.291512,11.542566,osm_pizzeria_vecchia_stazione_45.2915_11.5426,Pizzeria Vecchia Stazione,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/pizzeria_vecchia_stazione_45.2915_11.5426.json,custom
45.292000,11.544853,osm_pizzeria_al_taglio_drive_in_45.2920_11.5449,Pizzeria al taglio Drive In,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/pizzeria_al_taglio_drive_in_45.2920_11.5449.json,custom
45.288186,11.534802,ov_caf__chalet_45.2882_11.5348,Cafè Chalet,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/caf_chalet_45.2882_11.5348.json,custom
45.289133,11.536812,ov_bar_quadrifoglio_45.2891_11.5368,Bar Quadrifoglio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/bar_quadrifoglio_45.2891_11.5368.json,custom
45.294187,11.552068,ov_v_di_vino_45.2942_11.5521,V di Vino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/v_di_vino_45.2942_11.5521.json,custom
45.296850,11.554406,ov_caffe_noventa_45.2968_11.5544,Caffe Noventa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/caffe_noventa_45.2968_11.5544.json,custom
45.296095,11.554082,ov_open_space_45.2961_11.5541,Open Space,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/open_space_45.2961_11.5541.json,custom
45.292041,11.543397,ov_bar_stazione_45.2920_11.5434,Bar Stazione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/bar_stazione_45.2920_11.5434.json,custom
45.290732,11.540429,ov_bar_ai_portici_45.2907_11.5404,Bar ai portici,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/bar_ai_portici_45.2907_11.5404.json,custom
45.291026,11.539174,ov_caff__busetta_45.2910_11.5392,Caffè Busetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/caff_busetta_45.2910_11.5392.json,custom
45.290109,11.538389,ov_bar_da_nico_e_silvia_45.2901_11.5384,Bar da Nico e Silvia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/bar_da_nico_e_silvia_45.2901_11.5384.json,custom
45.290576,11.536705,ov_birroteca_beer_bunny_45.2906_11.5367,Birroteca Beer Bunny,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/birroteca_beer_bunny_45.2906_11.5367.json,custom
45.290850,11.537902,ov_bar_san_vito_45.2908_11.5379,Bar San Vito,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/bar_san_vito_45.2908_11.5379.json,custom
45.289837,11.537360,osm_bar_centrale_45.2898_11.5374,Bar Centrale,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/bar_centrale_45.2898_11.5374.json,custom
45.289393,11.537026,osm_gelateria_45.2894_11.5370,Gelateria,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/gelateria_45.2894_11.5370.json,custom
45.291668,11.541563,osm_garage_caf__45.2917_11.5416,Garage Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/garage_caf_45.2917_11.5416.json,custom
45.288548,11.532417,ov_personal_fitness_studio_45.2885_11.5324,Personal Fitness Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/personal_fitness_studio_45.2885_11.5324.json,custom
45.288944,11.530296,ov_comancheros_group_s_r_l__45.2889_11.5303,Comancheros Group S.R.L.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/comancheros_group_srl_45.2889_11.5303.json,custom
45.289592,11.531954,ov_palestra_revolution_fitness_45.2896_11.5320,Palestra Revolution Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/palestra_revolution_fitness_45.2896_11.5320.json,custom
45.286270,11.539299,ov_a_s_d__noventa_fitness___centro_fitness__45.2863_11.5393,A.S.D. Noventa Fitness | Centro Fitness e Benessere,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/asd_noventa_fitness_centro_fitness_e_ben_45.2863_11.5393.json,custom
45.290028,11.537554,ov_studio_alma_45.2900_11.5376,Studio Alma,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/studio_alma_45.2900_11.5376.json,custom
45.297219,11.553566,ov_oltre_la_danza_45.2972_11.5536,Oltre la Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/oltre_la_danza_45.2972_11.5536.json,custom
45.293160,11.536860,ov_bodymind_studio_pilates_45.2932_11.5369,Bodymind Studio Pilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/bodymind_studio_pilates_45.2932_11.5369.json,custom
45.290209,11.530506,ov_decimo_grado_climbing_45.2902_11.5305,Decimo Grado Climbing,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/decimo_grado_climbing_45.2902_11.5305.json,custom
45.291732,11.539523,osm_poste_italiane_45.2917_11.5395,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/poste_italiane_45.2917_11.5395.json,custom
45.292760,11.537560,ov_biblioteca_comunale_di_noventa_vicentina_45.2928_11.5376,Biblioteca Comunale di Noventa Vicentina,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/noventa_vicentina/pages/biblioteca_comunale_di_noventa_vicentina_45.2928_11.5376.json,custom
