# lat,lng,id,name,building_type,type,url,page_type
# Campiglia Marittima -- Tutti
43.023344,10.550725,ov_i_gelsi_ristorante_pizzeria_43.0233_10.5507,I Gelsi Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/i_gelsi_ristorante_pizzeria_43.0233_10.5507.json,custom
43.017456,10.590280,ov_autogrill_43.0175_10.5903,Autogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/autogrill_43.0175_10.5903.json,custom
43.023371,10.608932,ov_mezzo_km_43.0234_10.6089,Mezzo Km,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/mezzo_km_43.0234_10.6089.json,custom
43.025525,10.605637,ov_ristorante_otello_2_0_43.0255_10.6056,Ristorante Otello 2.0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/ristorante_otello_20_43.0255_10.6056.json,custom
43.024784,10.606512,ov_carnaby_street_43.0248_10.6065,Carnaby Street,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/carnaby_street_43.0248_10.6065.json,custom
43.026019,10.609741,ov_easy_pizza_43.0260_10.6097,Easy Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/easy_pizza_43.0260_10.6097.json,custom
43.027106,10.604011,ov_trattoria_dalle_bimbe_43.0271_10.6040,Trattoria dalle Bimbe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/trattoria_dalle_bimbe_43.0271_10.6040.json,custom
43.027103,10.603841,ov_re_e_regina_soffi_di_pizza_43.0271_10.6038,RE e REGINA Soffi di Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/re_e_regina_soffi_di_pizza_43.0271_10.6038.json,custom
43.027687,10.603298,ov_mastica_l_hamburgheria_43.0277_10.6033,Mastica L'Hamburgheria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/mastica_lhamburgheria_43.0277_10.6033.json,custom
43.027599,10.603439,ov_pak_doner_kebab_43.0276_10.6034,Pak Doner Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/pak_doner_kebab_43.0276_10.6034.json,custom
43.028294,10.602725,ov_la_bottega_di_mezzo_43.0283_10.6027,La Bottega di Mezzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/la_bottega_di_mezzo_43.0283_10.6027.json,custom
43.028369,10.602557,ov_ristorante_pizzeria_elena_43.0284_10.6026,Ristorante Pizzeria Elena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/ristorante_pizzeria_elena_43.0284_10.6026.json,custom
43.028821,10.603070,ov_family_world_43.0288_10.6031,Family World,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/family_world_43.0288_10.6031.json,custom
43.029439,10.601230,ov_scelto_pizzeria_43.0294_10.6012,Scelto Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/scelto_pizzeria_43.0294_10.6012.json,custom
43.029703,10.601804,ov_pizzeria_l_orla_43.0297_10.6018,Pizzeria L'Orla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/pizzeria_lorla_43.0297_10.6018.json,custom
43.029575,10.601206,ov_pizza_mania_43.0296_10.6012,Pizza Mania,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/pizza_mania_43.0296_10.6012.json,custom
43.034216,10.604542,ov_bar_ristorante_4_strade_43.0342_10.6045,Bar Ristorante 4 Strade,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/bar_ristorante_4_strade_43.0342_10.6045.json,custom
43.032215,10.694360,ov_podere_pietravento_43.0322_10.6944,Podere Pietravento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/podere_pietravento_43.0322_10.6944.json,custom
43.021100,10.693970,ov_come_a_casa_home_restaurant_43.0211_10.6940,Come a Casa Home Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/come_a_casa_home_restaurant_43.0211_10.6940.json,custom
43.003456,10.611454,ov_autogrill_43.0035_10.6115,Autogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/autogrill_43.0035_10.6115.json,custom
43.004572,10.631866,ov_da_alcide_43.0046_10.6319,Da Alcide,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/da_alcide_43.0046_10.6319.json,custom
43.003332,10.633620,ov_vitello_d_oro_43.0033_10.6336,Vitello D'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/vitello_doro_43.0033_10.6336.json,custom
43.543910,10.303000,ov_sushiko_livorno_43.5439_10.3030,Sushiko Livorno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/sushiko_livorno_43.5439_10.3030.json,custom
43.023255,10.550716,osm_i_gelsi_ristorante___pizzeria_43.0233_10.5507,I Gelsi Ristorante - Pizzeria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/i_gelsi_ristorante_-_pizzeria_43.0233_10.5507.json,custom
43.060849,10.615344,ov_nesci_bar_43.0608_10.6153,Nesci Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/nesci_bar_43.0608_10.6153.json,custom
43.059771,10.616711,ov_57021_beer_shop_43.0598_10.6167,57021 Beer Shop,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/57021_beer_shop_43.0598_10.6167.json,custom
43.059823,10.617064,ov_il_goccetto_vino_e_taglieri_43.0598_10.6171,Il Goccetto Vino E Taglieri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/il_goccetto_vino_e_taglieri_43.0598_10.6171.json,custom
43.059875,10.616741,ov_bar_la_panca_43.0599_10.6167,Bar La Panca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/bar_la_panca_43.0599_10.6167.json,custom
43.059599,10.616780,ov_bacco_bar_43.0596_10.6168,Bacco Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/bacco_bar_43.0596_10.6168.json,custom
43.042480,10.638005,ov_wine_bar_l_innesto_43.0425_10.6380,Wine Bar L'innesto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/wine_bar_linnesto_43.0425_10.6380.json,custom
43.058820,10.617424,ov_bar_attolo_43.0588_10.6174,Bar'attolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/barattolo_43.0588_10.6174.json,custom
43.059129,10.570644,ov_lq___le_querce___wine_tasting_43.0591_10.5706,LQ - Le Querce - Wine Tasting,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/lq_-_le_querce_-_wine_tasting_43.0591_10.5706.json,custom
43.029247,10.598616,ov_bar_ribot_43.0292_10.5986,Bar Ribot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/bar_ribot_43.0292_10.5986.json,custom
43.017110,10.586900,ov_bar_b_b_stazione_di_campiglia_43.0171_10.5869,Bar B&B Stazione di Campiglia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/bar_bb_stazione_di_campiglia_43.0171_10.5869.json,custom
43.026119,10.609186,ov_dolce_caffe_43.0261_10.6092,Dolce Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/dolce_caffe_43.0261_10.6092.json,custom
43.026802,10.604182,ov_roxy_bar_43.0268_10.6042,Roxy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/roxy_bar_43.0268_10.6042.json,custom
43.027423,10.603700,ov_il_corridoio_43.0274_10.6037,Il Corridoio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/il_corridoio_43.0274_10.6037.json,custom
43.027798,10.602942,ov_bar_tabacchi_buccianti_roberto_43.0278_10.6029,Bar Tabacchi Buccianti Roberto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/bar_tabacchi_buccianti_roberto_43.0278_10.6029.json,custom
43.028768,10.601713,ov_blu_bar_43.0288_10.6017,Blu Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/blu_bar_43.0288_10.6017.json,custom
43.028957,10.601218,ov_pasticceria_la_delizia_43.0290_10.6012,pasticceria la delizia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/pasticceria_la_delizia_43.0290_10.6012.json,custom
43.029403,10.600997,ov_alla_corte_dei_libri_art_cafe_43.0294_10.6010,Alla Corte dei Libri Art Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/alla_corte_dei_libri_art_cafe_43.0294_10.6010.json,custom
43.029313,10.601282,ov_la_vineria_43.0293_10.6013,La Vineria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/la_vineria_43.0293_10.6013.json,custom
43.029711,10.600589,ov_caff__vittoria_43.0297_10.6006,Caffè Vittoria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/caff_vittoria_43.0297_10.6006.json,custom
43.035631,10.602810,ov_bar_la_locomotiva_di_pesola_angela_43.0356_10.6028,BAR La Locomotiva di Pesola Angela,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/bar_la_locomotiva_di_pesola_angela_43.0356_10.6028.json,custom
43.080030,10.632417,ov_monte_calvi_enduro_area___campiglia_mari_43.0800_10.6324,Monte Calvi Enduro Area - Campiglia Marittima,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/monte_calvi_enduro_area_-_campiglia_mari_43.0800_10.6324.json,custom
43.036432,10.592719,ov_armoniosamente_healthy_studio_43.0364_10.5927,ArmoniosaMente Healthy Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/armoniosamente_healthy_studio_43.0364_10.5927.json,custom
43.034199,10.598961,ov_new_artedanza_polisportiva_venturina_ter_43.0342_10.5990,New ArteDanza Polisportiva Venturina Terme,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campiglia_marittima/pages/new_artedanza_polisportiva_venturina_ter_43.0342_10.5990.json,custom
