# lat,lng,id,name,building_type,type,url,page_type
# Pinzolo -- Tutti
46.219305,10.822444,ov_centro_traumatologico_madonna_di_campigl_46.2193_10.8224,Centro Traumatologico Madonna di Campiglio,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/centro_traumatologico_madonna_di_campigl_46.2193_10.8224.json,custom
46.226005,10.825898,ov_ristorante_stube_rosengarten_46.2260_10.8259,Ristorante Stube ROSENGARTEN,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/ristorante_stube_rosengarten_46.2260_10.8259.json,custom
46.225884,10.825965,ov_sparkling_lounge_bar___restaurant_46.2259_10.8260,Sparkling Lounge Bar & Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/sparkling_lounge_bar_restaurant_46.2259_10.8260.json,custom
46.174368,10.800224,ov_ristorante_malga_cioca_46.1744_10.8002,Ristorante Malga Cioca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/ristorante_malga_cioca_46.1744_10.8002.json,custom
46.159044,10.763915,osm_la_roda_46.1590_10.7639,La Roda,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/la_roda_46.1590_10.7639.json,custom
46.156994,10.766128,ov_caff__genzianella_46.1570_10.7661,Caffè Genzianella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/caff_genzianella_46.1570_10.7661.json,custom
46.157465,10.765348,ov_bagat_pinzolo_46.1575_10.7653,Bagat Pinzolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/bagat_pinzolo_46.1575_10.7653.json,custom
46.158159,10.766010,ov_bar_aquila_nera_46.1582_10.7660,Bar Aquila Nera,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/bar_aquila_nera_46.1582_10.7660.json,custom
46.158181,10.765863,ov_bar_nazionale_pinzolo_46.1582_10.7659,Bar Nazionale Pinzolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/bar_nazionale_pinzolo_46.1582_10.7659.json,custom
46.158626,10.765638,ov_bar_gelateria_rustik_46.1586_10.7656,Bar Gelateria Rustik,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/bar_gelateria_rustik_46.1586_10.7656.json,custom
46.162456,10.765661,ov_bar_snack_rock_cafe_46.1625_10.7657,Bar Snack Rock Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/bar_snack_rock_cafe_46.1625_10.7657.json,custom
46.159055,10.763974,ov_cafe_marconi_da_bono_46.1591_10.7640,Cafe Marconi da Bono,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/cafe_marconi_da_bono_46.1591_10.7640.json,custom
46.158730,10.761750,ov_blu_bar_vania_pinzolo_46.1587_10.7617,Blu Bar Vania Pinzolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/blu_bar_vania_pinzolo_46.1587_10.7617.json,custom
46.155833,10.759941,ov_bocciodromo_music_drink___food_46.1558_10.7599,Bocciodromo Music Drink & Food,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/bocciodromo_music_drink_food_46.1558_10.7599.json,custom
46.169941,10.766850,ov_birrificio_val_rendena_46.1699_10.7669,Birrificio Val Rendena,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/birrificio_val_rendena_46.1699_10.7669.json,custom
46.185708,10.776657,ov_speck_stube_alimonta_46.1857_10.7767,Speck Stube Alimonta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/speck_stube_alimonta_46.1857_10.7767.json,custom
46.228759,10.828896,ov_ober_1_46.2288_10.8289,Ober 1,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/ober_1_46.2288_10.8289.json,custom
46.228077,10.827788,ov_bar_chalet_laghetto_46.2281_10.8278,Bar Chalet Laghetto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/bar_chalet_laghetto_46.2281_10.8278.json,custom
46.228492,10.826653,ov_enoteca_il_rustico_ballardini_46.2285_10.8267,Enoteca il Rustico Ballardini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/enoteca_il_rustico_ballardini_46.2285_10.8267.json,custom
46.228475,10.826644,ov_caff__alpi_46.2285_10.8266,Caffè Alpi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/caff_alpi_46.2285_10.8266.json,custom
46.228570,10.826705,ov_rifugio_cinque_laghi_2050_altitudine_46.2286_10.8267,Rifugio Cinque Laghi 2050 altitudine,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/rifugio_cinque_laghi_2050_altitudine_46.2286_10.8267.json,custom
46.229870,10.826655,ov_piazza_sissi_46.2299_10.8267,Piazza Sissi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/piazza_sissi_46.2299_10.8267.json,custom
46.230551,10.827019,ov_ristorante_montagnoli_46.2306_10.8270,Ristorante Montagnoli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/ristorante_montagnoli_46.2306_10.8270.json,custom
46.230896,10.826888,ov_bar_suisse_46.2309_10.8269,Bar Suisse,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/bar_suisse_46.2309_10.8269.json,custom
46.231038,10.827651,ov_enoteca_54_46.2310_10.8277,Enoteca 54,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/enoteca_54_46.2310_10.8277.json,custom
46.230794,10.827528,ov_54_caf__madonna_di_campiglio_46.2308_10.8275,54 CAFè_Madonna di Campiglio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/54_cafmadonna_di_campiglio_46.2308_10.8275.json,custom
46.230801,10.826465,ov_cafe_campiglio_46.2308_10.8265,Cafe Campiglio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/cafe_campiglio_46.2308_10.8265.json,custom
46.232695,10.826489,ov_bar_paninoteca_46.2327_10.8265,Bar Paninoteca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/bar_paninoteca_46.2327_10.8265.json,custom
46.231827,10.827455,ov_san_carlo_cafe_gelateria_pasticceria_46.2318_10.8275,San Carlo Cafe Gelateria Pasticceria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/san_carlo_cafe_gelateria_pasticceria_46.2318_10.8275.json,custom
46.231911,10.827300,ov_cafe_d_or_46.2319_10.8273,Cafe D'or,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/cafe_dor_46.2319_10.8273.json,custom
46.237009,10.836291,ov_lab_apres_ski_46.2370_10.8363,Lab Apres-ski,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/lab_apres-ski_46.2370_10.8363.json,custom
46.223922,10.824080,ov_birrificio_alpino_46.2239_10.8241,Birrificio Alpino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/birrificio_alpino_46.2239_10.8241.json,custom
46.213820,10.806533,ov_baita_patascoss_46.2138_10.8065,Baita Patascoss,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/baita_patascoss_46.2138_10.8065.json,custom
46.158878,10.765810,ov_trentino_ski_emotion_46.1589_10.7658,Trentino Ski Emotion,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/trentino_ski_emotion_46.1589_10.7658.json,custom
46.163470,10.765664,ov_scuola_italiana_sci_pinzolo_46.1635_10.7657,Scuola Italiana Sci Pinzolo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/scuola_italiana_sci_pinzolo_46.1635_10.7657.json,custom
46.245591,10.845127,ov_centro_fondo_campo_carlo_magno_46.2456_10.8451,Centro Fondo Campo Carlo Magno,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/centro_fondo_campo_carlo_magno_46.2456_10.8451.json,custom
46.228572,10.829211,ov_spinale_direttissima_madonna_di_campigli_46.2286_10.8292,Spinale Direttissima Madonna Di Campiglio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/spinale_direttissima_madonna_di_campigli_46.2286_10.8292.json,custom
46.227165,10.826611,ov_noleggio_sci_alta_quota_46.2272_10.8266,Noleggio Sci Alta Quota,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/noleggio_sci_alta_quota_46.2272_10.8266.json,custom
46.230228,10.826161,ov_scuola_italiana_sci_5_laghi_46.2302_10.8262,Scuola Italiana Sci 5 Laghi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/scuola_italiana_sci_5_laghi_46.2302_10.8262.json,custom
46.229671,10.827703,ov_palestra_campiglio_46.2297_10.8277,Palestra Campiglio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/palestra_campiglio_46.2297_10.8277.json,custom
46.230855,10.827140,ov_scuola_italiana_sci_nazionale_des_alpes_46.2309_10.8271,Scuola Italiana Sci Nazionale Des Alpes,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/scuola_italiana_sci_nazionale_des_alpes_46.2309_10.8271.json,custom
46.230806,10.826435,ov_scuola_italiana_sci___snowboard_k2_46.2308_10.8264,Scuola Italiana Sci & Snowboard K2,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/scuola_italiana_sci_snowboard_k2_46.2308_10.8264.json,custom
46.230860,10.826313,ov_scuola_italiana_snowboard_zebra_46.2309_10.8263,Scuola Italiana Snowboard Zebra,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/scuola_italiana_snowboard_zebra_46.2309_10.8263.json,custom
46.232119,10.825457,ov_italian_ski_school_adamello_brenta_46.2321_10.8255,Italian Ski School Adamello Brenta,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/italian_ski_school_adamello_brenta_46.2321_10.8255.json,custom
46.232065,10.827635,ov_sport_elite_school_46.2321_10.8276,Sport Elite School,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/sport_elite_school_46.2321_10.8276.json,custom
46.232112,10.827288,ov_scuola_italiana_snowboard_the_garden_46.2321_10.8273,Scuola Italiana Snowboard The Garden,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/scuola_italiana_snowboard_the_garden_46.2321_10.8273.json,custom
46.231924,10.827211,ov_italian_ski_and_snowboard_school_rainalt_46.2319_10.8272,Italian Ski and Snowboard School Rainalter,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/italian_ski_and_snowboard_school_rainalt_46.2319_10.8272.json,custom
46.242912,10.839701,ov_scuola_sci___snowboard_ccm_campiglio_46.2429_10.8397,Scuola Sci & Snowboard CCM Campiglio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/scuola_sci_snowboard_ccm_campiglio_46.2429_10.8397.json,custom
46.224969,10.824702,ov_campiglio_golf_academy_46.2250_10.8247,Campiglio Golf Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/campiglio_golf_academy_46.2250_10.8247.json,custom
46.225258,10.826854,ov_madona_di_campilo_46.2253_10.8269,Madona Di Campilo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/madona_di_campilo_46.2253_10.8269.json,custom
46.155786,10.767159,ov_biblioteca_pinzolo_spiazzo_madonna_di_ca_46.1558_10.7672,Biblioteca Pinzolo Spiazzo Madonna di Campiglio,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pinzolo/pages/biblioteca_pinzolo_spiazzo_madonna_di_ca_46.1558_10.7672.json,custom
