# lat,lng,id,name,building_type,type,url,page_type
# Bobbio -- Tutti
44.770311,9.385929,ov_ospedale_di_bobbio_44.7703_9.3859,Ospedale di Bobbio,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bobbio/pages/ospedale_di_bobbio_44.7703_9.3859.json,custom
44.808444,9.427831,ov_albergo_da_ranella_44.8084_9.4278,Albergo da Ranella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bobbio/pages/albergo_da_ranella_44.8084_9.4278.json,custom
44.824271,9.434862,ov_pizzeria_nikita_44.8243_9.4349,Pizzeria Nikita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bobbio/pages/pizzeria_nikita_44.8243_9.4349.json,custom
44.833706,9.436795,ov_albergo_ristorante_filietto_44.8337_9.4368,Albergo Ristorante Filietto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bobbio/pages/albergo_ristorante_filietto_44.8337_9.4368.json,custom
44.816324,9.451344,osm_ca__del_sart__44.8163_9.4513,Ca' del Sartù,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bobbio/pages/ca_del_sart_44.8163_9.4513.json,custom
44.772855,9.387474,ov_bar_caffetteria_mondani_44.7729_9.3875,Bar Caffetteria Mondani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bobbio/pages/bar_caffetteria_mondani_44.7729_9.3875.json,custom
44.769224,9.386008,ov_bar_pizzeria_carola_44.7692_9.3860,Bar Pizzeria Carola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bobbio/pages/bar_pizzeria_carola_44.7692_9.3860.json,custom
44.769624,9.385920,ov_bar_gelateria_chiosco_44.7696_9.3859,Bar Gelateria Chiosco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bobbio/pages/bar_gelateria_chiosco_44.7696_9.3859.json,custom
44.771671,9.386556,ov_bar_trattoria_gold_44.7717_9.3866,Bar trattoria Gold,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bobbio/pages/bar_trattoria_gold_44.7717_9.3866.json,custom
44.767135,9.387218,ov_pd_caf__44.7671_9.3872,Pd Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bobbio/pages/pd_caf_44.7671_9.3872.json,custom
44.767261,9.387070,ov_bar_pasticceria_davico_44.7673_9.3871,Bar Pasticceria Davico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bobbio/pages/bar_pasticceria_davico_44.7673_9.3871.json,custom
44.767143,9.387309,ov_caff__davico_44.7671_9.3873,Caffè Davico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bobbio/pages/caff_davico_44.7671_9.3873.json,custom
44.767851,9.386158,ov_caffetteria_bar_tavernetta_44.7679_9.3862,Caffetteria Bar Tavernetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bobbio/pages/caffetteria_bar_tavernetta_44.7679_9.3862.json,custom
44.767601,9.386814,ov_il_caff__bistrot_di_draghi_marina_44.7676_9.3868,Il Caffè Bistrot di Draghi Marina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bobbio/pages/il_caff_bistrot_di_draghi_marina_44.7676_9.3868.json,custom
44.767094,9.386726,ov_bar_tornari_44.7671_9.3867,Bar Tornari,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bobbio/pages/bar_tornari_44.7671_9.3867.json,custom
44.767093,9.385852,ov_bobbio_contrada_delle_botteghe_44.7671_9.3859,Bobbio contrada delle botteghe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bobbio/pages/bobbio_contrada_delle_botteghe_44.7671_9.3859.json,custom
44.767000,9.387454,osm_il_duomo_caf__44.7670_9.3875,Il Duomo Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bobbio/pages/il_duomo_caf_44.7670_9.3875.json,custom
44.789630,9.343660,ov_passo_penice_sci_44.7896_9.3437,PASSO Penice SCI,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bobbio/pages/passo_penice_sci_44.7896_9.3437.json,custom
44.767962,9.383001,ov_castello_malaspina_dal_verme_44.7680_9.3830,Castello Malaspina dal Verme,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bobbio/pages/castello_malaspina_dal_verme_44.7680_9.3830.json,custom
44.769520,9.386015,ov_castello_di_bobbio_44.7695_9.3860,Castello di Bobbio,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bobbio/pages/castello_di_bobbio_44.7695_9.3860.json,custom
44.767337,9.385954,ov_museo_collezione_mazzolini_44.7673_9.3860,Museo Collezione Mazzolini,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bobbio/pages/museo_collezione_mazzolini_44.7673_9.3860.json,custom
44.809692,9.455093,ov_museo_etnografico_val_trebbia_44.8097_9.4551,Museo Etnografico Val Trebbia,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bobbio/pages/museo_etnografico_val_trebbia_44.8097_9.4551.json,custom
