# lat,lng,id,name,building_type,type,url,page_type
# Gualdo Tadino -- Tutti
43.233900,12.781920,ov_punto_di_ascolto_ospedale_di_branca___ci_43.2339_12.7819,Punto Di Ascolto Ospedale Di Branca - Circolo Acli ora Et La,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/punto_di_ascolto_ospedale_di_branca_-_ci_43.2339_12.7819.json,custom
43.231989,12.785314,ov_hostaria_da_baccus_43.2320_12.7853,Hostaria Da Baccus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/hostaria_da_baccus_43.2320_12.7853.json,custom
43.231566,12.785192,ov_ristorante_gigiotto_43.2316_12.7852,Ristorante Gigiotto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/ristorante_gigiotto_43.2316_12.7852.json,custom
43.231409,12.783832,ov_taverna_di_porta_san_benedetto_43.2314_12.7838,Taverna di Porta San Benedetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/taverna_di_porta_san_benedetto_43.2314_12.7838.json,custom
43.231822,12.782971,ov_pizzeria_tazmania_43.2318_12.7830,Pizzeria Tazmania,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/pizzeria_tazmania_43.2318_12.7830.json,custom
43.234147,12.777874,ov_eurofocaccia_pizzeria_gualdo_tadino_43.2341_12.7779,Eurofocaccia Pizzeria Gualdo Tadino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/eurofocaccia_pizzeria_gualdo_tadino_43.2341_12.7779.json,custom
43.233760,12.775519,ov_big_boss_burger_43.2338_12.7755,Big Boss Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/big_boss_burger_43.2338_12.7755.json,custom
43.232967,12.775418,ov_la_dietista_dott_ssa_elisa_bazzucchi_43.2330_12.7754,La Dietista-Dott.ssa Elisa Bazzucchi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/la_dietista-dottssa_elisa_bazzucchi_43.2330_12.7754.json,custom
43.233425,12.777011,ov_pizzidea_gualdo_tadino_43.2334_12.7770,Pizzidea Gualdo Tadino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/pizzidea_gualdo_tadino_43.2334_12.7770.json,custom
43.233908,12.765348,ov_piadina_piu_43.2339_12.7653,Piadina Piu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/piadina_piu_43.2339_12.7653.json,custom
43.232908,12.759710,ov_piadina_piu_43.2329_12.7597,Piadina Piu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/piadina_piu_43.2329_12.7597.json,custom
43.234847,12.788385,ov_agriturismo_antico_podere_ferruccio_43.2348_12.7884,Agriturismo Antico Podere Ferruccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/agriturismo_antico_podere_ferruccio_43.2348_12.7884.json,custom
43.238327,12.774774,ov_pizzoteca_di_maracchini_maura_43.2383_12.7748,Pizzoteca Di Maracchini Maura,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/pizzoteca_di_maracchini_maura_43.2383_12.7748.json,custom
43.237146,12.775251,ov_la_grande_cina_43.2371_12.7753,La Grande Cina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/la_grande_cina_43.2371_12.7753.json,custom
43.241151,12.781809,ov_la_terrazza_di_san_guido_43.2412_12.7818,La Terrazza di San Guido,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/la_terrazza_di_san_guido_43.2412_12.7818.json,custom
43.237887,12.725580,ov_agriturismo_il_casalino_43.2379_12.7256,Agriturismo Il Casalino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/agriturismo_il_casalino_43.2379_12.7256.json,custom
43.175996,12.784988,ov_blue_garden_pizzeria_trattoria_43.1760_12.7850,Blue garden pizzeria trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/blue_garden_pizzeria_trattoria_43.1760_12.7850.json,custom
43.180695,12.782617,ov_picked_parrot_pizza_osteria_43.1807_12.7826,Picked Parrot Pizza Osteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/picked_parrot_pizza_osteria_43.1807_12.7826.json,custom
43.181209,12.785217,ov_tortuga_tavern_43.1812_12.7852,Tortuga Tavern,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/tortuga_tavern_43.1812_12.7852.json,custom
43.259395,12.814706,osm_ristorante_da_clelia_43.2594_12.8147,Ristorante da Clelia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/ristorante_da_clelia_43.2594_12.8147.json,custom
43.244638,12.770539,ov_roxybar_43.2446_12.7705,Roxybar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/roxybar_43.2446_12.7705.json,custom
43.256889,12.763866,ov_caffe_nuvolari_43.2569_12.7639,Caffe Nuvolari,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/caffe_nuvolari_43.2569_12.7639.json,custom
43.253404,12.765582,ov_1000_voglie_43.2534_12.7656,1000 Voglie,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/1000_voglie_43.2534_12.7656.json,custom
43.256756,12.777802,ov_cucco_s_pub_43.2568_12.7778,Cucco's Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/cuccos_pub_43.2568_12.7778.json,custom
43.259940,12.767040,ov_circolo_acli_palazzo_mancinelli_43.2599_12.7670,Circolo ACLI Palazzo Mancinelli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/circolo_acli_palazzo_mancinelli_43.2599_12.7670.json,custom
43.255245,12.696887,ov_bar_da_checchino_43.2552_12.6969,Bar da Checchino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/bar_da_checchino_43.2552_12.6969.json,custom
43.262410,12.762740,ov_n_altro_passo_lounge_bar_43.2624_12.7627,N’Altro Passo Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/naltro_passo_lounge_bar_43.2624_12.7627.json,custom
43.215319,12.779172,ov_birrificio_artigianale_flea_43.2153_12.7792,Birrificio Artigianale Flea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/birrificio_artigianale_flea_43.2153_12.7792.json,custom
43.207854,12.786596,ov_davany_43.2079_12.7866,DaVany,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/davany_43.2079_12.7866.json,custom
43.230979,12.774472,ov_eden_bar_da_ciuffoletto_43.2310_12.7745,Eden Bar Da Ciuffoletto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/eden_bar_da_ciuffoletto_43.2310_12.7745.json,custom
43.231755,12.778294,ov_bellagio_bar_43.2318_12.7783,Bellagio Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/bellagio_bar_43.2318_12.7783.json,custom
43.230814,12.777362,ov_bar_biancospino_43.2308_12.7774,Bar Biancospino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/bar_biancospino_43.2308_12.7774.json,custom
43.230695,12.782855,ov_caffe_piazza_mazzini_43.2307_12.7829,Caffe Piazza Mazzini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/caffe_piazza_mazzini_43.2307_12.7829.json,custom
43.231158,12.784745,ov_bar_appennino_43.2312_12.7847,Bar Appennino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/bar_appennino_43.2312_12.7847.json,custom
43.231916,12.789255,ov_bar_giardino_43.2319_12.7893,Bar Giardino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/bar_giardino_43.2319_12.7893.json,custom
43.231374,12.785828,ov_caffe_del_corso_43.2314_12.7858,Caffe Del Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/caffe_del_corso_43.2314_12.7858.json,custom
43.231557,12.785801,ov_insolito_13_43.2316_12.7858,Insolito 13,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/insolito_13_43.2316_12.7858.json,custom
43.231770,12.783003,ov_bar_tadinum_43.2318_12.7830,Bar Tadinum,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/bar_tadinum_43.2318_12.7830.json,custom
43.231895,12.782282,ov_bar_dell_angolo_43.2319_12.7823,Bar dell'Angolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/bar_dellangolo_43.2319_12.7823.json,custom
43.233528,12.782661,ov_roadhouse_bar_43.2335_12.7827,Roadhouse Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/roadhouse_bar_43.2335_12.7827.json,custom
43.233803,12.782055,ov_el_grottino_43.2338_12.7821,El Grottino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/el_grottino_43.2338_12.7821.json,custom
43.234170,12.782150,ov_bar_osteria_da_mario_vineria_43.2342_12.7821,Bar Osteria da Mario vineria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/bar_osteria_da_mario_vineria_43.2342_12.7821.json,custom
43.234162,12.782396,ov_caff__nuvolari_di_maurizi_andrea_43.2342_12.7824,Caffè Nuvolari di Maurizi Andrea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/caff_nuvolari_di_maurizi_andrea_43.2342_12.7824.json,custom
43.234206,12.777345,ov_arkobaleno_bar_43.2342_12.7773,Arkobaleno Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/arkobaleno_bar_43.2342_12.7773.json,custom
43.234131,12.777176,ov_punto_caffe_di_commodi_43.2341_12.7772,Punto Caffe di Commodi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/punto_caffe_di_commodi_43.2341_12.7772.json,custom
43.233342,12.777473,ov_bar_chiaretta_43.2333_12.7775,Bar Chiaretta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/bar_chiaretta_43.2333_12.7775.json,custom
43.233206,12.770887,ov_cafedelmar_store_43.2332_12.7709,Cafedelmar Store,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/cafedelmar_store_43.2332_12.7709.json,custom
43.231800,12.747920,ov_cantina_la_spina_43.2318_12.7479,Cantina La Spina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/cantina_la_spina_43.2318_12.7479.json,custom
43.234847,12.788385,ov_bardellosport_l_altra_pizza_43.2348_12.7884,BardelloSport L'altra Pizza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/bardellosport_laltra_pizza_43.2348_12.7884.json,custom
43.237939,12.774213,ov_jonny_bar_gualdo_tadino_43.2379_12.7742,Jonny Bar Gualdo Tadino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/jonny_bar_gualdo_tadino_43.2379_12.7742.json,custom
43.239429,12.771384,ov_el_circoletto_43.2394_12.7714,El Circoletto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/el_circoletto_43.2394_12.7714.json,custom
43.239522,12.774144,ov_bar_sorriso_43.2395_12.7741,Bar Sorriso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/bar_sorriso_43.2395_12.7741.json,custom
43.177418,12.777494,ov_gaifana_snack_bar_43.1774_12.7775,Gaifana Snack Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/gaifana_snack_bar_43.1774_12.7775.json,custom
43.179520,12.799850,ov_la_sorgente_43.1795_12.7998,La Sorgente,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/la_sorgente_43.1795_12.7998.json,custom
43.231353,12.785822,osm_caff__del_corso_43.2314_12.7858,Caffè del Corso,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/caff_del_corso_43.2314_12.7858.json,custom
43.232045,12.789384,osm_bar_giardino__gelateria_artigianale_43.2320_12.7894,Bar Giardino, Gelateria Artigianale,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/bar_giardino_gelateria_artigianale_43.2320_12.7894.json,custom
43.255966,12.762644,ov_community_fitness_gualdo_tadino_43.2560_12.7626,Community Fitness Gualdo Tadino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/community_fitness_gualdo_tadino_43.2560_12.7626.json,custom
43.259170,12.768321,ov_cabeza_mala_asd_43.2592_12.7683,Cabeza Mala ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/cabeza_mala_asd_43.2592_12.7683.json,custom
43.214084,12.787217,ov_mathreex_43.2141_12.7872,Mathreex,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/mathreex_43.2141_12.7872.json,custom
43.233760,12.775519,ov_palestra_new_olimpia_43.2338_12.7755,Palestra New Olimpia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/palestra_new_olimpia_43.2338_12.7755.json,custom
43.233771,12.780092,ov_palestra_jungle_fit_43.2338_12.7801,Palestra Jungle Fit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/palestra_jungle_fit_43.2338_12.7801.json,custom
43.233237,12.773827,ov_umbria_ballet_gualdo_tadino_43.2332_12.7738,Umbria Ballet Gualdo Tadino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/umbria_ballet_gualdo_tadino_43.2332_12.7738.json,custom
43.232884,12.773758,ov_scuola_di_ballo_tadina_civitas_43.2329_12.7738,Scuola di ballo Tadina Civitas,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/scuola_di_ballo_tadina_civitas_43.2329_12.7738.json,custom
43.233979,12.754891,ov_suryanam_yoga_43.2340_12.7549,Suryanam Yoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/suryanam_yoga_43.2340_12.7549.json,custom
43.231537,12.787372,ov_museo_opificio_rubboli_43.2315_12.7874,Museo Opificio Rubboli,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/museo_opificio_rubboli_43.2315_12.7874.json,custom
43.231760,12.785800,ov_arcodelbacio_43.2318_12.7858,Arcodelbacio,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/arcodelbacio_43.2318_12.7858.json,custom
43.231844,12.785131,ov_museo_del_somaro_43.2318_12.7851,Museo del Somaro,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/museo_del_somaro_43.2318_12.7851.json,custom
43.231492,12.784507,ov_polo_museale_gualdo_tadino_43.2315_12.7845,Polo Museale Gualdo Tadino,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/polo_museale_gualdo_tadino_43.2315_12.7845.json,custom
43.231396,12.784090,ov_centrostudi_emigrazione_43.2314_12.7841,CentroStudi Emigrazione,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/centrostudi_emigrazione_43.2314_12.7841.json,custom
43.232756,12.786550,ov_congregazione_suore_oblate_del_bambino_g_43.2328_12.7866,Congregazione Suore Oblate del Bambino Gesù,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/congregazione_suore_oblate_del_bambino_g_43.2328_12.7866.json,custom
43.233176,12.788648,ov_rocca_flea_43.2332_12.7886,Rocca Flea,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/rocca_flea_43.2332_12.7886.json,custom
43.230867,12.782761,osm_poste_italiane_43.2309_12.7828,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/poste_italiane_43.2309_12.7828.json,custom
43.238657,12.773846,osm_poste_italiane_43.2387_12.7738,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/poste_italiane_43.2387_12.7738.json,custom
43.231600,12.781975,ov_biblioteca_comunale_gualdo_tadino_43.2316_12.7820,Biblioteca Comunale Gualdo Tadino,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/gualdo_tadino/pages/biblioteca_comunale_gualdo_tadino_43.2316_12.7820.json,custom
