# lat,lng,id,name,building_type,type,url,page_type
# augusta -- Tutti
37.220459,15.223252,ov_ospedale_militare___augusta_37.2205_15.2233,Ospedale Militare - Augusta,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/ospedale_militare_-_augusta_37.2205_15.2233.json,custom
37.283242,15.187304,ov_moplen_37.2832_15.1873,Moplen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/moplen_37.2832_15.1873.json,custom
37.282412,15.188441,ov_pizzeria_miramare_37.2824_15.1884,Pizzeria Miramare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/pizzeria_miramare_37.2824_15.1884.json,custom
37.282410,15.188449,ov_ristorante_stravento_37.2824_15.1884,Ristorante Stravento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/ristorante_stravento_37.2824_15.1884.json,custom
37.279735,15.190172,ov_pizzicotto_da_napoli_37.2797_15.1902,Pizzicotto da Napoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/pizzicotto_da_napoli_37.2797_15.1902.json,custom
37.276327,15.188922,ov_kofuku_sushi_fusion_37.2763_15.1889,Kofuku Sushi Fusion,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/kofuku_sushi_fusion_37.2763_15.1889.json,custom
37.270141,15.200498,ov_a_priurissa_37.2701_15.2005,A Priurissa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/a_priurissa_37.2701_15.2005.json,custom
37.271797,15.187534,ov_ristorante_michelangelo_brucoli_37.2718_15.1875,"Ristorante Michelangelo,Brucoli",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/ristorante_michelangelobrucoli_37.2718_15.1875.json,custom
37.271866,15.187239,ov_il_michelangelo_37.2719_15.1872,Il Michelangelo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/il_michelangelo_37.2719_15.1872.json,custom
37.258956,15.174169,ov_ristorante_pizzeria_l_antico_palmento_37.2590_15.1742,Ristorante Pizzeria L'Antico Palmento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/ristorante_pizzeria_lantico_palmento_37.2590_15.1742.json,custom
37.267672,15.216041,ov_a_massaria_37.2677_15.2160,A'massaria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/amassaria_37.2677_15.2160.json,custom
37.242300,15.253574,ov_bar_pizzeria_scacciateria_gelateria_faro_37.2423_15.2536,Bar Pizzeria Scacciateria Gelateria Faro S.Croce Solano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/bar_pizzeria_scacciateria_gelateria_faro_37.2423_15.2536.json,custom
37.242462,15.255278,ov_al_faro_37.2425_15.2553,AL FARO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/al_faro_37.2425_15.2553.json,custom
37.243736,15.255683,ov_flamingo_soul_sea_restaurant_37.2437_15.2557,Flamingo Soul Sea Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/flamingo_soul_sea_restaurant_37.2437_15.2557.json,custom
37.244527,15.248854,ov_archi_vuoti_37.2445_15.2489,Archi Vuoti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/archi_vuoti_37.2445_15.2489.json,custom
37.246803,15.246891,ov_balata_liscia_37.2468_15.2469,Balata Liscia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/balata_liscia_37.2468_15.2469.json,custom
37.251505,15.235246,ov_pizzeria_la_pergola_37.2515_15.2352,Pizzeria La Pergola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/pizzeria_la_pergola_37.2515_15.2352.json,custom
37.255573,15.230521,ov_panificio_del_monte_37.2556_15.2305,Panificio del Monte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/panificio_del_monte_37.2556_15.2305.json,custom
37.251694,15.204815,ov_losamigos_augusta_37.2517_15.2048,LosAmigos Augusta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/losamigos_augusta_37.2517_15.2048.json,custom
37.249939,15.218696,ov_mancia_e_tinni_futti_37.2499_15.2187,Mancia e Tinni Futti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/mancia_e_tinni_futti_37.2499_15.2187.json,custom
37.249179,15.218640,ov_creperia_hakuna_matata_37.2492_15.2186,Creperia Hakuna Matata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/creperia_hakuna_matata_37.2492_15.2186.json,custom
37.247699,15.222199,ov_paninoteca_bellaciao_37.2477_15.2222,Paninoteca_bellaciao,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/paninotecabellaciao_37.2477_15.2222.json,custom
37.247656,15.222205,ov_il_piccolo_forno_37.2477_15.2222,Il piccolo forno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/il_piccolo_forno_37.2477_15.2222.json,custom
37.247830,15.220920,ov_i_sapori_del_celiaco_37.2478_15.2209,I Sapori Del Celiaco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/i_sapori_del_celiaco_37.2478_15.2209.json,custom
37.247647,15.220262,ov_capriccio_ristorante_augusta_37.2476_15.2203,Capriccio Ristorante Augusta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/capriccio_ristorante_augusta_37.2476_15.2203.json,custom
37.248022,15.220598,ov_da_antonio_37.2480_15.2206,Da Antonio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/da_antonio_37.2480_15.2206.json,custom
37.247952,15.219241,ov_la_perla_pizzeria_37.2480_15.2192,La Perla Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/la_perla_pizzeria_37.2480_15.2192.json,custom
37.246447,15.220943,ov_da_adri_gastronomia_37.2464_15.2209,Da Adri Gastronomia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/da_adri_gastronomia_37.2464_15.2209.json,custom
37.245390,15.219657,ov_pizzeria_quarta_traversa_37.2454_15.2197,Pizzeria Quarta Traversa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/pizzeria_quarta_traversa_37.2454_15.2197.json,custom
37.245831,15.219595,ov_pizzeria_da_giorgio___augusta_37.2458_15.2196,Pizzeria da Giorgio - Augusta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/pizzeria_da_giorgio_-_augusta_37.2458_15.2196.json,custom
37.241256,15.220619,ov_mizzica_37.2413_15.2206,Mizzica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/mizzica_37.2413_15.2206.json,custom
37.240132,15.220603,ov_pottitilla_pizzeria_37.2401_15.2206,Pottitilla Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/pottitilla_pizzeria_37.2401_15.2206.json,custom
37.240017,15.223296,ov_gusto_37.2400_15.2233,Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/gusto_37.2400_15.2233.json,custom
37.242396,15.232717,ov_pizzeria_club_nautico_da_orazio_37.2424_15.2327,Pizzeria Club Nautico da Orazio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/pizzeria_club_nautico_da_orazio_37.2424_15.2327.json,custom
37.237888,15.221120,ov_pizzeria_red_lion_s_37.2379_15.2211,Pizzeria Red Lion's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/pizzeria_red_lions_37.2379_15.2211.json,custom
37.238465,15.222436,ov_lux_bistrot_and_more_37.2385_15.2224,LUX Bistrot and more,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/lux_bistrot_and_more_37.2385_15.2224.json,custom
37.238325,15.222479,ov_bad_burger_and_drink_37.2383_15.2225,BAD Burger and Drink,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/bad_burger_and_drink_37.2383_15.2225.json,custom
37.238283,15.222314,ov_chihiro_sushi_restaurant_37.2383_15.2223,Chihiro Sushi Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/chihiro_sushi_restaurant_37.2383_15.2223.json,custom
37.237201,15.220802,ov_la_cozza_d_oro_37.2372_15.2208,La Cozza d'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/la_cozza_doro_37.2372_15.2208.json,custom
37.232255,15.221804,ov_baruzzoaugusta_37.2323_15.2218,BaruzzoAugusta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/baruzzoaugusta_37.2323_15.2218.json,custom
37.231969,15.220617,ov_la_villa_37.2320_15.2206,La Villa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/la_villa_37.2320_15.2206.json,custom
37.232107,15.219730,ov_la_nuova_tavernetta_pizzeria_37.2321_15.2197,La Nuova Tavernetta Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/la_nuova_tavernetta_pizzeria_37.2321_15.2197.json,custom
37.231490,15.219670,ov_gastrofficina_37.2315_15.2197,GastrOfficina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/gastrofficina_37.2315_15.2197.json,custom
37.230963,15.218666,ov_giornale_di_augusta_37.2310_15.2187,Giornale Di Augusta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/giornale_di_augusta_37.2310_15.2187.json,custom
37.231020,15.219320,ov_so_good_37.2310_15.2193,So Good,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/so_good_37.2310_15.2193.json,custom
37.230987,15.219657,ov_tinchite_trattoria_pub_37.2310_15.2197,Tinchite Trattoria Pub,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/tinchite_trattoria_pub_37.2310_15.2197.json,custom
37.231055,15.220901,ov_osteria_dame_37.2311_15.2209,Osteria Dame,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/osteria_dame_37.2311_15.2209.json,custom
37.231492,15.220765,ov_na_za_peppa_37.2315_15.2208,Na Za Peppa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/na_za_peppa_37.2315_15.2208.json,custom
37.231676,15.220409,ov_chlo__caf__e_bistrot_37.2317_15.2204,Chloé Cafè e Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/chlo_caf_e_bistrot_37.2317_15.2204.json,custom
37.230087,15.220368,ov_roialto_induomo_37.2301_15.2204,Roialto Induomo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/roialto_induomo_37.2301_15.2204.json,custom
37.230418,15.218842,ov_ristorante_pizzeria_gastronomia_da_eusta_37.2304_15.2188,Ristorante Pizzeria Gastronomia Da Eustachio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/ristorante_pizzeria_gastronomia_da_eusta_37.2304_15.2188.json,custom
37.229926,15.219451,ov_makari_cucina_nippo_mediterranea_37.2299_15.2195,Makari Cucina Nippo-Mediterranea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/makari_cucina_nippo-mediterranea_37.2299_15.2195.json,custom
37.229441,15.219785,ov_a__tumminia_37.2294_15.2198,A' Tumminia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/a_tumminia_37.2294_15.2198.json,custom
37.229474,15.219849,ov_ristorante_roma_37.2295_15.2198,Ristorante Roma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/ristorante_roma_37.2295_15.2198.json,custom
37.229384,15.219868,ov_gorbuska_37.2294_15.2199,Gorbuska,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/gorbuska_37.2294_15.2199.json,custom
37.229413,15.219218,ov_al_braciere_37.2294_15.2192,Al Braciere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/al_braciere_37.2294_15.2192.json,custom
37.229681,15.220412,ov_pizzeria_steakhouse_principe_37.2297_15.2204,Pizzeria steakhouse Principe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/pizzeria_steakhouse_principe_37.2297_15.2204.json,custom
37.229213,15.221104,ov_pizzeria_il_punto_giusto_37.2292_15.2211,Pizzeria il punto giusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/pizzeria_il_punto_giusto_37.2292_15.2211.json,custom
37.224808,15.220512,ov_trattoria_pizzeria_448_37.2248_15.2205,Trattoria pizzeria 448,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/trattoria_pizzeria_448_37.2248_15.2205.json,custom
37.222279,15.220631,ov_take_away_f_lli_stupia_37.2223_15.2206,TAKE AWAY F.LLI Stupia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/take_away_flli_stupia_37.2223_15.2206.json,custom
37.221757,15.224856,ov_pizzeria_paradiso_37.2218_15.2249,Pizzeria Paradiso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/pizzeria_paradiso_37.2218_15.2249.json,custom
37.221245,15.221837,ov_la_dolce_rita_37.2212_15.2218,La Dolce Rita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/la_dolce_rita_37.2212_15.2218.json,custom
37.306643,15.128297,ov_reysol_disco_pub_37.3066_15.1283,Reysol Disco Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/reysol_disco_pub_37.3066_15.1283.json,custom
37.313560,15.101646,ov_bar_del_lungomare_37.3136_15.1016,Bar Del Lungomare,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/bar_del_lungomare_37.3136_15.1016.json,custom
37.284090,15.187710,ov_crema_cioccolato_brucoli_37.2841_15.1877,Crema&Cioccolato Brucoli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/cremacioccolato_brucoli_37.2841_15.1877.json,custom
37.284032,15.187974,ov_cafe_chantal_37.2840_15.1880,Cafe Chantal,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/cafe_chantal_37.2840_15.1880.json,custom
37.283357,15.188124,ov_surf_house_sicily_37.2834_15.1881,Surf House Sicily,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/surf_house_sicily_37.2834_15.1881.json,custom
37.282920,15.187502,ov_civico_69_37.2829_15.1875,Civico 69,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/civico_69_37.2829_15.1875.json,custom
37.282149,15.188581,ov_bar_princiotta_37.2821_15.1886,Bar Princiotta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/bar_princiotta_37.2821_15.1886.json,custom
37.257987,15.226246,ov_iqos_premium_partner_augusta_37.2580_15.2262,IQOS PREMIUM PARTNER AUGUSTA,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/iqos_premium_partner_augusta_37.2580_15.2262.json,custom
37.258161,15.226006,ov_il_baretto_37.2582_15.2260,Il Baretto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/il_baretto_37.2582_15.2260.json,custom
37.259445,15.226229,ov_bar_daniel___monte_tauro_37.2594_15.2262,Bar Daniel - Monte Tauro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/bar_daniel_-_monte_tauro_37.2594_15.2262.json,custom
37.259463,15.226226,ov_sapori_di_sicilia_37.2595_15.2262,Sapori di Sicilia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/sapori_di_sicilia_37.2595_15.2262.json,custom
37.268735,15.217353,ov_girol__37.2687_15.2174,Girolà,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/girol_37.2687_15.2174.json,custom
37.249427,15.226334,ov_il__chiosco____37.2494_15.2263,Il__CHIOSCO___,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/ilchiosco_37.2494_15.2263.json,custom
37.255339,15.230888,ov_art_cafe_bar_37.2553_15.2309,Art Cafe Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/art_cafe_bar_37.2553_15.2309.json,custom
37.256907,15.229278,ov_dacr__37.2569_15.2293,DaCrì,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/dacr_37.2569_15.2293.json,custom
37.251671,15.205312,ov_bar_tabacchi_da_pinella_37.2517_15.2053,Bar Tabacchi da Pinella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/bar_tabacchi_da_pinella_37.2517_15.2053.json,custom
37.250646,15.213071,ov_tiger_bar_esso_augusta_37.2506_15.2131,TIGER BAR ESSO Augusta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/tiger_bar_esso_augusta_37.2506_15.2131.json,custom
37.250646,15.213071,ov_mojito_chiosco_bar_37.2506_15.2131,Mojito Chiosco Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/mojito_chiosco_bar_37.2506_15.2131.json,custom
37.250274,15.222173,ov_villa_delle_rose_37.2503_15.2222,Villa delle rose,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/villa_delle_rose_37.2503_15.2222.json,custom
37.250302,15.220764,ov_krin__caf__37.2503_15.2208,Krinò Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/krin_caf_37.2503_15.2208.json,custom
37.249773,15.218525,ov_mars_brothers_37.2498_15.2185,Mars Brothers,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/mars_brothers_37.2498_15.2185.json,custom
37.249773,15.218525,ov_kiosko_america_37.2498_15.2185,Kiosko America,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/kiosko_america_37.2498_15.2185.json,custom
37.248704,15.219063,ov_plaza_cafe_37.2487_15.2191,Plaza Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/plaza_cafe_37.2487_15.2191.json,custom
37.248010,15.219950,ov_i_siciliani_37.2480_15.2200,I siciliani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/augusta/pages/i_siciliani_37.2480_15.2200.json,custom
