# lat,lng,id,name,building_type,type,url,page_type
# Mandatoriccio -- Tutti
39.468430,16.831760,ov_il_giardino_dei_semplici_srl_39.4684_16.8318,Il Giardino dei Semplici SRL,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/il_giardino_dei_semplici_srl_39.4684_16.8318.json,custom
39.539512,16.861247,ov_la_pineta_39.5395_16.8612,La Pineta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/la_pineta_39.5395_16.8612.json,custom
39.536361,16.865439,ov_la_baracca_39.5364_16.8654,La Baracca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/la_baracca_39.5364_16.8654.json,custom
39.525925,16.888813,ov_ristorante_pizzeria_da_pasquale_39.5259_16.8888,Ristorante Pizzeria Da Pasquale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/ristorante_pizzeria_da_pasquale_39.5259_16.8888.json,custom
39.526255,16.896428,ov_lido_re_artu_39.5263_16.8964,Lido Re Artu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/lido_re_artu_39.5263_16.8964.json,custom
39.524500,16.893200,ov_la_riviera_ristorante_pizzeria_lido_39.5245_16.8932,La Riviera Ristorante Pizzeria Lido,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/la_riviera_ristorante_pizzeria_lido_39.5245_16.8932.json,custom
39.530793,16.877739,ov_ristorante_pizzeria_l_orchidea_39.5308_16.8777,Ristorante Pizzeria L'Orchidea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/ristorante_pizzeria_lorchidea_39.5308_16.8777.json,custom
39.467394,16.838549,ov_chiosco_delle_fate_39.4674_16.8385,Chiosco delle Fate,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/chiosco_delle_fate_39.4674_16.8385.json,custom
39.468309,16.835088,ov_black___white_39.4683_16.8351,Black & White,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/black_white_39.4683_16.8351.json,custom
39.466800,16.833192,ov_cinebar_39.4668_16.8332,Cinebar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/cinebar_39.4668_16.8332.json,custom
39.468025,16.833008,ov_la_cantina_del_marchese_39.4680_16.8330,La Cantina Del Marchese,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/la_cantina_del_marchese_39.4680_16.8330.json,custom
39.468022,16.833021,ov_london_cafe_bar_39.4680_16.8330,London Cafe Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/london_cafe_bar_39.4680_16.8330.json,custom
39.538418,16.861647,ov_bar_da_pietro_mandatoriccio_ufficialpage_39.5384_16.8616,Bar da Pietro Mandatoriccio UfficialPage,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/bar_da_pietro_mandatoriccio_ufficialpage_39.5384_16.8616.json,custom
39.538006,16.863029,ov_bar_bistrot_route_106_39.5380_16.8630,Bar Bistrot Route 106,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/bar_bistrot_route_106_39.5380_16.8630.json,custom
39.540573,16.863370,ov_bar_maremoto_39.5406_16.8634,Bar Maremoto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/bar_maremoto_39.5406_16.8634.json,custom
39.541039,16.863063,ov_vibes_luigi_on_the_beach_39.5410_16.8631,Vibes Luigi On The Beach,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/vibes_luigi_on_the_beach_39.5410_16.8631.json,custom
39.528685,16.889434,ov_fortaleza_on_the_beach_39.5287_16.8894,Fortaleza on the beach,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/fortaleza_on_the_beach_39.5287_16.8894.json,custom
39.529330,16.878410,ov_bar_joy_39.5293_16.8784,Bar Joy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/bar_joy_39.5293_16.8784.json,custom
39.529330,16.878460,ov_green_house_beach_39.5293_16.8785,Green House Beach,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/green_house_beach_39.5293_16.8785.json,custom
39.466820,16.833770,ov_souldance___mandatoricciocariati_39.4668_16.8338,Souldance - MandatoriccioCariati,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/souldance_-_mandatoricciocariati_39.4668_16.8338.json,custom
39.540117,16.861673,ov_micos_39.5401_16.8617,Micos,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/micos_39.5401_16.8617.json,custom
39.521747,16.892402,ov_castello_dell_arso_39.5217_16.8924,Castello dell'Arso,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mandatoriccio/pages/castello_dellarso_39.5217_16.8924.json,custom
