# lat,lng,id,name,building_type,type,url,page_type
# Ponte di Legno -- Tutti
46.259890,10.508090,ov_r_s_a__fondazione_carettoni_46.2599_10.5081,R.S.A. Fondazione Carettoni,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/rsa_fondazione_carettoni_46.2599_10.5081.json,custom
46.258149,10.509073,ov_ponte_di_legno_46.2581_10.5091,Ponte di legno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/ponte_di_legno_46.2581_10.5091.json,custom
46.258420,10.507825,ov_pizzicotto_pizzeria_46.2584_10.5078,Pizzicotto Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/pizzicotto_pizzeria_46.2584_10.5078.json,custom
46.255648,10.509905,ov_la_pergola_46.2556_10.5099,La pergola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/la_pergola_46.2556_10.5099.json,custom
46.254620,10.508144,ov_ristorante_pizzeria_jolly_46.2546_10.5081,Ristorante Pizzeria Jolly,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/ristorante_pizzeria_jolly_46.2546_10.5081.json,custom
46.254500,10.506408,ov_il_panoramico_46.2545_10.5064,Il Panoramico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/il_panoramico_46.2545_10.5064.json,custom
46.248398,10.506564,ov_ristorante_capanna_valbione_46.2484_10.5066,Ristorante Capanna Valbione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/ristorante_capanna_valbione_46.2484_10.5066.json,custom
46.255630,10.511933,ov_ristorante_pizzeria_il_ceppo_46.2556_10.5119,Ristorante Pizzeria Il Ceppo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/ristorante_pizzeria_il_ceppo_46.2556_10.5119.json,custom
46.255774,10.513556,ov_masoguera_46.2558_10.5136,Masoguera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/masoguera_46.2558_10.5136.json,custom
46.255757,10.516840,ov_ristorante_pizzeria_sporting_46.2558_10.5168,Ristorante Pizzeria Sporting,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/ristorante_pizzeria_sporting_46.2558_10.5168.json,custom
46.256800,10.559120,ov_malga_campello_46.2568_10.5591,Malga Campello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/malga_campello_46.2568_10.5591.json,custom
46.257160,10.561936,ov_fuori_pista_46.2572_10.5619,Fuori Pista,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/fuori_pista_46.2572_10.5619.json,custom
46.261901,10.555920,ov_malga_campello_46.2619_10.5559,Malga Campello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/malga_campello_46.2619_10.5559.json,custom
46.263828,10.567407,ov_rifugio_nigritella___bar_ristorante_46.2638_10.5674,Rifugio Nigritella - Bar Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/rifugio_nigritella_-_bar_ristorante_46.2638_10.5674.json,custom
46.263900,10.567516,ov_capanna_bleis_46.2639_10.5675,Capanna Bleis,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/capanna_bleis_46.2639_10.5675.json,custom
46.257460,10.563000,ov_chalet_nigritella_46.2575_10.5630,Chalet Nigritella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/chalet_nigritella_46.2575_10.5630.json,custom
46.257285,10.575950,ov_da_ragnetto_46.2573_10.5759,Da Ragnetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/da_ragnetto_46.2573_10.5759.json,custom
46.259016,10.581581,ov_la_baracca_46.2590_10.5816,La Baracca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/la_baracca_46.2590_10.5816.json,custom
46.257622,10.581127,ov_bar_ristorante_malga_valbiolo_46.2576_10.5811,Bar Ristorante Malga Valbiolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/bar_ristorante_malga_valbiolo_46.2576_10.5811.json,custom
46.257698,10.577775,ov_ristorante_il_rododendro_46.2577_10.5778,Ristorante Il Rododendro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/ristorante_il_rododendro_46.2577_10.5778.json,custom
46.257390,10.578110,ov_spaghetteria_tonale_46.2574_10.5781,Spaghetteria Tonale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/spaghetteria_tonale_46.2574_10.5781.json,custom
46.257970,10.581570,ov_chalet_savoia_bar_pizzeria_46.2580_10.5816,Chalet Savoia Bar Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/chalet_savoia_bar_pizzeria_46.2580_10.5816.json,custom
46.277734,10.558981,ov_capanna_bleis_46.2777_10.5590,Capanna Bleis,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/capanna_bleis_46.2777_10.5590.json,custom
46.288498,10.522148,osm_ristorante_pizzeria_da_giusy_46.2885_10.5221,Ristorante Pizzeria Da Giusy,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/ristorante_pizzeria_da_giusy_46.2885_10.5221.json,custom
46.259351,10.509864,osm_ristorante_pizzeria_al_tabi__46.2594_10.5099,Ristorante Pizzeria Al Tabià,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/ristorante_pizzeria_al_tabi_46.2594_10.5099.json,custom
46.260823,10.509818,osm_pensione_trattoria_sant_angela_46.2608_10.5098,Pensione Trattoria Sant'Angela,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/pensione_trattoria_santangela_46.2608_10.5098.json,custom
46.296749,10.506294,osm_osteria_al_pietra_rossa_46.2967_10.5063,Osteria Al Pietra Rossa,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/osteria_al_pietra_rossa_46.2967_10.5063.json,custom
46.275485,10.519299,osm_ristorante_al_mulino_46.2755_10.5193,Ristorante Al Mulino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/ristorante_al_mulino_46.2755_10.5193.json,custom
46.258016,10.577803,osm_il_rododendro_46.2580_10.5778,Il Rododendro,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/il_rododendro_46.2580_10.5778.json,custom
46.289742,10.516745,ov_bar_ristorante_ercavallo_46.2897_10.5167,Bar Ristorante Ercavallo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/bar_ristorante_ercavallo_46.2897_10.5167.json,custom
46.261216,10.510724,ov_re_del_dolce_46.2612_10.5107,Re del dolce,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/re_del_dolce_46.2612_10.5107.json,custom
46.259189,10.507197,ov_bar_salimmo_46.2592_10.5072,Bar Salimmo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/bar_salimmo_46.2592_10.5072.json,custom
46.260119,10.508023,ov_pub_il_clan_46.2601_10.5080,Pub Il Clan,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/pub_il_clan_46.2601_10.5080.json,custom
46.260574,10.509579,ov_joy_aperitivo_paradise_46.2606_10.5096,Joy Aperitivo Paradise,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/joy_aperitivo_paradise_46.2606_10.5096.json,custom
46.260564,10.509817,ov_bar_al_nazionale_46.2606_10.5098,Bar Al Nazionale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/bar_al_nazionale_46.2606_10.5098.json,custom
46.260260,10.510045,ov_caffe_roc_46.2603_10.5100,Caffe Roc,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/caffe_roc_46.2603_10.5100.json,custom
46.259917,10.509702,ov_bar_l_asino_che_vola_46.2599_10.5097,Bar L'asino che vola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/bar_lasino_che_vola_46.2599_10.5097.json,custom
46.259121,10.508361,ov_la_rasega_46.2591_10.5084,La Rasega,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/la_rasega_46.2591_10.5084.json,custom
46.258140,10.508543,ov_bar_stazione_46.2581_10.5085,Bar Stazione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/bar_stazione_46.2581_10.5085.json,custom
46.257066,10.509211,ov_bar_olimpic_46.2571_10.5092,Bar Olimpic,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/bar_olimpic_46.2571_10.5092.json,custom
46.257041,10.509091,ov_pub_four_x_46.2570_10.5091,Pub four X,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/pub_four_x_46.2570_10.5091.json,custom
46.255532,10.509174,ov_pattinaggio_bar_brescia_pontedilegno_46.2555_10.5092,Pattinaggio Bar Brescia Pontedilegno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/pattinaggio_bar_brescia_pontedilegno_46.2555_10.5092.json,custom
46.255620,10.509224,ov_bb_double_bar_46.2556_10.5092,BB Double Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/bb_double_bar_46.2556_10.5092.json,custom
46.248600,10.507199,ov_l_asino_che_vola_46.2486_10.5072,L'Asino che Vola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/lasino_che_vola_46.2486_10.5072.json,custom
46.257372,10.576167,ov_ufo_bar_46.2574_10.5762,UFO Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/ufo_bar_46.2574_10.5762.json,custom
46.255585,10.509104,osm_bar_brescia_46.2556_10.5091,Bar Brescia,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/bar_brescia_46.2556_10.5091.json,custom
46.256401,10.517417,ov_palestra_fit_4_life_46.2564_10.5174,Palestra Fit 4 Life,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/palestra_fit_4_life_46.2564_10.5174.json,custom
46.261764,10.511260,ov_scuola_sci_ski_emotion_skm_46.2618_10.5113,Scuola sci Ski Emotion SKM,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/scuola_sci_ski_emotion_skm_46.2618_10.5113.json,custom
46.258483,10.505412,ov_fit_energy_club_mirella_46.2585_10.5054,Fit Energy Club Mirella,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/fit_energy_club_mirella_46.2585_10.5054.json,custom
46.260123,10.508012,ov_pontedilegno_ski_school_46.2601_10.5080,Pontedilegno Ski School,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/pontedilegno_ski_school_46.2601_10.5080.json,custom
46.258325,10.507945,ov_ponte_di_legno_rent_46.2583_10.5079,Ponte di Legno Rent,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/ponte_di_legno_rent_46.2583_10.5079.json,custom
46.257630,10.577305,ov_scuola_di_sci_ponte_di_legno_46.2576_10.5773,Scuola Di Sci Ponte di Legno,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/scuola_di_sci_ponte_di_legno_46.2576_10.5773.json,custom
46.259530,10.509823,ov_museo_parrocchiale_d_arte_sacra_46.2595_10.5098,Museo parrocchiale d'arte sacra,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/museo_parrocchiale_darte_sacra_46.2595_10.5098.json,custom
46.254543,10.502794,ov_castello_di_castelpoggio_46.2545_10.5028,Castello di Castelpoggio,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/castello_di_castelpoggio_46.2545_10.5028.json,custom
46.259209,10.514640,ov_biblioteca_civica_di_pontedilegno_46.2592_10.5146,Biblioteca Civica di Pontedilegno,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/ponte_di_legno/pages/biblioteca_civica_di_pontedilegno_46.2592_10.5146.json,custom
