# lat,lng,id,name,building_type,type,url,page_type
# Cave -- Tutti
41.820173,12.940427,ov_villa_madonna_del_campo_41.8202_12.9404,Villa Madonna del Campo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/villa_madonna_del_campo_41.8202_12.9404.json,custom
41.817130,12.934410,ov_al_borgo_ristorante_pizzeria_41.8171_12.9344,Al Borgo ristorante pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/al_borgo_ristorante_pizzeria_41.8171_12.9344.json,custom
41.817260,12.930097,ov_pasticceria___caffetteria_maggi_41.8173_12.9301,Pasticceria - Caffetteria MAGGI,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/pasticceria_-_caffetteria_maggi_41.8173_12.9301.json,custom
41.818872,12.930901,ov_dai_vins_41.8189_12.9309,Dai Vins,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/dai_vins_41.8189_12.9309.json,custom
41.819102,12.932226,ov_pizzeria_san_carlo_di_tanzi_stefania_41.8191_12.9322,Pizzeria San Carlo di Tanzi Stefania,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/pizzeria_san_carlo_di_tanzi_stefania_41.8191_12.9322.json,custom
41.818893,12.932341,ov_la_pizzicata_41.8189_12.9323,La Pizzicata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/la_pizzicata_41.8189_12.9323.json,custom
41.819366,12.934487,ov_cantinone___osteria_diffusa_41.8194_12.9345,Cantinone - Osteria Diffusa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/cantinone_-_osteria_diffusa_41.8194_12.9345.json,custom
41.818252,12.933811,ov_pazzi_per_la_pizza_41.8183_12.9338,Pazzi per la pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/pazzi_per_la_pizza_41.8183_12.9338.json,custom
41.817996,12.950690,ov_evolution_ristorante_pizzeria_41.8180_12.9507,Evolution Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/evolution_ristorante_pizzeria_41.8180_12.9507.json,custom
41.819533,12.950681,ov_ristorante_donna_fugata_41.8195_12.9507,Ristorante Donna Fugata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/ristorante_donna_fugata_41.8195_12.9507.json,custom
41.819413,12.949493,ov_antica_pasticceria_rossana_41.8194_12.9495,Antica Pasticceria Rossana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/antica_pasticceria_rossana_41.8194_12.9495.json,custom
41.820269,12.951011,ov_i_3_impasti_41.8203_12.9510,I 3 Impasti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/i_3_impasti_41.8203_12.9510.json,custom
41.823989,12.952499,ov_residenza_d_agamennone_di_valentina_41.8240_12.9525,Residenza d'Agamennone di Valentina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/residenza_dagamennone_di_valentina_41.8240_12.9525.json,custom
41.823984,12.952409,ov_il_caminetto_41.8240_12.9524,Il Caminetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/il_caminetto_41.8240_12.9524.json,custom
41.813800,12.941630,ov_agriturismo_lo_speciano_41.8138_12.9416,Agriturismo Lo Speciano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/agriturismo_lo_speciano_41.8138_12.9416.json,custom
41.815195,12.940093,ov_pizza_pazza_da_debora_41.8152_12.9401,Pizza Pazza Da Debora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/pizza_pazza_da_debora_41.8152_12.9401.json,custom
41.814761,12.933037,ov_trattoria_la_pinetina_41.8148_12.9330,Trattoria La Pinetina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/trattoria_la_pinetina_41.8148_12.9330.json,custom
41.814670,12.932900,ov_stella_home_restaurant_41.8147_12.9329,Stella Home Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/stella_home_restaurant_41.8147_12.9329.json,custom
41.815375,12.919187,ov_il_noceto_ristorante_pizzeria_41.8154_12.9192,Il noceto ristorante pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/il_noceto_ristorante_pizzeria_41.8154_12.9192.json,custom
41.794697,12.932326,ov_agriturismo_casale_bussoletti_41.7947_12.9323,Agriturismo Casale Bussoletti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/agriturismo_casale_bussoletti_41.7947_12.9323.json,custom
41.826847,12.909987,osm_pensieri___parole_41.8268_12.9100,Pensieri & Parole,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/pensieri_parole_41.8268_12.9100.json,custom
41.817346,12.933725,osm_pizzeria_graziella_41.8173_12.9337,Pizzeria Graziella,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/pizzeria_graziella_41.8173_12.9337.json,custom
41.815204,12.940082,osm_pizza_pazza_41.8152_12.9401,Pizza pazza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/pizza_pazza_41.8152_12.9401.json,custom
41.817998,12.950762,osm_ristorante_donna_fugata_41.8180_12.9508,Ristorante Donna Fugata,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/ristorante_donna_fugata_41.8180_12.9508.json,custom
41.794623,12.932278,osm_casale_bussoletti_41.7946_12.9323,Casale Bussoletti,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/casale_bussoletti_41.7946_12.9323.json,custom
41.811066,12.923516,osm_heaven_41.8111_12.9235,Heaven,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/heaven_41.8111_12.9235.json,custom
41.827379,12.909200,ov_da_mad__41.8274_12.9092,Da MaDí,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/da_mad_41.8274_12.9092.json,custom
41.821177,12.931575,ov_lior_41.8212_12.9316,Lior,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/lior_41.8212_12.9316.json,custom
41.822381,12.926021,ov_spritz_bar_cave_41.8224_12.9260,Spritz Bar Cave,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/spritz_bar_cave_41.8224_12.9260.json,custom
41.820438,12.926453,ov_____________41.8204_12.9265,𝓜𝓪𝓭𝓪 𝓒𝓪𝓯𝓯𝓮̀,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/__41.8204_12.9265.json,custom
41.818980,12.927970,ov_da_walter_41.8190_12.9280,Da Walter,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/da_walter_41.8190_12.9280.json,custom
41.816181,12.931800,ov_garden_snack_bar_da_luca_41.8162_12.9318,Garden Snack Bar Da Luca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/garden_snack_bar_da_luca_41.8162_12.9318.json,custom
41.817074,12.933632,ov_pausa_caff__cave_roma_41.8171_12.9336,Pausa Caffè Cave Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/pausa_caff_cave_roma_41.8171_12.9336.json,custom
41.817544,12.933060,ov_caffetteria_il_gatto_nero_41.8175_12.9331,Caffetteria Il Gatto Nero,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/caffetteria_il_gatto_nero_41.8175_12.9331.json,custom
41.819029,12.932647,ov_caffetteria_san_carlo_41.8190_12.9326,Caffetteria San Carlo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/caffetteria_san_carlo_41.8190_12.9326.json,custom
41.818656,12.933859,ov_la_boutique_del_caff__il_re_dell_espress_41.8187_12.9339,La Boutique Del Caffè Il Re Dell’Espresso Cialde Capsule Mac,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/la_boutique_del_caff_il_re_dellespresso__41.8187_12.9339.json,custom
41.818012,12.933815,ov_paris_longe_bar_srl_41.8180_12.9338,Paris Longe Bar Srl,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/paris_longe_bar_srl_41.8180_12.9338.json,custom
41.817778,12.933612,ov_bar_gran_caff__pipino_41.8178_12.9336,Bar Gran Caffé Pipino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/bar_gran_caff_pipino_41.8178_12.9336.json,custom
41.817969,12.949062,ov_evolution_garden_4_0_41.8180_12.9491,Evolution Garden 4.0,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/evolution_garden_40_41.8180_12.9491.json,custom
41.814626,12.940816,ov_thomas_cafe_41.8146_12.9408,Thomas Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/thomas_cafe_41.8146_12.9408.json,custom
41.774860,12.921510,ov_crea_arte_cave_aps_41.7749_12.9215,Crea Arte Cave Aps,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/crea_arte_cave_aps_41.7749_12.9215.json,custom
41.814651,12.940851,osm_bar_speciano_41.8147_12.9409,Bar Speciano,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/bar_speciano_41.8147_12.9409.json,custom
41.818002,12.933874,osm_caffetteria_paris_41.8180_12.9339,Caffetteria Paris,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/caffetteria_paris_41.8180_12.9339.json,custom
41.817818,12.933656,osm_gran_caff__pipino_41.8178_12.9337,Gran caffè Pipino,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/gran_caff_pipino_41.8178_12.9337.json,custom
41.815365,12.919093,osm_il_noceto_41.8154_12.9191,Il noceto,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/il_noceto_41.8154_12.9191.json,custom
41.817546,12.932996,osm_il_gatto_nero_41.8175_12.9330,Il gatto nero,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/il_gatto_nero_41.8175_12.9330.json,custom
41.813723,12.933217,osm_bar_gigli_carlo_41.8137_12.9332,Bar Gigli Carlo,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/bar_gigli_carlo_41.8137_12.9332.json,custom
41.816394,12.932269,osm_da_massimo_41.8164_12.9323,Da Massimo,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/da_massimo_41.8164_12.9323.json,custom
41.817622,12.950606,osm_donna_fugata_41.8176_12.9506,Donna Fugata,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/donna_fugata_41.8176_12.9506.json,custom
41.815667,12.933517,ov_associazione_culturale_danzamica_41.8157_12.9335,Associazione Culturale Danzamica,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/associazione_culturale_danzamica_41.8157_12.9335.json,custom
41.817658,12.931591,ov_centro_mab_asd_41.8177_12.9316,Centro MAB asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/centro_mab_asd_41.8177_12.9316.json,custom
41.818962,12.934314,ov_concetto_danza_41.8190_12.9343,Concetto Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/concetto_danza_41.8190_12.9343.json,custom
41.816656,12.939927,ov_asd_atletica_cave_41.8167_12.9399,Asd Atletica Cave,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/asd_atletica_cave_41.8167_12.9399.json,custom
41.817969,12.949062,ov_fil___fitness_lab_41.8180_12.9491,FiL - Fitness Lab,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/fil_-_fitness_lab_41.8180_12.9491.json,custom
41.819688,12.942026,ov_asd_compagnia_arcieri_del_bosco_41.8197_12.9420,ASD Compagnia Arcieri del Bosco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/asd_compagnia_arcieri_del_bosco_41.8197_12.9420.json,custom
41.817857,12.929578,ov_museo_lorenzo_ferri_41.8179_12.9296,Museo Lorenzo Ferri,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/museo_lorenzo_ferri_41.8179_12.9296.json,custom
41.817888,12.933360,ov_biblioteca_comunale_di_cave_41.8179_12.9334,Biblioteca comunale di Cave,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cave/pages/biblioteca_comunale_di_cave_41.8179_12.9334.json,custom
