# lat,lng,id,name,building_type,type,url,page_type
# sellia_marina -- Tutti
38.896477,16.728536,ov_poliambulatorio_levato_38.8965_16.7285,Poliambulatorio Levato,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/poliambulatorio_levato_38.8965_16.7285.json,custom
38.898297,16.741622,ov_ristorante_prato_verde_38.8983_16.7416,Ristorante Prato Verde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/ristorante_prato_verde_38.8983_16.7416.json,custom
38.891603,16.747362,ov_hotel_ristorante_mediterraneo_s_a_s__38.8916_16.7474,Hotel Ristorante Mediterraneo s.a.s.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/hotel_ristorante_mediterraneo_sas_38.8916_16.7474.json,custom
38.890524,16.747892,ov_restaurant_magna_grecia_38.8905_16.7479,Restaurant Magna Grecia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/restaurant_magna_grecia_38.8905_16.7479.json,custom
38.884576,16.749807,ov_lido_surya_38.8846_16.7498,Lido Surya,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/lido_surya_38.8846_16.7498.json,custom
38.882036,16.744662,ov_altamarea_38.8820_16.7447,AltaMarea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/altamarea_38.8820_16.7447.json,custom
38.878555,16.736176,ov_paquito_38.8786_16.7362,Paquito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/paquito_38.8786_16.7362.json,custom
38.885367,16.752041,ov_palup__bay_38.8854_16.7520,Palupè Bay,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/palup_bay_38.8854_16.7520.json,custom
38.885079,16.751001,ov_light_life_beach_38.8851_16.7510,Light Life Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/light_life_beach_38.8851_16.7510.json,custom
38.889330,16.754302,ov_da_balbino_38.8893_16.7543,Da Balbino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/da_balbino_38.8893_16.7543.json,custom
38.886335,16.753858,ov_habanabeachclub_38.8863_16.7539,Habanabeachclub,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/habanabeachclub_38.8863_16.7539.json,custom
38.887641,16.756321,ov_asso_di_fiori_38.8876_16.7563,Asso Di Fiori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/asso_di_fiori_38.8876_16.7563.json,custom
38.888628,16.758635,ov_blue_caf__38.8886_16.7586,Blue Cafè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/blue_caf_38.8886_16.7586.json,custom
38.885339,16.712278,ov_ristorante106_38.8853_16.7123,Ristorante106,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/ristorante106_38.8853_16.7123.json,custom
38.888192,16.715091,ov_alla_vecchia_osteria_u_nozzularu_38.8882_16.7151,Alla Vecchia Osteria U Nozzularu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/alla_vecchia_osteria_u_nozzularu_38.8882_16.7151.json,custom
38.876507,16.733146,ov_lido_hotel_costa_jonica_38.8765_16.7331,Lido Hotel Costa Jonica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/lido_hotel_costa_jonica_38.8765_16.7331.json,custom
38.882082,16.726868,ov_agro_ruggero_38.8821_16.7269,Agro Ruggero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/agro_ruggero_38.8821_16.7269.json,custom
38.895377,16.726655,ov_agriturismo_le_muse_38.8954_16.7267,Agriturismo Le Muse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/agriturismo_le_muse_38.8954_16.7267.json,custom
38.898348,16.734297,ov_la_casita_di_salvatore_38.8983_16.7343,La Casita di Salvatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/la_casita_di_salvatore_38.8983_16.7343.json,custom
38.906378,16.742625,ov_fantasy_38.9064_16.7426,Fantasy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/fantasy_38.9064_16.7426.json,custom
38.907182,16.745399,ov_gusto_tricolore_38.9072_16.7454,Gusto Tricolore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/gusto_tricolore_38.9072_16.7454.json,custom
38.902570,16.783930,ov_caf__de_mar_38.9026_16.7839,Café de Mar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/caf_de_mar_38.9026_16.7839.json,custom
38.896180,16.759680,ov_atypical_lounge_bar_38.8962_16.7597,Atypical Lounge BAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/atypical_lounge_bar_38.8962_16.7597.json,custom
38.899018,16.745772,ov_chantilly_38.8990_16.7458,Chantilly,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/chantilly_38.8990_16.7458.json,custom
38.899480,16.744838,ov_spina_santa_38.8995_16.7448,Spina Santa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/spina_santa_38.8995_16.7448.json,custom
38.903830,16.744705,ov_urban_caf__38.9038_16.7447,Urban Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/urban_caf_38.9038_16.7447.json,custom
38.905681,16.746175,ov_bar_doc_38.9057_16.7462,Bar Doc,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/bar_doc_38.9057_16.7462.json,custom
38.906143,16.743934,ov_caffeina_store_sellia_marina_38.9061_16.7439,Caffeina Store.Sellia Marina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/caffeina_storesellia_marina_38.9061_16.7439.json,custom
38.902348,16.742914,ov_mom_cafe__38.9023_16.7429,MOM CAFE',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/mom_cafe_38.9023_16.7429.json,custom
38.898223,16.741000,ov_irish_coffee_bar_38.8982_16.7410,Irish Coffee Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/irish_coffee_bar_38.8982_16.7410.json,custom
38.883739,16.747928,ov_zion_sound_38.8837_16.7479,Zion Sound,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/zion_sound_38.8837_16.7479.json,custom
38.885485,16.752019,ov_indian_beach_38.8855_16.7520,Indian beach,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/indian_beach_38.8855_16.7520.json,custom
38.889352,16.760820,ov_lido_faro_blu_38.8894_16.7608,Lido Faro Blu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/lido_faro_blu_38.8894_16.7608.json,custom
38.887169,16.714409,ov_pasticceria_siciliana___da_cosimo_38.8872_16.7144,Pasticceria siciliana - da cosimo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/pasticceria_siciliana_-_da_cosimo_38.8872_16.7144.json,custom
38.886792,16.714177,ov_bar_106_38.8868_16.7142,Bar 106,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/bar_106_38.8868_16.7142.json,custom
38.877273,16.734629,ov_lido_blue_marine_38.8773_16.7346,Lido Blue Marine,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/lido_blue_marine_38.8773_16.7346.json,custom
38.906372,16.743184,ov_bar_centrale_38.9064_16.7432,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/bar_centrale_38.9064_16.7432.json,custom
38.906830,16.764700,ov_ip_snack_bar_38.9068_16.7647,IP Snack BAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/ip_snack_bar_38.9068_16.7647.json,custom
38.916180,16.753540,ov_bar_one_snai_38.9162_16.7535,Bar One Snai,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/bar_one_snai_38.9162_16.7535.json,custom
38.894314,16.769066,ov_shala_mandala_38.8943_16.7691,Shala Mandala,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/shala_mandala_38.8943_16.7691.json,custom
38.899723,16.747512,ov_associazione_sportiva_dilettantistica_ch_38.8997_16.7475,Associazione Sportiva Dilettantistica Chiara Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/associazione_sportiva_dilettantistica_ch_38.8997_16.7475.json,custom
38.896477,16.728536,ov_l_isola_felice_38.8965_16.7285,L'Isola Felice,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/lisola_felice_38.8965_16.7285.json,custom
38.904618,16.760652,ov_museo_meridionale_della_lambretta_38.9046_16.7607,Museo Meridionale della Lambretta,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/sellia_marina/pages/museo_meridionale_della_lambretta_38.9046_16.7607.json,custom
