# lat,lng,id,name,building_type,type,url,page_type
# Santhià -- Tutti
45.364519,8.175442,ov_ospedale_santissimo_salvatore_45.3645_8.1754,Ospedale Santissimo Salvatore,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/ospedale_santissimo_salvatore_45.3645_8.1754.json,custom
45.378898,8.146996,ov_bar_moleto_45.3789_8.1470,Bar Moleto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/bar_moleto_45.3789_8.1470.json,custom
45.374779,8.151353,ov_biomove_caf__45.3748_8.1514,BioMove Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/biomove_caf_45.3748_8.1514.json,custom
45.370474,8.155619,ov_shed_cafe__45.3705_8.1556,Shed Cafe',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/shed_cafe_45.3705_8.1556.json,custom
45.363556,8.173637,ov_caffe_galileo_45.3636_8.1736,Caffe Galileo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/caffe_galileo_45.3636_8.1736.json,custom
45.365993,8.175898,ov_sant__ignazio_45.3660_8.1759,Sant' Ignazio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/sant_ignazio_45.3660_8.1759.json,custom
45.365829,8.176431,ov_gran_bar_di_de_caro_maria_45.3658_8.1764,Gran Bar Di De Caro Maria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/gran_bar_di_de_caro_maria_45.3658_8.1764.json,custom
45.364810,8.180210,ov_bar_tarassaco_45.3648_8.1802,BAR Tarassaco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/bar_tarassaco_45.3648_8.1802.json,custom
45.366283,8.173759,ov_bar_roma_45.3663_8.1738,Bar Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/bar_roma_45.3663_8.1738.json,custom
45.366787,8.174056,ov_bar_caffe_della_piazza_45.3668_8.1741,Bar Caffe della Piazza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/bar_caffe_della_piazza_45.3668_8.1741.json,custom
45.366730,8.171457,ov_bar_giardini_45.3667_8.1715,Bar Giardini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/bar_giardini_45.3667_8.1715.json,custom
45.367636,8.168018,ov_cin_cin_bar_45.3676_8.1680,Cin Cin Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/cin_cin_bar_45.3676_8.1680.json,custom
45.367930,8.167469,ov_barby_cafe_giangi_cocktail_45.3679_8.1675,Barby cafe Giangi cocktail,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/barby_cafe_giangi_cocktail_45.3679_8.1675.json,custom
45.368377,8.164970,ov_bar_brasilia_45.3684_8.1650,Bar Brasilia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/bar_brasilia_45.3684_8.1650.json,custom
45.370530,8.177400,ov_bar_moleto__santhi__45.3705_8.1774,Bar Moleto  Santhià,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/bar_moleto_santhi_45.3705_8.1774.json,custom
45.366753,8.174038,osm_caff__della_piazza_45.3668_8.1740,Caffè della Piazza,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/caff_della_piazza_45.3668_8.1740.json,custom
45.365713,8.176520,osm_heaven_bar_45.3657_8.1765,Heaven Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/heaven_bar_45.3657_8.1765.json,custom
45.367807,8.167918,osm_bar_cin_cin_45.3678_8.1679,Bar Cin Cin,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/bar_cin_cin_45.3678_8.1679.json,custom
45.368963,8.168874,osm_oleander_caf__45.3690_8.1689,Oleander Café,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/oleander_caf_45.3690_8.1689.json,custom
45.367031,8.171155,osm_bar_jolly_45.3670_8.1712,Bar Jolly,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/bar_jolly_45.3670_8.1712.json,custom
45.379872,8.145397,osm_bar_david_45.3799_8.1454,Bar David,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/bar_david_45.3799_8.1454.json,custom
45.367421,8.171522,osm_bar_sofia_45.3674_8.1715,Bar Sofia,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/bar_sofia_45.3674_8.1715.json,custom
45.366523,8.172707,osm_bar_sport_45.3665_8.1727,Bar Sport,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/bar_sport_45.3665_8.1727.json,custom
45.364107,8.175802,osm_bar_la_sosta_45.3641_8.1758,bar la sosta,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/bar_la_sosta_45.3641_8.1758.json,custom
45.370424,8.155790,osm_cuba_bar_45.3704_8.1558,Cuba Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/cuba_bar_45.3704_8.1558.json,custom
45.367787,8.167081,osm_bar_sociale_45.3678_8.1671,Bar Sociale,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/bar_sociale_45.3678_8.1671.json,custom
45.367380,8.168930,osm_coffee_break_45.3674_8.1689,Coffee break,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/coffee_break_45.3674_8.1689.json,custom
45.011985,8.634504,ov_cai_valenza___sezione_davide_e_luigi_gue_45.0120_8.6345,CAI Valenza - Sezione Davide e Luigi Guerci,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/cai_valenza_-_sezione_davide_e_luigi_gue_45.0120_8.6345.json,custom
45.374909,8.151319,ov_move_palestre_ssd_45.3749_8.1513,MOVE Palestre ssd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/move_palestre_ssd_45.3749_8.1513.json,custom
45.374872,8.151472,ov_insieme_ballando_45.3749_8.1515,Insieme Ballando,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/insieme_ballando_45.3749_8.1515.json,custom
45.363665,8.171646,ov_fusion_dance_school_45.3637_8.1716,Fusion Dance School,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/fusion_dance_school_45.3637_8.1716.json,custom
45.365590,8.165530,ov_nonnoring_45.3656_8.1655,NonnoRing,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/nonnoring_45.3656_8.1655.json,custom
45.366477,8.174001,ov_chimau_sport___fashion_45.3665_8.1740,Chimau Sport & Fashion,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/chimau_sport_fashion_45.3665_8.1740.json,custom
45.366092,8.172855,ov_nonno_slot_club_45.3661_8.1729,Nonno Slot Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/nonno_slot_club_45.3661_8.1729.json,custom
45.366514,8.176146,ov_dance_factory_studio_asd_45.3665_8.1761,Dance Factory Studio ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/dance_factory_studio_asd_45.3665_8.1761.json,custom
45.368100,8.167899,ov_scuola_di_danza_e_palestra_dancing_soul_45.3681_8.1679,Scuola di Danza e Palestra Dancing Soul,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/scuola_di_danza_e_palestra_dancing_soul_45.3681_8.1679.json,custom
45.371379,8.167645,ov_centro_sportivo_comunale_beatrice_bedon_45.3714_8.1676,Centro Sportivo Comunale Beatrice Bedon,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/centro_sportivo_comunale_beatrice_bedon_45.3714_8.1676.json,custom
45.367865,8.167711,osm_twentyfit_45.3679_8.1677,Twentyfit,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/twentyfit_45.3679_8.1677.json,custom
45.393225,8.238817,ov_castello_di_vettign__45.3932_8.2388,Castello di Vettignè,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/castello_di_vettign_45.3932_8.2388.json,custom
45.368793,8.171210,ov_biblioteca_civica_di_santhi__45.3688_8.1712,Biblioteca Civica di Santhià,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/santhi/pages/biblioteca_civica_di_santhi_45.3688_8.1712.json,custom
