# lat,lng,id,name,building_type,type,url,page_type
# Lonato del Garda -- Tutti
45.422142,10.512640,ov_ospedale_psichiatrico_giudiziario_45.4221_10.5126,Ospedale Psichiatrico Giudiziario,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/ospedale_psichiatrico_giudiziario_45.4221_10.5126.json,custom
45.390731,10.580420,ov_agriturismo_bassanel_45.3907_10.5804,Agriturismo Bassanel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/agriturismo_bassanel_45.3907_10.5804.json,custom
45.417765,10.535421,osm_bar_trattoria_ottolini_45.4178_10.5354,Bar Trattoria Ottolini,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/bar_trattoria_ottolini_45.4178_10.5354.json,custom
45.421738,10.502374,osm_la_tana_del_gufo_45.4217_10.5024,La Tana del Gufo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/la_tana_del_gufo_45.4217_10.5024.json,custom
45.486495,10.502448,osm_osteria_di_maguzzano_45.4865_10.5024,Osteria di Maguzzano,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/osteria_di_maguzzano_45.4865_10.5024.json,custom
45.430252,10.514008,ov_polly_pop_food_45.4303_10.5140,Polly Pop Food,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/polly_pop_food_45.4303_10.5140.json,custom
45.430217,10.514006,ov_portello_caffe_lonato_il_leone_45.4302_10.5140,Portello Caffe Lonato Il Leone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/portello_caffe_lonato_il_leone_45.4302_10.5140.json,custom
45.431039,10.514483,ov_la_veranda_45.4310_10.5145,La Veranda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/la_veranda_45.4310_10.5145.json,custom
45.431891,10.514690,ov_chiosco_di_vivaldi_45.4319_10.5147,Chiosco di Vivaldi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/chiosco_di_vivaldi_45.4319_10.5147.json,custom
45.431918,10.516612,ov_enoteca_grandi_vigne_lonato_45.4319_10.5166,Enoteca Grandi Vigne Lonato,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/enoteca_grandi_vigne_lonato_45.4319_10.5166.json,custom
45.445913,10.504541,ov_razzi_distribuzione_bevande_45.4459_10.5045,Razzi Distribuzione Bevande,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/razzi_distribuzione_bevande_45.4459_10.5045.json,custom
45.462259,10.508691,ov_ak_desenzano_45.4623_10.5087,Ak Desenzano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/ak_desenzano_45.4623_10.5087.json,custom
45.425057,10.506532,ov_racing_track_south_garda_45.4251_10.5065,Racing Track South Garda,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/racing_track_south_garda_45.4251_10.5065.json,custom
45.427430,10.515670,ov_fitactive_45.4274_10.5157,FitActive,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/fitactive_45.4274_10.5157.json,custom
45.429136,10.541875,ov_fit_lab_45.4291_10.5419,Fit Lab,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/fit_lab_45.4291_10.5419.json,custom
45.428440,10.518713,ov_il_laghetto_di_elia_koisland_45.4284_10.5187,Il laghetto di Elia Koisland,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/il_laghetto_di_elia_koisland_45.4284_10.5187.json,custom
45.439585,10.516701,ov_todo_playfitness_45.4396_10.5167,Todo Playfitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/todo_playfitness_45.4396_10.5167.json,custom
45.440190,10.517360,ov_millepilates_45.4402_10.5174,MillePilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/millepilates_45.4402_10.5174.json,custom
45.443699,10.508497,ov_circolo_ippico_spia_d_italia_45.4437_10.5085,Circolo Ippico Spia D Italia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/circolo_ippico_spia_d_italia_45.4437_10.5085.json,custom
45.415953,10.507334,ov_le_fornaci_romane_45.4160_10.5073,Le Fornaci Romane,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lonato_del_garda/pages/le_fornaci_romane_45.4160_10.5073.json,custom
